timestep,reward
136,-0.3342
11871,-0.4170000000000001
24191,-0.33480000000000004
36057,-0.34310000000000007
47770,-0.37799999999999984
59638,-0.3061000000000001
71490,-0.35830000000000006
83216,-0.4009
94883,-0.3298000000000001
106767,-0.34180000000000005
118852,-0.3600000000000001
130985,-0.2822000000000001
142874,-0.37329999999999997
154500,-0.3482000000000003
166529,-0.3893
178245,-0.3710999999999999
190217,-0.3184
202083,-0.28029999999999994
214084,-0.3854000000000001
225674,-0.33550000000000013
236889,-0.38639999999999985
248990,-0.33440000000000014
260857,-0.34580000000000005
273042,-0.37799999999999995
284872,-0.2886000000000002
296550,-0.3406
308362,-0.3644
320094,-0.3602
331694,-0.3513
343230,-0.3719000000000001
355286,-0.2948
367184,-0.3201000000000001
378944,-0.31950000000000006
390959,-0.41899999999999993
402815,-0.38400000000000006
414531,-0.30540000000000006
426413,-0.32949999999999996
438358,-0.3391
450141,-0.3049000000000001
461994,-0.3603000000000002
473717,-0.3617
485232,-0.3429
496817,-0.28660000000000013
508309,-0.3591000000000002
519748,-0.3092000000000002
531064,-0.31860000000000016
542772,-0.34910000000000013
554458,-0.28910000000000013
566471,-0.38939999999999986
578419,-0.2918000000000003
