timestep,reward
136,-0.49010000000000004
12293,-0.5465999999999999
24516,-0.5537999999999998
36533,-0.5780999999999998
48846,-0.5207
61552,-0.5473000000000002
73601,-0.5658000000000001
85799,-0.5909000000000002
98146,-0.5726999999999995
110568,-0.5535
122768,-0.5427000000000001
135021,-0.5999000000000001
146879,-0.5721000000000003
159069,-0.5253999999999998
171081,-0.5997
183465,-0.6033000000000002
195364,-0.5646
207376,-0.6518000000000002
219354,-0.5855
231509,-0.5871000000000001
243403,-0.5818
256110,-0.5722999999999998
268347,-0.5805
280374,-0.5529
293209,-0.5832000000000002
305341,-0.5242000000000001
317547,-0.5598000000000001
329719,-0.5323
342007,-0.5650000000000001
354182,-0.5654
366488,-0.5758
378782,-0.5515
390826,-0.5605
403060,-0.5826999999999998
415201,-0.5443
427281,-0.5672999999999999
439371,-0.5359000000000002
451783,-0.5713
464353,-0.5439999999999998
477146,-0.5572999999999998
489207,-0.5728000000000002
501295,-0.5367999999999998
513648,-0.5639
526150,-0.5884
538645,-0.5820000000000001
551459,-0.5466999999999999
563695,-0.5569999999999999
575740,-0.5755999999999999
587795,-0.5522999999999998
600286,-0.5529
