timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
23,-0.5819999999999999,40.5,0,1,3,0.3333333333333333
3575,-0.5849000000000002,58.85,0,1,3,0.3333333333333333
6797,-0.34970000000000007,42.04,0,3,13,0.23076923076923078
10317,-0.5424999999999998,65.54,1,0,8,0.0
13589,-0.5994999999999999,54.16,0,0,10,0.0
16813,-0.4679999999999999,78.58,0,4,21,0.19047619047619047
19901,-0.5762999999999999,52.67,0,0,1,0.0
23295,-0.5798999999999999,56.28,0,0,3,0.0
26677,-0.4387,62.74,1,0,23,0.0
30245,-0.6033,72.42,0,0,5,0.0
33813,-0.5811999999999998,81.87,0,2,11,0.18181818181818182
37333,-0.6045,69.17,0,0,6,0.0
40625,-0.5733,42.49,0,0,8,0.0
44013,-0.5406999999999998,69.18,1,0,6,0.0
47597,-0.5849,60.46,0,0,11,0.0
50947,-0.5882999999999999,71.51,1,0,12,0.0
54369,-0.6106,73.37,0,0,10,0.0
57615,-0.6057999999999999,72.53,0,0,11,0.0
60925,-0.5916,64.7,1,0,7,0.0
64345,-0.5338999999999999,66.86,0,0,10,0.0
67643,-0.5975999999999998,68.74,0,0,7,0.0
70923,-0.5806,63.55,0,0,5,0.0
74085,-0.6057000000000001,65.53,0,0,7,0.0
77507,-0.5892000000000003,68.87,0,0,8,0.0
81045,-0.6033,67.57,0,0,11,0.0
84157,-0.5876,67.61,0,0,10,0.0
87445,-0.5885999999999998,57.79,0,0,18,0.0
90687,-0.5929999999999996,63.44,1,0,18,0.0
94003,-0.5559000000000001,70.14,2,0,14,0.0
97487,-0.6376000000000004,64.5,0,0,6,0.0
101063,-0.5571999999999997,66.45,0,0,16,0.0
104347,-0.5946999999999998,62.15,0,0,6,0.0
107557,-0.6088,70.28,0,0,9,0.0
110923,-0.6008999999999999,59.94,0,0,7,0.0
114475,-0.5590999999999998,68.46,1,0,12,0.0
117647,-0.6149999999999999,65.32,0,0,8,0.0
121181,-0.567,65.85,1,0,8,0.0
124497,-0.6130999999999999,71.03,0,0,10,0.0
127949,-0.5960000000000001,65.55,0,0,7,0.0
131696,-0.6018999999999998,76.91,0,0,15,0.0
135044,-0.6016999999999998,56.56,0,0,11,0.0
138431,-0.5939999999999999,81.9,1,0,2,0.0
141871,-0.5693000000000003,57.09,0,0,4,0.0
144883,-0.5750999999999997,63.63,0,0,16,0.0
148573,-0.5619,68.57,0,0,13,0.0
152003,-0.5624,82.0,1,0,11,0.0
155337,-0.5325000000000001,73.84,1,0,11,0.0
158329,-0.5363999999999999,64.32,0,0,8,0.0
161738,-0.5030999999999999,72.56,0,0,17,0.0
165186,-0.26690000000000014,71.81,0,38,57,0.6666666666666666
168578,-0.53,81.27,0,6,14,0.42857142857142855
172024,-0.4773000000000003,72.81,0,1,14,0.07142857142857142
175232,-0.5015,43.34,0,1,15,0.06666666666666667
178898,-0.5378999999999998,43.09,0,0,5,0.0
182254,-0.6048000000000001,65.64,0,0,10,0.0
185516,-0.6188999999999999,43.43,0,1,4,0.25
188756,-0.4905,42.76,0,0,12,0.0
191860,-0.38569999999999993,49.16,0,2,29,0.06896551724137931
194966,-0.40290000000000004,68.06,0,1,49,0.02040816326530612
198270,-0.3833999999999998,71.9,1,0,30,0.0
201610,-0.30450000000000016,82.11,4,0,94,0.0
205120,-0.26980000000000004,85.24,7,0,89,0.0
208530,-0.34799999999999975,76.59,2,0,102,0.0
211894,-0.31749999999999995,78.36,1,0,97,0.0
215608,-0.18760000000000002,77.61,6,0,186,0.0
219164,-0.3123999999999999,74.62,1,0,116,0.0
222800,-0.22619999999999993,72.97,4,0,181,0.0
226420,-0.23149999999999996,79.26,7,0,121,0.0
229860,-0.2818,80.26,3,0,125,0.0
233526,-0.1622,83.72,8,0,161,0.0
237334,-0.16099999999999998,81.43,13,0,153,0.0
240856,0.0712,82.28,24,0,317,0.0
244612,0.0722,79.67,27,0,282,0.0
248090,0.20360000000000006,78.49,35,0,378,0.0
