timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
23,-0.5677000000000001,14.96,0,0,2,0.0
3575,-0.5686999999999999,16.69,0,0,6,0.0
6797,-0.48589999999999994,17.42,0,0,1,0.0
10317,-0.567,16.55,1,0,2,0.0
13589,-0.6232999999999999,16.2,0,0,1,0.0
16813,-0.5784000000000001,16.43,0,0,3,0.0
19901,-0.6048,15.51,0,0,1,0.0
23295,-0.5880999999999996,15.11,0,1,4,0.25
26677,-0.5583,17.4,0,0,8,0.0
30245,-0.6027,17.04,0,0,2,0.0
33813,-0.6278999999999999,18.0,0,0,5,0.0
37333,-0.5976,17.23,0,0,2,0.0
40625,-0.5650000000000001,16.27,0,0,2,0.0
44013,-0.5813999999999999,16.86,0,0,3,0.0
47597,-0.5858000000000001,17.19,0,0,5,0.0
50947,-0.5953000000000002,16.52,0,0,1,0.0
54369,-0.5862000000000002,16.25,0,0,5,0.0
57615,-0.5695999999999999,16.22,0,0,5,0.0
60925,-0.5737000000000002,17.28,1,0,6,0.0
64345,-0.5693000000000003,17.27,0,0,3,0.0
67643,-0.5807,16.58,0,0,2,0.0
70923,-0.5704999999999998,15.62,1,0,2,0.0
74085,-0.5964,16.8,0,0,1,0.0
77507,-0.5765,17.46,1,0,5,0.0
81045,-0.5907000000000002,15.58,0,0,0,0
84157,-0.6050999999999999,15.01,0,0,2,0.0
87445,-0.5855,16.2,0,0,4,0.0
90687,-0.5824000000000003,15.92,0,0,6,0.0
94003,-0.5845999999999999,16.27,0,0,2,0.0
97487,-0.6003999999999999,15.91,0,0,1,0.0
101063,-0.5812999999999999,16.32,1,0,4,0.0
104347,-0.5933999999999999,16.72,0,0,0,0
107557,-0.5981000000000004,16.82,0,0,5,0.0
110923,-0.5791,17.08,0,0,2,0.0
114475,-0.5786000000000001,16.32,0,0,1,0.0
117647,-0.5958999999999999,16.05,0,0,2,0.0
121181,-0.6029999999999999,16.85,0,0,0,0
124497,-0.5888000000000001,17.41,0,0,5,0.0
127949,-0.5835000000000001,15.96,1,0,7,0.0
131696,-0.6075999999999998,17.84,0,0,1,0.0
135044,-0.5866999999999999,16.04,0,0,4,0.0
138431,-0.6031,17.43,0,0,2,0.0
141871,-0.5651999999999997,14.38,0,0,1,0.0
144883,-0.5705,17.57,0,0,3,0.0
148573,-0.6023,16.02,0,0,4,0.0
152003,-0.6252,16.99,0,0,3,0.0
155337,-0.6059000000000001,16.77,0,0,0,0
158329,-0.5809999999999998,15.04,0,0,3,0.0
161738,-0.5908,18.2,0,0,5,0.0
165186,-0.5780000000000001,17.02,0,4,6,0.6666666666666666
168578,-0.6182999999999997,18.34,0,0,4,0.0
172024,-0.5433000000000001,19.56,0,0,1,0.0
175232,-0.5772999999999999,15.4,0,0,2,0.0
178898,-0.5870000000000001,15.3,0,0,1,0.0
182254,-0.5995000000000001,15.86,0,0,2,0.0
185516,-0.5576999999999999,15.56,0,0,1,0.0
188756,-0.49589999999999973,16.79,0,0,3,0.0
191860,-0.4479000000000001,16.37,0,0,10,0.0
194966,-0.49239999999999995,16.71,0,0,3,0.0
198270,-0.47769999999999996,18.13,1,0,2,0.0
201610,-0.5296000000000001,16.57,0,0,4,0.0
205120,-0.5460000000000004,19.22,0,0,6,0.0
208530,-0.4926,18.62,0,0,4,0.0
211894,-0.4648999999999999,18.9,0,0,7,0.0
215608,-0.462,20.26,0,0,0,0
219164,-0.48919999999999997,19.25,0,0,7,0.0
222800,-0.43140000000000017,19.41,1,0,8,0.0
226420,-0.5241000000000002,19.33,0,0,8,0.0
229860,-0.4953,18.27,0,0,3,0.0
233526,-0.5001000000000001,20.08,0,0,5,0.0
237334,-0.4549,21.25,1,0,3,0.0
240856,-0.4640000000000001,19.22,0,0,11,0.0
244612,-0.44270000000000004,19.94,0,0,7,0.0
248090,-0.47540000000000004,19.3,0,0,9,0.0
251414,-0.4516999999999999,19.62,0,0,18,0.0
254920,-0.4595,20.34,0,0,15,0.0
258280,-0.46930000000000016,17.48,0,0,12,0.0
261580,-0.46740000000000004,20.48,0,0,9,0.0
265398,-0.5248000000000002,20.68,0,0,3,0.0
269010,-0.5192999999999998,20.12,0,0,5,0.0
272550,-0.5176,20.33,0,0,3,0.0
276100,-0.5217,19.56,0,0,2,0.0
279620,-0.43399999999999994,22.03,0,0,10,0.0
283252,-0.4860000000000001,19.68,0,0,6,0.0
286500,-0.5181000000000003,21.62,0,0,4,0.0
290226,-0.49970000000000003,20.48,0,0,5,0.0
293828,-0.4874000000000001,17.47,0,0,6,0.0
297046,-0.5059,21.02,0,0,5,0.0
300434,-0.4929,20.64,0,0,4,0.0
304016,-0.5187,20.66,0,0,5,0.0
307552,-0.5175,21.16,1,0,3,0.0
311302,-0.6142999999999998,18.52,0,0,8,0.0
314974,-0.556,16.77,0,0,2,0.0
318498,-0.6166999999999999,17.12,0,0,3,0.0
321928,-0.5711999999999998,18.01,0,0,6,0.0
325389,-0.6008,17.73,0,0,6,0.0
328887,-0.6335999999999999,18.23,0,0,6,0.0
332233,-0.6023999999999998,16.56,0,0,2,0.0
335492,-0.5098999999999999,16.33,0,0,2,0.0
338965,-0.5876999999999997,16.44,0,0,9,0.0
342511,-0.5947,17.15,1,0,6,0.0
345839,-0.5749999999999998,17.61,0,0,4,0.0
349183,-0.6036000000000002,16.34,0,0,5,0.0
352723,-0.5459000000000003,16.64,0,0,4,0.0
356249,-0.5837,16.73,0,0,3,0.0
359639,-0.5600999999999999,16.93,0,0,2,0.0
362859,-0.602,16.38,0,0,3,0.0
366139,-0.5843999999999998,17.79,0,0,5,0.0
369571,-0.5948999999999999,18.03,0,0,1,0.0
373053,-0.6128999999999997,17.67,0,0,4,0.0
376539,-0.5797999999999996,15.5,0,0,4,0.0
379905,-0.5885,17.39,0,0,0,0
383217,-0.6259999999999999,16.07,0,0,2,0.0
386581,-0.6116999999999997,18.54,0,0,3,0.0
390171,-0.5921000000000001,16.74,0,0,1,0.0
393309,-0.5924,18.6,0,0,1,0.0
396798,-0.6081000000000001,17.49,0,0,3,0.0
400190,-0.5585,16.08,0,0,0,0
403510,-0.5727000000000001,16.4,0,0,3,0.0
