timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
23,0.1987999999999997,29.81,7,78,277,0.2815884476534296
3512,0.1853999999999998,28.67,6,78,231,0.33766233766233766
7170,0.21119999999999967,27.1,8,78,244,0.319672131147541
10486,0.23079999999999973,29.51,13,72,317,0.22712933753943218
13758,0.22959999999999958,29.06,12,71,249,0.285140562248996
17012,0.2071999999999996,26.99,6,83,274,0.3029197080291971
20078,0.21949999999999967,29.09,9,76,298,0.2550335570469799
23440,0.23539999999999978,29.88,11,74,346,0.2138728323699422
26830,0.24409999999999968,27.39,10,82,271,0.3025830258302583
29920,0.2825999999999997,30.54,18,67,340,0.19705882352941176
33170,0.30979999999999974,29.75,21,65,332,0.19578313253012047
36414,0.2601999999999997,31.91,16,67,334,0.20059880239520958
39797,0.21069999999999972,31.25,11,69,304,0.22697368421052633
43179,0.25899999999999973,29.39,15,70,338,0.20710059171597633
46446,0.22859999999999978,27.85,11,74,319,0.23197492163009403
49580,0.2545999999999997,31.01,16,65,344,0.18895348837209303
52754,0.24959999999999977,29.52,14,70,297,0.2356902356902357
56051,0.23559999999999973,30.11,12,71,351,0.2022792022792023
59283,0.23039999999999972,29.85,12,72,365,0.19726027397260273
62398,0.24959999999999968,30.58,14,69,366,0.1885245901639344
65382,0.25729999999999964,31.6,15,69,401,0.17206982543640897
68613,0.23459999999999973,32.64,12,72,345,0.20869565217391303
71745,0.2603999999999997,32.32,17,60,359,0.1671309192200557
75107,0.3153999999999996,32.08,21,65,343,0.18950437317784258
78656,0.2343999999999997,29.55,13,69,326,0.2116564417177914
81852,0.3064999999999996,30.4,20,65,349,0.18624641833810887
84986,0.2183999999999999,30.99,16,56,302,0.18543046357615894
88262,0.30409999999999965,32.85,22,59,389,0.15167095115681234
91399,0.16729999999999975,31.85,8,68,350,0.19428571428571428
94653,0.2880999999999997,33.21,20,62,372,0.16666666666666666
97907,0.22329999999999967,33.27,14,63,368,0.17119565217391305
100995,0.23909999999999967,30.93,14,65,397,0.163727959697733
104085,0.2801999999999998,32.38,21,58,346,0.1676300578034682
107043,0.2768999999999997,31.14,19,61,345,0.17681159420289855
110451,0.2128999999999998,32.09,14,59,375,0.15733333333333333
113533,0.23189999999999966,32.07,16,60,387,0.15503875968992248
116885,0.2784999999999998,32.23,20,58,377,0.15384615384615385
120009,0.2518999999999997,31.94,17,60,361,0.16620498614958448
123091,0.18479999999999974,31.28,11,63,361,0.1745152354570637
126366,0.23549999999999965,34.34,17,57,410,0.13902439024390245
129648,0.1847999999999998,31.69,13,55,381,0.14435695538057744
133078,0.24339999999999967,32.18,17,58,397,0.14609571788413098
136124,0.2416999999999998,32.71,18,56,382,0.14659685863874344
139262,0.22979999999999984,31.72,15,60,369,0.16260162601626016
142732,0.25229999999999975,32.45,19,53,339,0.15634218289085547
145866,0.2248999999999997,34.13,14,63,440,0.1431818181818182
149122,0.2441999999999998,33.65,18,57,418,0.13636363636363635
152189,0.2890999999999998,34.97,25,47,454,0.10352422907488987
155538,0.3241999999999997,33.4,26,51,431,0.11832946635730858
158860,0.2640999999999998,34.22,21,49,466,0.10515021459227468
162160,0.22989999999999966,31.77,15,63,328,0.19207317073170732
165628,0.3278999999999998,32.52,27,51,326,0.15644171779141106
168972,0.2890999999999998,32.72,23,53,361,0.14681440443213298
172532,0.19879999999999975,34.69,14,58,436,0.13302752293577982
175808,0.2771999999999998,34.63,22,50,445,0.11235955056179775
178996,0.2440999999999997,31.67,18,54,372,0.14516129032258066
182384,0.26259999999999967,35.24,20,52,478,0.1087866108786611
185700,0.28309999999999974,35.09,23,51,438,0.11643835616438356
188775,0.24449999999999977,36.02,19,50,470,0.10638297872340426
192070,0.22219999999999984,34.35,19,47,439,0.1070615034168565
195183,0.26639999999999975,33.77,21,51,397,0.12846347607052896
198479,0.20199999999999985,37.23,18,45,507,0.08875739644970414
201774,0.2866999999999998,33.52,22,55,392,0.14030612244897958
204967,0.2611999999999998,34.55,23,45,450,0.1
208225,0.23489999999999978,35.62,17,54,450,0.12
211548,0.17069999999999982,35.81,18,37,452,0.08185840707964602
215119,0.22559999999999988,32.93,16,57,450,0.12666666666666668
218325,0.26759999999999984,34.0,24,42,503,0.08349900596421471
221752,0.2965999999999999,35.0,27,40,420,0.09523809523809523
225143,0.3174999999999997,35.21,26,49,472,0.1038135593220339
228465,0.2578999999999997,32.76,20,54,408,0.1323529411764706
231617,0.2564999999999999,35.84,22,43,507,0.08481262327416174
234754,0.2691999999999996,35.46,20,54,482,0.11203319502074689
238005,0.1855999999999999,35.72,16,45,492,0.09146341463414634
241374,0.2188999999999999,35.09,21,40,479,0.08350730688935282
244590,0.2573999999999998,37.12,23,41,493,0.08316430020283976
247759,0.23589999999999986,36.88,20,46,491,0.09368635437881874
251122,0.24349999999999988,37.25,23,41,483,0.08488612836438923
254557,0.23159999999999978,36.82,20,47,475,0.09894736842105263
257930,0.2745999999999998,34.83,25,40,457,0.087527352297593
261324,0.2263999999999999,37.81,23,31,491,0.06313645621181263
264616,0.2965999999999999,37.27,30,32,515,0.062135922330097085
267943,0.2962999999999998,38.35,28,37,535,0.0691588785046729
271113,0.23959999999999984,34.2,20,47,523,0.08986615678776291
274500,0.2622999999999998,35.63,25,40,428,0.09345794392523364
278008,0.2621999999999998,37.19,24,40,491,0.0814663951120163
281260,0.21989999999999987,37.92,21,38,529,0.07183364839319471
284356,0.29309999999999986,36.31,25,44,532,0.08270676691729323
287631,0.23889999999999975,36.17,21,43,511,0.08414872798434442
290977,0.3265999999999999,33.62,29,43,469,0.09168443496801706
293974,0.2797999999999998,34.92,25,41,516,0.07945736434108527
297236,0.20769999999999977,36.91,18,48,471,0.10191082802547771
300781,0.27839999999999976,37.86,25,42,529,0.07939508506616257
304141,0.20409999999999984,35.45,19,43,497,0.08651911468812877
307509,0.2350999999999997,37.74,22,42,507,0.08284023668639054
310849,0.3131999999999998,35.4,29,39,461,0.08459869848156182
314194,0.1981999999999998,38.2,20,36,476,0.07563025210084033
317524,0.31369999999999976,37.36,30,35,537,0.06517690875232775
320702,0.20299999999999982,38.18,19,41,529,0.07750472589792061
324151,0.30099999999999977,36.64,29,35,524,0.06679389312977099
327535,0.23909999999999978,36.51,19,50,545,0.09174311926605505
330985,0.2575999999999998,36.67,26,35,427,0.08196721311475409
334400,0.28709999999999986,37.71,27,37,538,0.0687732342007435
337712,0.20119999999999996,37.98,22,32,560,0.05714285714285714
341044,0.23959999999999984,37.88,23,37,541,0.06839186691312385
344273,0.2600999999999997,36.04,24,39,510,0.07647058823529412
