timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
23,0.009699999999999997,18.53,1,47,137,0.34306569343065696
3512,-0.007100000000000003,19.69,2,44,136,0.3235294117647059
7170,0.04770000000000005,20.13,6,44,146,0.3013698630136986
10486,0.07640000000000008,19.75,10,41,114,0.35964912280701755
13758,0.022499999999999992,19.34,4,44,140,0.3142857142857143
17012,0.031200000000000026,18.05,3,49,130,0.3769230769230769
20078,0.06160000000000006,20.49,7,47,145,0.32413793103448274
23440,0.04420000000000004,20.47,2,49,180,0.2722222222222222
26830,0.12489999999999984,18.57,9,53,149,0.35570469798657717
29920,0.009699999999999995,20.62,4,39,168,0.23214285714285715
33170,0.026799999999999994,21.15,3,44,178,0.24719101123595505
36414,0.02919999999999999,20.98,5,41,158,0.25949367088607594
39797,0.03620000000000002,21.19,4,45,153,0.29411764705882354
43179,0.04110000000000004,19.74,4,49,152,0.3223684210526316
46446,0.07460000000000004,18.5,6,50,163,0.3067484662576687
49580,0.05460000000000002,21.27,5,46,196,0.23469387755102042
52754,-0.011800000000000001,20.47,1,44,188,0.23404255319148937
56051,0.025800000000000035,19.69,3,48,185,0.2594594594594595
59283,0.08580000000000002,19.66,10,42,178,0.23595505617977527
62398,0.08650000000000004,22.61,8,46,209,0.22009569377990432
65382,0.057200000000000036,21.4,8,39,191,0.20418848167539266
68613,0.11379999999999985,21.4,12,44,175,0.25142857142857145
71745,0.05110000000000001,22.64,8,38,216,0.17592592592592593
75107,0.0436,21.56,6,37,177,0.20903954802259886
78656,0.0908,20.62,7,46,200,0.23
81852,0.06440000000000005,22.48,9,37,190,0.19473684210526315
84986,0.039400000000000025,20.6,7,38,150,0.25333333333333335
88262,0.0039999999999999905,21.36,5,35,164,0.21341463414634146
91399,-0.003600000000000004,20.6,6,27,141,0.19148936170212766
94653,0.10170000000000001,20.54,11,39,206,0.18932038834951456
97907,0.09429999999999994,22.75,8,46,205,0.22439024390243903
100995,0.07130000000000006,22.94,8,40,186,0.21505376344086022
104085,0.07090000000000005,21.46,10,37,191,0.193717277486911
107043,0.0013999999999999878,23.32,1,46,256,0.1796875
110451,0.07760000000000006,22.37,7,45,212,0.21226415094339623
113533,0.08470000000000001,22.75,7,44,261,0.1685823754789272
116885,0.1065,21.47,12,38,224,0.16964285714285715
120009,0.07410000000000007,21.91,7,46,191,0.24083769633507854
123091,0.12359999999999992,20.7,9,53,189,0.2804232804232804
126366,0.08230000000000004,21.85,10,36,216,0.16666666666666666
129648,-0.016600000000000007,21.31,5,29,196,0.14795918367346939
133078,0.10449999999999982,22.75,10,43,234,0.18376068376068377
136124,0.13459999999999991,22.29,12,46,220,0.20909090909090908
139262,0.06910000000000005,24.64,7,44,256,0.171875
142732,0.052000000000000046,22.19,6,41,183,0.22404371584699453
145866,0.15679999999999983,22.69,14,43,255,0.16862745098039217
149122,0.09739999999999986,22.52,7,50,203,0.24630541871921183
152189,0.045100000000000036,23.17,5,39,227,0.17180616740088106
155538,0.08670000000000004,24.03,7,47,251,0.18725099601593626
158860,0.08440000000000002,23.09,8,43,270,0.15925925925925927
162160,0.04590000000000001,23.84,6,39,243,0.16049382716049382
165628,0.050800000000000047,22.3,4,49,275,0.1781818181818182
168972,0.09110000000000001,24.34,8,44,253,0.17391304347826086
172532,0.07490000000000002,24.0,9,36,264,0.13636363636363635
175808,0.12809999999999994,24.66,11,45,263,0.17110266159695817
178996,0.07410000000000007,24.73,7,44,286,0.15384615384615385
182384,0.1435999999999999,22.99,14,41,221,0.18552036199095023
185700,0.10089999999999984,23.47,9,43,255,0.16862745098039217
188775,0.12679999999999994,24.48,15,32,282,0.11347517730496454
192070,0.10979999999999998,25.37,13,38,289,0.1314878892733564
195183,0.04690000000000007,22.92,5,40,244,0.16393442622950818
198479,0.10379999999999995,25.1,10,42,277,0.15162454873646208
201774,0.12119999999999996,24.41,9,50,291,0.1718213058419244
204967,0.11689999999999992,25.08,11,41,263,0.155893536121673
208225,0.10029999999999996,24.03,11,39,246,0.15853658536585366
211548,0.10460000000000003,24.95,10,42,241,0.17427385892116182
215119,0.10509999999999994,22.39,12,41,239,0.17154811715481172
218325,0.135,23.69,16,32,213,0.15023474178403756
221752,0.08810000000000005,24.72,11,37,261,0.1417624521072797
225143,0.15979999999999991,22.15,18,32,224,0.14285714285714285
228465,0.16639999999999996,23.96,18,38,227,0.16740088105726872
231617,0.11899999999999997,24.45,13,35,275,0.12727272727272726
234754,0.17919999999999994,23.32,18,36,226,0.1592920353982301
238005,0.12179999999999992,23.46,12,39,252,0.15476190476190477
241374,0.06510000000000002,25.08,9,39,279,0.13978494623655913
244590,0.12529999999999997,24.92,12,39,265,0.1471698113207547
247759,0.14399999999999988,25.34,16,34,312,0.10897435897435898
251122,0.11299999999999992,24.17,15,29,255,0.11372549019607843
254557,0.13719999999999988,24.56,15,38,254,0.14960629921259844
257930,0.11269999999999994,23.48,11,42,263,0.1596958174904943
261324,0.1555,25.75,16,35,302,0.11589403973509933
264616,0.13179999999999986,24.75,10,49,274,0.17883211678832117
267943,0.16469999999999993,24.9,18,34,303,0.11221122112211221
271113,0.13559999999999994,24.53,13,40,291,0.13745704467353953
274500,0.1374999999999999,23.77,13,42,288,0.14583333333333334
278008,0.10130000000000003,23.82,10,39,305,0.12786885245901639
281260,0.0860999999999999,24.0,9,41,265,0.15471698113207547
284356,0.09180000000000003,24.57,10,38,281,0.13523131672597866
287631,0.06050000000000006,22.82,9,33,226,0.14601769911504425
290977,0.1416,25.88,14,37,288,0.1284722222222222
293974,0.2006999999999998,23.91,19,39,313,0.12460063897763578
297236,0.08489999999999996,26.77,9,40,369,0.10840108401084012
300781,0.1695999999999999,25.27,16,40,294,0.1360544217687075
304141,0.14029999999999984,23.84,13,44,262,0.16793893129770993
307509,0.07189999999999999,25.13,9,37,298,0.12416107382550336
310849,0.08620000000000001,24.16,12,32,253,0.12648221343873517
314194,0.13229999999999997,24.71,17,27,269,0.10037174721189591
317524,0.14759999999999993,26.44,16,33,331,0.09969788519637462
320702,0.1214,25.32,15,29,268,0.10820895522388059
324151,0.15689999999999998,25.31,15,36,329,0.1094224924012158
327535,0.13019999999999995,25.8,17,28,302,0.09271523178807947
330985,0.11239999999999989,24.27,12,36,275,0.13090909090909092
334400,0.17689999999999986,25.42,18,33,294,0.11224489795918367
337712,0.12679999999999997,24.84,16,28,300,0.09333333333333334
341044,0.21949999999999975,27.16,21,36,372,0.0967741935483871
344273,0.132,25.72,16,28,294,0.09523809523809523
347619,0.14579999999999987,24.4,14,40,323,0.1238390092879257
350872,0.15369999999999992,26.33,17,35,353,0.09915014164305949
354302,0.1618999999999998,25.18,15,41,300,0.13666666666666666
357801,0.15049999999999988,24.6,17,32,288,0.1111111111111111
361381,0.1803999999999999,24.02,20,32,267,0.1198501872659176
364953,0.10950000000000001,24.1,10,42,250,0.168
368266,0.22419999999999987,26.5,22,33,339,0.09734513274336283
371551,0.1709999999999999,25.54,17,39,350,0.11142857142857143
374878,0.1561,23.88,19,30,271,0.11070110701107011
378253,0.16809999999999983,24.69,17,38,305,0.12459016393442623
381737,0.1252999999999999,25.86,14,36,360,0.1
385030,0.12059999999999996,25.98,13,36,322,0.11180124223602485
388360,0.19579999999999986,26.07,20,32,337,0.09495548961424333
391878,0.0831,24.78,11,34,308,0.11038961038961038
395262,0.11259999999999991,24.96,11,41,339,0.12094395280235988
398404,0.22309999999999985,25.81,21,36,334,0.10778443113772455
401999,0.15779999999999997,24.25,20,25,296,0.08445945945945946
405436,0.21119999999999986,26.66,20,37,348,0.10632183908045977
408939,0.07260000000000004,25.31,9,36,320,0.1125
412403,0.16349999999999998,24.77,22,21,289,0.0726643598615917
415541,0.16829999999999987,26.6,20,25,317,0.07886435331230283
418864,0.20679999999999993,24.99,21,32,308,0.1038961038961039
422016,0.22419999999999982,27.4,21,35,343,0.10204081632653061
425084,0.18839999999999993,25.81,22,25,346,0.07225433526011561
428274,0.10269999999999997,26.76,11,39,324,0.12037037037037036
431598,0.17269999999999988,25.18,20,28,373,0.07506702412868632
434993,0.1033,26.16,14,30,301,0.09966777408637874
438167,0.13240000000000002,24.78,18,26,313,0.08306709265175719
441518,0.18309999999999982,25.19,23,26,323,0.0804953560371517
444802,0.22429999999999992,27.45,24,26,368,0.07065217391304347
448081,0.15779999999999997,25.54,21,21,278,0.07553956834532374
451444,0.1475,26.33,17,31,379,0.08179419525065963
454778,0.18089999999999987,26.83,20,29,368,0.07880434782608696
458143,0.18119999999999986,25.41,21,25,359,0.06963788300835655
461515,0.1944,27.49,20,34,388,0.08762886597938144
464885,0.2743999999999998,26.26,27,34,341,0.09970674486803519
468300,0.19359999999999974,26.3,24,23,331,0.06948640483383686
471650,0.27819999999999995,25.17,30,26,310,0.08387096774193549
475114,0.21449999999999997,26.33,24,28,342,0.08187134502923976
478564,0.19829999999999987,26.12,24,25,369,0.06775067750677506
481947,0.2002999999999999,26.0,24,22,336,0.06547619047619048
485235,0.1561999999999999,27.02,20,24,353,0.0679886685552408
488826,0.20609999999999992,26.95,24,20,332,0.060240963855421686
491986,0.2186,27.31,26,23,369,0.06233062330623306
495507,0.17999999999999997,27.91,23,19,328,0.057926829268292686
498788,0.23749999999999993,26.63,30,15,328,0.04573170731707317
502169,0.1829999999999999,26.93,21,28,411,0.0681265206812652
505552,0.2507999999999999,27.14,29,23,343,0.06705539358600583
508749,0.15949999999999998,24.46,22,16,321,0.04984423676012461
511951,0.2769999999999999,26.88,28,31,362,0.0856353591160221
515137,0.2306999999999999,26.97,24,29,363,0.07988980716253444
518472,0.27159999999999984,27.61,30,23,310,0.07419354838709677
521808,0.13129999999999994,26.78,14,38,315,0.12063492063492064
525251,0.1530999999999999,26.58,19,28,344,0.08139534883720931
528898,0.12429999999999994,26.1,17,25,382,0.06544502617801047
532256,0.18329999999999985,27.29,23,22,367,0.05994550408719346
535678,0.24239999999999984,25.12,27,24,344,0.06976744186046512
538777,0.13059999999999997,24.83,19,20,311,0.06430868167202572
541911,0.21209999999999998,27.56,24,27,344,0.07848837209302326
545446,0.15889999999999996,25.98,22,17,323,0.05263157894736842
548416,0.3129999999999999,28.47,32,26,396,0.06565656565656566
551804,0.2401999999999999,26.55,25,31,340,0.09117647058823529
555172,0.2630999999999999,28.12,28,29,475,0.061052631578947365
558296,0.3048999999999999,26.47,32,26,338,0.07692307692307693
561650,0.16669999999999985,26.66,19,30,369,0.08130081300813008
564957,0.2135999999999999,26.59,27,17,382,0.04450261780104712
568335,0.23479999999999998,27.26,28,19,362,0.052486187845303865
571966,0.27419999999999994,26.26,31,19,323,0.058823529411764705
575207,0.2247,26.99,27,19,358,0.05307262569832402
578451,0.19379999999999992,28.04,23,23,375,0.06133333333333333
581897,0.228,26.72,28,18,363,0.049586776859504134
585256,0.28189999999999976,26.86,31,23,439,0.05239179954441914
