timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
23,-0.11420000000000004,14.06,1,27,76,0.35526315789473684
3512,-0.08269999999999998,17.09,2,26,87,0.2988505747126437
7170,-0.07050000000000001,15.96,2,29,107,0.27102803738317754
10486,-0.04369999999999998,15.13,7,25,64,0.390625
13758,-0.0776,17.04,2,22,108,0.2037037037037037
17012,-0.0842,14.55,2,27,81,0.3333333333333333
20078,-0.07919999999999999,15.94,5,22,83,0.26506024096385544
23440,-0.11510000000000005,15.64,4,16,79,0.20253164556962025
26830,-0.024099999999999996,15.11,8,21,100,0.21
29920,-0.09899999999999999,15.32,1,23,104,0.22115384615384615
33170,-0.11659999999999998,16.12,0,21,73,0.2876712328767123
36414,-0.09590000000000007,16.05,3,20,115,0.17391304347826086
39797,-0.11860000000000001,16.85,3,21,85,0.24705882352941178
43179,-0.08890000000000009,15.35,3,23,95,0.24210526315789474
46446,-0.09680000000000004,15.75,2,21,98,0.21428571428571427
49580,-0.08180000000000004,16.39,4,20,107,0.18691588785046728
52754,-0.1273,15.28,1,20,82,0.24390243902439024
56051,-0.1366,14.97,1,15,98,0.15306122448979592
59283,-0.1012,15.21,4,22,94,0.23404255319148937
62398,-0.11190000000000007,14.9,3,17,89,0.19101123595505617
65382,-0.13340000000000016,15.44,0,23,79,0.2911392405063291
68613,-0.1154,14.9,2,18,71,0.2535211267605634
71745,-0.08749999999999998,16.34,6,16,85,0.18823529411764706
75107,-0.11210000000000012,16.92,4,11,83,0.13253012048192772
78656,-0.10760000000000002,15.03,3,16,84,0.19047619047619047
81852,-0.10880000000000006,15.32,3,18,85,0.21176470588235294
84986,-0.13860000000000008,16.25,3,9,78,0.11538461538461539
88262,-0.14230000000000007,15.17,1,19,84,0.2261904761904762
91399,-0.14709999999999998,16.13,1,15,86,0.1744186046511628
94653,-0.10100000000000002,15.23,5,16,70,0.22857142857142856
97907,-0.11340000000000006,15.43,4,11,69,0.15942028985507245
100995,-0.08139999999999997,16.11,5,15,107,0.14018691588785046
