timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
23,-0.020400000000000005,16.34,5,35,73,0.4794520547945205
3346,-0.03980000000000001,16.47,0,43,80,0.5375
6570,0.018700000000000005,17.56,1,53,102,0.5196078431372549
10221,0.0013000000000000038,16.74,4,42,84,0.5
13438,0.025100000000000015,18.21,3,48,122,0.39344262295081966
16664,0.09469999999999992,17.9,6,57,149,0.3825503355704698
19769,0.0522,19.04,6,47,131,0.35877862595419846
23261,0.016900000000000012,18.31,3,47,118,0.3983050847457627
26395,0.07050000000000009,17.4,4,55,134,0.41044776119402987
29529,0.03130000000000003,18.38,4,43,125,0.344
32717,0.05330000000000004,17.75,3,54,129,0.4186046511627907
35779,0.036700000000000045,18.18,5,43,126,0.3412698412698413
39178,-0.0394,17.39,3,35,101,0.3465346534653465
42424,0.00899999999999999,17.25,1,50,126,0.3968253968253968
45529,0.043400000000000036,17.01,4,51,119,0.42857142857142855
48633,0.06260000000000007,18.69,6,44,118,0.3728813559322034
51784,0.013299999999999984,18.17,1,50,118,0.423728813559322
54876,0.09159999999999996,17.33,7,53,135,0.3925925925925926
57730,-0.01630000000000001,16.55,2,40,116,0.3448275862068966
60904,0.051800000000000034,19.04,5,47,119,0.3949579831932773
64008,0.06600000000000002,18.78,6,48,135,0.35555555555555557
67224,0.019499999999999993,18.42,5,45,136,0.33088235294117646
70381,0.04100000000000004,18.8,6,43,138,0.3115942028985507
73459,0.018199999999999997,20.48,2,45,150,0.3
76763,0.027000000000000014,17.96,6,38,129,0.29457364341085274
79823,0.023500000000000017,18.62,3,48,149,0.3221476510067114
82756,0.024799999999999992,17.75,4,43,132,0.32575757575757575
85780,0.035,19.7,7,39,136,0.2867647058823529
88902,0.05390000000000003,19.35,4,51,130,0.3923076923076923
92034,0.07980000000000001,19.16,9,40,167,0.23952095808383234
95164,0.09160000000000001,19.02,7,48,152,0.3157894736842105
98259,0.06540000000000004,19.81,9,37,174,0.21264367816091953
101465,0.10449999999999994,20.12,7,51,153,0.3333333333333333
104581,0.04760000000000009,18.15,3,53,122,0.4344262295081967
107793,0.002299999999999997,18.37,2,43,140,0.30714285714285716
110765,0.008400000000000008,18.28,3,42,131,0.32061068702290074
114211,0.04610000000000003,18.59,6,41,175,0.2342857142857143
117306,0.029799999999999997,17.87,8,33,125,0.264
120499,0.05850000000000005,20.75,7,41,169,0.24260355029585798
123569,0.044500000000000026,18.6,6,43,147,0.2925170068027211
126657,0.07199999999999995,19.91,7,49,139,0.35251798561151076
129731,0.012999999999999994,19.03,6,37,142,0.2605633802816901
132904,0.12279999999999992,18.91,7,58,185,0.31351351351351353
135920,0.04850000000000003,18.46,7,40,160,0.25
139086,0.013299999999999994,19.04,1,49,174,0.28160919540229884
142241,0.06900000000000002,18.73,5,48,185,0.2594594594594595
145561,0.04370000000000003,19.12,6,42,149,0.28187919463087246
148667,0.07040000000000005,19.68,9,41,158,0.25949367088607594
151758,0.02220000000000001,20.73,3,45,168,0.26785714285714285
155250,0.061100000000000064,18.94,8,42,154,0.2727272727272727
158567,0.08129999999999998,20.63,7,47,186,0.25268817204301075
161859,0.05060000000000006,20.12,5,45,178,0.25280898876404495
165221,0.06990000000000003,20.01,8,43,212,0.2028301886792453
168409,0.09099999999999996,21.06,5,56,233,0.24034334763948498
171558,0.08260000000000002,19.39,8,44,147,0.29931972789115646
174572,0.08780000000000002,20.12,7,49,165,0.296969696969697
177700,0.06080000000000006,19.62,8,40,190,0.21052631578947367
180896,0.012800000000000002,20.32,5,38,181,0.20994475138121546
183962,0.08820000000000006,19.58,10,40,149,0.2684563758389262
187090,0.04570000000000004,20.24,3,48,218,0.22018348623853212
190138,0.06210000000000002,19.82,7,43,174,0.2471264367816092
193162,0.08290000000000002,20.45,8,45,202,0.22277227722772278
196412,0.07499999999999997,20.81,4,52,181,0.287292817679558
199502,0.11869999999999989,19.77,11,43,168,0.25595238095238093
202588,0.02600000000000001,19.84,4,42,206,0.20388349514563106
205794,0.05410000000000004,19.02,5,46,198,0.23232323232323232
209042,0.07590000000000006,20.95,5,53,185,0.2864864864864865
212224,0.01979999999999999,20.85,5,36,171,0.21052631578947367
215429,0.09940000000000002,19.67,10,41,185,0.22162162162162163
218622,0.06740000000000002,19.52,6,47,171,0.27485380116959063
221701,0.10969999999999994,19.97,10,44,163,0.26993865030674846
224822,0.07350000000000002,21.59,11,34,196,0.17346938775510204
227674,0.05430000000000004,20.11,5,43,220,0.19545454545454546
230904,0.09650000000000002,21.95,11,38,223,0.17040358744394618
234064,0.06810000000000008,19.93,7,46,185,0.24864864864864866
237150,0.033699999999999994,20.51,7,39,184,0.21195652173913043
240285,0.07490000000000004,20.26,8,40,220,0.18181818181818182
243482,0.08030000000000005,20.41,8,40,201,0.19900497512437812
246698,0.06280000000000008,20.27,4,51,202,0.2524752475247525
249872,0.09440000000000001,20.51,8,46,188,0.24468085106382978
253182,0.10700000000000004,19.87,12,36,151,0.23841059602649006
256348,0.0828,21.3,9,44,194,0.2268041237113402
259570,0.12099999999999987,21.68,12,41,198,0.20707070707070707
262624,0.021100000000000004,20.53,5,38,191,0.19895287958115182
265922,0.05659999999999999,20.64,9,29,203,0.14285714285714285
269289,0.10719999999999995,20.12,12,39,172,0.22674418604651161
272513,0.036500000000000005,20.26,4,43,193,0.22279792746113988
275892,0.09679999999999998,19.6,7,51,181,0.281767955801105
279089,0.09259999999999995,22.6,7,47,252,0.1865079365079365
282350,0.048400000000000054,20.45,6,36,235,0.15319148936170213
285463,0.11379999999999985,21.84,9,45,227,0.19823788546255505
288662,-8.881784197001253e-18,20.39,2,38,186,0.20430107526881722
292144,0.12539999999999984,21.32,8,52,254,0.2047244094488189
295411,0.05990000000000004,19.8,8,38,197,0.19289340101522842
298460,0.10930000000000006,23.35,10,40,264,0.15151515151515152
301775,0.10859999999999984,20.23,9,45,206,0.21844660194174756
304913,0.04540000000000004,21.75,5,44,191,0.23036649214659685
307989,0.10039999999999993,21.22,8,48,214,0.22429906542056074
311178,0.047499999999999994,21.15,8,40,194,0.20618556701030927
314461,0.07710000000000002,21.18,7,45,212,0.21226415094339623
317763,0.07190000000000002,21.65,9,40,208,0.19230769230769232
321206,0.0984,22.09,10,42,261,0.16091954022988506
324331,0.008400000000000005,18.58,4,42,179,0.2346368715083799
327485,0.005899999999999994,22.05,4,37,203,0.18226600985221675
330804,0.08580000000000002,21.66,10,37,190,0.19473684210526315
334022,0.09390000000000003,20.19,10,41,241,0.17012448132780084
337094,0.14279999999999987,22.24,14,40,226,0.17699115044247787
340210,0.06720000000000007,22.19,7,40,259,0.15444015444015444
343547,0.05110000000000004,21.81,6,41,215,0.19069767441860466
346812,0.04090000000000002,20.18,6,38,202,0.18811881188118812
350234,0.15759999999999985,23.87,15,40,271,0.14760147601476015
353670,0.05820000000000003,22.5,5,47,257,0.1828793774319066
356664,0.05440000000000004,19.78,8,35,197,0.17766497461928935
360128,0.11809999999999989,22.27,9,46,260,0.17692307692307693
363382,0.09070000000000004,21.51,8,43,260,0.16538461538461538
366500,0.1041999999999999,21.17,10,40,219,0.182648401826484
369962,0.08990000000000005,21.64,8,43,211,0.2037914691943128
373142,0.18929999999999983,23.31,14,52,267,0.1947565543071161
376195,0.0951999999999999,21.51,11,35,214,0.16355140186915887
379543,0.035900000000000015,21.78,7,34,219,0.1552511415525114
382807,0.04560000000000006,21.44,6,40,220,0.18181818181818182
385925,0.11689999999999999,21.08,13,38,225,0.1688888888888889
389160,0.08860000000000005,21.33,9,41,211,0.1943127962085308
392294,0.03240000000000003,20.43,6,41,167,0.24550898203592814
395612,0.09140000000000001,20.1,8,43,211,0.2037914691943128
398818,0.06760000000000005,22.25,8,39,227,0.17180616740088106
401858,0.08239999999999999,21.28,10,39,236,0.1652542372881356
405036,0.03390000000000001,23.46,2,46,305,0.15081967213114755
408166,0.09500000000000006,21.83,10,38,295,0.1288135593220339
411446,0.1324999999999999,21.59,10,50,229,0.2183406113537118
414644,0.13339999999999988,20.27,12,45,215,0.20930232558139536
417853,0.09529999999999994,21.53,10,41,227,0.18061674008810572
421309,0.07120000000000007,22.51,9,36,250,0.144
424305,0.06810000000000001,21.02,8,38,177,0.21468926553672316
427759,0.04400000000000004,21.55,8,31,210,0.14761904761904762
430998,0.031700000000000006,22.59,8,30,244,0.12295081967213115
434034,0.12299999999999991,23.58,12,40,257,0.1556420233463035
437117,0.14349999999999985,21.18,11,50,277,0.18050541516245489
440557,0.07730000000000006,20.15,11,35,197,0.17766497461928935
443742,0.09939999999999996,21.85,9,42,237,0.17721518987341772
447104,0.06670000000000004,21.51,8,40,214,0.18691588785046728
450448,0.0174,22.49,5,34,224,0.15178571428571427
453559,0.11719999999999997,21.88,10,44,214,0.205607476635514
456824,0.09619999999999995,21.72,12,34,226,0.1504424778761062
460268,0.046600000000000044,22.56,9,31,210,0.14761904761904762
463483,0.03700000000000004,21.79,8,37,225,0.16444444444444445
466725,0.0802,21.92,9,35,218,0.16055045871559634
470049,0.04640000000000005,21.75,9,32,200,0.16
473448,0.1607,22.09,18,33,217,0.15207373271889402
476382,0.04969999999999999,21.83,10,31,190,0.1631578947368421
479478,0.13719999999999996,24.09,10,48,251,0.19123505976095617
482708,0.12479999999999988,21.12,14,34,228,0.14912280701754385
485998,0.055500000000000035,21.91,6,44,308,0.14285714285714285
489176,0.058200000000000036,20.98,9,32,233,0.13733905579399142
492263,0.09590000000000005,23.01,10,39,273,0.14285714285714285
495584,0.06760000000000005,21.61,10,35,228,0.15350877192982457
498807,0.14079999999999993,21.74,14,38,225,0.1688888888888889
502055,0.09440000000000001,22.37,12,36,273,0.13186813186813187
505343,0.1307999999999999,21.76,14,39,223,0.17488789237668162
508639,0.0828999999999999,22.28,11,32,225,0.14222222222222222
512071,0.13589999999999988,20.32,17,32,217,0.14746543778801843
515342,0.14979999999999982,22.32,16,35,235,0.14893617021276595
518651,0.08960000000000001,23.39,8,43,287,0.14982578397212543
521907,0.06370000000000003,22.95,7,42,274,0.15328467153284672
525026,0.10889999999999994,22.0,11,38,259,0.14671814671814673
528407,0.1522999999999999,22.75,14,42,248,0.1693548387096774
531305,0.12259999999999995,22.54,14,36,202,0.1782178217821782
534523,0.11039999999999997,23.76,12,37,265,0.13962264150943396
537573,0.10109999999999993,21.6,11,38,193,0.19689119170984457
540787,0.08690000000000003,21.42,14,28,194,0.14432989690721648
543851,0.10509999999999999,21.79,12,36,206,0.17475728155339806
547117,0.11989999999999996,22.03,14,37,221,0.167420814479638
550389,0.11849999999999992,21.49,10,46,273,0.1684981684981685
553851,0.06580000000000004,21.95,8,40,237,0.16877637130801687
557216,0.07240000000000005,20.81,10,38,202,0.18811881188118812
560479,0.14699999999999983,23.52,14,41,292,0.1404109589041096
563868,0.07349999999999998,22.07,9,36,248,0.14516129032258066
567203,0.11049999999999992,23.69,11,39,281,0.1387900355871886
570658,0.11199999999999996,22.54,9,48,291,0.16494845360824742
574153,0.07480000000000003,23.71,7,41,249,0.1646586345381526
577496,0.07550000000000005,21.72,8,39,227,0.17180616740088106
580592,0.11029999999999987,21.87,11,43,291,0.14776632302405499
583733,0.13339999999999988,22.48,14,37,250,0.148
586876,0.14589999999999984,23.78,13,43,238,0.18067226890756302
589928,0.1629999999999999,23.84,15,39,276,0.14130434782608695
593123,0.13169999999999993,22.01,13,43,247,0.17408906882591094
596325,0.12569999999999998,23.97,14,36,268,0.13432835820895522
599521,0.0958,22.72,10,39,227,0.17180616740088106
