timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
23,0.2254999999999996,22.44,4,94,148,0.6351351351351351
3443,0.21079999999999965,21.51,3,95,180,0.5277777777777778
6789,0.2594999999999996,21.42,9,88,169,0.5207100591715976
10033,0.23229999999999953,23.08,8,84,179,0.4692737430167598
13307,0.22929999999999967,22.61,6,89,182,0.489010989010989
16685,0.21639999999999965,21.75,4,92,149,0.6174496644295302
19695,0.2130999999999997,23.84,5,87,173,0.5028901734104047
22996,0.19269999999999965,22.52,2,91,239,0.3807531380753138
26279,0.24429999999999968,22.42,8,87,182,0.47802197802197804
29219,0.21169999999999967,23.66,4,91,198,0.4595959595959596
32213,0.22649999999999962,22.5,7,85,182,0.46703296703296704
35111,0.22329999999999958,23.53,5,91,182,0.5
38231,0.2376999999999996,24.55,7,88,202,0.43564356435643564
41497,0.26039999999999963,23.51,11,82,197,0.41624365482233505
44439,0.23349999999999962,23.87,6,90,225,0.4
47226,0.26979999999999954,23.53,11,84,199,0.4221105527638191
50228,0.2266999999999997,24.52,7,84,186,0.45161290322580644
53280,0.23019999999999968,24.01,7,85,244,0.3483606557377049
56186,0.22749999999999976,23.89,8,83,214,0.3878504672897196
59000,0.21689999999999965,23.16,6,86,179,0.48044692737430167
62024,0.21449999999999964,24.12,5,89,227,0.3920704845814978
65129,0.2815999999999995,24.03,13,81,192,0.421875
68010,0.2117999999999996,24.34,4,90,196,0.45918367346938777
71068,0.23189999999999972,24.84,8,85,230,0.3695652173913043
74380,0.23699999999999963,21.49,5,94,226,0.415929203539823
77302,0.2018999999999997,26.12,6,83,210,0.3952380952380952
80519,0.20989999999999967,25.39,6,84,220,0.38181818181818183
83407,0.19929999999999967,23.05,3,90,222,0.40540540540540543
86349,0.21439999999999965,22.87,3,95,207,0.45893719806763283
89367,0.2321999999999996,24.43,7,87,194,0.4484536082474227
92393,0.2374999999999996,23.47,8,85,222,0.38288288288288286
95397,0.25609999999999966,23.65,11,80,207,0.3864734299516908
98415,0.2374999999999997,25.08,10,80,241,0.33195020746887965
101379,0.22699999999999965,25.11,7,85,245,0.3469387755102041
104541,0.1929999999999997,24.29,4,87,230,0.3782608695652174
107425,0.22819999999999968,24.11,7,86,199,0.4321608040201005
110555,0.2477999999999997,23.63,9,84,233,0.3605150214592275
113523,0.2824999999999997,25.06,13,81,216,0.375
116593,0.21579999999999966,25.73,8,82,228,0.35964912280701755
119557,0.2932999999999996,25.98,13,84,224,0.375
122587,0.24419999999999964,24.35,8,87,227,0.3832599118942731
125761,0.24339999999999962,25.59,10,81,208,0.3894230769230769
128674,0.21849999999999967,24.99,5,90,196,0.45918367346938777
131808,0.25409999999999966,23.64,9,85,223,0.3811659192825112
134925,0.27099999999999963,23.49,11,84,248,0.3387096774193548
138027,0.20429999999999965,25.24,6,82,213,0.38497652582159625
141189,0.28009999999999957,24.6,14,78,225,0.3466666666666667
144159,0.2618999999999995,25.61,10,85,226,0.37610619469026546
147209,0.25719999999999965,25.84,11,81,231,0.35064935064935066
150271,0.2274999999999997,23.36,8,83,205,0.40487804878048783
153519,0.29889999999999967,26.29,16,76,279,0.2724014336917563
156707,0.2673999999999996,25.14,11,84,281,0.298932384341637
159675,0.24089999999999964,26.24,10,80,262,0.3053435114503817
162811,0.2633999999999997,25.25,11,82,234,0.3504273504273504
165572,0.23509999999999967,24.43,9,80,255,0.3137254901960784
168582,0.2574999999999996,25.21,11,80,292,0.273972602739726
171669,0.25199999999999967,25.46,11,80,228,0.3508771929824561
174623,0.2043999999999997,27.37,9,73,224,0.32589285714285715
177531,0.2409999999999997,26.06,9,83,236,0.3516949152542373
180625,0.20529999999999984,25.85,9,73,256,0.28515625
183929,0.23599999999999977,24.61,11,77,232,0.33189655172413796
186917,0.1989999999999997,27.05,7,79,282,0.2801418439716312
189924,0.24389999999999973,27.64,12,72,286,0.2517482517482518
192781,0.2290999999999996,24.87,8,83,230,0.36086956521739133
196081,0.21279999999999968,27.73,7,82,232,0.35344827586206895
199111,0.22689999999999974,26.89,8,81,284,0.2852112676056338
202274,0.23669999999999974,23.77,11,76,256,0.296875
205248,0.23799999999999966,25.22,9,81,275,0.29454545454545455
208270,0.22129999999999977,25.34,7,83,245,0.33877551020408164
211446,0.23219999999999963,25.25,9,81,248,0.32661290322580644
214532,0.26159999999999967,25.3,12,79,237,0.3333333333333333
217520,0.28829999999999967,26.5,15,76,280,0.2714285714285714
220468,0.20869999999999966,27.38,7,81,279,0.2903225806451613
223390,0.19009999999999966,28.12,6,79,316,0.25
226524,0.27339999999999964,23.85,13,79,287,0.27526132404181186
229494,0.27399999999999963,27.46,13,79,301,0.26245847176079734
232577,0.2602999999999997,27.83,13,75,291,0.25773195876288657
235615,0.23629999999999968,29.01,11,74,336,0.22023809523809523
238823,0.28999999999999965,27.94,17,71,327,0.21712538226299694
242034,0.21969999999999965,26.07,8,79,340,0.2323529411764706
245242,0.2509999999999996,25.39,10,81,301,0.2691029900332226
248282,0.26939999999999964,28.39,12,80,311,0.2572347266881029
251632,0.2178999999999997,25.11,8,81,267,0.30337078651685395
254652,0.2074999999999997,26.94,9,75,289,0.25951557093425603
257865,0.17159999999999975,28.85,6,75,322,0.2329192546583851
261314,0.23959999999999965,27.79,12,74,322,0.22981366459627328
264427,0.2318999999999997,27.62,10,77,318,0.24213836477987422
267607,0.28859999999999963,26.97,15,76,290,0.2620689655172414
270594,0.23329999999999962,26.77,10,76,326,0.2331288343558282
273798,0.2901999999999996,26.04,16,74,243,0.3045267489711934
276868,0.2612999999999996,26.48,11,82,301,0.2724252491694352
279914,0.24719999999999964,25.95,11,77,289,0.2664359861591695
283198,0.28449999999999964,26.52,16,71,310,0.22903225806451613
286505,0.27889999999999976,29.71,17,69,347,0.1988472622478386
289699,0.24229999999999968,27.7,13,71,307,0.23127035830618892
292928,0.2528999999999995,25.94,11,79,279,0.2831541218637993
296020,0.19439999999999963,30.35,8,72,394,0.18274111675126903
298995,0.2728999999999996,27.6,14,74,332,0.22289156626506024
302015,0.29509999999999975,27.18,18,69,315,0.21904761904761905
305249,0.22609999999999972,27.28,9,78,335,0.23283582089552238
308195,0.21489999999999973,26.23,9,75,355,0.2112676056338028
311525,0.24829999999999966,28.09,14,69,359,0.19220055710306408
314555,0.2280999999999997,27.71,10,75,358,0.20949720670391062
317775,0.2741999999999996,28.3,16,70,323,0.21671826625386997
321009,0.2529999999999998,29.7,14,69,309,0.22330097087378642
324033,0.28379999999999966,28.38,18,66,367,0.17983651226158037
327191,0.25049999999999967,27.66,12,75,368,0.20380434782608695
330222,0.23039999999999966,28.89,11,74,353,0.2096317280453258
333412,0.2640999999999998,29.25,18,64,338,0.1893491124260355
336675,0.2266999999999997,27.14,9,78,308,0.2532467532467532
339912,0.27349999999999963,28.99,14,75,338,0.22189349112426035
343169,0.25079999999999963,25.47,13,74,290,0.25517241379310346
346242,0.20779999999999973,27.4,9,74,355,0.2084507042253521
349578,0.22839999999999974,28.63,12,68,363,0.18732782369146006
352648,0.29749999999999965,26.67,19,67,320,0.209375
355694,0.2511999999999997,26.72,12,77,288,0.2673611111111111
358934,0.2069999999999997,29.34,9,73,397,0.18387909319899245
362066,0.2960999999999997,27.31,19,67,318,0.21069182389937108
365243,0.25459999999999977,31.36,17,61,428,0.1425233644859813
368424,0.2939999999999996,27.38,18,68,302,0.2251655629139073
371616,0.24719999999999975,29.83,16,64,311,0.2057877813504823
374776,0.26579999999999965,28.94,15,69,347,0.1988472622478386
377864,0.23029999999999975,30.33,13,65,357,0.18207282913165265
381167,0.29219999999999974,30.5,19,64,393,0.1628498727735369
384383,0.2730999999999997,27.81,14,75,330,0.22727272727272727
387769,0.24289999999999975,30.19,16,61,343,0.17784256559766765
390851,0.2691999999999997,31.09,16,68,407,0.16707616707616707
394111,0.21309999999999985,29.49,12,65,397,0.163727959697733
397181,0.2677999999999997,31.94,18,63,393,0.16030534351145037
400227,0.20989999999999978,29.4,13,62,313,0.19808306709265175
403441,0.2644999999999996,27.71,14,74,388,0.19072164948453607
406553,0.2559999999999997,27.92,13,73,370,0.1972972972972973
409775,0.21629999999999983,28.38,10,73,362,0.20165745856353592
412882,0.2851999999999996,28.63,18,65,387,0.16795865633074936
416144,0.3476999999999999,27.06,24,64,314,0.20382165605095542
419265,0.24569999999999972,29.29,14,69,348,0.19827586206896552
422301,0.2273999999999998,27.55,10,76,293,0.2593856655290102
425325,0.19699999999999965,30.4,9,72,360,0.2
428539,0.24949999999999964,30.54,14,70,391,0.17902813299232737
431607,0.2361999999999998,29.67,12,72,408,0.17647058823529413
434706,0.2730999999999997,28.14,14,75,352,0.21306818181818182
438117,0.2091999999999997,30.88,12,65,364,0.17857142857142858
441253,0.22479999999999975,29.44,12,69,346,0.1994219653179191
444553,0.2894999999999997,27.42,16,73,338,0.21597633136094674
447973,0.2504999999999998,28.56,15,65,351,0.18518518518518517
451081,0.2758999999999997,28.89,16,71,353,0.20113314447592068
454451,0.2808999999999997,29.54,17,68,401,0.16957605985037408
457523,0.26629999999999976,28.62,16,67,410,0.16341463414634147
460840,0.2622999999999998,26.72,14,73,345,0.21159420289855072
463782,0.30109999999999976,30.09,21,60,332,0.18072289156626506
466986,0.3131999999999997,28.59,19,71,355,0.2
470064,0.22109999999999969,27.98,10,73,345,0.21159420289855072
473362,0.3019999999999997,29.23,18,72,373,0.19302949061662197
476496,0.2556999999999997,28.91,13,74,391,0.18925831202046037
479380,0.2569999999999998,28.32,16,64,327,0.19571865443425077
482575,0.2512999999999998,32.33,18,57,415,0.13734939759036144
485647,0.2758999999999997,28.57,18,67,356,0.18820224719101122
488767,0.3332999999999997,30.85,23,63,372,0.1693548387096774
491913,0.25969999999999965,27.87,13,75,379,0.19788918205804748
495058,0.24579999999999974,30.67,16,62,404,0.15346534653465346
498406,0.2270999999999998,31.47,14,62,420,0.14761904761904762
501740,0.23449999999999974,29.93,12,70,407,0.171990171990172
504834,0.22789999999999977,29.68,13,65,405,0.16049382716049382
508174,0.26909999999999973,29.93,19,61,405,0.1506172839506173
511188,0.3001999999999998,29.07,20,64,381,0.1679790026246719
514449,0.24349999999999988,30.75,15,63,415,0.15180722891566265
517272,0.27879999999999966,29.66,18,63,393,0.16030534351145037
520452,0.2410999999999997,27.79,14,68,361,0.1883656509695291
523758,0.23439999999999978,31.47,16,58,383,0.1514360313315927
526758,0.29229999999999967,28.33,17,70,340,0.20588235294117646
529832,0.3123999999999997,30.59,22,60,371,0.16172506738544473
532909,0.2993999999999997,30.73,21,61,423,0.14420803782505912
536057,0.25489999999999974,29.91,17,62,316,0.1962025316455696
539414,0.22409999999999974,28.17,12,69,369,0.18699186991869918
542585,0.28269999999999973,30.99,18,66,424,0.15566037735849056
545949,0.2822999999999998,28.36,19,61,336,0.18154761904761904
549159,0.29539999999999966,30.65,20,63,380,0.16578947368421051
552220,0.23049999999999987,29.77,14,65,356,0.18258426966292135
555661,0.2884999999999997,27.62,16,73,373,0.19571045576407506
559196,0.2949999999999997,29.56,18,68,331,0.2054380664652568
562536,0.26529999999999965,29.21,17,65,403,0.16129032258064516
565518,0.24009999999999962,29.04,14,69,380,0.18157894736842106
568560,0.2813999999999997,30.63,21,54,401,0.13466334164588528
571865,0.27119999999999966,29.9,15,72,373,0.19302949061662197
574947,0.29759999999999975,27.09,20,65,339,0.19174041297935104
577903,0.2769999999999997,26.9,16,69,375,0.184
580955,0.2844999999999997,28.73,17,68,365,0.1863013698630137
584146,0.2326999999999997,31.42,14,65,342,0.19005847953216373
587230,0.27499999999999974,31.28,20,58,473,0.1226215644820296
590302,0.23699999999999977,31.92,17,56,403,0.13895781637717122
593406,0.2664999999999998,29.82,17,66,356,0.1853932584269663
596600,0.2699999999999998,30.09,21,53,452,0.1172566371681416
599974,0.3197999999999998,30.83,23,60,411,0.145985401459854
603326,0.27139999999999975,31.95,20,56,448,0.125
606492,0.23279999999999978,31.26,14,64,397,0.16120906801007556
609626,0.24549999999999983,30.46,17,58,378,0.15343915343915343
612913,0.23229999999999967,30.61,12,69,405,0.17037037037037037
616267,0.20309999999999967,31.38,12,62,430,0.14418604651162792
619449,0.21379999999999974,29.93,13,63,372,0.1693548387096774
622541,0.20929999999999974,32.37,14,60,449,0.133630289532294
