timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
23,-0.07559999999999997,13.96,2,36,56,0.6428571428571429
3443,-0.024900000000000002,15.49,1,43,68,0.6323529411764706
6789,-0.0446,14.98,3,38,54,0.7037037037037037
10033,-0.0781,14.33,3,29,51,0.5686274509803921
13307,-0.02239999999999998,15.38,2,39,73,0.5342465753424658
16685,-0.07080000000000002,14.25,1,31,66,0.4696969696969697
19695,-0.01170000000000001,15.56,3,42,81,0.5185185185185185
22996,-0.05889999999999997,14.4,0,40,74,0.5405405405405406
26279,0.0142,15.01,5,42,82,0.5121951219512195
29219,-0.07939999999999998,14.12,0,37,56,0.6607142857142857
32213,-0.06820000000000001,14.32,2,30,59,0.5084745762711864
35111,-0.08649999999999998,14.83,0,32,62,0.5161290322580645
38231,-0.1404,15.29,1,20,38,0.5263157894736842
41497,-0.04329999999999998,14.75,4,33,55,0.6
44439,-0.054099999999999974,14.13,1,38,81,0.4691358024691358
47226,-0.0738,15.19,2,30,61,0.4918032786885246
50228,-0.06699999999999996,14.74,2,36,60,0.6
53280,-0.017600000000000005,14.37,5,36,67,0.5373134328358209
56186,-0.0808,14.27,1,33,78,0.4230769230769231
59000,-0.02409999999999996,14.44,2,42,69,0.6086956521739131
62024,-0.06909999999999998,14.7,1,35,59,0.5932203389830508
65129,-0.08559999999999997,14.38,0,38,76,0.5
68010,-0.048999999999999995,15.26,2,37,73,0.5068493150684932
71068,-0.08159999999999998,16.0,1,31,73,0.4246575342465753
74380,-0.08259999999999997,14.27,2,28,59,0.4745762711864407
77302,-0.046199999999999984,14.64,1,37,67,0.5522388059701493
80519,-0.038599999999999995,14.85,4,38,72,0.5277777777777778
83407,-0.09930000000000003,13.87,2,27,54,0.5
86349,-0.05529999999999996,14.77,2,37,75,0.49333333333333335
89367,-0.05359999999999996,14.11,5,32,70,0.45714285714285713
92393,-0.05709999999999999,14.51,4,27,63,0.42857142857142855
95397,-0.05019999999999994,14.81,2,34,78,0.4358974358974359
98415,-0.10000000000000003,14.46,2,24,58,0.41379310344827586
101379,-0.0212,14.44,3,39,78,0.5
