timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
23,0.21609999999999968,29.69,8,79,200,0.395
3408,0.45110000000000045,55.86,35,56,459,0.12200435729847495
6898,0.3265999999999999,57.2,37,15,495,0.030303030303030304
10558,-0.2630000000000001,79.46,5,0,221,0.0
13954,0.18699999999999986,59.05,22,44,123,0.35772357723577236
17422,0.0717000000000001,62.47,18,39,120,0.325
20602,-0.07579999999999999,64.73,15,22,72,0.3055555555555556
24040,-0.09860000000000003,54.15,15,19,85,0.2235294117647059
27228,-0.29040000000000005,49.14,6,14,52,0.2692307692307692
30642,-0.3691000000000002,49.93,6,6,49,0.12244897959183673
33918,-0.22829999999999995,51.71,10,12,54,0.2222222222222222
37291,-0.34059999999999996,50.2,6,5,47,0.10638297872340426
40583,-0.3924999999999998,50.96,0,9,46,0.1956521739130435
43649,-0.4029,50.11,1,4,48,0.08333333333333333
47077,-0.21329999999999993,85.92,6,0,201,0.0
50517,-0.39379999999999993,56.85,1,0,81,0.0
53761,-0.5188999999999997,53.65,1,0,27,0.0
57303,-0.5353999999999999,54.64,0,0,27,0.0
60765,-0.5205999999999998,54.97,2,0,29,0.0
63999,-0.43060000000000004,54.55,1,0,59,0.0
67269,-0.3865,57.04,2,0,58,0.0
70672,-0.38549999999999995,52.86,1,0,75,0.0
74032,-0.4185000000000002,51.58,1,0,47,0.0
77326,-0.3906,53.11,2,0,55,0.0
80630,-0.40020000000000006,52.95,1,0,46,0.0
84006,-0.3459000000000001,49.07,4,0,53,0.0
87488,-0.33529999999999993,65.53,3,0,93,0.0
90964,-0.42319999999999974,62.58,1,0,81,0.0
94048,-0.37910000000000005,54.03,4,0,64,0.0
97496,-0.47160000000000024,66.97,2,0,28,0.0
100744,-0.4496999999999998,56.13,1,0,31,0.0
104260,-0.3861999999999998,62.93,3,0,51,0.0
107600,-0.3684000000000001,62.55,2,0,57,0.0
111010,-0.47150000000000003,64.4,0,0,25,0.0
114554,-0.5179,72.39,0,0,34,0.0
117748,-0.40399999999999997,89.4,1,0,60,0.0
120904,-0.5190999999999998,58.54,0,0,17,0.0
124208,-0.4607,54.93,0,0,44,0.0
127598,-0.3560000000000002,68.86,3,0,90,0.0
130988,-0.4516000000000001,73.83,2,0,54,0.0
134088,-0.4674999999999999,67.48,3,0,20,0.0
137424,-0.5312000000000001,68.24,3,0,35,0.0
140846,-0.5062999999999999,73.36,1,0,34,0.0
144002,-0.5273000000000002,60.11,1,0,27,0.0
147546,-0.5011000000000001,51.37,1,0,20,0.0
150972,-0.4503000000000001,51.42,0,0,32,0.0
154322,-0.5004,59.31,2,0,26,0.0
157358,-0.5734,47.47,1,0,17,0.0
160646,-0.474,84.42,0,0,39,0.0
164234,-0.3581000000000001,69.3,2,0,112,0.0
167740,-0.46580000000000005,81.43,0,0,42,0.0
171044,-0.44579999999999975,47.64,0,0,33,0.0
174534,-0.4183,57.99,0,0,41,0.0
178052,-0.4570000000000001,50.32,0,0,26,0.0
181424,-0.5018,55.09,2,0,28,0.0
184892,-0.5324000000000001,48.42,0,0,19,0.0
188248,-0.49969999999999976,67.86,0,0,27,0.0
191576,-0.5424,46.96,1,0,7,0.0
194770,-0.5569,78.0,0,0,23,0.0
198066,-0.5053999999999998,57.21,2,0,29,0.0
201514,-0.5399999999999998,87.4,0,0,25,0.0
204880,-0.5478000000000001,46.52,0,0,31,0.0
208216,-0.5537000000000003,45.24,1,0,17,0.0
211644,-0.5378000000000002,43.31,1,0,5,0.0
215278,-0.5182999999999999,77.55,0,0,27,0.0
218870,-0.5293999999999996,47.85,1,0,11,0.0
222311,-0.5690999999999999,46.57,0,0,2,0.0
225767,-0.49330000000000007,64.17,1,0,18,0.0
229213,-0.5473,45.91,1,0,19,0.0
232577,-0.5465000000000001,53.37,0,0,27,0.0
236233,-0.5341999999999998,44.92,2,0,5,0.0
239379,-0.5178,60.13,1,0,32,0.0
242823,-0.5632,49.49,1,0,17,0.0
246295,-0.4968000000000002,88.4,0,0,42,0.0
249541,-0.4927000000000001,84.79,2,0,47,0.0
252803,-0.5050999999999999,71.27,0,0,24,0.0
256093,-0.5355,68.01,0,0,15,0.0
259389,-0.4082999999999999,77.61,4,0,46,0.0
262675,-0.5657,44.46,0,0,11,0.0
266111,-0.5643,57.39,0,0,14,0.0
269379,-0.47679999999999995,54.54,1,0,42,0.0
272649,-0.4723999999999999,44.98,0,0,30,0.0
275911,-0.541,77.69,0,0,25,0.0
279275,-0.4899,63.9,1,0,38,0.0
282687,-0.49220000000000025,47.8,0,0,37,0.0
286157,-0.4832,81.57,0,0,56,0.0
289533,-0.5571,46.99,0,0,14,0.0
292607,-0.5213000000000001,47.96,0,0,15,0.0
295911,-0.5583,44.66,1,0,14,0.0
299398,-0.4971,66.6,1,0,30,0.0
302795,-0.5641000000000002,53.64,0,0,18,0.0
306167,-0.5202000000000001,72.38,1,0,12,0.0
309505,-0.45879999999999993,83.59,1,0,62,0.0
313025,-0.5586999999999999,62.46,0,0,21,0.0
316613,-0.5095999999999998,46.66,0,0,33,0.0
320143,-0.4439000000000001,47.66,0,0,56,0.0
323495,-0.45929999999999993,70.68,0,0,38,0.0
326945,-0.5233999999999999,64.21,1,0,31,0.0
330367,-0.581,49.11,0,0,14,0.0
333731,-0.5141000000000001,45.39,0,0,13,0.0
337001,-0.41659999999999997,47.56,1,0,42,0.0
340468,-0.44160000000000027,78.12,2,0,58,0.0
343778,-0.3176,84.57,5,0,146,0.0
347114,-0.5326,69.2,0,0,18,0.0
350230,-0.48889999999999995,87.34,0,0,64,0.0
353820,-0.4365000000000002,86.44,0,0,50,0.0
357264,-0.405,44.08,2,0,35,0.0
360841,-0.42440000000000005,85.92,1,0,66,0.0
364387,-0.5029,45.47,0,0,21,0.0
367641,-0.3789,69.05,2,0,73,0.0
371124,-0.46559999999999996,44.74,3,0,19,0.0
374550,-0.37739999999999996,47.74,0,0,68,0.0
377930,-0.4264999999999998,43.13,0,0,46,0.0
381471,-0.37190000000000006,43.99,0,0,47,0.0
384936,-0.4308000000000001,47.96,2,0,42,0.0
388187,-0.4925,68.11,1,0,42,0.0
391502,-0.43639999999999995,73.14,1,0,71,0.0
394943,-0.3903999999999999,68.48,0,0,44,0.0
398369,-0.3133999999999999,68.09,3,0,78,0.0
401795,-0.3159,45.22,1,0,115,0.0
405233,-0.36539999999999995,43.13,2,0,55,0.0
408539,-0.4230000000000001,49.94,1,0,52,0.0
411915,-0.4236000000000001,54.03,1,0,44,0.0
415299,-0.29829999999999995,56.81,2,0,175,0.0
418927,-0.37129999999999996,65.21,0,0,76,0.0
422571,-0.38670000000000004,45.96,1,0,74,0.0
425757,-0.3175000000000001,63.88,1,0,146,0.0
428925,-0.2572999999999999,45.6,6,0,125,0.0
432291,-0.27630000000000005,69.63,5,0,195,0.0
435765,-0.30490000000000006,63.03,3,0,110,0.0
439203,-0.26789999999999997,73.38,2,0,164,0.0
442587,-0.32199999999999995,50.85,0,0,92,0.0
446263,-0.28170000000000006,64.08,3,0,201,0.0
449559,-0.18329999999999994,79.22,8,0,339,0.0
453251,-0.2736999999999999,50.48,5,0,135,0.0
456633,0.020500000000000015,75.72,21,0,386,0.0
460119,-0.12999999999999992,68.57,10,0,245,0.0
463353,-0.2678,64.04,3,0,197,0.0
466921,-0.18020000000000005,44.63,7,0,166,0.0
470191,-0.22820000000000001,58.35,5,0,194,0.0
473415,-0.2552999999999999,64.32,5,0,165,0.0
476899,-0.17690000000000006,48.54,6,0,200,0.0
480067,-0.13840000000000002,56.23,11,0,226,0.0
483531,-0.18,75.72,8,0,180,0.0
486987,-0.2287,63.28,6,0,150,0.0
490261,-0.27380000000000004,66.45,4,0,178,0.0
494031,-0.10449999999999998,78.18,13,0,309,0.0
497415,-0.2397000000000001,51.08,3,0,118,0.0
500951,-0.0226,75.79,15,0,564,0.0
504261,-0.14009999999999997,46.74,9,0,249,0.0
507673,-0.15200000000000005,51.14,10,0,245,0.0
511165,-0.22710000000000008,57.76,4,0,245,0.0
514583,-0.11730000000000002,59.63,11,0,259,0.0
518151,-0.04899999999999999,61.81,15,0,382,0.0
521549,-0.13680000000000003,47.97,8,0,255,0.0
524923,-0.14019999999999996,55.12,9,0,270,0.0
528195,-0.13299999999999998,77.51,9,0,519,0.0
531491,-0.09209999999999996,57.73,12,0,328,0.0
535009,-0.1728,57.99,6,0,261,0.0
538455,-0.02310000000000002,77.39,17,0,506,0.0
541773,0.03149999999999999,61.59,20,0,414,0.0
545533,-0.009699999999999988,58.03,18,0,435,0.0
549249,-0.15110000000000007,49.18,7,0,294,0.0
552683,-0.08000000000000002,58.78,13,0,320,0.0
556219,-0.056499999999999995,67.68,15,0,360,0.0
559795,0.17570000000000008,74.26,29,0,652,0.0
563137,0.02669999999999998,56.09,17,0,494,0.0
566437,-0.128,44.37,7,0,336,0.0
569687,0.37870000000000004,71.62,46,0,706,0.0
572931,0.0269,57.57,19,0,443,0.0
576259,0.047799999999999995,57.21,21,0,460,0.0
579715,0.022399999999999993,59.22,17,0,489,0.0
583123,0.23500000000000004,69.0,34,0,634,0.0
586749,-0.017799999999999993,49.11,14,0,345,0.0
590205,0.18909999999999996,72.67,32,0,670,0.0
593381,0.23,76.74,34,0,783,0.0
596739,0.009999999999999992,58.95,16,0,463,0.0
600187,0.05800000000000001,52.64,21,0,404,0.0
603597,0.040199999999999986,51.94,18,0,455,0.0
607421,-0.004199999999999997,49.64,16,0,371,0.0
611021,0.18450000000000003,67.28,31,0,609,0.0
614363,-0.0351,48.17,13,0,320,0.0
617637,0.3378,79.29,43,0,617,0.0
621161,0.016599999999999993,53.45,17,0,393,0.0
624605,0.16729999999999998,68.05,30,0,606,0.0
627927,0.03459999999999999,59.2,18,0,529,0.0
631405,0.1284,61.58,26,0,437,0.0
634805,-0.04430000000000001,48.97,12,0,350,0.0
638205,0.14250000000000002,64.27,27,0,542,0.0
641663,-0.027900000000000005,48.62,14,0,439,0.0
645327,-0.021300000000000013,55.56,13,0,453,0.0
648912,0.147,57.05,28,0,453,0.0
652480,0.14270000000000002,69.16,28,0,560,0.0
656124,0.05829999999999999,45.1,20,0,374,0.0
659640,0.16289999999999996,58.69,29,0,537,0.0
662948,0.1625999999999999,62.94,29,0,575,0.0
666388,0.14369999999999997,58.75,27,0,503,0.0
670130,0.13499999999999998,61.32,26,0,554,0.0
673689,0.2847,76.97,38,0,811,0.0
677111,0.06309999999999999,69.49,20,0,549,0.0
680443,0.15350000000000005,53.58,27,0,460,0.0
684111,0.15430000000000005,62.09,27,0,567,0.0
687866,0.15280000000000002,63.11,27,0,579,0.0
691248,-0.030999999999999996,48.07,12,0,411,0.0
694826,0.08129999999999998,58.68,22,0,559,0.0
698301,-0.0815,48.93,10,0,356,0.0
701865,0.05679999999999997,52.44,19,0,456,0.0
705193,0.21189999999999995,53.76,33,0,534,0.0
708691,0.07270000000000001,53.63,21,0,507,0.0
712379,0.0308,46.54,19,0,444,0.0
715920,0.301,68.76,39,0,725,0.0
719404,0.059500000000000004,48.15,21,0,411,0.0
723074,0.1857999999999999,58.6,30,0,496,0.0
726628,0.10280000000000002,51.18,23,0,395,0.0
729874,0.07919999999999999,47.55,22,0,421,0.0
733388,0.25029999999999997,68.5,35,0,738,0.0
737342,0.03849999999999999,49.4,18,0,436,0.0
740968,0.012099999999999994,52.21,17,0,410,0.0
744470,0.0431,47.1,20,0,372,0.0
747892,0.5208000000000002,76.32,58,0,739,0.0
751310,0.1812,69.21,29,0,621,0.0
754884,0.0676,53.04,21,0,419,0.0
758709,-0.05810000000000001,42.14,13,0,290,0.0
762025,0.028900000000000002,46.96,18,0,324,0.0
765675,0.0648,47.0,22,0,395,0.0
768929,-0.026400000000000014,43.23,13,0,331,0.0
772333,0.0721,49.91,20,0,465,0.0
775571,0.0755,48.35,21,0,437,0.0
779047,0.054099999999999995,45.14,20,0,347,0.0
782479,0.3193,64.94,41,0,556,0.0
786239,0.1406,52.98,26,0,486,0.0
789733,0.07810000000000002,48.64,22,0,393,0.0
793325,0.2931,60.34,39,0,607,0.0
797011,0.04439999999999999,56.22,17,0,489,0.0
800514,0.35669999999999996,73.54,45,0,660,0.0
804108,-0.059,45.95,11,0,352,0.0
807672,-0.0555,56.62,11,0,469,0.0
811292,0.105,60.5,25,0,602,0.0
814648,0.07909999999999998,54.8,22,0,375,0.0
818122,-0.06209999999999999,52.36,11,0,398,0.0
821698,0.025799999999999997,72.93,20,0,567,0.0
825441,-0.006500000000000007,47.18,17,0,292,0.0
829421,0.0378,47.81,19,0,433,0.0
832979,-0.0126,43.84,16,0,274,0.0
836599,-0.09119999999999999,44.1,9,0,255,0.0
840243,-0.05250000000000002,46.57,14,0,308,0.0
844057,-0.1211,45.39,8,0,266,0.0
847645,-0.0235,54.49,15,0,420,0.0
851165,0.12189999999999993,72.43,28,0,521,0.0
854737,-0.147,41.83,7,0,222,0.0
858107,-0.0502,43.99,12,0,330,0.0
861423,-0.12560000000000002,43.61,7,0,309,0.0
864908,-0.017900000000000003,47.51,15,0,387,0.0
868543,-0.06910000000000004,45.13,12,0,344,0.0
871813,-0.06539999999999997,41.59,11,0,283,0.0
875343,0.10430000000000002,64.32,25,0,459,0.0
878741,-0.12309999999999999,44.4,8,0,300,0.0
882532,-0.007800000000000001,48.89,16,0,338,0.0
886330,0.07659999999999999,53.01,23,0,401,0.0
889922,0.08670000000000001,54.23,23,0,388,0.0
893630,-0.0632,40.98,14,0,197,0.0
897052,-0.07100000000000004,42.04,12,0,236,0.0
900696,-0.04540000000000001,43.41,14,0,289,0.0
904204,0.00029999999999995894,60.68,17,0,395,0.0
907765,0.02970000000000001,59.77,19,0,369,0.0
911293,-0.14710000000000004,45.94,7,0,279,0.0
914745,-0.1503,51.69,6,0,309,0.0
918306,-0.017300000000000006,48.12,15,0,357,0.0
921968,-0.08639999999999999,49.82,12,0,279,0.0
925418,-0.1721,43.14,6,0,233,0.0
929041,-0.07430000000000002,47.77,13,0,294,0.0
932668,-0.05860000000000001,62.99,14,0,339,0.0
936332,-0.10209999999999997,42.89,12,0,248,0.0
939774,0.01659999999999999,70.45,20,0,461,0.0
943362,-0.08100000000000002,47.76,12,0,258,0.0
946834,-0.15900000000000006,45.08,7,0,245,0.0
950288,0.058099999999999985,67.84,23,0,440,0.0
953752,0.04709999999999999,72.35,22,0,455,0.0
957280,0.017000000000000008,46.25,20,0,365,0.0
960683,-0.12609999999999993,42.95,7,0,275,0.0
964263,-0.11840000000000002,49.04,9,0,272,0.0
967730,-0.17290000000000005,57.66,6,0,371,0.0
971350,0.01639999999999998,53.59,20,0,434,0.0
974794,-0.12929999999999997,41.87,9,0,249,0.0
978176,-0.11709999999999997,45.93,9,0,307,0.0
981840,-0.09330000000000002,42.61,12,0,207,0.0
985355,-0.18549999999999994,50.53,5,0,238,0.0
988916,-0.1909,46.37,5,0,217,0.0
992470,-0.16920000000000002,42.71,7,0,227,0.0
995845,-0.22479999999999986,42.95,4,0,258,0.0
999603,-0.11859999999999996,49.0,10,0,259,0.0
1003093,-0.15150000000000005,44.62,8,0,212,0.0
1006753,-0.05440000000000001,52.58,16,0,243,0.0
1010333,-0.09720000000000001,58.6,13,0,308,0.0
1013835,-0.1335,45.05,7,0,299,0.0
1017345,-0.12139999999999994,44.07,9,0,240,0.0
1020883,0.009899999999999989,48.78,18,0,363,0.0
1024853,-0.13230000000000003,42.44,7,0,285,0.0
1028430,-0.1503,44.29,8,0,296,0.0
1032228,-0.16579999999999998,47.05,7,0,247,0.0
1035826,-0.11820000000000003,46.86,10,0,260,0.0
1039276,-0.016899999999999984,53.23,17,0,326,0.0
1042806,-0.17600000000000002,48.73,7,0,225,0.0
1046452,-0.18230000000000002,45.77,6,0,215,0.0
1049996,-0.16679999999999992,44.51,7,0,253,0.0
1053568,-0.12490000000000005,41.98,9,0,275,0.0
1057336,-0.10550000000000001,50.71,11,0,331,0.0
1060994,-0.16260000000000008,52.91,6,0,309,0.0
1064314,-0.17590000000000003,44.34,7,0,244,0.0
1067654,-0.11820000000000004,54.47,9,0,328,0.0
1070956,-0.11949999999999998,44.98,12,0,274,0.0
1074480,-0.024800000000000003,50.49,16,0,357,0.0
1078190,-0.16190000000000002,43.96,7,0,230,0.0
1081460,-0.1901,43.41,4,0,222,0.0
1084962,-0.062499999999999965,58.75,16,0,360,0.0
1088340,-0.09339999999999998,68.95,11,0,439,0.0
1091651,-0.0941,45.48,13,0,308,0.0
1095425,0.04630000000000003,79.31,23,0,483,0.0
1098841,-0.18589999999999995,46.4,6,0,230,0.0
1102301,-0.17579999999999996,44.67,7,0,254,0.0
1105841,-0.17940000000000006,45.6,7,0,166,0.0
1109696,-0.2061,47.45,6,0,268,0.0
1113252,-0.19490000000000002,44.39,6,0,198,0.0
1117009,-0.16859999999999997,42.0,8,0,227,0.0
1120541,-0.21030000000000013,46.81,4,0,247,0.0
1124319,-0.14380000000000004,43.19,10,0,194,0.0
1127981,-0.14990000000000003,44.48,9,0,212,0.0
1131678,-0.17190000000000003,45.05,8,0,267,0.0
1135334,-0.15730000000000002,43.76,9,0,276,0.0
1138879,-0.22620000000000004,48.99,4,0,230,0.0
1142415,-0.2065,47.93,4,0,232,0.0
1146139,-0.19190000000000004,46.83,6,0,219,0.0
1149806,-0.065,41.9,15,0,241,0.0
1153462,-0.1267,48.27,11,0,229,0.0
1156968,-0.12480000000000002,42.52,11,0,222,0.0
1160532,-0.1999,42.4,7,0,177,0.0
1164056,-0.16760000000000005,49.7,9,0,235,0.0
1167620,-0.16879999999999995,43.13,6,0,258,0.0
1170954,-0.17270000000000002,51.26,8,0,213,0.0
1174637,-0.1209,43.88,10,0,245,0.0
1178346,-0.19719999999999993,43.77,7,0,155,0.0
1182036,-0.12059999999999997,52.26,12,0,263,0.0
1185534,-0.16679999999999995,43.45,9,0,179,0.0
1189374,-0.18589999999999995,45.79,8,0,207,0.0
1192964,-0.12810000000000002,50.52,11,0,215,0.0
1196603,-0.1416,52.13,9,0,258,0.0
1200255,-0.1642,82.38,8,0,381,0.0
