timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
23,-0.24680000000000002,14.74,0,13,30,0.43333333333333335
3488,-0.3104000000000001,20.7,0,8,54,0.14814814814814814
6964,-0.33390000000000003,20.53,1,5,39,0.1282051282051282
10498,-0.3625999999999999,18.19,1,1,24,0.041666666666666664
14044,-0.3258999999999999,18.23,1,1,33,0.030303030303030304
17730,-0.3043000000000001,17.11,1,0,52,0.0
20950,-0.30169999999999997,18.16,2,1,31,0.03225806451612903
24798,-0.27209999999999995,17.59,2,0,50,0.0
28597,-0.2897,17.99,0,0,66,0.0
32143,-0.3274999999999999,17.03,1,0,39,0.0
35823,-0.2685,17.38,1,1,79,0.012658227848101266
39351,-0.29760000000000003,16.01,2,0,43,0.0
43255,-0.26530000000000004,17.4,1,1,43,0.023255813953488372
46898,-0.2749000000000001,17.79,0,2,59,0.03389830508474576
50369,-0.2778000000000001,16.59,1,1,61,0.01639344262295082
53861,-0.2599000000000001,16.45,4,0,34,0.0
57267,-0.32059999999999994,15.63,0,0,43,0.0
61062,-0.30200000000000005,17.54,1,2,69,0.028985507246376812
64578,-0.2869,16.1,5,0,49,0.0
68057,-0.2923,16.05,3,0,41,0.0
71457,-0.29630000000000023,15.7,1,0,44,0.0
75081,-0.3091000000000001,16.0,1,0,48,0.0
78513,-0.3566,16.16,0,0,49,0.0
81799,-0.3056,16.88,1,1,42,0.023809523809523808
85341,-0.27399999999999997,15.93,2,1,66,0.015151515151515152
88779,-0.32770000000000005,16.73,1,0,24,0.0
92215,-0.30210000000000004,16.49,0,2,56,0.03571428571428571
95707,-0.31910000000000005,15.78,1,0,45,0.0
98837,-0.3161,15.35,0,0,33,0.0
102159,-0.33390000000000003,14.39,0,0,36,0.0
105423,-0.33159999999999995,16.16,1,0,52,0.0
108779,-0.33149999999999996,15.56,1,0,50,0.0
112003,-0.3496000000000001,16.1,0,0,37,0.0
115423,-0.31800000000000006,16.72,3,0,50,0.0
118988,-0.34309999999999996,14.78,2,1,39,0.02564102564102564
122128,-0.34569999999999995,16.31,1,0,37,0.0
125872,-0.32119999999999993,16.11,1,1,47,0.02127659574468085
129110,-0.3593,16.81,1,0,38,0.0
132538,-0.2904,17.15,2,0,63,0.0
135770,-0.3575,15.79,1,0,23,0.0
139168,-0.36610000000000015,16.77,1,0,41,0.0
142661,-0.3461,16.16,1,2,49,0.04081632653061224
145996,-0.33930000000000016,15.06,0,0,29,0.0
149301,-0.31190000000000007,17.47,2,1,61,0.01639344262295082
152926,-0.35050000000000003,16.12,0,0,42,0.0
156214,-0.3518000000000001,15.74,0,0,24,0.0
159370,-0.3445,14.84,0,1,23,0.043478260869565216
162392,-0.36139999999999994,15.76,0,0,43,0.0
165694,-0.35559999999999997,16.18,1,1,38,0.02631578947368421
169288,-0.3645999999999999,15.84,2,0,30,0.0
172573,-0.35350000000000015,15.77,1,0,44,0.0
175935,-0.3482000000000001,16.16,0,0,39,0.0
179253,-0.36530000000000007,15.1,0,1,44,0.022727272727272728
182380,-0.3595000000000001,14.81,2,0,33,0.0
185605,-0.35220000000000007,15.51,2,2,40,0.05
188890,-0.3943,14.42,0,0,17,0.0
191985,-0.34299999999999975,15.23,3,0,19,0.0
195159,-0.40270000000000006,14.41,1,0,24,0.0
198499,-0.3812,15.33,0,1,29,0.034482758620689655
201726,-0.37049999999999983,16.04,1,1,25,0.04
204940,-0.38650000000000007,16.35,0,1,33,0.030303030303030304
208166,-0.4147,15.4,1,0,19,0.0
211324,-0.39709999999999984,14.79,1,0,33,0.0
214457,-0.3651999999999999,14.94,1,0,17,0.0
217852,-0.4025999999999999,16.02,0,0,34,0.0
221082,-0.3497000000000001,17.15,1,0,29,0.0
224266,-0.39460000000000006,15.68,0,0,24,0.0
227509,-0.3655999999999998,15.97,1,2,28,0.07142857142857142
230731,-0.4175,14.65,0,0,10,0.0
233777,-0.39320000000000005,16.52,0,0,19,0.0
237263,-0.3720000000000001,14.8,1,0,22,0.0
240431,-0.3738,15.7,0,0,29,0.0
243543,-0.3988999999999997,15.46,1,0,19,0.0
246829,-0.4077,15.82,0,1,15,0.06666666666666667
250028,-0.3832000000000001,15.68,1,1,17,0.058823529411764705
253362,-0.4148000000000001,14.97,0,0,18,0.0
256478,-0.3973,13.53,1,1,24,0.041666666666666664
259402,-0.4139000000000001,15.96,0,0,14,0.0
262709,-0.37559999999999993,16.18,1,1,24,0.041666666666666664
265893,-0.40680000000000016,15.12,0,0,14,0.0
268999,-0.3648,15.6,1,0,25,0.0
272151,-0.40609999999999985,16.08,0,1,11,0.09090909090909091
275183,-0.4005,15.19,0,0,33,0.0
278348,-0.3882,15.65,0,1,19,0.05263157894736842
281414,-0.3953,16.43,2,0,34,0.0
284828,-0.4108000000000001,16.09,0,0,30,0.0
287912,-0.3684999999999998,14.54,3,0,26,0.0
290931,-0.4168,15.22,0,0,8,0.0
294190,-0.37279999999999985,15.79,0,1,20,0.05
297470,-0.3919000000000002,15.59,1,0,13,0.0
300694,-0.40290000000000004,16.78,0,0,19,0.0
304390,-0.4021,16.17,1,1,23,0.043478260869565216
307798,-0.3861000000000001,15.0,1,1,27,0.037037037037037035
310914,-0.4173000000000001,15.45,0,1,12,0.08333333333333333
314152,-0.34700000000000003,16.16,3,0,33,0.0
317344,-0.37610000000000005,16.64,1,1,25,0.04
320455,-0.37559999999999993,15.67,1,1,17,0.058823529411764705
323645,-0.3914000000000001,15.12,0,1,22,0.045454545454545456
326842,-0.38210000000000016,17.08,0,1,46,0.021739130434782608
329952,-0.3685,15.62,2,0,22,0.0
333068,-0.3789,16.34,1,3,26,0.11538461538461539
336427,-0.3767000000000001,16.21,2,1,17,0.058823529411764705
339657,-0.4297000000000001,15.37,1,0,20,0.0
342885,-0.39959999999999996,15.96,1,0,13,0.0
346107,-0.41559999999999997,15.2,1,0,21,0.0
349384,-0.42529999999999984,16.12,0,1,15,0.06666666666666667
352632,-0.4248999999999999,15.41,0,1,16,0.0625
355835,-0.37129999999999996,15.62,1,0,23,0.0
358999,-0.41619999999999985,15.07,0,0,20,0.0
362217,-0.4100000000000001,15.72,0,0,25,0.0
365425,-0.3831000000000001,17.41,1,1,19,0.05263157894736842
369117,-0.36950000000000005,16.22,1,0,10,0.0
372385,-0.4245999999999999,16.16,0,0,18,0.0
375671,-0.3752000000000001,17.59,0,0,18,0.0
379135,-0.418,15.23,0,0,19,0.0
382532,-0.40430000000000005,14.83,0,0,20,0.0
385930,-0.4109999999999998,16.17,0,1,17,0.058823529411764705
389006,-0.39890000000000003,15.91,1,0,26,0.0
392236,-0.4045000000000002,15.89,1,1,25,0.04
395372,-0.39609999999999984,16.62,0,0,17,0.0
398725,-0.4135000000000001,16.6,0,0,22,0.0
401986,-0.4247999999999999,15.39,0,1,12,0.08333333333333333
405324,-0.3782000000000001,15.87,2,0,19,0.0
408703,-0.4107,15.51,1,0,11,0.0
412028,-0.4050000000000001,16.62,1,0,24,0.0
415379,-0.41680000000000006,15.2,0,0,14,0.0
418440,-0.4129,15.79,0,0,17,0.0
421500,-0.3960000000000001,15.24,0,0,11,0.0
424730,-0.36859999999999987,15.38,2,1,17,0.058823529411764705
428099,-0.4176000000000002,16.6,0,1,16,0.0625
431475,-0.41269999999999996,16.75,0,0,11,0.0
434918,-0.3778000000000001,16.37,0,1,25,0.04
438244,-0.3891999999999999,14.51,1,0,13,0.0
441454,-0.4202,16.32,0,0,29,0.0
444566,-0.414,15.28,0,0,16,0.0
447782,-0.38299999999999995,16.11,0,1,19,0.05263157894736842
450818,-0.3942000000000001,15.33,1,0,18,0.0
453857,-0.38760000000000006,16.23,0,0,21,0.0
457101,-0.4434,14.74,1,0,15,0.0
460154,-0.3619,16.6,3,0,17,0.0
463356,-0.4138,15.95,0,1,24,0.041666666666666664
466607,-0.38599999999999995,15.75,0,0,8,0.0
469862,-0.40590000000000004,15.66,0,0,20,0.0
473161,-0.4109,16.27,0,0,16,0.0
476502,-0.39319999999999994,16.32,1,1,22,0.045454545454545456
479766,-0.37410000000000004,16.53,0,0,34,0.0
483097,-0.4118000000000003,14.97,0,0,17,0.0
486321,-0.3728,15.98,1,1,33,0.030303030303030304
489726,-0.38590000000000013,15.05,1,1,32,0.03125
492816,-0.4177,16.32,0,0,23,0.0
496177,-0.38160000000000016,15.45,1,0,19,0.0
499345,-0.43799999999999994,16.1,0,0,24,0.0
502519,-0.4088000000000001,15.98,2,0,15,0.0
505681,-0.39449999999999996,15.69,1,0,29,0.0
508876,-0.3753,16.87,1,1,21,0.047619047619047616
512233,-0.35599999999999987,15.14,3,0,13,0.0
515176,-0.3875,15.31,0,0,24,0.0
518338,-0.39719999999999983,17.27,1,0,15,0.0
521822,-0.4120999999999999,16.06,0,0,17,0.0
524938,-0.37250000000000016,16.46,1,0,21,0.0
528174,-0.4158000000000001,15.19,0,0,19,0.0
531390,-0.3752,17.29,0,1,20,0.05
534819,-0.40459999999999996,16.0,1,0,19,0.0
538143,-0.3838999999999999,15.94,0,0,18,0.0
541353,-0.4017000000000001,16.66,0,0,23,0.0
544703,-0.38439999999999996,14.7,1,0,35,0.0
