timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
23,0.2254999999999996,22.44,4,94,148,0.6351351351351351
3433,0.1927999999999997,21.99,3,91,141,0.6453900709219859
6805,0.19939999999999963,22.7,2,93,174,0.5344827586206896
10199,0.2118999999999996,22.96,5,89,188,0.4734042553191489
13464,0.22169999999999962,22.62,5,91,188,0.48404255319148937
16782,0.22039999999999962,21.87,6,87,169,0.514792899408284
19746,0.21149999999999966,24.1,4,90,202,0.44554455445544555
23208,0.2466999999999997,23.44,8,87,176,0.4943181818181818
26382,0.2185999999999996,21.25,4,93,156,0.5961538461538461
29469,0.2617999999999996,23.08,9,88,181,0.4861878453038674
32616,0.2356999999999996,20.68,6,91,193,0.47150259067357514
35580,0.21729999999999972,25.23,6,86,220,0.39090909090909093
38671,0.19199999999999967,22.21,2,92,168,0.5476190476190477
41757,0.26189999999999963,22.49,9,88,192,0.4583333333333333
44667,0.2577999999999996,21.09,8,90,182,0.4945054945054945
47453,0.2514999999999996,21.75,8,89,198,0.4494949494949495
50609,0.19979999999999964,24.38,3,91,176,0.5170454545454546
53786,0.2376999999999996,23.21,7,88,224,0.39285714285714285
56662,0.24159999999999962,22.03,9,84,201,0.417910447761194
59688,0.22669999999999965,21.1,5,92,193,0.47668393782383417
62618,0.22679999999999967,23.39,6,88,201,0.43781094527363185
65600,0.23219999999999966,23.19,7,87,196,0.44387755102040816
68731,0.2702999999999996,22.78,12,81,170,0.4764705882352941
72049,0.22929999999999964,22.46,6,89,181,0.49171270718232046
75462,0.22599999999999965,22.37,5,91,207,0.4396135265700483
78404,0.26769999999999966,22.16,10,87,191,0.45549738219895286
81418,0.2256999999999997,24.1,8,83,205,0.40487804878048783
84484,0.23019999999999963,23.08,6,89,190,0.46842105263157896
87374,0.22359999999999963,21.93,5,91,184,0.4945652173913043
90258,0.22909999999999964,25.17,7,85,207,0.4106280193236715
93264,0.19049999999999964,23.21,1,95,229,0.4148471615720524
96300,0.23239999999999963,22.59,8,85,168,0.5059523809523809
99264,0.2464999999999996,22.86,8,88,203,0.43349753694581283
102110,0.2341999999999996,23.9,7,87,186,0.46774193548387094
105203,0.19479999999999964,22.91,3,90,193,0.46632124352331605
108129,0.24209999999999962,24.55,7,89,211,0.4218009478672986
111273,0.24949999999999964,21.43,9,85,185,0.4594594594594595
114203,0.22219999999999962,24.06,6,87,233,0.37339055793991416
117183,0.24929999999999958,22.11,9,85,188,0.4521276595744681
120009,0.24739999999999968,23.16,8,87,208,0.4182692307692308
122948,0.23569999999999966,22.93,8,84,204,0.4117647058823529
126050,0.2431999999999996,22.6,7,89,178,0.5
128950,0.23169999999999974,23.71,8,84,196,0.42857142857142855
131973,0.23499999999999968,22.35,7,87,184,0.47282608695652173
135044,0.25169999999999965,22.36,11,81,208,0.3894230769230769
