timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
23,-0.012600000000000014,15.88,2,43,71,0.6056338028169014
3433,-0.018000000000000006,15.99,0,49,75,0.6533333333333333
6805,-0.014700000000000013,15.45,3,46,65,0.7076923076923077
10199,0.0013999999999999976,15.94,1,53,73,0.726027397260274
13464,-0.006099999999999981,17.0,2,44,79,0.5569620253164557
16782,0.0138,15.0,4,46,83,0.5542168674698795
19746,0.04280000000000004,16.53,3,54,90,0.6
23208,-0.004700000000000006,15.99,1,49,77,0.6363636363636364
26382,0.024300000000000037,14.61,3,48,82,0.5853658536585366
29469,0.016700000000000048,15.85,2,51,83,0.6144578313253012
32616,-0.014700000000000012,16.24,0,48,84,0.5714285714285714
35580,-0.02259999999999997,16.37,2,43,84,0.5119047619047619
38671,-0.017400000000000006,16.79,3,42,74,0.5675675675675675
41757,0.0648000000000001,15.53,6,51,83,0.6144578313253012
44667,-0.01179999999999997,15.95,0,49,76,0.6447368421052632
47453,0.016800000000000016,16.06,2,52,81,0.6419753086419753
50609,-0.03769999999999997,16.77,0,45,84,0.5357142857142857
53786,-0.009800000000000014,16.48,1,46,80,0.575
56662,-0.0019000000000000072,15.28,1,50,89,0.5617977528089888
59688,0.006899999999999992,15.91,1,49,78,0.6282051282051282
62618,0.006300000000000028,15.56,3,50,77,0.6493506493506493
65600,-0.04849999999999999,16.13,1,35,73,0.4794520547945205
68731,0.022199999999999994,16.87,1,55,93,0.5913978494623656
72049,0.006299999999999985,18.69,1,47,96,0.4895833333333333
75462,0.030200000000000057,15.97,3,50,89,0.5617977528089888
78404,0.009200000000000003,16.15,1,49,90,0.5444444444444444
81418,0.001999999999999999,16.92,1,51,81,0.6296296296296297
84484,-0.04619999999999999,16.05,0,41,82,0.5
87374,-0.005100000000000011,15.27,2,46,75,0.6133333333333333
90258,-0.023299999999999953,16.24,2,42,91,0.46153846153846156
93264,0.05960000000000004,16.85,5,51,106,0.4811320754716981
96300,0.012900000000000024,16.41,4,42,93,0.45161290322580644
99264,-0.012300000000000016,16.17,3,40,74,0.5405405405405406
102110,0.030500000000000048,15.51,4,48,90,0.5333333333333333
105203,-0.014000000000000002,15.4,1,48,95,0.5052631578947369
108129,0.001100000000000001,16.96,3,45,73,0.6164383561643836
111273,0.0070999999999999995,15.95,3,46,106,0.4339622641509434
114203,-0.020499999999999994,15.83,1,45,96,0.46875
117183,0.012799999999999992,15.92,4,45,98,0.45918367346938777
120009,-0.03549999999999997,16.5,1,42,79,0.5316455696202531
122948,0.004099999999999995,17.3,1,50,110,0.45454545454545453
126050,0.01150000000000002,16.18,5,41,70,0.5857142857142857
