timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
23,-0.07559999999999997,13.96,2,36,56,0.6428571428571429
3433,-0.0275,15.69,0,46,69,0.6666666666666666
6805,-0.014300000000000002,15.18,3,44,63,0.6984126984126984
10199,-0.04399999999999997,14.11,1,42,58,0.7241379310344828
13464,-0.03429999999999999,15.4,2,38,63,0.6031746031746031
16782,-0.06870000000000001,14.09,0,35,71,0.49295774647887325
19746,-0.042799999999999956,15.7,2,35,68,0.5147058823529411
23208,-0.04959999999999996,15.56,0,43,72,0.5972222222222222
26382,0.005499999999999994,14.69,4,42,68,0.6176470588235294
29469,-0.051099999999999965,14.8,1,39,47,0.8297872340425532
32616,-0.06439999999999997,14.26,1,35,57,0.6140350877192983
35580,-0.05599999999999996,14.53,1,37,62,0.5967741935483871
38671,-0.10359999999999997,15.27,1,30,54,0.5555555555555556
41757,-0.04799999999999997,14.49,3,33,63,0.5238095238095238
44667,-0.05629999999999999,13.85,1,39,76,0.5131578947368421
47453,-0.025199999999999986,14.31,3,38,68,0.5588235294117647
50609,-0.06269999999999995,15.38,0,41,76,0.5394736842105263
53786,-0.02830000000000001,13.95,2,45,75,0.6
56662,-0.08639999999999999,14.39,1,35,73,0.4794520547945205
59688,-0.03489999999999999,14.36,3,37,72,0.5138888888888888
62618,-0.04909999999999998,14.0,1,41,57,0.7192982456140351
65600,-0.09579999999999998,13.76,1,34,63,0.5396825396825397
68731,-0.055,14.88,4,31,51,0.6078431372549019
72049,-0.04759999999999996,16.5,2,36,73,0.4931506849315068
75462,-0.06699999999999999,14.17,2,35,63,0.5555555555555556
78404,-0.07869999999999998,15.06,0,32,63,0.5079365079365079
81418,-0.05049999999999997,14.75,4,36,64,0.5625
84484,-0.08650000000000006,13.95,0,36,54,0.6666666666666666
87374,-0.05469999999999994,14.05,1,38,72,0.5277777777777778
90258,-0.04269999999999998,14.79,5,32,65,0.49230769230769234
93264,-0.0658,14.77,4,26,65,0.4
96300,-0.07209999999999993,13.99,1,32,55,0.5818181818181818
99264,-0.07109999999999995,14.24,3,30,54,0.5555555555555556
102110,-0.06089999999999998,14.68,2,30,61,0.4918032786885246
105203,-0.06259999999999996,13.83,1,40,68,0.5882352941176471
108129,-0.05049999999999995,15.11,2,39,68,0.5735294117647058
111273,-0.039599999999999996,14.31,1,42,63,0.6666666666666666
114203,-0.08229999999999998,14.9,1,33,64,0.515625
117183,-0.05439999999999998,14.16,3,32,71,0.4507042253521127
120009,-0.06679999999999996,14.14,1,39,59,0.6610169491525424
122948,-0.053399999999999975,14.95,2,36,64,0.5625
126050,-0.08919999999999999,14.16,1,30,45,0.6666666666666666
128950,-0.1265,14.05,1,26,52,0.5
131973,-0.03439999999999993,14.72,1,41,80,0.5125
135044,-0.06099999999999997,15.65,0,38,107,0.35514018691588783
138094,-0.05789999999999996,14.93,1,32,71,0.4507042253521127
141162,-0.06099999999999995,13.71,2,37,69,0.5362318840579711
144082,-0.07779999999999998,15.33,0,35,86,0.4069767441860465
147056,-0.059599999999999966,15.14,1,37,73,0.5068493150684932
150038,-0.06819999999999997,15.82,2,30,69,0.43478260869565216
153482,-0.04709999999999999,15.01,1,38,71,0.5352112676056338
156588,-0.05449999999999997,14.96,0,44,82,0.5365853658536586
159740,-0.08139999999999999,15.34,2,33,87,0.3793103448275862
162823,-0.09239999999999998,14.03,2,27,63,0.42857142857142855
165751,-0.03469999999999999,14.49,3,37,71,0.5211267605633803
168609,-0.10200000000000005,15.14,1,26,73,0.3561643835616438
171809,-0.05569999999999999,14.74,2,31,68,0.45588235294117646
174755,-0.08049999999999996,14.01,1,36,69,0.5217391304347826
177673,-0.07990000000000001,14.42,1,31,59,0.5254237288135594
180699,-0.042499999999999954,14.22,6,29,63,0.4603174603174603
183723,-0.04629999999999997,14.57,3,35,67,0.5223880597014925
186777,-0.04549999999999999,14.23,0,45,87,0.5172413793103449
189727,-0.08679999999999997,13.68,1,33,56,0.5892857142857143
192742,-0.058599999999999965,15.39,1,30,71,0.4225352112676056
195698,-0.07549999999999997,15.62,0,36,77,0.4675324675324675
198893,-0.024399999999999988,15.23,3,39,81,0.48148148148148145
201911,-0.026599999999999985,14.53,3,39,84,0.4642857142857143
204911,-0.07059999999999995,15.69,0,35,81,0.43209876543209874
207903,-0.103,15.2,0,31,73,0.4246575342465753
211050,-0.06979999999999997,13.82,2,34,53,0.6415094339622641
214002,-0.07239999999999994,14.58,2,33,70,0.4714285714285714
216970,-0.04619999999999998,14.84,3,32,79,0.4050632911392405
219928,-0.04269999999999998,14.48,5,30,70,0.42857142857142855
222907,-0.07249999999999998,14.84,1,34,74,0.4594594594594595
225857,-0.0325,14.41,4,34,57,0.5964912280701754
228717,-0.0864,14.31,1,31,72,0.4305555555555556
231553,-0.09490000000000004,14.11,2,29,53,0.5471698113207547
234415,-0.07269999999999996,15.31,1,35,84,0.4166666666666667
237600,-0.008700000000000006,15.29,4,37,84,0.44047619047619047
240697,-0.0662,14.94,2,33,68,0.4852941176470588
243783,-0.08159999999999995,14.78,0,33,59,0.559322033898305
246843,-0.11040000000000001,15.25,1,30,65,0.46153846153846156
250021,-0.08039999999999997,14.12,1,31,65,0.47692307692307695
252895,-0.0395,15.02,2,42,83,0.5060240963855421
255817,-0.07129999999999993,16.17,0,34,67,0.5074626865671642
259158,-0.08049999999999999,14.57,3,29,68,0.4264705882352941
262191,-0.07649999999999998,14.78,4,25,58,0.43103448275862066
265323,-0.05659999999999996,14.8,1,36,88,0.4090909090909091
268495,-0.07359999999999997,14.38,2,29,67,0.43283582089552236
271701,-0.07849999999999997,14.55,1,35,69,0.5072463768115942
274809,-0.02750000000000001,15.0,2,36,99,0.36363636363636365
277851,-0.03689999999999999,15.89,2,35,84,0.4166666666666667
281059,0.010999999999999996,15.05,3,44,106,0.41509433962264153
284014,-0.04040000000000002,15.07,2,36,76,0.47368421052631576
287224,-0.08500000000000002,15.11,2,28,68,0.4117647058823529
290302,-0.08209999999999998,14.41,0,33,68,0.4852941176470588
293304,-0.08909999999999998,14.11,2,27,79,0.34177215189873417
296237,-0.04169999999999998,14.67,3,29,83,0.3493975903614458
299253,0.014699999999999996,15.0,3,43,95,0.45263157894736844
302427,-0.05209999999999997,14.41,2,39,77,0.5064935064935064
305445,-0.024699999999999993,15.06,3,37,74,0.5
308619,-0.038999999999999965,14.53,1,39,82,0.47560975609756095
311862,-0.1124,14.71,1,23,79,0.2911392405063291
314861,-0.07309999999999996,14.6,2,31,74,0.4189189189189189
317989,-0.08479999999999999,14.75,2,29,75,0.38666666666666666
321189,-0.07770000000000002,14.65,2,29,80,0.3625
324151,-0.0949,14.56,2,24,73,0.3287671232876712
327053,-0.06069999999999998,15.25,2,33,80,0.4125
330372,-0.09400000000000006,15.09,2,24,48,0.5
333484,-0.11190000000000001,15.54,0,29,93,0.3118279569892473
336642,-0.05429999999999997,15.32,1,37,93,0.3978494623655914
339864,-0.07789999999999998,14.49,4,27,65,0.4153846153846154
342905,-0.058699999999999995,15.09,2,29,69,0.42028985507246375
345967,-0.08159999999999996,14.82,3,23,64,0.359375
349045,-0.06039999999999997,14.11,1,41,65,0.6307692307692307
352131,0.015099999999999994,15.87,5,39,80,0.4875
355157,-0.09020000000000003,14.92,2,26,81,0.32098765432098764
358113,-0.09960000000000006,14.34,0,27,77,0.35064935064935066
361035,-0.04829999999999999,15.4,2,33,80,0.4125
364210,-0.07719999999999998,14.96,3,27,80,0.3375
367208,-0.061699999999999984,14.99,1,35,71,0.49295774647887325
370166,-0.09470000000000005,14.92,0,33,82,0.4024390243902439
373258,-0.060899999999999954,14.75,3,27,81,0.3333333333333333
376175,-0.04479999999999997,14.85,3,34,77,0.44155844155844154
379259,-0.07790000000000002,15.58,1,31,84,0.36904761904761907
382564,-0.0854,14.91,1,31,66,0.4696969696969697
385631,-0.06549999999999995,16.04,0,35,93,0.3763440860215054
388787,-0.07939999999999997,14.46,1,29,71,0.4084507042253521
391727,-0.038200000000000005,14.64,5,30,69,0.43478260869565216
394771,-0.09950000000000006,15.49,2,25,66,0.3787878787878788
397661,-0.125,14.65,0,23,72,0.3194444444444444
400687,-0.04209999999999999,15.01,1,41,86,0.47674418604651164
403759,-0.07169999999999994,15.19,3,26,83,0.3132530120481928
406886,-0.10500000000000005,14.97,1,25,64,0.390625
409808,-0.04619999999999995,14.28,2,37,84,0.44047619047619047
412843,-0.08170000000000002,13.99,1,34,91,0.37362637362637363
415713,-0.09940000000000014,14.47,1,30,69,0.43478260869565216
418573,-0.054199999999999984,15.74,2,32,87,0.367816091954023
421677,-0.04069999999999996,14.22,4,33,83,0.39759036144578314
424611,-0.07639999999999997,14.6,2,28,72,0.3888888888888889
427693,-0.04979999999999998,15.68,3,28,83,0.3373493975903614
430851,-0.10280000000000003,15.2,1,24,62,0.3870967741935484
433828,-0.07899999999999996,15.54,2,29,82,0.35365853658536583
436974,-0.04599999999999997,14.8,2,36,79,0.45569620253164556
440206,-0.077,15.41,3,25,72,0.3472222222222222
443178,-0.04899999999999997,14.82,4,28,54,0.5185185185185185
446298,-0.07649999999999993,15.19,2,33,76,0.4342105263157895
449272,-0.03759999999999999,15.29,3,33,90,0.36666666666666664
452348,-0.0171,14.13,5,31,79,0.3924050632911392
455306,-0.08109999999999999,15.27,1,33,101,0.32673267326732675
458524,-0.0814,15.01,3,24,70,0.34285714285714286
461685,-0.07669999999999993,14.49,1,33,77,0.42857142857142855
464887,-0.09819999999999998,14.49,3,22,70,0.3142857142857143
467833,-0.11590000000000007,14.31,3,22,86,0.2558139534883721
470773,-0.035299999999999984,15.43,4,32,88,0.36363636363636365
473771,-0.11710000000000002,13.94,2,19,67,0.2835820895522388
476831,-0.06969999999999996,13.71,3,29,77,0.37662337662337664
479661,-0.0562,15.55,3,31,78,0.3974358974358974
482831,-0.061899999999999934,15.41,1,38,76,0.5
485787,-0.08239999999999995,16.17,1,28,85,0.32941176470588235
489067,-0.09,15.05,1,28,77,0.36363636363636365
492276,-0.07059999999999998,14.46,2,30,74,0.40540540540540543
495312,-0.0729,14.68,2,29,65,0.4461538461538462
498240,-0.10630000000000013,15.09,1,25,90,0.2777777777777778
501363,-0.05489999999999995,15.52,4,28,89,0.3146067415730337
504469,-0.0912000000000001,13.63,3,26,53,0.49056603773584906
507143,-0.11099999999999996,14.86,1,28,74,0.3783783783783784
510241,-0.08759999999999996,15.24,2,26,70,0.37142857142857144
513354,-0.12050000000000004,14.11,1,24,70,0.34285714285714286
516208,-0.07229999999999996,14.47,1,32,78,0.41025641025641024
519173,-0.05339999999999999,14.26,5,26,67,0.3880597014925373
522227,-0.0588,15.15,3,28,103,0.27184466019417475
525397,-0.06759999999999995,15.85,3,24,71,0.3380281690140845
528607,-0.08889999999999994,15.2,2,26,91,0.2857142857142857
531727,-0.09940000000000009,14.27,1,30,72,0.4166666666666667
534715,-0.08149999999999996,15.65,1,28,88,0.3181818181818182
538064,-0.06469999999999997,15.11,5,27,79,0.34177215189873417
541041,-0.04489999999999998,15.42,3,33,83,0.39759036144578314
544267,-0.06469999999999995,16.75,0,34,100,0.34
547794,-0.050599999999999985,15.31,5,23,82,0.2804878048780488
550968,-0.09609999999999999,15.02,1,29,80,0.3625
554086,-0.0384,13.84,3,35,77,0.45454545454545453
556998,-0.07059999999999998,15.7,4,23,62,0.3709677419354839
560246,-0.086,14.96,3,28,78,0.358974358974359
563328,-0.10400000000000008,14.39,0,26,105,0.24761904761904763
566271,-0.09530000000000002,14.87,1,25,88,0.2840909090909091
569307,-0.1048,14.87,3,21,77,0.2727272727272727
572423,-0.12440000000000001,15.7,1,17,62,0.27419354838709675
575572,-0.10269999999999996,15.72,1,23,90,0.25555555555555554
578724,-0.12600000000000006,15.5,1,21,66,0.3181818181818182
581948,-0.10500000000000002,15.43,0,24,77,0.3116883116883117
585210,-0.08509999999999998,16.0,0,31,105,0.29523809523809524
588228,-0.04819999999999999,15.29,3,29,92,0.31521739130434784
591485,-0.07919999999999998,15.45,2,25,79,0.31645569620253167
594495,-0.10210000000000008,15.18,2,22,88,0.25
597607,-0.07209999999999997,14.98,2,28,72,0.3888888888888889
600711,-0.07289999999999996,15.99,3,24,70,0.34285714285714286
603941,-0.05319999999999997,15.14,4,30,62,0.4838709677419355
607126,-0.12320000000000007,14.43,0,20,76,0.2631578947368421
610146,-0.11460000000000001,14.85,2,22,78,0.28205128205128205
