timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
23,0.19819999999999965,20.86,2,94,94,1.0
3595,0.19189999999999963,20.51,0,98,98,1.0
6795,0.21269999999999967,20.9,3,95,95,1.0
10269,0.22019999999999962,21.01,5,90,90,1.0
13707,0.2074999999999996,21.14,2,96,96,1.0
17113,0.20539999999999956,19.53,2,96,96,1.0
20241,0.23079999999999962,19.54,6,91,91,1.0
23689,0.2039999999999996,20.16,1,98,98,1.0
26923,0.18969999999999965,19.79,0,98,98,1.0
30161,0.19049999999999964,20.56,0,98,98,1.0
33497,0.22119999999999962,20.24,4,94,94,1.0
36851,0.2112999999999996,20.73,2,97,97,1.0
40299,0.18889999999999962,19.83,0,98,98,1.0
43815,0.2239999999999996,20.43,3,97,97,1.0
47195,0.20349999999999963,20.61,2,95,95,1.0
50835,0.24379999999999957,19.13,6,93,93,1.0
54281,0.1934999999999997,20.65,1,96,96,1.0
57657,0.21599999999999958,19.89,2,98,98,1.0
60903,0.1719999999999997,19.79,0,94,94,1.0
64039,0.20689999999999967,19.18,2,96,96,1.0
67371,0.1848999999999997,18.66,0,97,97,1.0
70589,0.2160999999999996,20.74,3,95,95,1.0
73915,0.20189999999999966,22.02,2,95,95,1.0
77157,0.21599999999999958,20.7,2,98,98,1.0
80659,0.19999999999999962,20.47,0,100,100,1.0
84133,0.22079999999999955,20.2,3,96,96,1.0
87354,0.2114999999999996,20.91,3,94,94,1.0
90670,0.2068999999999996,20.77,2,96,96,1.0
93860,0.22789999999999966,21.71,6,89,89,1.0
97170,0.20009999999999967,21.85,1,97,97,1.0
100434,0.20489999999999955,20.65,2,96,96,1.0
103766,0.20969999999999964,19.43,2,97,97,1.0
107130,0.20399999999999965,21.8,3,93,93,1.0
110520,0.1947999999999997,22.2,1,96,96,1.0
114124,0.20169999999999963,20.83,3,93,93,1.0
117304,0.2203999999999996,20.33,3,96,96,1.0
120672,0.1867999999999997,20.31,0,96,96,1.0
123838,0.20799999999999963,20.18,1,99,99,1.0
127221,0.2036999999999997,20.06,2,95,95,1.0
130667,0.22649999999999956,21.4,4,95,95,1.0
