timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
23,-0.014800000000000013,14.52,1,51,51,1.0
3595,-0.015400000000000007,15.19,0,51,51,1.0
6795,-0.0015000000000000074,15.07,2,51,51,1.0
10269,0.017699999999999997,15.0,4,50,50,1.0
13707,-0.013199999999999969,15.77,0,51,51,1.0
17113,-0.010799999999999999,14.39,1,50,50,1.0
20241,0.06680000000000008,16.14,3,60,60,1.0
23689,-0.012099999999999994,14.63,1,50,50,1.0
26923,-0.0012000000000000088,13.71,1,52,52,1.0
30161,-0.017500000000000005,14.97,1,48,48,1.0
33497,-0.05919999999999994,14.86,0,42,42,1.0
36851,-0.01919999999999998,15.23,1,49,49,1.0
40299,-0.05839999999999995,15.18,0,43,43,1.0
43815,0.004499999999999994,14.52,2,50,50,1.0
47195,-0.016999999999999946,14.08,0,51,51,1.0
50835,-0.0202,14.57,1,46,46,1.0
54281,-0.03069999999999998,15.31,0,51,51,1.0
57657,-0.008100000000000005,14.54,1,53,53,1.0
60903,-0.011100000000000004,14.18,0,54,54,1.0
64039,-0.018199999999999966,14.43,1,47,47,1.0
67371,-0.056599999999999956,14.07,0,45,45,1.0
70589,-0.060700000000000004,15.02,0,43,43,1.0
73915,-0.0071000000000000126,15.48,1,52,52,1.0
77157,0.016000000000000004,16.53,1,54,54,1.0
80659,-0.0411,13.97,1,44,44,1.0
84133,-0.0018000000000000039,14.95,1,51,51,1.0
87354,-0.031,15.15,0,49,49,1.0
90670,-0.0745,14.16,0,39,39,1.0
93860,0.003599999999999998,13.91,1,52,52,1.0
97170,-0.025700000000000004,14.73,1,49,49,1.0
100434,0.0204,14.99,3,51,51,1.0
103766,-0.011800000000000007,14.57,1,51,51,1.0
107130,-0.019400000000000008,14.71,3,44,44,1.0
110520,-0.04129999999999999,14.54,0,46,46,1.0
114124,-0.017399999999999992,14.06,0,54,54,1.0
117304,-0.02090000000000001,14.74,2,46,46,1.0
120672,-0.016199999999999996,14.27,1,49,49,1.0
123838,-0.034299999999999935,14.13,0,48,48,1.0
127221,-0.004399999999999994,14.0,0,54,54,1.0
130667,-0.019599999999999947,14.15,3,47,47,1.0
133917,-0.033999999999999954,14.77,1,46,46,1.0
137283,-0.07409999999999997,14.4,1,35,35,1.0
140765,-0.055199999999999985,15.32,2,40,40,1.0
143951,0.04570000000000007,15.49,2,59,59,1.0
147425,-0.008500000000000023,14.73,0,53,53,1.0
150671,-0.03309999999999998,14.34,0,46,46,1.0
154121,-0.029199999999999962,13.93,3,43,43,1.0
157221,-0.017499999999999932,14.66,2,47,47,1.0
160514,-0.019900000000000004,14.63,1,46,46,1.0
163953,-0.007900000000000013,14.94,0,55,55,1.0
167105,0.017900000000000058,15.49,1,55,55,1.0
170611,-0.012400000000000007,15.3,0,54,54,1.0
173725,-0.05909999999999994,14.45,0,46,46,1.0
177103,-0.048899999999999964,14.48,0,42,42,1.0
180663,-0.009400000000000002,14.19,0,55,55,1.0
184053,0.005799999999999999,14.39,2,51,51,1.0
187380,-0.027199999999999985,14.93,1,44,44,1.0
190570,-0.04049999999999999,14.86,0,48,48,1.0
194006,-0.06139999999999996,15.02,0,43,43,1.0
197254,0.005100000000000025,15.08,3,51,51,1.0
200649,-0.010600000000000005,13.57,1,51,51,1.0
203905,-0.016,13.93,1,51,51,1.0
207261,-0.07059999999999997,13.92,0,45,45,1.0
210617,0.0007999999999999952,15.61,1,48,48,1.0
214146,-0.02459999999999997,15.39,2,44,44,1.0
217502,-0.00429999999999999,15.15,1,51,51,1.0
221053,-0.053399999999999954,13.49,1,40,40,1.0
224435,-0.049099999999999956,14.52,0,43,43,1.0
227663,-0.06459999999999999,14.57,0,45,45,1.0
231099,-0.06029999999999995,13.83,0,47,47,1.0
234515,-0.03709999999999995,14.51,0,48,48,1.0
237779,-0.011400000000000006,14.86,2,47,47,1.0
241097,0.005499999999999994,14.39,1,56,56,1.0
244515,-0.04589999999999999,15.22,0,46,46,1.0
247609,-0.013399999999999997,15.23,0,52,52,1.0
251095,-0.05069999999999994,14.16,1,42,42,1.0
254239,-0.05109999999999998,14.32,0,44,44,1.0
257259,-0.02629999999999996,15.41,2,49,49,1.0
260737,-0.011700000000000009,14.93,0,53,53,1.0
264255,-0.03799999999999999,14.14,0,48,48,1.0
267639,-0.008500000000000006,14.77,0,55,55,1.0
270893,-0.07559999999999995,15.05,0,43,43,1.0
274313,-0.03820000000000001,13.74,1,48,48,1.0
277655,-0.012300000000000002,15.41,2,48,48,1.0
281007,-0.03579999999999998,15.68,2,43,43,1.0
284535,-0.06089999999999996,14.26,0,47,47,1.0
