timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
23,-0.07639999999999997,13.42,0,45,45,1.0
3595,-0.04809999999999999,15.03,0,45,45,1.0
6795,-0.013199999999999998,15.22,3,44,44,1.0
10269,-0.034599999999999985,14.67,1,43,43,1.0
13707,-0.05079999999999993,14.42,0,42,42,1.0
17113,-0.021899999999999996,13.53,0,48,48,1.0
20241,0.008699999999999998,15.04,2,50,50,1.0
23689,-0.021000000000000015,13.84,0,52,52,1.0
26923,-0.006400000000000008,14.15,3,48,48,1.0
30161,-0.019,14.22,0,50,50,1.0
33497,-0.03549999999999991,13.92,1,42,42,1.0
36851,-0.04669999999999996,14.51,1,43,43,1.0
40299,-0.07669999999999996,15.17,0,40,40,1.0
43815,-0.04009999999999996,14.13,3,37,37,1.0
47195,-0.02209999999999998,13.19,0,50,50,1.0
50835,-0.003999999999999998,13.71,2,47,47,1.0
54281,-0.0123,15.06,1,51,51,1.0
57657,-0.02059999999999998,13.49,2,47,47,1.0
60903,-0.05749999999999999,13.91,1,44,44,1.0
64039,-0.017799999999999958,13.94,1,49,49,1.0
67371,-0.05819999999999997,14.36,0,45,45,1.0
70589,-0.0938,13.96,1,37,37,1.0
73915,-0.036199999999999996,14.98,1,44,44,1.0
77157,-0.05689999999999998,14.42,0,43,43,1.0
80659,-0.06109999999999999,13.07,0,42,42,1.0
84133,-0.030299999999999983,14.24,1,46,46,1.0
87354,-0.07839999999999996,14.25,0,39,39,1.0
90670,-0.08579999999999999,14.15,0,36,36,1.0
93860,-0.018300000000000004,13.81,1,48,48,1.0
97170,-0.05399999999999995,14.13,3,40,40,1.0
100434,-0.025399999999999968,13.89,2,43,43,1.0
103766,-0.009999999999999959,14.29,2,45,45,1.0
107130,-0.04339999999999998,14.18,3,40,40,1.0
110520,-0.056600000000000004,14.6,0,43,43,1.0
114124,-0.04689999999999998,13.49,0,48,48,1.0
117304,-0.023799999999999998,14.27,2,46,46,1.0
120672,-0.04789999999999999,13.59,0,46,46,1.0
123838,0.006500000000000013,14.36,2,52,52,1.0
127221,-0.024300000000000002,13.88,0,50,50,1.0
130667,-0.07109999999999993,13.48,2,38,38,1.0
133917,-0.023999999999999962,14.13,2,46,46,1.0
137283,-0.09430000000000001,13.14,1,33,33,1.0
140765,-0.08679999999999997,14.01,2,35,35,1.0
143951,-0.02469999999999993,14.08,0,51,51,1.0
147425,-0.015799999999999984,13.91,0,51,51,1.0
150671,-0.035500000000000004,14.47,0,47,47,1.0
154121,-0.05439999999999996,13.03,1,43,43,1.0
157221,-0.04499999999999997,14.41,0,45,45,1.0
160514,-0.029499999999999988,13.74,1,46,46,1.0
163953,-0.0292,15.32,1,47,47,1.0
167105,-0.017900000000000003,14.95,0,48,48,1.0
170611,0.010100000000000003,14.4,0,59,59,1.0
173725,-0.02409999999999996,13.6,2,51,51,1.0
177103,-0.04899999999999995,13.87,0,41,41,1.0
180663,-0.023299999999999984,14.01,0,51,51,1.0
184053,-0.05999999999999996,13.88,0,41,41,1.0
187380,-0.04599999999999998,13.56,1,44,44,1.0
190570,-0.061999999999999986,13.45,0,46,46,1.0
194006,-0.10000000000000005,14.24,0,32,32,1.0
197254,-0.017899999999999923,13.72,2,49,49,1.0
200649,-0.06689999999999997,13.49,1,39,39,1.0
203905,-0.045,13.75,0,48,48,1.0
207261,-0.07519999999999998,13.26,0,43,43,1.0
210617,-0.005499999999999994,14.49,0,49,49,1.0
214146,-0.06749999999999995,14.18,1,37,37,1.0
217502,-0.018999999999999996,14.85,0,53,53,1.0
221053,-0.03359999999999999,12.99,1,46,46,1.0
224435,-0.02619999999999998,14.45,1,47,47,1.0
227663,-0.03809999999999998,15.22,0,48,48,1.0
231099,-0.08520000000000001,13.32,0,40,40,1.0
234515,-0.06789999999999995,13.9,2,37,37,1.0
237779,-0.05689999999999993,13.44,1,41,41,1.0
241097,-0.039699999999999964,13.9,1,47,47,1.0
244515,-0.062099999999999975,13.88,1,41,41,1.0
247609,-0.031099999999999968,13.89,1,43,43,1.0
251095,-0.05799999999999995,14.23,0,45,45,1.0
254239,-0.11000000000000006,13.84,0,35,35,1.0
257259,-0.013499999999999979,14.99,1,53,53,1.0
260737,-0.023399999999999987,14.44,1,48,48,1.0
264255,-0.052199999999999996,14.36,0,45,45,1.0
267639,-0.012100000000000005,14.61,0,54,54,1.0
270893,-0.10200000000000001,14.3,0,37,37,1.0
274313,-0.048899999999999985,13.52,1,43,43,1.0
277655,-0.05769999999999997,15.01,1,42,42,1.0
281007,-0.06619999999999998,15.01,1,40,40,1.0
284535,-0.07109999999999998,14.48,1,41,41,1.0
287996,-0.12610000000000002,13.89,0,30,30,1.0
291200,-0.03469999999999998,13.74,0,46,46,1.0
294348,-0.023799999999999995,14.49,2,43,43,1.0
297660,-0.05139999999999996,13.84,0,46,46,1.0
300788,-0.0074000000000000125,14.39,1,50,50,1.0
304238,-0.04449999999999999,13.6,1,42,42,1.0
307658,-0.006499999999999965,14.31,1,50,50,1.0
311108,-0.013099999999999995,14.88,2,47,47,1.0
314528,-0.0649,14.49,1,40,40,1.0
318004,-0.07279999999999998,14.04,0,38,38,1.0
321130,-0.06879999999999996,13.61,0,41,41,1.0
324694,-0.036799999999999986,14.09,1,44,44,1.0
327946,-0.018900000000000017,14.29,0,48,48,1.0
331262,-0.01510000000000001,14.39,1,47,47,1.0
334522,-0.00010000000000000453,14.84,0,51,51,1.0
337932,-0.015200000000000005,14.32,1,50,50,1.0
341378,-0.08459999999999995,13.6,0,37,37,1.0
344601,-0.05129999999999996,14.07,1,42,42,1.0
347809,-0.051500000000000004,14.63,3,39,39,1.0
351183,-0.0783,14.15,0,42,42,1.0
354544,-0.049099999999999956,13.54,1,42,42,1.0
357925,-0.03379999999999996,15.06,1,42,42,1.0
361305,-0.10470000000000004,15.33,0,33,33,1.0
364667,-0.05269999999999997,14.35,0,48,48,1.0
367915,-0.04609999999999996,14.98,2,37,37,1.0
371303,-0.05759999999999996,14.48,3,37,37,1.0
374725,-0.029999999999999957,15.0,0,48,48,1.0
377903,-0.051399999999999973,14.07,1,42,42,1.0
381464,-0.05639999999999997,13.61,0,44,44,1.0
384738,-0.006400000000000008,15.22,0,53,53,1.0
