timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
23,0.2055999999999996,23.48,4,89,159,0.559748427672956
3318,0.21439999999999965,22.45,4,92,156,0.5897435897435898
6756,0.19319999999999962,22.08,1,95,155,0.6129032258064516
9927,0.2239999999999997,22.69,7,85,143,0.5944055944055944
13117,0.23459999999999961,22.42,7,87,162,0.5370370370370371
16320,0.2502999999999996,20.69,8,89,150,0.5933333333333334
18992,0.23359999999999964,23.0,5,93,188,0.4946808510638298
22391,0.2605999999999996,23.28,9,88,160,0.55
25245,0.23209999999999964,22.69,6,90,157,0.5732484076433121
28347,0.20449999999999963,22.22,2,95,158,0.6012658227848101
31306,0.25089999999999957,21.88,7,92,169,0.5443786982248521
34338,0.22379999999999967,21.81,6,90,153,0.5882352941176471
37350,0.22419999999999962,22.11,5,92,167,0.5508982035928144
40520,0.2161999999999996,22.57,4,92,185,0.4972972972972973
43470,0.2262999999999996,22.45,4,94,179,0.5251396648044693
46292,0.23489999999999958,21.55,7,88,150,0.5866666666666667
49334,0.2400999999999996,22.66,7,89,166,0.536144578313253
52393,0.23349999999999954,22.35,6,91,169,0.5384615384615384
55323,0.22099999999999959,21.78,6,88,140,0.6285714285714286
58333,0.2520999999999996,22.0,7,92,188,0.48936170212765956
61288,0.20799999999999957,21.28,2,96,167,0.5748502994011976
64244,0.2196999999999996,23.02,5,90,153,0.5882352941176471
67417,0.21879999999999966,23.82,6,87,167,0.5209580838323353
70521,0.2260999999999996,23.5,6,89,178,0.5
73771,0.20349999999999963,21.75,4,89,207,0.42995169082125606
76833,0.2095999999999996,21.36,2,96,197,0.4873096446700508
79884,0.23979999999999962,22.29,7,89,169,0.5266272189349113
82962,0.2049999999999996,22.02,4,89,139,0.6402877697841727
85892,0.24429999999999963,22.47,8,87,188,0.4627659574468085
88792,0.2638999999999996,24.37,10,85,206,0.41262135922330095
91676,0.2474999999999996,22.21,8,87,171,0.5087719298245614
94574,0.21679999999999963,22.71,4,92,177,0.519774011299435
97446,0.2270999999999996,23.54,4,95,180,0.5277777777777778
100311,0.2642999999999996,23.46,9,89,183,0.48633879781420764
103390,0.2122999999999996,23.03,5,89,181,0.49171270718232046
106405,0.24659999999999957,25.47,9,85,176,0.48295454545454547
109411,0.20049999999999965,22.58,2,94,161,0.5838509316770186
112457,0.23269999999999963,22.6,5,93,172,0.5406976744186046
115583,0.22219999999999962,20.9,4,93,182,0.510989010989011
118483,0.22359999999999963,24.22,5,91,188,0.48404255319148937
121393,0.2490999999999996,23.67,9,86,183,0.46994535519125685
124567,0.23699999999999968,22.32,6,91,189,0.48148148148148145
127407,0.22499999999999956,25.36,8,83,193,0.43005181347150256
130273,0.2367999999999996,22.12,6,92,170,0.5411764705882353
133235,0.24749999999999958,22.17,7,91,160,0.56875
136276,0.2593999999999996,20.93,10,85,154,0.551948051948052
139378,0.20569999999999966,23.03,2,95,169,0.5621301775147929
142314,0.23429999999999956,23.65,6,91,162,0.5617283950617284
145364,0.23959999999999965,22.68,7,89,196,0.45408163265306123
148316,0.21339999999999965,23.23,4,91,181,0.5027624309392266
151740,0.2491999999999997,22.71,10,83,172,0.48255813953488375
154708,0.22369999999999965,22.62,5,91,183,0.4972677595628415
157672,0.21279999999999963,24.84,5,89,179,0.4972067039106145
160590,0.22649999999999962,24.27,6,88,201,0.43781094527363185
163680,0.24579999999999963,22.55,8,87,182,0.47802197802197804
166694,0.2031999999999996,22.99,3,92,212,0.4339622641509434
169936,0.18729999999999972,22.48,2,92,159,0.5786163522012578
172948,0.22999999999999965,23.87,5,93,225,0.41333333333333333
175950,0.2619999999999996,23.58,10,86,191,0.450261780104712
178964,0.2804999999999995,23.59,13,82,197,0.41624365482233505
181894,0.2661999999999996,22.49,10,87,202,0.4306930693069307
184696,0.20819999999999964,25.75,5,87,227,0.3832599118942731
187751,0.1927999999999997,22.03,2,93,207,0.4492753623188406
190673,0.2532999999999997,23.35,9,87,215,0.4046511627906977
193909,0.26489999999999964,24.14,10,86,240,0.35833333333333334
197152,0.22889999999999966,23.15,5,92,223,0.4125560538116592
200210,0.23999999999999966,22.79,8,87,204,0.4264705882352941
203208,0.23889999999999958,22.87,6,91,179,0.5083798882681564
206302,0.2151999999999996,23.54,3,95,222,0.42792792792792794
209352,0.21329999999999963,24.58,6,85,236,0.3601694915254237
212379,0.24759999999999965,23.18,8,88,179,0.49162011173184356
215199,0.24489999999999956,21.22,6,93,188,0.4946808510638298
218141,0.2575999999999996,24.19,9,87,190,0.45789473684210524
221061,0.22919999999999965,23.12,6,89,208,0.42788461538461536
224177,0.24509999999999965,21.97,8,87,170,0.5117647058823529
227251,0.25439999999999974,22.72,9,87,200,0.435
230147,0.23689999999999958,23.74,6,91,196,0.4642857142857143
233163,0.2471999999999996,25.93,7,90,216,0.4166666666666667
236179,0.24309999999999968,23.64,8,87,215,0.4046511627906977
239253,0.23099999999999962,24.51,6,90,214,0.4205607476635514
