timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
23,-0.0014000000000000024,15.9,3,43,72,0.5972222222222222
3318,-0.008199999999999999,16.13,0,52,76,0.6842105263157895
6756,0.0007999999999999921,16.01,2,50,70,0.7142857142857143
9927,0.016499999999999997,16.32,3,51,82,0.6219512195121951
13117,0.004499999999999994,16.99,2,45,80,0.5625
16320,0.02170000000000001,15.65,2,54,83,0.6506024096385542
18992,0.04550000000000006,16.96,3,54,92,0.5869565217391305
22391,0.013700000000000007,16.33,1,53,76,0.6973684210526315
25245,-0.0028000000000000065,14.67,2,45,76,0.5921052631578947
28347,0.024500000000000046,16.17,2,53,75,0.7066666666666667
31306,-0.0197,16.0,0,48,71,0.676056338028169
34338,-0.023099999999999964,15.61,1,44,76,0.5789473684210527
37350,-0.04469999999999997,16.44,1,42,69,0.6086956521739131
40520,0.04250000000000005,15.68,3,53,80,0.6625
43470,-0.012499999999999971,15.48,0,49,74,0.6621621621621622
46292,0.005899999999999992,15.87,1,50,73,0.684931506849315
49334,-0.023399999999999994,16.31,0,50,72,0.6944444444444444
52393,0.007800000000000018,16.02,1,53,79,0.6708860759493671
55323,0.025200000000000004,15.04,2,56,90,0.6222222222222222
58333,-0.017999999999999967,16.67,2,40,67,0.5970149253731343
61288,-0.023299999999999967,15.03,3,43,66,0.6515151515151515
64244,-0.05620000000000002,16.02,1,36,67,0.5373134328358209
67417,0.014900000000000002,16.34,1,55,77,0.7142857142857143
70521,0.010599999999999998,17.69,0,52,99,0.5252525252525253
73771,-0.005299999999999998,15.59,3,44,67,0.6567164179104478
76833,-0.011399999999999997,16.57,1,45,68,0.6617647058823529
79884,-0.0239,15.96,0,50,77,0.6493506493506493
82962,-0.039900000000000005,15.52,3,36,68,0.5294117647058824
85892,-0.004800000000000009,14.99,1,50,67,0.746268656716418
88792,0.024200000000000017,15.32,4,49,76,0.6447368421052632
91676,0.032100000000000045,15.89,4,47,84,0.5595238095238095
94574,-0.012900000000000007,16.26,3,40,80,0.5
97446,-0.020899999999999988,15.52,3,42,66,0.6363636363636364
100311,0.011299999999999998,15.28,2,50,78,0.6410256410256411
103390,-0.03369999999999998,15.45,0,47,80,0.5875
106405,-0.010700000000000005,16.12,2,46,72,0.6388888888888888
109411,-0.00580000000000001,15.47,2,46,84,0.5476190476190477
112457,-0.03329999999999998,15.04,1,45,86,0.5232558139534884
115583,-0.02050000000000001,15.27,1,47,75,0.6266666666666667
118483,-0.021099999999999987,15.63,2,45,78,0.5769230769230769
121393,0.021100000000000004,16.43,4,46,86,0.5348837209302325
124567,-0.0349,15.85,1,44,69,0.6376811594202898
127407,-0.05659999999999998,16.13,1,36,67,0.5373134328358209
