timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
23,-0.08309999999999997,14.38,1,36,52,0.6923076923076923
3295,-0.034,15.43,1,42,61,0.6885245901639344
6649,-0.0352,15.34,3,38,57,0.6666666666666666
10003,-0.03139999999999999,14.65,3,36,61,0.5901639344262295
13113,-0.032799999999999954,14.94,2,38,59,0.6440677966101694
16458,-0.06829999999999999,13.61,0,38,62,0.6129032258064516
19292,0.012799999999999995,15.58,5,41,65,0.6307692307692307
22610,-0.017299999999999975,14.86,2,46,77,0.5974025974025974
25572,-0.014000000000000004,14.35,3,44,68,0.6470588235294118
28739,-0.04849999999999999,14.3,0,43,66,0.6515151515151515
31829,-0.0676,14.08,2,34,48,0.7083333333333334
34703,-0.08259999999999997,14.27,0,35,61,0.5737704918032787
37737,-0.05839999999999998,15.17,3,32,53,0.6037735849056604
40913,-0.02129999999999997,14.57,3,39,55,0.7090909090909091
43961,-0.021699999999999987,13.95,2,45,75,0.6
46817,-0.0175,14.47,2,45,63,0.7142857142857143
49889,-0.049300000000000004,15.32,2,37,69,0.5362318840579711
52931,-0.06389999999999998,14.25,3,34,60,0.5666666666666667
55815,-0.07539999999999995,14.03,2,34,68,0.5
58881,-0.03729999999999997,14.8,2,38,66,0.5757575757575758
61883,-0.05069999999999997,14.28,1,41,54,0.7592592592592593
64879,-0.06259999999999998,14.88,1,38,57,0.6666666666666666
67836,-0.05789999999999998,14.58,0,42,60,0.7
70978,-0.020899999999999946,15.5,3,41,65,0.6307692307692307
73988,-0.08799999999999997,13.71,1,33,56,0.5892857142857143
76872,-0.049099999999999984,14.58,0,41,60,0.6833333333333333
79794,-0.054999999999999966,15.05,2,37,62,0.5967741935483871
82856,-0.06689999999999999,13.89,1,38,57,0.6666666666666666
85854,-0.022700000000000005,14.17,5,36,58,0.6206896551724138
88810,-0.08510000000000009,13.79,1,35,52,0.6730769230769231
91760,-0.049699999999999994,14.11,3,33,64,0.515625
94678,-0.029499999999999926,14.05,2,41,64,0.640625
97630,-0.07599999999999996,14.46,3,30,55,0.5454545454545454
100554,-0.0243,14.76,5,30,56,0.5357142857142857
103774,-0.07429999999999995,13.73,0,42,69,0.6086956521739131
106694,-0.05579999999999997,14.79,3,35,56,0.625
109738,-0.0471,14.03,3,32,60,0.5333333333333333
112683,-0.0766,14.26,2,32,54,0.5925925925925926
115667,-0.051100000000000007,13.82,2,37,66,0.5606060606060606
118731,-0.054099999999999974,13.74,1,41,67,0.6119402985074627
121654,-0.036799999999999986,14.51,2,40,76,0.5263157894736842
124791,-0.12369999999999999,13.76,1,24,44,0.5454545454545454
127762,-0.10720000000000002,14.43,2,27,55,0.4909090909090909
130728,-0.048099999999999976,14.92,1,39,73,0.5342465753424658
133814,-0.08369999999999995,14.51,1,31,72,0.4305555555555556
137058,-0.054499999999999986,13.93,1,37,66,0.5606060606060606
140144,-0.06669999999999998,14.11,2,36,64,0.5625
143126,-0.0702,14.67,0,39,58,0.6724137931034483
146128,-0.06199999999999996,15.06,1,36,62,0.5806451612903226
149128,-0.02229999999999997,16.6,2,43,81,0.5308641975308642
152408,-0.02959999999999999,14.03,4,37,57,0.6491228070175439
155514,-0.023999999999999987,15.1,1,45,81,0.5555555555555556
158538,-0.0394,14.88,4,34,75,0.4533333333333333
161572,-0.07719999999999996,14.15,0,34,63,0.5396825396825397
164613,-0.018599999999999988,13.85,4,38,77,0.4935064935064935
167569,-0.09870000000000005,14.88,0,29,54,0.5370370370370371
170771,-0.045199999999999976,14.02,2,37,65,0.5692307692307692
173771,-0.10229999999999999,13.89,0,36,62,0.5806451612903226
176711,-0.10730000000000008,14.74,0,29,50,0.58
179769,-0.06259999999999999,14.62,5,26,67,0.3880597014925373
182846,-0.05879999999999997,13.53,1,40,62,0.6451612903225806
185662,-0.07189999999999999,14.07,0,39,69,0.5652173913043478
188630,-0.10570000000000006,14.2,0,32,61,0.5245901639344263
191529,-0.04229999999999997,14.45,2,34,80,0.425
