timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
23,0.20949999999999963,19.39,3,94,97,0.9690721649484536
3189,0.19979999999999962,21.04,1,97,98,0.9897959183673469
6424,0.19559999999999964,20.12,1,96,98,0.9795918367346939
9888,0.19419999999999965,20.28,1,96,96,1.0
13046,0.2107999999999997,19.92,3,95,99,0.9595959595959596
16349,0.21599999999999964,17.79,2,98,101,0.9702970297029703
19401,0.21209999999999954,19.04,2,97,98,0.9897959183673469
22639,0.19999999999999962,18.78,0,100,100,1.0
25782,0.19599999999999962,20.43,0,99,99,1.0
29218,0.2351999999999996,20.3,5,94,94,1.0
32620,0.20799999999999963,19.62,1,99,103,0.9611650485436893
35975,0.21949999999999964,19.25,4,94,96,0.9791666666666666
39245,0.19499999999999967,20.02,2,93,93,1.0
42571,0.20969999999999964,20.5,4,91,94,0.9680851063829787
45733,0.19609999999999964,19.87,1,96,97,0.9896907216494846
48915,0.20729999999999957,20.45,2,96,96,1.0
52170,0.20799999999999963,18.82,1,99,101,0.9801980198019802
55362,0.19969999999999963,19.96,2,94,96,0.9791666666666666
58752,0.19299999999999964,19.63,1,96,99,0.9696969696969697
62158,0.21589999999999962,20.44,3,95,96,0.9895833333333334
65300,0.21209999999999962,18.94,2,97,101,0.9603960396039604
68562,0.18449999999999964,20.7,0,96,97,0.9896907216494846
71828,0.2000999999999996,20.1,1,97,97,1.0
75144,0.21209999999999962,20.52,2,97,100,0.97
78448,0.20659999999999967,20.14,2,96,96,1.0
81628,0.2239999999999996,17.8,3,97,99,0.9797979797979798
84760,0.1991999999999997,21.48,3,92,94,0.9787234042553191
88004,0.2083999999999996,18.49,2,96,100,0.96
91057,0.23199999999999965,20.27,4,96,96,1.0
94215,0.21199999999999963,19.96,2,97,97,1.0
97345,0.19849999999999962,20.05,1,97,98,0.9897959183673469
100455,0.21569999999999961,20.13,3,95,96,0.9895833333333334
103821,0.18959999999999969,20.1,1,96,97,0.9896907216494846
107051,0.1964999999999996,21.01,2,93,101,0.9207920792079208
