timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
23,-0.4796999999999998,47.29,0,3,9,0.3333333333333333
3371,-0.48040000000000005,47.44,0,3,27,0.1111111111111111
6609,-0.4808,46.28,0,2,18,0.1111111111111111
9969,-0.4795999999999998,47.8,0,5,20,0.25
13038,-0.44350000000000017,47.09,0,10,33,0.30303030303030304
16444,-0.42280000000000023,49.84,2,4,36,0.1111111111111111
19438,-0.45820000000000016,47.24,1,7,29,0.2413793103448276
22768,-0.47930000000000006,50.27,0,4,20,0.2
25966,-0.46059999999999995,48.5,1,4,28,0.14285714285714285
29134,-0.4297000000000001,48.98,2,7,32,0.21875
32373,-0.46480000000000005,48.85,0,6,33,0.18181818181818182
35739,-0.43680000000000013,49.15,1,6,39,0.15384615384615385
38949,-0.43110000000000004,48.52,0,7,27,0.25925925925925924
42115,-0.44599999999999973,49.45,0,6,22,0.2727272727272727
45321,-0.44120000000000004,47.37,1,7,41,0.17073170731707318
48567,-0.4370000000000001,49.62,0,9,36,0.25
51733,-0.47430000000000033,50.51,0,4,23,0.17391304347826086
55131,-0.4278,48.64,0,11,28,0.39285714285714285
58336,-0.41640000000000016,48.96,1,5,38,0.13157894736842105
61644,-0.4536999999999998,47.75,1,4,25,0.16
64871,-0.4401000000000001,49.84,0,8,33,0.24242424242424243
68157,-0.45620000000000005,49.18,0,6,37,0.16216216216216217
71280,-0.46579999999999977,50.02,0,5,34,0.14705882352941177
74334,-0.47980000000000017,48.7,0,3,25,0.12
77818,-0.3839999999999998,46.24,1,15,40,0.375
81070,-0.42940000000000006,48.1,0,8,33,0.24242424242424243
84222,-0.4564999999999999,48.38,0,5,35,0.14285714285714285
87307,-0.47319999999999984,49.66,0,3,24,0.125
90267,-0.44030000000000014,50.53,1,6,39,0.15384615384615385
93371,-0.4511,49.21,0,5,34,0.14705882352941177
96628,-0.44269999999999987,49.9,1,6,31,0.1935483870967742
99675,-0.3610000000000001,45.72,1,14,45,0.3111111111111111
102859,-0.46440000000000015,49.65,1,5,20,0.25
106053,-0.4367000000000001,48.21,0,7,30,0.23333333333333334
109348,-0.45760000000000006,48.59,0,5,23,0.21739130434782608
112391,-0.43030000000000024,48.63,1,5,17,0.29411764705882354
115483,-0.3618000000000001,46.16,2,15,61,0.2459016393442623
118741,-0.3893999999999999,48.72,1,10,44,0.22727272727272727
122009,-0.3280000000000001,46.04,5,12,46,0.2608695652173913
125391,-0.43429999999999985,49.29,0,6,40,0.15
128645,-0.43560000000000004,49.1,0,5,43,0.11627906976744186
132084,-0.3988999999999998,48.19,0,14,42,0.3333333333333333
135278,-0.4142999999999998,48.23,2,8,35,0.22857142857142856
138262,-0.3827,49.31,0,10,50,0.2
141681,-0.44160000000000016,48.8,0,6,29,0.20689655172413793
144749,-0.38720000000000016,47.73,2,8,39,0.20512820512820512
148045,-0.43560000000000004,49.01,0,6,47,0.1276595744680851
150953,-0.39350000000000024,49.03,1,10,47,0.2127659574468085
154013,-0.41589999999999955,48.18,0,10,43,0.23255813953488372
157125,-0.4133999999999999,47.54,0,13,51,0.2549019607843137
160479,-0.4463,48.93,1,4,19,0.21052631578947367
163782,-0.45829999999999976,47.77,0,7,38,0.18421052631578946
167087,-0.39849999999999997,46.9,1,7,34,0.20588235294117646
170294,-0.4022000000000001,46.53,0,12,45,0.26666666666666666
173694,-0.4513999999999999,49.45,0,6,33,0.18181818181818182
176874,-0.4489000000000001,49.44,1,6,47,0.1276595744680851
179968,-0.4218,49.67,1,3,38,0.07894736842105263
183085,-0.4515,49.91,0,2,31,0.06451612903225806
186051,-0.4210999999999999,50.45,1,5,27,0.18518518518518517
189288,-0.43660000000000004,50.6,1,6,38,0.15789473684210525
192418,-0.4014000000000001,49.15,0,6,36,0.16666666666666666
195550,-0.3796,48.18,0,11,45,0.24444444444444444
198814,-0.4366,47.77,1,7,36,0.19444444444444445
202170,-0.41180000000000017,49.9,1,7,43,0.16279069767441862
205476,-0.38409999999999983,47.31,1,9,44,0.20454545454545456
208638,-0.4712999999999999,49.26,0,5,39,0.1282051282051282
212074,-0.36609999999999987,48.33,2,13,51,0.2549019607843137
215095,-0.4273,49.2,0,7,39,0.1794871794871795
218414,-0.4400999999999998,48.6,1,3,41,0.07317073170731707
221635,-0.3977999999999998,48.38,3,5,31,0.16129032258064516
224892,-0.42289999999999983,48.67,0,5,48,0.10416666666666667
228028,-0.37880000000000025,46.7,1,9,40,0.225
231250,-0.42179999999999995,49.27,1,6,54,0.1111111111111111
234386,-0.41559999999999997,48.05,1,7,47,0.14893617021276595
237563,-0.4660999999999999,52.04,0,3,40,0.075
240795,-0.39570000000000005,48.35,1,10,47,0.2127659574468085
244109,-0.43050000000000005,50.16,0,7,39,0.1794871794871795
247162,-0.4103999999999999,48.87,1,7,42,0.16666666666666666
250470,-0.42279999999999995,50.72,0,8,37,0.21621621621621623
253750,-0.4122000000000002,49.55,0,7,36,0.19444444444444445
257121,-0.3651999999999999,46.8,0,14,59,0.23728813559322035
260359,-0.40800000000000003,48.63,1,4,42,0.09523809523809523
263685,-0.4007,46.9,0,9,53,0.16981132075471697
266953,-0.36370000000000025,46.09,1,12,44,0.2727272727272727
270239,-0.3961999999999999,48.05,3,5,38,0.13157894736842105
273620,-0.3569000000000002,45.92,1,14,52,0.2692307692307692
277006,-0.39100000000000007,49.2,3,4,31,0.12903225806451613
280310,-0.4331999999999999,48.63,1,6,26,0.23076923076923078
283721,-0.38659999999999994,48.3,0,9,42,0.21428571428571427
287125,-0.3776,48.58,0,12,52,0.23076923076923078
290537,-0.4094999999999998,48.48,1,8,51,0.1568627450980392
293915,-0.38690000000000013,48.07,1,9,47,0.19148936170212766
297307,-0.3793999999999999,49.64,1,8,61,0.13114754098360656
300753,-0.36279999999999996,49.71,2,11,59,0.1864406779661017
304091,-0.3488000000000001,49.46,3,8,51,0.1568627450980392
307489,-0.34500000000000014,49.83,1,14,70,0.2
310823,-0.3221,47.85,3,13,77,0.16883116883116883
314069,-0.3660999999999999,48.0,0,14,58,0.2413793103448276
317359,-0.3554999999999998,47.58,0,15,50,0.3
320787,-0.3640000000000002,48.43,0,7,73,0.0958904109589041
323859,-0.3457999999999999,48.04,0,17,61,0.2786885245901639
327259,-0.3563000000000001,47.23,2,11,58,0.1896551724137931
330597,-0.4186999999999999,51.6,1,4,40,0.1
333769,-0.3793999999999999,50.25,0,10,67,0.14925373134328357
337005,-0.3459000000000001,47.16,0,15,68,0.22058823529411764
340433,-0.3696,50.5,1,9,70,0.12857142857142856
343862,-0.3721,50.58,1,9,60,0.15
347176,-0.35710000000000014,48.41,3,7,56,0.125
350566,-0.3554999999999999,49.1,1,14,68,0.20588235294117646
353808,-0.3943000000000001,51.59,1,7,55,0.12727272727272726
357262,-0.3029,50.04,3,12,70,0.17142857142857143
360846,-0.3401000000000001,51.09,1,14,71,0.19718309859154928
364266,-0.30950000000000005,49.19,0,16,78,0.20512820512820512
367562,-0.3449000000000001,49.54,1,10,83,0.12048192771084337
370702,-0.34420000000000023,47.95,0,15,90,0.16666666666666666
373994,-0.36729999999999985,49.45,1,7,59,0.11864406779661017
377428,-0.34850000000000003,49.58,1,11,69,0.15942028985507245
380642,-0.2634000000000001,49.53,4,12,97,0.12371134020618557
383960,-0.2826,47.63,3,15,68,0.22058823529411764
387204,-0.40619999999999995,50.98,0,7,69,0.10144927536231885
390758,-0.3447,48.9,2,11,89,0.12359550561797752
393918,-0.30990000000000006,48.42,2,13,70,0.18571428571428572
397260,-0.31580000000000025,47.45,4,10,80,0.125
400632,-0.2826000000000001,48.4,4,12,65,0.18461538461538463
404128,-0.36469999999999997,50.26,0,10,55,0.18181818181818182
407604,-0.3354,49.82,2,10,66,0.15151515151515152
410730,-0.34019999999999995,49.05,2,10,85,0.11764705882352941
414182,-0.3099000000000001,47.91,0,19,99,0.1919191919191919
417324,-0.2881000000000001,47.91,1,16,98,0.16326530612244897
420576,-0.3366000000000002,47.68,1,10,77,0.12987012987012986
424110,-0.2872,47.81,3,13,68,0.19117647058823528
427536,-0.31259999999999993,48.58,3,14,84,0.16666666666666666
430980,-0.3074000000000002,48.92,1,15,82,0.18292682926829268
434374,-0.28620000000000007,50.05,0,17,129,0.13178294573643412
437644,-0.29680000000000023,50.17,2,14,78,0.1794871794871795
440921,-0.32000000000000023,47.82,0,16,89,0.1797752808988764
444191,-0.2813000000000001,47.91,5,12,95,0.12631578947368421
447385,-0.2708000000000001,48.14,5,13,81,0.16049382716049382
450615,-0.2517999999999999,46.39,3,17,101,0.16831683168316833
453781,-0.3902999999999999,43.23,0,7,37,0.1891891891891892
457053,-0.40159999999999996,45.66,1,4,42,0.09523809523809523
460479,-0.3889000000000001,46.32,0,4,48,0.08333333333333333
463833,-0.3796,45.0,0,6,45,0.13333333333333333
467289,-0.4109000000000001,44.86,0,5,45,0.1111111111111111
470783,-0.3983,44.78,1,6,44,0.13636363636363635
474103,-0.3619999999999999,44.54,0,8,51,0.1568627450980392
477553,-0.25780000000000014,48.11,5,12,99,0.12121212121212122
481033,-0.27360000000000007,45.95,2,18,96,0.1875
484513,-0.2766,46.94,2,15,103,0.14563106796116504
487791,-0.2682000000000001,48.04,1,18,102,0.17647058823529413
491071,-0.39459999999999995,45.55,0,4,36,0.1111111111111111
494367,-0.38499999999999995,43.6,0,9,40,0.225
497751,-0.3016000000000001,79.49,2,17,93,0.1827956989247312
501083,-0.31850000000000017,82.05,2,13,64,0.203125
504375,-0.30610000000000004,47.79,1,16,85,0.18823529411764706
507973,-0.34550000000000003,45.79,2,8,59,0.13559322033898305
511191,-0.35349999999999987,43.72,1,7,54,0.12962962962962962
514553,-0.3511000000000001,42.75,0,10,51,0.19607843137254902
518071,-0.42770000000000025,78.12,0,5,20,0.25
521613,-0.42210000000000014,76.42,1,2,23,0.08695652173913043
525229,-0.41509999999999986,76.95,0,2,25,0.08
528781,-0.32919999999999994,44.56,2,7,52,0.1346153846153846
532287,-0.29929999999999995,41.67,1,13,43,0.3023255813953488
535829,-0.3439,43.12,0,10,67,0.14925373134328357
539009,-0.3513000000000002,44.05,2,5,49,0.10204081632653061
542605,-0.29340000000000016,50.32,0,18,126,0.14285714285714285
545621,-0.20240000000000005,49.74,5,17,167,0.10179640718562874
548937,-0.2021,47.29,6,15,126,0.11904761904761904
552685,-0.21890000000000007,47.04,4,17,147,0.11564625850340136
555945,-0.3204,43.48,1,10,56,0.17857142857142858
559327,-0.25340000000000007,47.97,2,17,116,0.14655172413793102
562763,-0.1966000000000001,46.95,3,21,140,0.15
566291,-0.22410000000000005,47.49,3,17,115,0.14782608695652175
569955,-0.11700000000000012,43.49,9,23,152,0.1513157894736842
573525,-0.18890000000000007,44.5,4,23,167,0.1377245508982036
576902,-0.37139999999999984,44.92,0,4,55,0.07272727272727272
580220,-0.28960000000000014,49.48,2,11,119,0.09243697478991597
583468,-0.24600000000000005,51.71,0,19,156,0.12179487179487179
587104,-0.3072,42.23,2,9,73,0.1232876712328767
590932,-0.3322000000000001,43.7,1,8,56,0.14285714285714285
594346,-0.2847000000000001,41.54,1,14,65,0.2153846153846154
598080,-0.3385,43.7,1,4,51,0.0784313725490196
601380,-0.31919999999999993,45.61,0,6,75,0.08
605040,-0.3243,43.88,0,10,80,0.125
608220,-0.2953,44.16,1,10,85,0.11764705882352941
611688,-0.31610000000000005,43.44,1,8,79,0.10126582278481013
614940,-0.4122999999999999,76.83,0,4,49,0.08163265306122448
618702,-0.28420000000000006,43.23,3,9,69,0.13043478260869565
622056,-0.3439999999999999,44.27,1,6,67,0.08955223880597014
625492,-0.3706999999999999,76.08,2,6,28,0.21428571428571427
629068,-0.30289999999999995,43.46,2,5,83,0.060240963855421686
632627,-0.2552999999999999,43.1,5,9,77,0.11688311688311688
636295,-0.27300000000000013,41.03,2,14,93,0.15053763440860216
639950,-0.17910000000000004,78.65,4,24,128,0.1875
643300,-0.3223000000000002,78.02,1,11,42,0.2619047619047619
646624,-0.2759,42.93,4,6,98,0.061224489795918366
649972,-0.41390000000000016,78.18,0,4,28,0.14285714285714285
653676,-0.29529999999999995,42.11,3,6,102,0.058823529411764705
657187,-0.3975,78.87,1,1,48,0.020833333333333332
660571,-0.20550000000000007,46.13,2,22,167,0.1317365269461078
663973,-0.28750000000000003,43.82,4,7,61,0.11475409836065574
667701,-0.2964000000000001,42.22,3,9,61,0.14754098360655737
671418,-0.3017000000000002,43.3,0,11,68,0.16176470588235295
674610,-0.32730000000000004,43.25,1,6,56,0.10714285714285714
678313,-0.3011,44.02,2,11,88,0.125
682127,-0.37720000000000004,79.23,2,1,32,0.03125
685553,-0.33210000000000006,43.69,1,6,110,0.05454545454545454
689077,-0.2793000000000001,43.35,2,11,75,0.14666666666666667
692521,-0.20480000000000004,44.44,4,20,172,0.11627906976744186
696061,-0.3027000000000002,44.9,1,5,97,0.05154639175257732
699449,-0.4086,78.33,0,5,38,0.13157894736842105
702905,-0.16500000000000012,75.52,8,24,110,0.21818181818181817
706451,-0.2515,43.38,1,13,101,0.12871287128712872
709937,-0.27959999999999996,45.91,2,11,103,0.10679611650485436
713245,-0.21740000000000015,49.56,3,13,192,0.06770833333333333
716899,-0.17190000000000008,45.4,5,22,198,0.1111111111111111
720489,-0.1358,43.98,4,28,185,0.15135135135135136
723992,-0.18830000000000005,47.82,2,21,206,0.10194174757281553
727504,-0.1763,46.68,3,18,202,0.0891089108910891
731099,-0.08810000000000001,76.21,13,20,138,0.14492753623188406
734671,-0.2543000000000001,78.21,1,19,124,0.1532258064516129
737947,-0.16870000000000016,47.51,3,26,203,0.12807881773399016
741419,-0.13540000000000013,75.53,5,29,148,0.19594594594594594
744959,-0.18200000000000013,46.56,6,18,169,0.10650887573964497
748433,-0.16850000000000012,45.38,4,19,179,0.10614525139664804
751997,-0.11200000000000003,44.38,7,25,201,0.12437810945273632
755437,-0.16390000000000007,44.29,3,20,209,0.09569377990430622
758827,-0.1385000000000001,48.15,6,23,245,0.09387755102040816
762237,-0.13010000000000005,46.75,8,20,237,0.08438818565400844
765932,-0.1566000000000001,44.89,5,23,217,0.10599078341013825
769762,-0.24969999999999995,42.35,3,11,103,0.10679611650485436
773288,-0.08869999999999996,44.85,9,21,194,0.10824742268041238
776982,-0.12200000000000008,44.79,8,21,196,0.10714285714285714
780536,-0.15090000000000006,45.88,4,21,210,0.1
783862,-0.04899999999999996,44.7,11,24,262,0.0916030534351145
787345,-0.15210000000000007,45.12,5,20,196,0.10204081632653061
790827,-0.1201,46.62,7,19,241,0.07883817427385892
794243,-0.254,44.28,1,12,149,0.08053691275167785
797580,-0.14940000000000006,80.44,7,19,175,0.10857142857142857
801134,-0.2649999999999999,43.04,3,8,102,0.0784313725490196
804494,-0.23230000000000015,43.19,2,14,153,0.0915032679738562
808198,-0.2932,44.0,2,3,72,0.041666666666666664
811900,-0.3700999999999998,77.66,1,5,51,0.09803921568627451
815574,-0.1267,45.56,7,17,201,0.0845771144278607
819140,-0.1555000000000001,45.94,4,21,251,0.08366533864541832
822720,-0.3131000000000001,42.45,0,9,105,0.08571428571428572
826562,-0.13419999999999999,44.18,6,23,225,0.10222222222222223
830334,-0.11270000000000006,47.11,9,18,258,0.06976744186046512
833999,-0.11990000000000003,48.02,8,21,243,0.08641975308641975
837455,-0.10360000000000001,73.9,10,19,129,0.14728682170542637
841149,-0.25360000000000016,43.63,2,11,110,0.1
844477,-0.09299999999999999,49.2,8,28,257,0.10894941634241245
847887,-0.09659999999999996,43.48,9,21,191,0.1099476439790576
851289,-0.27130000000000004,43.77,2,11,125,0.088
854551,-0.2081000000000001,41.86,2,15,129,0.11627906976744186
858383,-0.25839999999999996,43.21,2,11,154,0.07142857142857142
862009,-0.33340000000000003,80.38,1,2,56,0.03571428571428571
865597,-0.2957000000000002,44.98,1,6,171,0.03508771929824561
869263,-0.19010000000000005,78.35,6,21,178,0.11797752808988764
872919,-0.2511,43.04,3,7,126,0.05555555555555555
876495,-0.26910000000000006,43.14,1,9,169,0.05325443786982249
880107,-0.14060000000000003,46.55,5,16,272,0.058823529411764705
883579,-0.12110000000000001,76.79,7,26,199,0.1306532663316583
887137,-0.13150000000000003,45.74,5,24,232,0.10344827586206896
890705,-0.22320000000000007,41.01,5,11,134,0.08208955223880597
894323,-0.2120000000000001,41.95,3,13,149,0.087248322147651
897769,-0.10540000000000001,73.61,7,31,182,0.17032967032967034
901183,-0.1621000000000001,72.92,6,24,144,0.16666666666666666
904943,-0.36080000000000007,79.96,1,3,56,0.05357142857142857
908460,-0.3743,76.53,1,3,55,0.05454545454545454
911868,-0.26740000000000014,42.24,3,8,126,0.06349206349206349
915446,-0.341,79.41,1,6,63,0.09523809523809523
919046,-0.22799999999999998,43.91,4,7,183,0.03825136612021858
922368,-0.3435,78.06,1,3,80,0.0375
925854,-0.23579999999999998,43.43,4,7,156,0.04487179487179487
929184,-0.34260000000000007,81.18,0,3,61,0.04918032786885246
932714,-0.14630000000000007,46.78,8,13,304,0.04276315789473684
936423,-0.12070000000000002,47.28,8,18,297,0.06060606060606061
939929,-0.1516,46.28,8,14,243,0.05761316872427984
943697,-0.25420000000000015,43.74,0,16,164,0.0975609756097561
947411,-0.22530000000000008,42.94,3,7,176,0.03977272727272727
950838,-0.2497000000000001,42.89,3,7,122,0.05737704918032787
954688,-0.20179999999999995,42.25,4,13,156,0.08333333333333333
958364,-0.24150000000000002,42.01,3,11,154,0.07142857142857142
961818,-0.12150000000000012,77.05,9,19,191,0.09947643979057591
965457,-0.0971,45.16,10,17,293,0.05802047781569966
969209,-0.2961999999999998,44.96,1,4,122,0.03278688524590164
972603,-0.34440000000000004,76.33,0,4,72,0.05555555555555555
976201,-0.23000000000000015,42.88,3,9,171,0.05263157894736842
979739,-0.3236000000000001,76.52,1,6,62,0.0967741935483871
983529,-0.15680000000000008,82.44,12,5,187,0.026737967914438502
987156,-0.17450000000000007,48.4,7,6,291,0.020618556701030927
990656,0.005100000000000013,69.45,19,19,204,0.09313725490196079
994077,-0.3484,79.05,1,2,62,0.03225806451612903
997749,-0.22070000000000004,44.5,4,5,173,0.028901734104046242
1001141,-0.17839999999999998,80.83,10,7,244,0.028688524590163935
1004613,-0.13390000000000005,51.34,11,7,369,0.018970189701897018
