timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
23,-0.48040000000000016,38.86,0,4,17,0.23529411764705882
3371,-0.4480000000000001,39.28,2,2,15,0.13333333333333333
6609,-0.47530000000000017,40.36,0,3,10,0.3
9969,-0.4151999999999998,37.92,3,7,31,0.22580645161290322
13038,-0.45799999999999996,39.77,0,6,22,0.2727272727272727
16444,-0.4323999999999998,40.8,0,7,43,0.16279069767441862
19438,-0.4504999999999999,40.72,0,5,27,0.18518518518518517
22768,-0.4415999999999998,41.97,1,3,28,0.10714285714285714
25966,-0.3951999999999999,39.74,2,7,36,0.19444444444444445
29134,-0.4596,41.27,0,6,35,0.17142857142857143
32373,-0.42410000000000003,38.91,3,7,42,0.16666666666666666
35739,-0.42650000000000005,40.53,2,6,28,0.21428571428571427
38949,-0.47649999999999987,38.33,0,7,11,0.6363636363636364
42115,-0.46930000000000005,39.87,0,6,21,0.2857142857142857
45321,-0.44550000000000006,39.52,0,7,26,0.2692307692307692
48567,-0.43940000000000007,40.57,2,4,23,0.17391304347826086
51733,-0.39759999999999995,39.71,2,7,41,0.17073170731707318
55131,-0.4318000000000001,39.36,0,8,24,0.3333333333333333
58336,-0.4296000000000002,39.74,1,7,23,0.30434782608695654
61644,-0.4318000000000001,39.86,1,4,30,0.13333333333333333
64871,-0.4533,39.84,0,6,11,0.5454545454545454
68157,-0.43760000000000004,39.24,0,8,35,0.22857142857142856
71280,-0.44089999999999996,40.34,0,6,43,0.13953488372093023
74334,-0.41059999999999985,38.88,3,7,38,0.18421052631578946
77818,-0.47429999999999967,41.81,0,4,16,0.25
81070,-0.42930000000000007,38.13,1,10,38,0.2631578947368421
84222,-0.4649999999999999,40.61,0,5,20,0.25
87307,-0.4450999999999997,40.41,0,4,22,0.18181818181818182
90267,-0.45570000000000005,41.9,1,4,28,0.14285714285714285
93371,-0.4839999999999998,41.33,0,4,24,0.16666666666666666
96628,-0.4448,40.55,1,6,37,0.16216216216216217
99675,-0.4511,41.3,0,5,18,0.2777777777777778
102859,-0.46280000000000016,40.08,0,4,27,0.14814814814814814
106053,-0.4515999999999999,41.08,1,6,27,0.2222222222222222
109348,-0.43550000000000005,40.11,0,7,34,0.20588235294117646
112391,-0.41480000000000006,40.93,1,6,19,0.3157894736842105
115483,-0.39539999999999986,39.23,1,10,31,0.3225806451612903
118741,-0.42659999999999987,38.99,0,9,32,0.28125
122009,-0.46389999999999987,41.84,0,3,27,0.1111111111111111
125391,-0.44190000000000007,41.29,0,6,29,0.20689655172413793
128645,-0.4055,40.78,1,6,31,0.1935483870967742
132084,-0.43659999999999977,38.83,0,9,38,0.23684210526315788
135278,-0.4444000000000001,39.73,1,5,39,0.1282051282051282
138262,-0.4500999999999999,39.01,0,6,24,0.25
