timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
23,-0.49509999999999993,14.68,0,1,10,0.1
3371,-0.4921,16.23,0,1,11,0.09090909090909091
6609,-0.5086000000000002,16.32,0,1,11,0.09090909090909091
9969,-0.45990000000000003,14.77,2,0,5,0.0
13038,-0.4979999999999999,16.2,0,2,12,0.16666666666666666
16444,-0.4292,14.41,0,4,12,0.3333333333333333
19438,-0.4638000000000003,16.59,0,1,9,0.1111111111111111
22768,-0.48179999999999984,15.97,0,3,6,0.5
25966,-0.49099999999999994,16.26,0,0,5,0.0
29134,-0.45899999999999996,15.86,0,3,9,0.3333333333333333
32373,-0.41800000000000004,15.46,1,6,11,0.5454545454545454
35739,-0.47680000000000006,15.53,1,1,4,0.25
38949,-0.4645000000000001,15.59,0,2,5,0.4
42115,-0.4944999999999997,15.4,0,1,17,0.058823529411764705
45321,-0.4415999999999999,16.75,1,2,8,0.25
48567,-0.4553000000000001,15.34,1,3,13,0.23076923076923078
51733,-0.4517999999999999,16.71,0,4,9,0.4444444444444444
55131,-0.4630000000000002,15.68,0,1,6,0.16666666666666666
58336,-0.4513999999999999,16.22,0,2,15,0.13333333333333333
61644,-0.4163999999999999,16.0,1,5,11,0.45454545454545453
64871,-0.43460000000000015,14.94,1,3,11,0.2727272727272727
68157,-0.4670000000000001,15.12,0,1,6,0.16666666666666666
71280,-0.47039999999999993,16.13,0,4,14,0.2857142857142857
74334,-0.48700000000000004,16.23,0,3,13,0.23076923076923078
77818,-0.4531,16.5,0,3,9,0.3333333333333333
81070,-0.4658999999999998,15.26,0,3,13,0.23076923076923078
84222,-0.42880000000000007,15.59,2,5,17,0.29411764705882354
87307,-0.4311999999999999,14.04,0,5,10,0.5
90267,-0.4791000000000002,15.54,1,2,9,0.2222222222222222
93371,-0.4614000000000001,16.0,1,0,10,0.0
96628,-0.4892999999999999,15.78,0,1,10,0.1
99675,-0.4352,16.2,0,5,9,0.5555555555555556
102859,-0.45460000000000017,16.05,0,3,8,0.375
106053,-0.4608,17.94,0,5,8,0.625
109348,-0.48109999999999997,15.23,0,1,13,0.07692307692307693
112391,-0.46339999999999987,16.35,0,2,10,0.2
115483,-0.3937000000000003,15.16,2,5,18,0.2777777777777778
118741,-0.4582,17.27,0,0,8,0.0
122009,-0.4432999999999997,16.01,0,5,18,0.2777777777777778
125391,-0.4458,15.52,0,2,16,0.125
128645,-0.4664999999999999,16.85,0,2,13,0.15384615384615385
132084,-0.4471999999999997,15.92,0,2,9,0.2222222222222222
135278,-0.4248000000000002,15.95,1,5,14,0.35714285714285715
138262,-0.4595000000000003,17.82,0,3,15,0.2
141681,-0.4708000000000001,15.46,0,2,15,0.13333333333333333
144749,-0.4534000000000001,15.98,0,1,19,0.05263157894736842
148045,-0.4703999999999999,15.32,0,2,11,0.18181818181818182
150953,-0.47050000000000014,15.95,0,2,14,0.14285714285714285
154013,-0.44679999999999986,16.32,0,3,14,0.21428571428571427
157125,-0.44580000000000003,16.56,0,3,5,0.6
160479,-0.41900000000000015,15.85,0,5,13,0.38461538461538464
163782,-0.426,15.75,0,4,12,0.3333333333333333
167087,-0.44660000000000005,15.51,1,2,8,0.25
170294,-0.4169,15.06,1,3,10,0.3
173694,-0.44620000000000004,16.28,0,2,11,0.18181818181818182
176874,-0.46879999999999994,15.87,0,4,13,0.3076923076923077
179968,-0.45849999999999985,15.55,0,5,9,0.5555555555555556
183085,-0.43149999999999983,15.63,0,5,9,0.5555555555555556
186051,-0.46569999999999995,16.5,0,0,10,0.0
189288,-0.44669999999999993,15.87,0,3,8,0.375
192418,-0.44879999999999987,16.88,0,2,14,0.14285714285714285
195550,-0.4322000000000001,15.09,0,4,22,0.18181818181818182
198814,-0.43560000000000015,15.26,1,4,11,0.36363636363636365
202170,-0.4156000000000002,16.67,0,8,17,0.47058823529411764
205476,-0.4359,15.69,1,1,5,0.2
208638,-0.42120000000000013,16.92,1,3,17,0.17647058823529413
212074,-0.4572999999999999,16.09,0,3,15,0.2
215095,-0.44140000000000007,16.49,1,3,22,0.13636363636363635
218414,-0.4785999999999999,15.55,0,1,11,0.09090909090909091
221635,-0.4454999999999999,14.65,2,3,15,0.2
224892,-0.41470000000000007,15.02,1,3,13,0.23076923076923078
228028,-0.4452000000000001,16.15,0,4,22,0.18181818181818182
231250,-0.4525,16.56,0,0,12,0.0
234386,-0.40479999999999977,16.55,2,3,25,0.12
237563,-0.4288,16.89,0,4,10,0.4
240795,-0.42779999999999996,15.17,1,2,22,0.09090909090909091
244109,-0.46189999999999976,14.35,0,1,10,0.1
247162,-0.45530000000000004,16.37,1,1,13,0.07692307692307693
250470,-0.41420000000000007,16.83,0,5,12,0.4166666666666667
253750,-0.39709999999999973,16.9,0,4,25,0.16
257121,-0.4513000000000001,16.3,0,2,11,0.18181818181818182
260359,-0.45050000000000007,15.87,0,1,11,0.09090909090909091
263685,-0.4341999999999999,15.52,0,3,18,0.16666666666666666
266953,-0.4508999999999999,17.4,0,1,11,0.09090909090909091
270239,-0.4359999999999998,15.77,1,3,13,0.23076923076923078
273620,-0.44849999999999995,15.27,0,1,13,0.07692307692307693
277006,-0.4263000000000001,16.1,1,3,12,0.25
280310,-0.4494,16.62,1,2,12,0.16666666666666666
283721,-0.42679999999999985,15.82,0,3,9,0.3333333333333333
287125,-0.4473,15.43,0,3,7,0.42857142857142855
290537,-0.4214,16.82,0,4,19,0.21052631578947367
293915,-0.40979999999999994,15.61,0,7,13,0.5384615384615384
297307,-0.4135999999999998,16.67,0,5,18,0.2777777777777778
300753,-0.4191000000000002,16.71,0,1,9,0.1111111111111111
304091,-0.4235999999999999,16.35,0,7,24,0.2916666666666667
307489,-0.4132999999999999,17.71,0,5,20,0.25
310823,-0.4042999999999997,15.54,1,4,14,0.2857142857142857
