timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
23,-0.6240999999999999,72.82,0,0,0,0
3345,-0.6166999999999999,71.47,0,1,5,0.2
6587,-0.6325,71.61,0,1,2,0.5
9897,-0.6249,76.98,0,0,0,0
13219,-0.6305999999999997,74.73,0,0,4,0.0
16744,-0.6354000000000002,72.8,0,0,5,0.0
19794,-0.6133,73.58,0,2,3,0.6666666666666666
23080,-0.634,75.17,0,0,1,0.0
26534,-0.6375999999999998,72.51,0,0,1,0.0
29873,-0.6424,73.9,0,0,0,0
33197,-0.6143,73.22,0,2,3,0.6666666666666666
36569,-0.6485,74.72,0,1,7,0.14285714285714285
40087,-0.628,73.15,0,2,7,0.2857142857142857
43353,-0.6236,73.17,0,0,0,0
46741,-0.6336000000000002,71.74,0,0,4,0.0
50085,-0.6227999999999996,72.06,0,0,1,0.0
53429,-0.6237000000000001,73.21,0,1,1,1.0
57043,-0.6324000000000001,72.13,0,1,5,0.2
60507,-0.6419,72.28,0,0,3,0.0
63797,-0.6117999999999998,75.86,0,0,4,0.0
67135,-0.6331000000000002,73.01,0,1,3,0.3333333333333333
70413,-0.6283999999999998,72.4,0,1,6,0.16666666666666666
73617,-0.6417999999999998,72.56,0,0,3,0.0
76693,-0.613,75.2,0,0,2,0.0
80271,-0.6205000000000003,77.74,0,0,1,0.0
83576,-0.6282999999999997,73.23,0,1,3,0.3333333333333333
86836,-0.6299,74.09,0,1,2,0.5
90166,-0.6287999999999997,74.43,0,0,0,0
93414,-0.6238000000000002,74.59,0,0,3,0.0
96726,-0.6282,73.63,0,0,5,0.0
100022,-0.611,75.76,0,0,4,0.0
103330,-0.6051999999999998,72.92,0,2,4,0.5
106656,-0.6136,72.99,0,1,5,0.2
110108,-0.6414,72.71,0,1,6,0.16666666666666666
113672,-0.6230000000000002,75.04,0,1,2,0.5
116874,-0.6044000000000002,73.52,0,1,4,0.25
120120,-0.6118999999999999,74.08,0,1,3,0.3333333333333333
