timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
23,-0.6894000000000001,17.18,0,0,0,0
3345,-0.6916999999999995,17.55,0,0,2,0.0
6587,-0.7169,16.86,0,0,0,0
9897,-0.6669000000000002,16.45,0,0,0,0
13219,-0.6850000000000002,17.3,0,0,0,0
16744,-0.6745,17.33,0,0,1,0.0
19794,-0.6896999999999998,16.46,0,0,0,0
23080,-0.6674000000000003,15.92,0,0,0,0
26534,-0.6583999999999999,16.97,0,0,0,0
29873,-0.6797,18.06,0,0,0,0
33197,-0.6951999999999999,16.96,0,0,0,0
36569,-0.6766,17.09,0,0,1,0.0
40087,-0.6859999999999999,17.25,0,0,2,0.0
43353,-0.6789000000000002,16.52,0,0,1,0.0
46741,-0.6846999999999998,16.43,0,0,1,0.0
50085,-0.669,18.24,0,0,0,0
53429,-0.6695000000000002,17.17,0,0,1,0.0
57043,-0.6923999999999999,16.5,0,0,0,0
60507,-0.6819999999999999,16.58,0,0,1,0.0
63797,-0.6726999999999999,17.16,0,0,0,0
67135,-0.6466,17.34,0,0,3,0.0
70413,-0.6732999999999998,17.56,0,0,0,0
73617,-0.6876999999999999,16.83,0,0,0,0
76693,-0.6989,17.19,0,0,0,0
80271,-0.6615999999999999,16.5,0,0,0,0
83576,-0.6908,16.46,0,0,0,0
86836,-0.6733999999999998,16.81,0,0,1,0.0
90166,-0.6678999999999999,16.78,0,0,0,0
93414,-0.6775000000000001,17.42,0,0,0,0
96726,-0.6682999999999999,16.6,0,0,0,0
100022,-0.6758000000000002,16.8,0,0,1,0.0
103330,-0.6696999999999999,17.78,0,0,0,0
106656,-0.667,15.81,0,0,0,0
110108,-0.6798000000000001,17.87,0,0,1,0.0
113672,-0.6834,16.44,0,0,1,0.0
116874,-0.6748000000000001,16.39,0,0,0,0
120120,-0.6763999999999999,17.41,0,0,0,0
123544,-0.6565999999999999,17.91,0,0,2,0.0
127172,-0.6745999999999998,17.04,0,0,3,0.0
130500,-0.6965000000000002,16.74,0,0,0,0
133842,-0.6617999999999999,17.54,0,1,2,0.5
137350,-0.6918999999999998,16.55,0,0,1,0.0
140727,-0.6533999999999998,15.39,0,0,0,0
144267,-0.6696999999999997,18.53,0,1,1,1.0
147837,-0.6640999999999999,16.84,0,0,0,0
151209,-0.6559,17.21,0,0,1,0.0
154619,-0.6618999999999998,16.22,0,0,0,0
157667,-0.6607999999999998,16.59,0,0,2,0.0
160975,-0.6718,17.42,0,0,3,0.0
164609,-0.6654000000000001,17.24,0,0,1,0.0
168319,-0.6850999999999999,17.61,0,0,0,0
171873,-0.6553999999999999,18.44,0,0,0,0
175365,-0.6614999999999999,16.44,0,0,1,0.0
178729,-0.6658999999999999,16.72,0,0,1,0.0
182081,-0.6652999999999999,17.14,0,1,1,1.0
185425,-0.6813000000000001,16.72,0,0,0,0
188783,-0.6592,17.24,0,0,0,0
192143,-0.6523000000000003,15.98,0,0,1,0.0
195413,-0.6700000000000002,16.53,0,0,0,0
198773,-0.6744999999999999,17.44,0,0,0,0
202051,-0.6668000000000001,15.31,0,0,0,0
205357,-0.6638999999999996,17.44,0,0,0,0
208683,-0.6512000000000002,16.47,0,0,0,0
211811,-0.6569000000000003,18.42,0,0,2,0.0
215349,-0.6473000000000002,17.87,0,1,1,1.0
218784,-0.6665999999999999,17.99,0,0,0,0
222158,-0.6543000000000002,16.57,0,1,3,0.3333333333333333
225556,-0.6639000000000002,16.79,0,0,1,0.0
229142,-0.6585000000000002,16.44,0,0,0,0
232352,-0.6679999999999997,18.25,0,0,1,0.0
235884,-0.6659999999999999,17.6,0,0,2,0.0
239032,-0.6461000000000001,16.84,0,0,0,0
242472,-0.6609999999999999,16.81,0,0,1,0.0
245887,-0.6781999999999999,16.69,0,0,0,0
249203,-0.6399,17.15,0,0,1,0.0
252551,-0.6739000000000002,16.01,0,0,2,0.0
255836,-0.6698999999999999,16.14,0,0,0,0
258954,-0.6764,17.57,0,0,0,0
262352,-0.6616,17.91,0,1,4,0.25
265560,-0.6583,16.84,0,0,0,0
269194,-0.6345000000000001,17.43,0,0,2,0.0
272578,-0.6819999999999996,16.68,0,0,0,0
275870,-0.6456000000000001,17.87,0,0,0,0
279194,-0.6597,17.55,0,0,1,0.0
282554,-0.6516,17.36,0,0,0,0
285992,-0.6604999999999999,18.52,1,0,1,0.0
289256,-0.679,17.68,0,0,0,0
292588,-0.6405999999999997,16.73,0,0,1,0.0
295858,-0.6337999999999998,16.83,0,0,1,0.0
299135,-0.6587999999999998,17.91,0,0,0,0
302377,-0.6557999999999999,18.72,0,0,3,0.0
305903,-0.6554000000000001,17.05,0,0,0,0
309195,-0.6555,17.52,0,0,0,0
312637,-0.6585000000000002,17.32,0,0,0,0
316052,-0.6521999999999997,17.41,0,0,0,0
319554,-0.6474000000000002,17.3,0,0,2,0.0
322912,-0.6541,17.79,0,0,0,0
326390,-0.6532000000000001,16.67,0,0,1,0.0
329548,-0.6478000000000002,17.79,0,0,1,0.0
332976,-0.6027999999999998,17.27,0,1,2,0.5
336182,-0.6348999999999999,18.64,0,0,0,0
339538,-0.6615000000000002,17.25,0,0,0,0
342934,-0.6233000000000002,16.46,0,0,3,0.0
346174,-0.6348000000000003,15.6,0,0,0,0
349538,-0.6387999999999998,17.11,0,0,0,0
352852,-0.6465000000000001,17.73,0,0,1,0.0
356264,-0.6003999999999998,17.65,0,0,0,0
359523,-0.6274,17.55,0,0,0,0
362797,-0.6113999999999999,17.32,0,0,0,0
366043,-0.6264000000000001,18.15,0,0,3,0.0
369559,-0.6249999999999999,18.14,0,0,4,0.0
373059,-0.611,17.68,0,0,0,0
376383,-0.6106,16.78,0,0,0,0
379707,-0.5812000000000002,17.9,1,0,1,0.0
383329,-0.5909000000000003,17.88,0,0,3,0.0
386498,-0.5687,18.7,1,0,0,0
389906,-0.5947,16.86,0,0,0,0
393258,-0.5914999999999998,17.66,0,0,0,0
396758,-0.5645,18.08,0,0,2,0.0
400062,-0.6149999999999999,17.32,0,0,1,0.0
403692,-0.5805000000000003,16.57,0,0,2,0.0
406970,-0.5588000000000002,17.15,1,0,0,0
410308,-0.5760000000000002,18.88,0,0,2,0.0
413674,-0.6039999999999999,18.06,0,1,1,1.0
417247,-0.6016,17.9,0,0,1,0.0
421055,-0.5967999999999999,15.99,0,0,1,0.0
424452,-0.5886,17.4,0,0,0,0
427684,-0.5609,17.72,0,0,1,0.0
430794,-0.5918000000000003,17.4,0,0,0,0
434166,-0.6000999999999996,18.52,0,0,1,0.0
437610,-0.5576000000000001,18.39,0,0,1,0.0
440916,-0.5679,18.61,0,0,2,0.0
444340,-0.5989000000000002,16.97,0,0,1,0.0
447682,-0.5506,18.62,0,0,0,0
451198,-0.5583000000000002,17.37,0,0,4,0.0
454297,-0.5779,17.45,0,0,2,0.0
457339,-0.5757999999999999,17.75,0,0,0,0
460615,-0.5574999999999998,18.12,0,0,0,0
464151,-0.5422999999999998,18.06,1,0,3,0.0
467526,-0.48989999999999995,18.13,0,0,15,0.0
470938,-0.5424000000000003,18.45,0,1,1,1.0
474038,-0.5402999999999999,16.13,0,0,2,0.0
477231,-0.5713000000000001,17.6,0,0,2,0.0
480665,-0.5435999999999998,18.86,0,0,0,0
483874,-0.529,17.97,0,0,4,0.0
487336,-0.5243000000000001,17.97,0,0,2,0.0
490874,-0.44689999999999996,18.05,0,0,17,0.0
494280,-0.4416999999999999,17.82,2,0,15,0.0
497818,-0.3172999999999999,16.33,2,2,45,0.044444444444444446
501394,-0.47480000000000006,18.52,0,0,21,0.0
504876,-0.32859999999999995,15.44,1,0,31,0.0
508150,-0.3456,16.92,0,1,28,0.03571428571428571
511546,-0.32510000000000006,16.95,1,1,37,0.02702702702702703
514986,-0.4398999999999999,19.08,0,1,25,0.04
518544,-0.2911,17.43,3,0,35,0.0
522185,-0.29669999999999996,16.39,2,1,52,0.019230769230769232
525315,-0.38170000000000004,18.55,1,1,16,0.0625
528563,-0.28670000000000007,16.96,1,2,51,0.0392156862745098
532137,-0.2969000000000001,16.24,1,4,39,0.10256410256410256
535613,-0.4338000000000002,18.74,1,0,4,0.0
539261,-0.2534999999999999,17.04,4,1,38,0.02631578947368421
542743,-0.3003,17.13,0,0,42,0.0
546397,-0.303,16.51,1,1,46,0.021739130434782608
550085,-0.24530000000000005,16.65,3,3,48,0.0625
553339,-0.3249,16.38,0,1,19,0.05263157894736842
556871,-0.3681000000000001,15.81,0,1,21,0.047619047619047616
560313,-0.32219999999999993,17.64,1,2,28,0.07142857142857142
563901,-0.28430000000000016,15.77,2,0,60,0.0
567299,-0.2779,15.91,1,3,36,0.08333333333333333
570699,-0.27509999999999996,16.58,0,3,38,0.07894736842105263
574081,-0.26309999999999995,16.72,3,2,60,0.03333333333333333
577570,-0.28159999999999996,16.7,0,3,38,0.07894736842105263
580996,-0.28029999999999994,16.98,1,1,45,0.022222222222222223
584656,-0.2706,17.53,1,2,47,0.0425531914893617
588214,-0.30180000000000007,16.47,1,1,33,0.030303030303030304
591574,-0.27909999999999996,15.96,0,3,42,0.07142857142857142
595024,-0.27160000000000006,17.08,3,1,63,0.015873015873015872
598380,-0.38910000000000006,18.75,1,0,20,0.0
602044,-0.39570000000000016,20.16,0,0,14,0.0
606028,-0.27139999999999986,16.54,1,0,63,0.0
609690,-0.23480000000000004,16.18,3,4,54,0.07407407407407407
613322,-0.25030000000000024,15.84,4,0,53,0.0
616782,-0.23390000000000005,17.43,3,0,48,0.0
620372,-0.28980000000000006,16.08,2,0,43,0.0
623980,-0.20639999999999997,16.09,5,1,48,0.020833333333333332
627502,-0.24569999999999992,17.38,3,1,46,0.021739130434782608
630972,-0.27409999999999995,17.91,0,1,49,0.02040816326530612
634511,-0.24670000000000003,17.01,4,1,41,0.024390243902439025
638035,-0.3049,16.47,0,1,45,0.022222222222222223
641633,-0.29289999999999994,16.2,0,1,34,0.029411764705882353
645103,-0.2638,17.33,1,0,60,0.0
648551,-0.2886000000000001,16.88,0,2,70,0.02857142857142857
652223,-0.24670000000000006,16.19,2,4,44,0.09090909090909091
655967,-0.26230000000000003,16.77,2,0,53,0.0
659384,-0.25799999999999995,16.57,1,1,37,0.02702702702702703
662820,-0.2800999999999999,16.79,3,0,53,0.0
666334,-0.2836,15.79,1,0,47,0.0
670084,-0.27179999999999993,17.69,0,1,60,0.016666666666666666
673764,-0.2670999999999999,15.73,1,1,40,0.025
677314,-0.28010000000000007,16.76,2,0,51,0.0
680760,-0.26220000000000004,17.19,2,0,58,0.0
684306,-0.2847999999999999,17.0,2,1,50,0.02
687758,-0.2640000000000002,15.48,1,1,53,0.018867924528301886
691240,-0.3841999999999999,19.75,1,1,26,0.038461538461538464
694675,-0.3498000000000001,17.48,0,0,15,0.0
698316,-0.4625999999999996,18.8,0,0,5,0.0
702054,-0.4081,18.4,1,0,30,0.0
705470,-0.33530000000000015,19.27,4,0,15,0.0
709246,-0.28800000000000003,15.91,1,1,42,0.023809523809523808
712862,-0.21950000000000006,16.44,5,2,60,0.03333333333333333
716328,-0.2883999999999999,16.73,0,1,68,0.014705882352941176
719850,-0.24670000000000003,16.73,1,1,73,0.0136986301369863
723628,-0.22180000000000002,15.92,3,1,67,0.014925373134328358
727312,-0.2897,16.76,1,1,32,0.03125
730686,-0.2270999999999999,17.32,1,1,89,0.011235955056179775
734433,-0.3782000000000001,18.82,2,1,11,0.09090909090909091
738139,-0.24480000000000005,16.07,3,0,59,0.0
741919,-0.23660000000000006,15.37,2,0,63,0.0
745473,-0.27979999999999994,16.16,1,2,68,0.029411764705882353
749084,-0.2317000000000001,15.99,2,2,43,0.046511627906976744
752521,-0.21630000000000005,16.91,3,0,90,0.0
755793,-0.2562,16.28,2,0,57,0.0
759525,-0.19700000000000004,16.32,4,1,71,0.014084507042253521
763129,-0.21030000000000013,17.22,2,0,68,0.0
766793,-0.3874,17.53,0,1,27,0.037037037037037035
770411,-0.2333000000000001,16.0,2,0,50,0.0
774015,-0.2267000000000001,15.44,4,0,67,0.0
777755,-0.2275,15.9,2,2,52,0.038461538461538464
781283,-0.2322000000000001,17.01,2,0,96,0.0
785051,-0.24579999999999994,16.34,2,2,70,0.02857142857142857
788983,-0.23750000000000004,17.69,2,0,73,0.0
792481,-0.27119999999999994,15.87,1,2,74,0.02702702702702703
795975,-0.263,16.91,1,0,57,0.0
799682,-0.20819999999999994,16.88,1,2,59,0.03389830508474576
803307,-0.24610000000000004,16.68,1,2,82,0.024390243902439025
806855,-0.23519999999999994,16.3,1,0,69,0.0
810601,-0.2208,16.66,2,0,72,0.0
814219,-0.22860000000000003,16.55,2,0,50,0.0
817905,-0.23149999999999996,16.86,2,0,86,0.0
821613,-0.2280999999999999,17.7,3,0,72,0.0
825355,-0.2601,16.74,0,1,54,0.018518518518518517
829242,-0.2013999999999999,17.64,4,1,74,0.013513513513513514
832940,-0.24169999999999997,17.25,1,1,75,0.013333333333333334
836558,-0.23100000000000004,17.72,2,1,63,0.015873015873015872
840182,-0.23350000000000004,16.32,1,1,62,0.016129032258064516
843800,-0.25009999999999993,17.0,1,1,84,0.011904761904761904
847440,-0.21850000000000006,17.12,2,0,101,0.0
851164,-0.2799000000000001,16.67,1,0,34,0.0
854956,-0.20980000000000007,16.97,2,0,97,0.0
858584,-0.21989999999999996,16.58,2,0,81,0.0
862376,-0.26849999999999985,16.47,0,0,70,0.0
865968,-0.2241999999999999,17.0,2,0,78,0.0
869451,-0.2358000000000001,16.62,1,0,66,0.0
873005,-0.2455,15.49,1,0,78,0.0
876456,-0.21280000000000004,15.62,3,0,68,0.0
880376,-0.2391,14.61,3,1,85,0.011764705882352941
884074,-0.3767000000000001,18.68,2,0,19,0.0
887506,-0.3668999999999999,18.56,1,1,27,0.037037037037037035
891166,-0.21970000000000003,17.43,3,1,74,0.013513513513513514
894970,-0.22509999999999997,16.24,1,1,70,0.014285714285714285
898652,-0.21999999999999997,16.7,2,0,90,0.0
902132,-0.2598000000000001,16.48,0,0,52,0.0
905717,-0.23089999999999994,16.21,4,2,62,0.03225806451612903
909287,-0.3779999999999999,18.23,1,1,23,0.043478260869565216
912967,-0.39490000000000003,17.72,1,0,23,0.0
916455,-0.26010000000000005,16.7,1,0,44,0.0
919981,-0.2502,15.47,2,0,42,0.0
923549,-0.21320000000000003,16.4,2,0,88,0.0
927117,-0.25920000000000004,15.45,1,0,62,0.0
930554,-0.3802999999999999,17.82,0,0,18,0.0
934194,-0.22700000000000004,16.73,1,0,81,0.0
937690,-0.2948,17.41,0,0,39,0.0
941264,-0.2529999999999999,15.11,1,0,87,0.0
944722,-0.30560000000000004,16.99,0,0,32,0.0
948455,-0.3647000000000001,18.38,1,0,31,0.0
952095,-0.2885000000000001,17.83,0,0,27,0.0
955729,-0.38060000000000016,18.67,1,0,16,0.0
959297,-0.333,18.34,2,0,29,0.0
963127,-0.20780000000000004,16.35,2,0,68,0.0
966915,-0.35570000000000007,17.65,0,0,24,0.0
970911,-0.21089999999999998,16.38,2,0,53,0.0
974453,-0.1855999999999999,18.36,3,0,81,0.0
978031,-0.40099999999999997,18.12,2,0,22,0.0
981701,-0.20590000000000008,16.79,3,0,66,0.0
985273,-0.3709,18.61,3,0,25,0.0
988963,-0.19969999999999996,16.71,3,0,83,0.0
992653,-0.2426,15.44,0,0,72,0.0
995985,-0.4040000000000001,19.68,0,0,21,0.0
999549,-0.2967000000000001,16.81,1,0,43,0.0
1003027,-0.2087,16.96,2,0,86,0.0
1006925,-0.3001999999999999,15.98,0,0,58,0.0
1010558,-0.206,17.52,2,0,86,0.0
1014288,-0.24189999999999995,17.01,1,0,82,0.0
1017668,-0.3649,17.59,1,0,23,0.0
1021324,-0.22800000000000004,17.0,1,0,79,0.0
1024802,-0.16570000000000001,16.41,5,0,92,0.0
1028257,-0.24899999999999994,17.23,2,0,81,0.0
1032064,-0.2731,17.12,1,0,27,0.0
1035920,-0.35580000000000006,19.36,3,0,33,0.0
1039515,-0.2850999999999999,17.04,0,0,42,0.0
1043003,-0.4673999999999999,18.13,0,0,6,0.0
1046599,-0.2499000000000001,16.82,2,0,57,0.0
1049967,-0.20120000000000005,16.96,3,0,86,0.0
1053427,-0.3004,16.25,1,0,27,0.0
1057055,-0.2593,19.09,0,0,53,0.0
1060635,-0.44499999999999984,19.4,0,0,6,0.0
1064515,-0.49299999999999966,19.39,0,0,3,0.0
1068207,-0.30029999999999996,16.51,0,0,20,0.0
1071689,-0.28750000000000003,15.43,1,0,47,0.0
1075081,-0.2797000000000001,16.26,0,0,62,0.0
1078646,-0.28980000000000006,15.97,0,0,41,0.0
1082173,-0.4721999999999998,18.76,0,0,2,0.0
1085979,-0.4658,16.91,0,0,5,0.0
1089481,-0.29400000000000004,16.57,0,0,57,0.0
1092750,-0.27880000000000016,15.69,0,0,23,0.0
1096422,-0.4901999999999998,16.36,0,0,2,0.0
1099944,-0.4641,17.4,0,0,4,0.0
1103689,-0.47949999999999987,19.4,0,0,6,0.0
1107341,-0.24040000000000009,17.2,3,0,38,0.0
1111078,-0.4655,18.42,0,0,2,0.0
