timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
23,0.19419999999999965,24.1,3,90,172,0.5232558139534884
3457,0.21079999999999965,21.83,3,94,165,0.5696969696969697
6786,0.2327999999999995,24.33,7,86,200,0.43
10188,0.23409999999999961,23.38,6,91,149,0.610738255033557
13398,0.23739999999999956,25.08,8,86,184,0.4673913043478261
16731,0.21579999999999966,22.61,4,92,171,0.5380116959064327
19647,0.20609999999999964,22.72,4,89,182,0.489010989010989
23063,0.1912999999999997,23.82,4,87,170,0.5117647058823529
26068,0.20109999999999967,21.11,2,94,183,0.5136612021857924
29086,0.1609999999999997,22.67,2,86,179,0.48044692737430167
32083,0.22249999999999967,24.34,7,85,211,0.4028436018957346
34933,0.24959999999999963,23.12,9,86,179,0.48044692737430167
37981,0.2158999999999998,24.78,9,79,156,0.5064102564102564
41119,0.2186999999999997,22.93,4,92,189,0.48677248677248675
44199,0.18809999999999966,20.76,1,94,151,0.6225165562913907
46995,0.2369999999999996,22.27,7,88,168,0.5238095238095238
50088,0.20959999999999965,22.35,4,91,176,0.5170454545454546
53173,0.24039999999999967,22.59,8,86,201,0.42786069651741293
56105,0.20959999999999962,22.73,5,89,176,0.5056818181818182
59001,0.22589999999999968,24.74,7,86,218,0.3944954128440367
61988,0.21139999999999962,22.23,4,91,188,0.48404255319148937
64956,0.2313999999999997,24.98,6,90,196,0.45918367346938777
67890,0.18619999999999964,20.87,2,92,157,0.5859872611464968
70888,0.2527999999999997,23.08,9,86,139,0.6187050359712231
74034,0.22939999999999963,23.99,5,92,186,0.4946236559139785
77032,0.23339999999999964,23.14,7,87,181,0.48066298342541436
80112,0.19729999999999961,23.02,4,88,156,0.5641025641025641
83096,0.1998999999999997,23.53,4,88,177,0.4971751412429379
86044,0.19349999999999967,24.39,3,89,190,0.46842105263157896
88910,0.22429999999999964,24.97,7,85,201,0.4228855721393035
91862,0.21819999999999964,22.38,5,89,163,0.5460122699386503
94798,0.23849999999999963,22.21,7,88,187,0.47058823529411764
97762,0.2068999999999996,23.06,3,92,163,0.5644171779141104
100835,0.2493999999999996,23.47,10,82,161,0.5093167701863354
103913,0.18789999999999973,23.68,4,85,185,0.4594594594594595
106881,0.2192999999999996,24.07,7,83,160,0.51875
110013,0.19979999999999967,23.2,5,85,194,0.4381443298969072
112977,0.23949999999999963,22.84,8,86,175,0.49142857142857144
116069,0.19229999999999972,23.24,5,83,205,0.40487804878048783
118981,0.2462999999999996,23.29,9,86,168,0.5119047619047619
122042,0.2310999999999996,23.23,6,89,180,0.49444444444444446
125262,0.20409999999999964,23.52,3,92,177,0.519774011299435
128125,0.2521999999999997,24.72,11,79,192,0.4114583333333333
131055,0.2264999999999996,22.53,5,91,169,0.5384615384615384
134066,0.2009999999999997,22.22,4,87,177,0.4915254237288136
137299,0.25879999999999964,23.54,9,88,191,0.4607329842931937
140289,0.26389999999999963,22.25,10,86,148,0.581081081081081
143113,0.20249999999999976,24.92,5,85,178,0.47752808988764045
146061,0.2185999999999996,22.29,5,89,170,0.5235294117647059
148991,0.21609999999999968,23.33,4,91,179,0.5083798882681564
152321,0.20709999999999962,23.49,5,86,152,0.5657894736842105
155670,0.21239999999999967,23.95,4,90,180,0.5
158682,0.21539999999999965,24.38,4,91,191,0.47643979057591623
161660,0.2000999999999996,23.29,3,90,163,0.5521472392638037
164706,0.23649999999999963,22.78,7,88,211,0.41706161137440756
167640,0.2052999999999996,24.08,7,80,192,0.4166666666666667
170738,0.2521999999999996,22.56,9,85,174,0.4885057471264368
173752,0.20979999999999965,23.2,4,91,159,0.5723270440251572
176680,0.1766999999999997,25.34,3,85,202,0.4207920792079208
179758,0.21269999999999967,23.9,5,89,173,0.5144508670520231
182773,0.20459999999999973,22.76,3,91,201,0.4527363184079602
185744,0.2008999999999996,23.79,2,93,196,0.4744897959183674
188754,0.2229999999999997,24.69,7,85,198,0.4292929292929293
191664,0.19769999999999968,23.51,4,88,176,0.5
194662,0.1792999999999997,24.9,2,87,197,0.4416243654822335
197752,0.21169999999999958,23.45,4,90,182,0.4945054945054945
200820,0.23669999999999963,23.47,8,84,180,0.4666666666666667
203580,0.24389999999999964,22.92,9,83,195,0.4256410256410256
206554,0.22149999999999967,22.98,6,87,195,0.4461538461538462
209442,0.21409999999999965,22.17,6,85,165,0.5151515151515151
212264,0.19199999999999964,22.07,5,84,167,0.5029940119760479
215154,0.18629999999999974,24.81,2,88,206,0.42718446601941745
218030,0.23919999999999966,22.04,6,91,173,0.5260115606936416
220958,0.2125999999999997,24.01,6,85,192,0.4427083333333333
224012,0.24659999999999965,20.9,8,87,166,0.5240963855421686
226898,0.2265999999999996,23.34,8,81,169,0.47928994082840237
