timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
23,0.008499999999999999,16.6,4,43,73,0.589041095890411
3457,-0.026000000000000002,16.19,0,49,75,0.6533333333333333
6786,-0.005000000000000002,16.8,0,55,89,0.6179775280898876
10188,0.014900000000000007,16.33,4,47,70,0.6714285714285714
13398,0.015100000000000002,17.64,2,49,90,0.5444444444444444
16731,0.017800000000000014,16.06,2,52,81,0.6419753086419753
19647,0.052100000000000056,16.84,3,57,94,0.6063829787234043
23063,-0.002999999999999999,15.59,1,52,77,0.6753246753246753
26068,0.015100000000000037,14.77,3,48,84,0.5714285714285714
29086,0.003400000000000009,16.79,1,50,83,0.6024096385542169
32083,-0.014200000000000006,16.1,0,49,71,0.6901408450704225
34933,-0.026699999999999967,16.43,1,44,89,0.4943820224719101
37981,-0.03509999999999998,16.9,1,43,76,0.5657894736842105
41119,0.015499999999999993,16.17,2,48,82,0.5853658536585366
44199,0.0019999999999999896,16.31,1,51,94,0.5425531914893617
46995,0.031200000000000047,16.97,2,55,86,0.6395348837209303
50088,-0.058499999999999955,16.5,0,43,75,0.5733333333333334
53173,0.02310000000000002,16.71,1,55,82,0.6707317073170732
56105,0.044200000000000024,15.38,5,50,87,0.5747126436781609
59001,0.002299999999999987,16.62,1,49,79,0.620253164556962
61988,-0.030799999999999952,15.63,1,46,69,0.6666666666666666
64956,-0.05130000000000002,16.25,1,40,67,0.5970149253731343
67890,0.014900000000000004,16.21,1,55,84,0.6547619047619048
70888,0.028200000000000013,18.07,1,53,90,0.5888888888888889
74034,0.001999999999999993,15.85,1,52,81,0.6419753086419753
77032,-0.0037000000000000028,16.16,1,47,68,0.6911764705882353
80112,-0.0019000000000000022,16.57,0,53,80,0.6625
83096,-0.05979999999999999,15.51,0,37,65,0.5692307692307692
86044,-0.0018000000000000004,15.5,1,51,76,0.6710526315789473
88910,0.023899999999999998,15.76,4,48,81,0.5925925925925926
91862,0.018700000000000033,16.45,2,49,91,0.5384615384615384
94798,-0.0102,15.95,2,43,78,0.5512820512820513
97762,-0.030999999999999993,15.59,3,38,59,0.6440677966101694
100835,0.011099999999999999,15.24,2,51,79,0.6455696202531646
103913,-0.0114,15.61,0,52,83,0.6265060240963856
106881,0.017599999999999998,16.99,3,47,80,0.5875
110013,-0.026700000000000012,15.02,1,45,72,0.625
112977,-0.032899999999999964,15.21,1,44,78,0.5641025641025641
116069,0.006199999999999996,15.5,2,49,80,0.6125
118981,-0.006700000000000012,15.79,2,47,69,0.6811594202898551
122042,-0.004000000000000006,16.54,2,46,81,0.5679012345679012
125262,-0.03969999999999999,15.76,1,43,74,0.581081081081081
128125,-0.03799999999999997,16.34,3,36,64,0.5625
131055,0.04750000000000004,16.32,2,58,93,0.6236559139784946
134066,0.011000000000000003,16.87,3,47,77,0.6103896103896104
137299,0.010299999999999993,16.53,2,47,86,0.5465116279069767
