timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
23,-0.09349999999999996,14.38,2,30,47,0.6382978723404256
3457,-0.029000000000000005,15.33,1,45,74,0.6081081081081081
6786,-0.0458,14.82,2,43,70,0.6142857142857143
10188,-0.06689999999999997,14.99,1,34,58,0.5862068965517241
13398,-0.03989999999999998,15.96,2,34,66,0.5151515151515151
16731,-0.0862,14.49,0,30,57,0.5263157894736842
19647,-0.002300000000000012,15.9,4,42,92,0.45652173913043476
23063,-0.041399999999999944,14.64,2,43,70,0.6142857142857143
26068,-0.013500000000000005,14.39,4,41,70,0.5857142857142857
29086,-0.06289999999999997,15.16,0,38,64,0.59375
32083,-0.09479999999999997,14.0,2,26,43,0.6046511627906976
34933,-0.09300000000000005,14.43,1,29,58,0.5
37981,-0.0885,14.99,1,30,63,0.47619047619047616
41119,-0.050399999999999945,14.95,3,34,58,0.5862068965517241
44199,-0.04049999999999995,14.07,0,44,68,0.6470588235294118
46995,-0.036899999999999974,14.43,3,37,65,0.5692307692307692
50088,-0.058599999999999965,14.98,1,38,61,0.6229508196721312
53173,-0.05989999999999996,14.15,1,39,69,0.5652173913043478
56105,-0.08479999999999994,14.33,2,31,51,0.6078431372549019
59001,-0.04729999999999994,14.3,1,40,61,0.6557377049180327
61988,-0.0681,14.28,1,38,54,0.7037037037037037
64956,-0.056899999999999985,15.24,1,40,67,0.5970149253731343
67890,-0.05720000000000001,15.43,0,42,64,0.65625
70888,-0.056799999999999934,15.6,0,42,64,0.65625
74034,-0.09409999999999999,13.39,2,29,51,0.5686274509803921
77032,-0.0384,15.02,1,38,56,0.6785714285714286
80112,-0.06479999999999995,14.31,2,37,55,0.6727272727272727
83096,-0.08629999999999999,14.17,0,34,52,0.6538461538461539
86044,-0.06689999999999996,13.91,1,34,62,0.5483870967741935
88910,-0.06369999999999995,13.85,2,36,62,0.5806451612903226
91862,-0.01549999999999999,14.99,4,38,66,0.5757575757575758
94798,-0.035399999999999945,14.79,2,38,66,0.5757575757575758
97762,-0.07769999999999996,13.82,3,30,52,0.5769230769230769
100835,-0.043999999999999956,14.74,2,34,65,0.5230769230769231
103913,-0.06589999999999996,13.72,1,38,55,0.6909090909090909
106881,-0.041399999999999965,15.41,1,43,75,0.5733333333333334
110013,-0.07359999999999994,14.45,0,39,62,0.6290322580645161
112977,-0.06979999999999996,15.38,1,33,60,0.55
116069,-0.021599999999999994,14.31,3,43,67,0.6417910447761194
118981,-0.05469999999999997,14.05,3,37,56,0.6607142857142857
