timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
23,-0.003600000000000014,13.96,2,36,56,0.6428571428571429
3433,0.06450000000000006,15.69,0,46,69,0.6666666666666666
6805,0.07370000000000006,15.18,3,44,63,0.6984126984126984
10199,0.04000000000000001,14.11,1,42,58,0.7241379310344828
13464,0.04169999999999999,15.4,2,38,63,0.6031746031746031
16782,0.0013000000000000028,14.09,0,35,71,0.49295774647887325
19746,0.027199999999999988,15.7,2,35,68,0.5147058823529411
23208,0.036399999999999974,15.56,0,43,72,0.5972222222222222
26382,0.08950000000000007,14.69,4,42,68,0.6176470588235294
29469,0.026899999999999993,14.8,1,39,47,0.8297872340425532
32616,0.005599999999999997,14.26,1,35,57,0.6140350877192983
35580,0.018000000000000002,14.53,1,37,62,0.5967741935483871
38671,-0.043600000000000014,15.27,1,30,54,0.5555555555555556
41757,0.018000000000000002,14.49,3,33,63,0.5238095238095238
44667,0.021699999999999983,13.85,1,39,76,0.5131578947368421
47453,0.050800000000000026,14.31,3,38,68,0.5588235294117647
50511,0.0106,15.38,0,39,72,0.5416666666666666
53581,0.04420000000000004,14.09,3,39,71,0.5492957746478874
56486,-0.009999999999999995,14.35,1,35,66,0.5303030303030303
59538,0.0555,14.77,3,39,63,0.6190476190476191
62586,0.04690000000000001,14.5,3,40,66,0.6060606060606061
65544,-0.05769999999999999,14.34,1,27,54,0.5
68496,0.007800000000000007,16.21,2,34,66,0.5151515151515151
71596,0.024000000000000004,15.59,2,37,71,0.5211267605633803
74682,0.0095,14.0,3,32,61,0.5245901639344263
77635,0.02960000000000004,15.2,1,38,69,0.5507246376811594
80784,0.03049999999999999,14.51,3,38,63,0.6031746031746031
83804,-0.01820000000000001,14.16,1,32,55,0.5818181818181818
86705,0.03989999999999998,14.22,2,38,74,0.5135135135135135
89717,0.0137,14.4,4,34,59,0.576271186440678
92691,0.020200000000000006,14.3,3,34,65,0.5230769230769231
95615,0.0259,14.58,2,36,76,0.47368421052631576
98553,-0.04650000000000001,14.17,2,26,52,0.5
101566,0.028999999999999998,14.84,3,34,72,0.4722222222222222
104528,-0.03900000000000003,14.25,0,31,64,0.484375
107442,-0.00359999999999999,14.95,3,30,65,0.46153846153846156
110535,-0.009299999999999989,14.22,1,33,64,0.515625
113428,0.017999999999999995,14.86,1,39,67,0.582089552238806
116537,0.02309999999999999,14.03,2,36,66,0.5454545454545454
119474,0.0292,14.56,2,39,60,0.65
122444,0.013800000000000005,15.14,3,33,71,0.4647887323943662
125480,-0.053000000000000005,14.03,2,24,45,0.5333333333333333
128310,-0.11479999999999996,13.88,2,17,38,0.4473684210526316
131234,0.052800000000000014,14.74,2,40,79,0.5063291139240507
