timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
23,9.4375,22.44,4,94,148,0.6351351351351351
3433,9.1108,21.99,3,91,141,0.6453900709219859
6805,9.3134,22.7,2,93,174,0.5344827586206896
10199,8.9339,22.96,5,89,188,0.4734042553191489
13464,9.3347,22.68,4,93,206,0.45145631067961167
16782,8.9497,21.81,6,89,163,0.5460122699386503
19886,9.2451,22.96,5,92,169,0.5443786982248521
23289,8.9511,22.91,6,89,192,0.4635416666666667
26425,8.867,21.55,8,88,179,0.49162011173184356
29573,8.9385,22.72,5,89,179,0.4972067039106145
32573,8.784500000000001,23.36,9,87,172,0.5058139534883721
35430,8.6219,23.54,4,86,164,0.524390243902439
38480,9.0307,22.82,4,90,167,0.5389221556886228
41791,9.426400000000001,21.99,3,94,187,0.5026737967914439
44712,9.6273,22.37,3,96,180,0.5333333333333333
47534,8.6822,23.11,9,86,210,0.4095238095238095
50662,8.637599999999999,23.24,6,86,177,0.4858757062146893
53730,8.770499999999998,21.77,8,87,197,0.4416243654822335
56546,8.745999999999999,23.21,6,87,211,0.41232227488151657
59568,9.065,23.15,7,90,197,0.45685279187817257
62588,9.358600000000001,22.74,6,93,181,0.5138121546961326
65694,8.486299999999998,24.38,10,84,216,0.3888888888888889
68776,9.050799999999999,22.46,6,90,201,0.44776119402985076
71868,8.8351,24.07,5,88,189,0.4656084656084656
75048,9.326,21.99,3,93,206,0.45145631067961167
77766,9.117700000000001,21.92,3,91,173,0.5260115606936416
80646,9.1285,22.73,4,91,189,0.48148148148148145
83828,8.6587,23.59,7,86,206,0.4174757281553398
86851,8.5805,23.78,9,85,196,0.4336734693877551
89787,8.575099999999999,24.11,9,85,206,0.41262135922330095
92785,8.1062,24.57,12,80,219,0.365296803652968
95707,8.795300000000001,21.83,10,87,206,0.4223300970873786
98605,8.8724,21.92,8,88,178,0.4943820224719101
101567,9.3585,21.52,6,93,195,0.47692307692307695
104678,8.9028,23.72,2,89,171,0.52046783625731
107552,9.2108,25.43,2,92,215,0.42790697674418604
110631,8.6469,23.43,6,86,220,0.39090909090909093
113542,8.857399999999998,24.03,7,88,169,0.5207100591715976
116696,8.7949,21.76,10,87,190,0.45789473684210524
119660,8.8064,23.72,11,87,195,0.4461538461538462
122546,9.052200000000001,23.59,6,90,215,0.4186046511627907
125638,8.751700000000001,22.7,7,87,190,0.45789473684210524
128522,8.601999999999999,24.33,11,85,186,0.45698924731182794
131460,8.7699,22.22,8,87,217,0.4009216589861751
134511,7.8438,25.47,7,78,228,0.34210526315789475
137601,8.6806,22.53,9,86,197,0.4365482233502538
140619,8.0908,24.54,11,80,212,0.37735849056603776
143461,8.356499999999999,25.81,7,83,234,0.3547008547008547
146605,8.4775,23.2,9,84,240,0.35
149581,9.2465,23.67,5,92,238,0.3865546218487395
152875,8.7338,25.52,5,87,206,0.4223300970873786
155941,8.6373,25.38,5,86,224,0.38392857142857145
159125,8.8499,23.82,6,88,243,0.36213991769547327
162213,8.917800000000002,23.08,3,89,215,0.413953488372093
165173,8.441699999999999,23.8,6,84,251,0.3346613545816733
168133,8.759999999999998,23.03,7,87,221,0.3936651583710407
171209,8.875599999999999,24.2,8,88,217,0.4055299539170507
174271,8.654700000000002,24.33,7,86,202,0.42574257425742573
177298,8.2077,24.8,12,81,207,0.391304347826087
180548,8.46,21.85,8,84,206,0.4077669902912621
183476,7.9133,25.05,13,78,217,0.35944700460829493
186394,8.670100000000001,23.19,8,86,211,0.4075829383886256
189374,9.029,23.48,4,90,203,0.4433497536945813
192268,8.9493,23.05,6,89,192,0.4635416666666667
195376,8.460600000000001,23.16,8,84,187,0.44919786096256686
198480,8.5793,26.15,9,85,266,0.31954887218045114
201548,8.949300000000001,23.55,6,89,223,0.3991031390134529
204372,9.0625,21.74,7,90,224,0.4017857142857143
207442,8.962,22.16,7,89,210,0.4238095238095238
210544,8.9405,24.25,5,89,236,0.3771186440677966
213528,8.399400000000002,24.28,11,83,243,0.34156378600823045
216592,8.873099999999999,22.7,8,88,225,0.39111111111111113
219749,8.513900000000001,25.84,12,84,245,0.34285714285714286
222799,8.870800000000001,23.88,8,88,206,0.42718446601941745
226288,8.8971,23.37,10,88,246,0.35772357723577236
229364,8.265500000000001,25.62,8,82,240,0.3416666666666667
232234,8.6815,24.66,9,86,224,0.38392857142857145
235250,7.389299999999999,26.09,12,73,251,0.2908366533864542
238375,8.8312,22.64,4,88,219,0.4018264840182648
241626,8.361899999999999,23.43,8,83,260,0.3192307692307692
244906,8.5227,23.91,13,84,256,0.328125
248172,7.915,26.19,13,78,242,0.32231404958677684
251628,9.0671,24.51,7,90,270,0.3333333333333333
254474,8.4102,23.42,12,83,210,0.3952380952380952
257404,8.9853,24.71,9,89,243,0.3662551440329218
260836,7.5465,24.39,17,74,261,0.2835249042145594
264052,8.5651,24.48,8,85,231,0.36796536796536794
267288,7.973699999999999,24.25,18,78,266,0.2932330827067669
270506,8.9405,23.13,5,89,236,0.3771186440677966
273572,8.140400000000001,24.3,15,80,257,0.311284046692607
276720,8.2406,24.66,15,81,236,0.3432203389830508
279902,8.1426,23.39,15,80,210,0.38095238095238093
283258,8.6161,23.92,12,85,280,0.30357142857142855
286456,8.6004,23.59,11,85,253,0.3359683794466403
289573,7.9996,24.14,12,79,245,0.3224489795918367
292601,8.5688,25.24,8,85,276,0.3079710144927536
295913,8.9391,25.68,5,89,260,0.3423076923076923
298872,8.2606,24.46,8,82,245,0.3346938775510204
301980,8.308300000000001,24.58,12,82,268,0.30597014925373134
305190,9.0497,23.22,6,90,229,0.3930131004366812
308604,8.8724,23.69,8,88,261,0.3371647509578544
311710,8.2876,25.07,10,82,259,0.3166023166023166
314800,8.5235,25.07,13,84,258,0.32558139534883723
318112,8.3912,24.96,10,83,250,0.332
321268,8.480399999999998,25.82,9,84,295,0.2847457627118644
324440,8.220899999999999,24.46,13,81,270,0.3
327642,7.7515,24.94,17,76,267,0.2846441947565543
330768,8.3875,27.01,10,83,328,0.2530487804878049
333938,7.8009,26.95,12,77,319,0.2413793103448276
337058,8.3189,25.64,13,82,271,0.3025830258302583
340296,8.5244,24.91,13,84,289,0.2906574394463668
343503,8.2293,24.53,14,81,291,0.27835051546391754
346729,8.6812,25.46,9,86,260,0.33076923076923076
349977,8.385299999999999,25.27,10,83,281,0.29537366548042704
353300,8.459299999999999,24.29,16,83,284,0.29225352112676056
356567,8.377699999999999,24.68,9,83,286,0.2902097902097902
359901,8.6827,25.76,9,86,279,0.30824372759856633
363144,8.1161,25.98,13,80,341,0.23460410557184752
366422,8.5255,25.32,13,84,260,0.3230769230769231
369686,8.119800000000001,27.52,13,80,291,0.27491408934707906
372804,7.9487,24.95,16,78,272,0.2867647058823529
375868,9.0758,24.82,8,90,252,0.35714285714285715
379164,8.1073,26.67,12,80,316,0.25316455696202533
382270,8.4065,24.36,12,83,252,0.32936507936507936
385602,8.4816,25.71,9,84,311,0.27009646302250806
388943,7.543700000000001,27.39,16,74,330,0.22424242424242424
392169,8.488900000000001,26.27,10,84,295,0.2847457627118644
395403,9.0761,25.67,8,90,268,0.3358208955223881
398499,7.645999999999999,27.26,16,75,260,0.28846153846153844
401691,8.761400000000002,25.1,7,87,248,0.35080645161290325
404925,8.4353,26.25,14,83,329,0.25227963525835867
408153,8.467099999999999,26.68,8,84,298,0.28187919463087246
411405,7.921899999999999,26.42,14,78,284,0.2746478873239437
414679,8.500599999999999,27.01,11,84,277,0.30324909747292417
417947,8.334100000000001,26.24,14,82,314,0.2611464968152866
421009,8.5373,25.37,14,84,301,0.27906976744186046
424219,8.569700000000001,26.15,8,85,322,0.2639751552795031
427331,7.8701,26.28,18,77,292,0.2636986301369863
430616,8.399,24.88,11,83,256,0.32421875
433830,8.4541,25.31,7,84,233,0.3605150214592275
437224,8.4472,23.74,15,83,274,0.3029197080291971
440430,8.2455,27.82,15,81,262,0.30916030534351147
443494,8.1193,27.16,13,80,304,0.2631578947368421
446652,7.8842,25.7,19,77,308,0.25
450040,8.31,26.92,12,82,297,0.2760942760942761
453210,8.447799999999999,25.71,15,83,296,0.28040540540540543
456340,8.2342,26.88,14,81,287,0.28222996515679444
459576,7.8497,26.14,16,77,326,0.2361963190184049
462868,8.2303,26.74,14,81,302,0.2682119205298013
465954,8.0246,27.93,14,79,310,0.25483870967741934
469106,8.6815,25.25,9,86,274,0.31386861313868614
472342,8.0612,26.76,17,79,304,0.2598684210526316
475652,8.5747,28.89,9,85,347,0.24495677233429394
478806,7.691600000000001,26.29,20,75,327,0.22935779816513763
482136,7.935599999999999,28.12,15,78,324,0.24074074074074073
485272,7.4259,28.45,15,73,345,0.21159420289855072
488154,8.5224,26.01,13,84,302,0.2781456953642384
491256,7.6469,29.09,16,75,334,0.2245508982035928
494624,8.4359,25.27,14,83,289,0.28719723183391005
