timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
23,4.32,15.88,2,43,71,0.6056338028169014
3433,4.9,15.99,0,49,75,0.6533333333333333
6805,4.63,15.45,3,46,65,0.7076923076923077
10199,5.31,15.94,1,53,73,0.726027397260274
13464,4.52,17.0,2,45,79,0.569620253164557
16782,4.64,15.0,4,46,83,0.5542168674698795
19886,5.43,16.39,3,54,91,0.5934065934065934
23289,4.81,16.11,1,48,77,0.6233766233766234
26425,4.65,14.65,5,46,82,0.5609756097560976
29573,5.02,16.45,2,50,85,0.5882352941176471
32573,4.8,16.17,0,48,78,0.6153846153846154
35430,4.71,16.38,1,47,86,0.5465116279069767
38480,4.52,17.18,2,45,81,0.5555555555555556
41791,4.95,15.54,5,49,79,0.620253164556962
44712,5.2,15.61,0,52,81,0.6419753086419753
47534,5.31,16.02,1,53,81,0.654320987654321
50538,4.6,16.79,0,46,83,0.5542168674698795
53662,5.01,16.36,1,50,84,0.5952380952380952
56644,4.91,15.3,1,49,90,0.5444444444444444
59638,5.02,16.99,2,50,96,0.5208333333333334
62624,4.42,16.03,2,44,86,0.5116279069767442
65640,4.01,16.16,1,40,71,0.5633802816901409
68556,5.21,17.13,1,52,89,0.5842696629213483
71684,4.81,18.07,1,48,100,0.48
74942,5.03,16.22,3,50,89,0.5617977528089888
77947,4.81,16.57,1,48,83,0.5783132530120482
81055,5.11,17.15,1,51,95,0.5368421052631579
84081,4.01,15.69,1,40,70,0.5714285714285714
87023,4.81,15.65,1,48,75,0.64
90053,4.23,16.85,3,42,93,0.45161290322580644
93200,5.04,16.64,4,50,91,0.5494505494505495
96260,4.44,16.52,4,44,96,0.4583333333333333
99260,4.03,16.77,3,40,84,0.47619047619047616
102157,5.14,15.61,4,51,93,0.5483870967741935
105316,4.9,15.66,0,49,94,0.5212765957446809
108250,4.93,17.7,3,49,83,0.5903614457831325
111323,4.33,15.63,3,43,93,0.46236559139784944
114245,4.92,15.41,2,49,90,0.5444444444444444
117255,4.72,15.74,2,47,93,0.5053763440860215
120293,4.02,16.46,2,40,74,0.5405405405405406
123292,5.01,17.32,1,50,105,0.47619047619047616
126427,4.33,16.01,3,43,66,0.6515151515151515
129327,4.02,16.53,2,40,78,0.5128205128205128
132398,5.23,17.06,3,52,113,0.46017699115044247
135344,5.21,18.01,1,52,117,0.4444444444444444
138518,4.82,16.62,2,48,95,0.5052631578947369
141586,4.45,15.93,5,44,87,0.5057471264367817
144546,3.75,16.83,5,37,89,0.4157303370786517
147676,5.32,17.61,2,53,96,0.5520833333333334
150716,4.61,17.46,1,46,112,0.4107142857142857
154095,5.45,16.61,5,54,100,0.54
157047,5.61,16.57,1,56,116,0.4827586206896552
160167,4.44,16.86,4,44,97,0.4536082474226804
163311,4.43,16.51,3,44,98,0.4489795918367347
166232,5.82,17.42,2,58,125,0.464
169304,4.86,17.24,6,48,113,0.4247787610619469
172432,4.4,16.84,0,44,88,0.5
175542,4.23,15.65,3,42,83,0.5060240963855421
178510,4.51,16.42,1,45,79,0.569620253164557
181748,4.15,16.69,5,41,119,0.3445378151260504
184787,5.41,15.7,1,54,100,0.54
187741,5.51,16.67,1,55,131,0.4198473282442748
190760,3.92,17.12,2,39,92,0.42391304347826086
193701,4.92,17.4,2,49,131,0.37404580152671757
196911,5.23,16.82,3,52,113,0.46017699115044247
200009,5.75,17.2,5,57,120,0.475
203172,4.73,16.79,3,47,122,0.38524590163934425
206258,4.53,16.25,3,45,97,0.4639175257731959
209242,4.42,16.82,2,44,101,0.43564356435643564
212296,5.21,16.46,1,52,114,0.45614035087719296
215437,5.33,16.53,3,53,108,0.49074074074074076
218447,4.41,16.99,1,44,100,0.44
221587,4.81,17.24,1,48,100,0.48
224739,4.32,17.4,2,43,114,0.37719298245614036
227909,5.02,16.93,2,50,98,0.5102040816326531
230877,4.45,16.36,5,44,121,0.36363636363636365
233771,4.71,17.34,1,47,117,0.4017094017094017
236808,5.13,16.7,3,51,117,0.4358974358974359
240056,4.39,18.6,9,43,137,0.31386861313868614
243336,3.84,16.86,4,38,97,0.3917525773195876
246604,4.02,18.37,2,40,104,0.38461538461538464
249785,4.31,17.27,1,43,107,0.40186915887850466
253055,4.93,17.29,3,49,112,0.4375
255997,4.34,17.71,4,43,122,0.3524590163934426
259067,5.84,19.34,4,58,132,0.4393939393939394
262586,5.13,16.57,3,51,107,0.4766355140186916
265659,3.77,17.03,7,37,112,0.33035714285714285
268857,4.42,17.88,2,44,145,0.30344827586206896
271984,3.74,17.24,4,37,114,0.32456140350877194
275157,4.16,16.71,6,41,106,0.3867924528301887
278155,5.76,17.65,6,57,153,0.37254901960784315
281515,4.87,17.45,7,48,123,0.3902439024390244
284637,4.42,16.6,2,44,125,0.352
287843,4.85,18.35,5,48,114,0.42105263157894735
291111,3.92,17.11,2,39,78,0.5
294249,4.84,18.48,4,48,145,0.3310344827586207
297457,4.64,18.33,4,46,138,0.3333333333333333
300445,4.77,17.54,7,47,109,0.43119266055045874
303519,4.26,18.15,6,42,134,0.31343283582089554
306763,5.23,17.57,3,52,130,0.4
310025,4.95,19.11,5,49,142,0.34507042253521125
313380,4.94,18.34,4,49,147,0.3333333333333333
316750,4.12,16.55,2,41,113,0.36283185840707965
319963,5.16,19.97,6,51,148,0.34459459459459457
322971,4.13,18.76,3,41,128,0.3203125
326101,4.44,18.52,4,44,177,0.24858757062146894
329372,4.24,19.17,4,42,163,0.25766871165644173
332559,4.12,18.1,2,41,131,0.31297709923664124
335747,5.05,19.42,5,50,138,0.36231884057971014
339177,5.63,17.9,3,56,155,0.36129032258064514
342445,4.57,18.29,7,45,121,0.371900826446281
345848,5.04,18.64,4,50,144,0.3472222222222222
348966,4.92,18.16,2,49,139,0.35251798561151076
352305,4.14,19.33,4,41,112,0.36607142857142855
355532,5.13,18.44,3,51,135,0.37777777777777777
358708,4.93,19.91,3,49,161,0.30434782608695654
362058,4.1,18.86,0,41,134,0.30597014925373134
365302,4.64,18.72,4,46,144,0.3194444444444444
368508,4.95,18.08,5,49,124,0.3951612903225806
371791,4.35,18.55,5,43,151,0.2847682119205298
375024,4.58,19.44,8,45,154,0.2922077922077922
378052,4.19,18.58,9,41,122,0.3360655737704918
381286,3.86,18.98,6,38,151,0.25165562913907286
384460,4.18,19.93,8,41,142,0.2887323943661972
387632,4.12,18.26,2,41,109,0.3761467889908257
390952,4.34,18.65,4,43,138,0.3115942028985507
394080,5.32,19.14,2,53,147,0.36054421768707484
397230,4.95,19.01,5,49,144,0.3402777777777778
400232,4.52,19.26,2,45,143,0.3146853146853147
403589,4.64,21.17,4,46,162,0.2839506172839506
406785,4.36,18.54,6,43,150,0.2866666666666667
409869,4.23,18.92,3,42,148,0.28378378378378377
413165,3.98,18.97,8,39,138,0.2826086956521739
