timestep,reward,Avg Turns,Cond_Knock
120,-0.024699999999999986,19.42,0.6986301369863014
16162,-0.06179999999999997,20.23,0.6724137931034483
30337,-0.10169999999999998,18.25,0.5949367088607594
43926,-0.0889,20.49,0.5714285714285714
57432,-0.08959999999999999,18.91,0.6779661016949152
70592,-0.048399999999999964,18.89,0.625
84164,-0.055599999999999955,18.52,0.5747126436781609
98006,-0.04679999999999996,19.59,0.5263157894736842
112132,-0.057099999999999984,17.47,0.5942028985507246
125882,-0.1078,19.22,0.5416666666666666
139794,-0.041799999999999955,19.14,0.53125
153082,-0.09699999999999998,19.6,0.6527777777777778
167432,-0.10239999999999996,18.33,0.5789473684210527
181381,-0.12310000000000004,20.22,0.5555555555555556
195745,-0.10990000000000005,19.43,0.5844155844155844
210312,-0.06169999999999997,19.19,0.6140350877192983
224352,-0.08019999999999994,18.79,0.6829268292682927
238845,-0.13790000000000016,19.31,0.6
253417,-0.09380000000000001,19.51,0.4603174603174603
267934,-0.13270000000000018,19.97,0.6
281513,-0.1283000000000001,18.68,0.4794520547945205
295745,-0.09400000000000007,19.26,0.4444444444444444
309935,-0.10279999999999997,19.3,0.543859649122807
324874,-0.10790000000000009,19.88,0.5932203389830508
339099,-0.09840000000000003,19.95,0.4567901234567901
353361,-0.12670000000000015,19.31,0.5806451612903226
368652,-0.08399999999999994,19.26,0.5
383257,-0.13159999999999997,19.83,0.5970149253731343
397884,-0.11490000000000021,19.07,0.49230769230769234
412001,-0.09069999999999995,17.47,0.42857142857142855
426492,-0.14330000000000012,20.1,0.4125
440900,-0.11960000000000007,20.06,0.4393939393939394
455383,-0.08589999999999998,19.23,0.5
470140,-0.18090000000000012,19.88,0.5806451612903226
484703,-0.06979999999999995,19.3,0.4
499403,-0.11030000000000002,19.31,0.38271604938271603
513924,-0.09900000000000002,19.91,0.4642857142857143
529096,-0.1364000000000001,19.37,0.47058823529411764
543754,-0.11289999999999997,19.91,0.4935064935064935
558592,-0.17430000000000007,20.09,0.3877551020408163
573136,-0.15820000000000006,20.09,0.5
587720,-0.18180000000000004,19.84,0.41333333333333333
602482,-0.0607,18.37,0.4146341463414634
617570,-0.12320000000000013,20.49,0.46153846153846156
631952,-0.20740000000000006,20.83,0.3076923076923077
646204,-0.1183,18.54,0.625
661214,-0.1328,19.03,0.44594594594594594
676316,-0.06699999999999993,18.95,0.4430379746835443
691092,-0.08759999999999998,18.92,0.58
705852,-0.1869000000000001,19.96,0.40540540540540543
720606,-0.1918000000000001,19.23,0.5
734760,-0.14690000000000022,21.24,0.38095238095238093
749495,-0.13029999999999997,19.96,0.45121951219512196
764242,-0.17230000000000006,19.63,0.39344262295081966
778847,-0.11620000000000003,19.18,0.4935064935064935
793564,-0.11580000000000004,19.8,0.3684210526315789
808653,-0.11180000000000005,20.0,0.4852941176470588
823258,-0.10910000000000009,19.08,0.3492063492063492
837381,-0.12400000000000004,19.25,0.2962962962962963
852131,-0.12780000000000008,19.93,0.3225806451612903
866770,-0.08599999999999997,19.05,0.36363636363636365
881620,-0.15020000000000014,19.34,0.38666666666666666
895827,-0.1216999999999999,20.57,0.5
910548,-0.1438000000000001,20.58,0.37333333333333335
925567,-0.17600000000000007,18.24,0.34375
940329,-0.10420000000000018,18.91,0.2857142857142857
955645,-0.19100000000000011,20.38,0.41935483870967744
970114,-0.16710000000000005,20.06,0.3013698630136986
985237,-0.13740000000000005,19.19,0.532258064516129
1000187,-0.11460000000000005,19.92,0.4794520547945205
1015039,-0.14379999999999998,20.32,0.32
1029869,-0.13470000000000001,18.07,0.3968253968253968
1044644,-0.1167,20.14,0.4406779661016949
1059604,-0.10379999999999998,19.27,0.4266666666666667
1074103,-0.1639000000000001,19.12,0.5172413793103449
1088918,-0.13370000000000007,20.93,0.313953488372093
1103864,-0.11700000000000005,22.16,0.3181818181818182
1118361,-0.1309,21.07,0.35526315789473684
1133462,-0.18500000000000008,18.01,0.43373493975903615
1148160,-0.16080000000000008,19.18,0.3424657534246575
1163060,-0.17800000000000007,19.57,0.4153846153846154
1178176,-0.1768000000000001,20.53,0.4383561643835616
1193171,-0.16819999999999996,19.26,0.42
1208149,-0.1819000000000001,20.21,0.3380281690140845
1223105,-0.1800000000000001,21.1,0.35064935064935066
1238169,-0.14590000000000009,19.75,0.275
1253288,-0.18930000000000013,19.9,0.43283582089552236
1268183,-0.19770000000000018,19.09,0.48148148148148145
1283198,-0.18460000000000004,19.41,0.29411764705882354
1298014,-0.21170000000000005,20.01,0.34375
1313381,-0.14830000000000004,21.27,0.421875
1328128,-0.14860000000000004,17.98,0.3611111111111111
1343222,-0.09019999999999997,19.46,0.34285714285714286
1358044,-0.20100000000000012,19.65,0.3684210526315789
1373346,-0.19880000000000014,20.29,0.36363636363636365
1388091,-0.16250000000000006,19.68,0.3116883116883117
1403049,-0.17990000000000006,19.53,0.41304347826086957
1418099,-0.16330000000000008,19.92,0.3380281690140845
1432865,-0.1702000000000001,18.95,0.38235294117647056
1448579,-0.15160000000000012,19.65,0.4791666666666667
