timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
120,0.06150000000000005,37.04,12,34,239,0.14225941422594143
17487,0.06500000000000003,35.61,10,31,216,0.14351851851851852
33130,-0.013999999999999999,34.36,12,41,215,0.19069767441860466
48436,0.045500000000000033,35.61,11,36,254,0.14173228346456693
63924,0.030300000000000035,36.06,16,35,226,0.15486725663716813
79250,0.0324,37.48,10,32,256,0.125
94928,-0.0015000000000000013,35.31,10,39,231,0.16883116883116883
110573,0.0277,34.8,11,39,235,0.16595744680851063
125961,0.004700000000000007,34.86,11,40,247,0.16194331983805668
141492,0.07350000000000002,35.36,7,39,189,0.20634920634920634
156362,0.061000000000000026,36.38,12,36,267,0.1348314606741573
171321,0.01759999999999999,36.76,8,37,280,0.13214285714285715
186768,0.13609999999999992,36.14,7,43,212,0.2028301886792453
202231,0.15399999999999991,37.16,10,32,217,0.14746543778801843
217980,0.06980000000000001,36.87,11,33,267,0.12359550561797752
233617,0.06250000000000004,36.02,8,42,258,0.16279069767441862
249092,0.028300000000000027,35.15,8,40,229,0.17467248908296942
264471,0.04850000000000003,37.22,9,38,239,0.1589958158995816
279839,-0.005400000000000009,36.3,14,30,195,0.15384615384615385
295466,0.06390000000000001,37.48,10,31,261,0.11877394636015326
311166,0.026900000000000025,36.72,9,34,276,0.12318840579710146
327019,0.08930000000000003,36.66,12,30,197,0.15228426395939088
342543,-0.016800000000000006,36.28,8,37,233,0.15879828326180256
358465,0.024800000000000013,35.79,11,39,222,0.17567567567567569
374030,0.038600000000000016,37.98,5,36,224,0.16071428571428573
389626,0.032400000000000005,35.8,13,36,222,0.16216216216216217
405041,-0.051099999999999986,35.43,12,35,201,0.17412935323383086
420671,0.027100000000000003,36.23,11,30,216,0.1388888888888889
435652,0.06560000000000002,36.71,5,32,248,0.12903225806451613
451418,0.019800000000000026,36.19,11,31,207,0.1497584541062802
467108,0.08780000000000002,36.03,8,38,225,0.1688888888888889
482992,0.021200000000000024,36.99,9,29,204,0.14215686274509803
498832,0.044400000000000016,37.53,16,32,278,0.11510791366906475
514335,0.03469999999999999,36.73,13,32,216,0.14814814814814814
529955,0.06710000000000003,37.99,15,24,251,0.09561752988047809
545316,0.048600000000000046,37.02,10,29,238,0.12184873949579832
561060,0.058400000000000035,38.18,12,29,215,0.13488372093023257
576930,0.05080000000000006,37.74,14,26,228,0.11403508771929824
592295,0.08779999999999999,39.0,6,31,268,0.11567164179104478
608277,0.09609999999999991,37.18,8,40,297,0.13468013468013468
623910,0.03360000000000002,38.16,10,32,266,0.12030075187969924
639413,0.0381,37.14,7,32,187,0.1711229946524064
655151,0.03030000000000001,37.88,15,28,242,0.11570247933884298
670912,0.09739999999999993,37.85,8,30,220,0.13636363636363635
687152,0.05250000000000001,38.25,17,20,230,0.08695652173913043
703136,0.06740000000000004,36.88,12,31,226,0.13716814159292035
718880,-0.0014000000000000054,37.83,10,29,240,0.12083333333333333
734559,0.08170000000000004,35.71,9,32,199,0.16080402010050251
750221,-0.014599999999999985,38.12,11,30,245,0.12244897959183673
765550,0.1278999999999999,37.11,8,31,235,0.13191489361702127
781430,0.024300000000000006,37.27,11,38,244,0.1557377049180328
796863,0.049100000000000005,38.26,12,27,228,0.11842105263157894
812713,0.0782,38.95,9,23,239,0.09623430962343096
828378,0.041700000000000036,37.85,9,31,246,0.12601626016260162
843756,-0.012600000000000002,37.99,9,27,231,0.11688311688311688
859841,0.041300000000000024,38.62,8,31,269,0.11524163568773234
875640,-0.04339999999999999,38.46,9,27,281,0.09608540925266904
891213,0.11099999999999997,38.24,13,26,265,0.09811320754716982
907100,0.008599999999999988,37.67,14,25,216,0.11574074074074074
922965,-0.01160000000000001,38.31,12,27,264,0.10227272727272728
938559,0.02140000000000002,36.2,7,35,242,0.1446280991735537
954379,0.02850000000000001,37.76,15,22,228,0.09649122807017543
970109,0.0276,38.28,13,25,237,0.10548523206751055
986098,0.00020000000000000324,39.04,11,20,209,0.09569377990430622
1001936,0.08139999999999997,38.61,9,30,220,0.13636363636363635
1018104,0.0941,37.2,8,28,258,0.10852713178294573
1034185,0.042400000000000014,38.04,11,27,207,0.13043478260869565
1050122,0.042699999999999995,36.95,11,30,264,0.11363636363636363
1065938,0.0432,38.86,10,27,265,0.1018867924528302
1081580,0.04450000000000001,38.09,12,28,208,0.1346153846153846
1097227,0.00030000000000000664,38.65,20,23,232,0.09913793103448276
1113007,-0.05499999999999996,38.35,10,29,265,0.10943396226415095
1128707,0.02200000000000005,37.73,14,24,250,0.096
1144286,0.04860000000000003,38.53,10,27,289,0.09342560553633218
1160135,0.022600000000000012,39.27,13,22,259,0.08494208494208494
1175906,0.06650000000000005,39.11,15,19,206,0.09223300970873786
1192014,-0.01579999999999996,38.5,9,23,228,0.10087719298245613
1207803,0.023700000000000006,37.99,11,24,230,0.10434782608695652
1223722,0.07660000000000004,38.04,7,28,249,0.11244979919678715
1239974,0.05560000000000006,39.8,11,26,292,0.08904109589041095
1255922,-0.03269999999999999,39.6,12,27,256,0.10546875
1271409,0.0695,37.63,15,22,219,0.1004566210045662
1287269,0.014300000000000004,39.04,9,20,232,0.08620689655172414
1303195,0.02100000000000002,38.94,10,19,218,0.0871559633027523
1319483,-0.015100000000000002,36.55,10,32,250,0.128
1335122,0.010699999999999993,38.33,13,25,207,0.12077294685990338
1351109,0.044300000000000006,37.31,11,30,198,0.15151515151515152
1367144,0.010099999999999991,37.07,16,26,207,0.12560386473429952
1383052,-0.07329999999999996,38.09,16,20,224,0.08928571428571429
1398944,-0.04100000000000001,38.07,10,25,249,0.10040160642570281
1414708,0.03290000000000001,36.87,10,24,225,0.10666666666666667
1430391,0.006400000000000004,38.15,12,17,212,0.08018867924528301
1446752,-0.037000000000000005,37.9,13,26,230,0.11304347826086956
1462585,-0.025799999999999993,38.47,9,24,231,0.1038961038961039
1478986,0.03730000000000003,40.61,7,18,236,0.07627118644067797
1494832,-0.040699999999999986,38.49,8,26,234,0.1111111111111111
1510877,0.011000000000000012,38.0,12,23,241,0.0954356846473029
1526953,0.0395,38.98,12,18,267,0.06741573033707865
1543094,-0.0374,38.8,9,25,252,0.0992063492063492
1559344,0.06530000000000005,37.62,11,24,278,0.08633093525179857
