timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
120,-0.04439999999999993,23.23,6,38,147,0.2585034013605442
17487,0.053400000000000045,24.78,6,39,133,0.2932330827067669
33130,0.007399999999999993,25.92,6,46,154,0.2987012987012987
48436,-0.020899999999999985,24.33,7,51,202,0.2524752475247525
63924,0.02530000000000001,23.39,5,44,173,0.2543352601156069
79250,-0.015399999999999995,23.9,6,36,125,0.288
94928,-0.042400000000000014,23.21,9,47,150,0.31333333333333335
110573,-0.01409999999999997,23.91,8,45,144,0.3125
125961,-0.009999999999999972,25.57,9,45,181,0.24861878453038674
141492,0.013599999999999987,24.3,8,52,182,0.2857142857142857
156362,0.022800000000000015,23.88,11,30,163,0.18404907975460122
171321,-0.03789999999999994,25.22,10,34,167,0.20359281437125748
186768,0.015300000000000006,22.62,9,44,165,0.26666666666666666
202231,0.02320000000000002,25.14,12,30,170,0.17647058823529413
217980,-0.007100000000000007,25.34,9,46,187,0.24598930481283424
233617,-0.020300000000000012,23.33,11,43,174,0.2471264367816092
249092,-0.03169999999999997,23.92,7,40,157,0.25477707006369427
264471,-0.05469999999999997,24.12,9,44,181,0.2430939226519337
279839,-0.008999999999999984,24.57,12,38,174,0.21839080459770116
295466,-0.013499999999999988,24.54,18,26,133,0.19548872180451127
311166,0.004199999999999993,23.21,4,41,126,0.3253968253968254
327019,0.010700000000000005,24.06,11,37,175,0.21142857142857144
342543,-0.03859999999999993,25.41,10,30,151,0.1986754966887417
358465,-0.01810000000000001,24.05,12,36,163,0.22085889570552147
374030,-0.050099999999999936,23.35,11,37,139,0.26618705035971224
389626,0.019600000000000013,25.87,9,38,145,0.2620689655172414
405041,0.1122,24.77,5,38,151,0.25165562913907286
420671,0.01600000000000001,25.35,8,34,161,0.2111801242236025
435652,-0.012800000000000002,23.5,8,35,120,0.2916666666666667
451418,-0.021199999999999986,24.33,12,35,164,0.21341463414634146
467108,-0.0285,23.44,11,34,132,0.25757575757575757
482992,-0.0699,24.21,15,33,138,0.2391304347826087
498832,-0.013999999999999973,22.97,13,32,157,0.20382165605095542
514335,0.039500000000000035,26.33,8,44,193,0.22797927461139897
529955,-0.03179999999999996,23.95,4,35,148,0.23648648648648649
545316,-0.05219999999999998,24.59,9,31,155,0.2
561060,0.006699999999999987,24.95,6,41,177,0.23163841807909605
576930,0.03030000000000002,25.12,10,37,190,0.19473684210526315
592295,-0.03360000000000001,24.9,6,31,144,0.2152777777777778
608277,0.0003999999999999976,25.29,7,38,184,0.20652173913043478
623910,-0.024,23.59,9,39,136,0.2867647058823529
639413,-0.037999999999999964,24.85,13,40,172,0.23255813953488372
655151,0.0037000000000000305,23.55,8,29,130,0.2230769230769231
670912,-0.020499999999999973,24.22,14,27,159,0.16981132075471697
687152,-0.05689999999999997,25.63,12,38,141,0.2695035460992908
703136,-0.015100000000000016,24.98,9,40,178,0.2247191011235955
718880,-0.06590000000000001,25.99,14,34,177,0.192090395480226
734559,-0.0467,23.82,5,32,152,0.21052631578947367
750221,-0.07879999999999998,25.03,6,37,123,0.3008130081300813
765550,-0.0858,25.23,10,44,189,0.2328042328042328
781430,-0.04759999999999997,24.41,12,29,131,0.22137404580152673
796863,-0.0406,25.4,16,25,124,0.20161290322580644
812713,-0.028999999999999998,25.99,6,32,112,0.2857142857142857
828378,0.01870000000000003,24.42,8,34,137,0.24817518248175183
843756,-0.04459999999999997,25.51,10,32,163,0.19631901840490798
859841,-0.046599999999999975,23.24,9,38,146,0.2602739726027397
875640,-0.023999999999999987,25.5,7,29,166,0.1746987951807229
891213,-0.05719999999999997,24.97,12,35,158,0.22151898734177214
907100,0.0031000000000000194,26.01,9,37,156,0.23717948717948717
922965,0.0008999999999999908,24.97,12,36,174,0.20689655172413793
938559,-0.08939999999999998,24.1,4,39,143,0.2727272727272727
954379,-0.045299999999999965,24.16,9,28,150,0.18666666666666668
970109,0.007300000000000024,23.68,8,34,129,0.26356589147286824
986098,-0.011699999999999981,24.21,10,30,179,0.16759776536312848
1001936,-0.038099999999999974,24.73,14,29,183,0.15846994535519127
1018104,-0.1038,23.73,8,33,122,0.27049180327868855
1034185,0.0241,24.79,9,37,147,0.25170068027210885
1050122,0.008499999999999994,24.99,10,34,142,0.23943661971830985
1065938,-0.09510000000000005,24.65,5,34,139,0.2446043165467626
1081580,-0.047799999999999974,25.61,9,31,160,0.19375
1097227,-0.07759999999999995,25.95,12,26,166,0.1566265060240964
1113007,-0.014900000000000004,24.24,10,26,144,0.18055555555555555
1128707,-0.12660000000000007,24.92,11,21,172,0.12209302325581395
1144286,-0.04489999999999998,26.4,5,37,154,0.24025974025974026
1160135,0.031400000000000025,23.09,5,35,166,0.21084337349397592
1175906,-0.109,23.78,4,35,141,0.24822695035460993
1192014,-0.034600000000000006,23.64,10,29,164,0.17682926829268292
1207803,0.030600000000000013,24.43,11,28,149,0.18791946308724833
1223722,-0.05739999999999992,25.98,8,26,159,0.16352201257861634
