timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
120,-0.3434,15.69,0,9,36,0.25
17487,-0.3736,14.79,2,4,24,0.16666666666666666
33130,-0.35460000000000014,14.45,2,1,15,0.06666666666666667
48436,-0.3525000000000001,15.0,1,11,28,0.39285714285714285
63924,-0.3407,14.82,0,6,23,0.2608695652173913
79250,-0.33770000000000017,15.47,2,6,28,0.21428571428571427
94928,-0.3818999999999997,15.63,1,6,29,0.20689655172413793
110573,-0.3123000000000001,14.89,0,9,29,0.3103448275862069
125961,-0.33380000000000004,14.93,2,10,28,0.35714285714285715
141492,-0.35080000000000006,14.84,1,6,29,0.20689655172413793
156362,-0.3259000000000001,15.58,0,6,27,0.2222222222222222
171321,-0.36349999999999993,15.68,0,2,30,0.06666666666666667
186768,-0.3329,13.88,0,6,24,0.25
202231,-0.3083000000000001,15.69,0,6,42,0.14285714285714285
217980,-0.3489000000000001,15.47,1,6,36,0.16666666666666666
233617,-0.33169999999999994,15.11,1,5,29,0.1724137931034483
249092,-0.3373999999999999,16.42,1,3,37,0.08108108108108109
264471,-0.3175000000000001,15.79,0,6,24,0.25
279839,-0.3020000000000001,15.26,0,7,50,0.14
295466,-0.3220000000000002,15.02,1,5,24,0.20833333333333334
311166,-0.3904000000000001,14.06,0,6,27,0.2222222222222222
327019,-0.3664,15.96,2,6,32,0.1875
342543,-0.3488,14.91,0,8,32,0.25
358465,-0.38489999999999996,15.07,0,8,24,0.3333333333333333
374030,-0.33790000000000014,15.62,0,6,24,0.25
389626,-0.4064,15.26,0,5,34,0.14705882352941177
405041,-0.3532,15.61,2,6,27,0.2222222222222222
420671,-0.3464,13.89,3,5,20,0.25
435652,-0.32899999999999985,14.57,1,4,26,0.15384615384615385
451418,-0.37860000000000005,14.29,0,8,23,0.34782608695652173
467108,-0.3423,15.39,1,10,60,0.16666666666666666
482992,-0.34299999999999997,15.43,1,8,31,0.25806451612903225
498832,-0.39239999999999986,15.19,1,4,29,0.13793103448275862
514335,-0.3461999999999999,15.94,0,8,32,0.25
529955,-0.37920000000000004,14.91,1,7,35,0.2
545316,-0.33459999999999995,14.88,0,4,26,0.15384615384615385
561060,-0.3552000000000002,15.14,1,3,34,0.08823529411764706
576930,-0.32289999999999985,14.08,0,4,25,0.16
592295,-0.38500000000000023,15.19,0,3,21,0.14285714285714285
608277,-0.31500000000000006,14.67,1,6,29,0.20689655172413793
623910,-0.35359999999999997,14.63,1,1,14,0.07142857142857142
639413,-0.3623000000000001,15.98,1,4,34,0.11764705882352941
655151,-0.4012,15.03,0,3,21,0.14285714285714285
670912,-0.37510000000000027,15.05,2,7,22,0.3181818181818182
687152,-0.35459999999999986,14.28,0,4,36,0.1111111111111111
703136,-0.3497000000000001,15.19,0,9,33,0.2727272727272727
718880,-0.38499999999999984,15.21,0,6,24,0.25
734559,-0.32939999999999997,15.24,2,3,21,0.14285714285714285
750221,-0.36810000000000004,13.88,0,3,15,0.2
765550,-0.3011000000000001,14.26,0,6,22,0.2727272727272727
781430,-0.34370000000000006,15.33,1,3,19,0.15789473684210525
796863,-0.3966999999999999,15.84,3,7,28,0.25
812713,-0.3691999999999998,14.66,2,4,19,0.21052631578947367
828378,-0.3788999999999998,15.47,0,4,18,0.2222222222222222
843756,-0.39829999999999993,15.84,1,5,24,0.20833333333333334
859841,-0.3549000000000001,15.35,0,4,23,0.17391304347826086
875640,-0.32360000000000005,14.77,1,4,23,0.17391304347826086
891213,-0.3643,16.6,0,2,13,0.15384615384615385
907100,-0.39519999999999994,14.5,1,4,23,0.17391304347826086
922965,-0.32710000000000006,15.26,1,5,42,0.11904761904761904
938559,-0.3818,14.48,0,7,27,0.25925925925925924
954379,-0.3389,15.1,2,2,26,0.07692307692307693
970109,-0.37699999999999995,13.99,1,5,29,0.1724137931034483
986098,-0.3611,13.57,2,1,23,0.043478260869565216
1001936,-0.3670000000000002,15.3,1,3,30,0.1
1018104,-0.3772999999999999,15.54,0,8,38,0.21052631578947367
1034185,-0.37040000000000006,15.21,0,3,16,0.1875
1050122,-0.37690000000000007,13.85,1,3,16,0.1875
1065938,-0.35739999999999994,14.7,1,7,22,0.3181818181818182
1081580,-0.37579999999999997,15.75,1,7,37,0.1891891891891892
1097227,-0.3576999999999999,15.52,0,2,15,0.13333333333333333
1113007,-0.39469999999999983,15.0,1,4,21,0.19047619047619047
1128707,-0.39330000000000015,15.67,1,2,32,0.0625
1144286,-0.37970000000000015,15.68,0,6,23,0.2608695652173913
1160135,-0.3780999999999999,15.53,2,4,28,0.14285714285714285
1175906,-0.39069999999999994,15.14,0,5,41,0.12195121951219512
1192014,-0.39219999999999977,15.09,2,1,15,0.06666666666666667
1207803,-0.33110000000000006,14.33,0,5,30,0.16666666666666666
1223722,-0.34750000000000014,15.41,1,5,34,0.14705882352941177
1239974,-0.3677000000000001,14.69,0,3,16,0.1875
1255922,-0.36080000000000007,15.77,2,1,29,0.034482758620689655
1271409,-0.38159999999999994,15.47,1,1,33,0.030303030303030304
1287269,-0.3437000000000001,13.91,0,4,37,0.10810810810810811
1303195,-0.36980000000000013,14.47,1,3,33,0.09090909090909091
1319483,-0.3910000000000002,14.13,1,4,18,0.2222222222222222
1335122,-0.39980000000000016,14.25,1,7,18,0.3888888888888889
1351109,-0.39359999999999984,16.01,1,6,36,0.16666666666666666
1367144,-0.3867999999999999,15.28,1,7,34,0.20588235294117646
1383052,-0.4022000000000002,14.95,0,4,31,0.12903225806451613
1398944,-0.32710000000000006,14.98,1,1,27,0.037037037037037035
1414708,-0.3932999999999999,13.67,0,6,29,0.20689655172413793
1430391,-0.3891999999999999,14.2,1,9,26,0.34615384615384615
1446752,-0.38670000000000004,14.72,0,5,28,0.17857142857142858
1462585,-0.41300000000000003,15.06,0,5,20,0.25
1478986,-0.39890000000000003,14.02,1,4,41,0.0975609756097561
1494832,-0.3918000000000001,15.55,1,3,16,0.1875
