timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
136,0.20189999999999977,29.43,5,82,241,0.34024896265560167
11115,0.34199999999999997,45.0,33,45,456,0.09868421052631579
21877,0.19619999999999993,39.38,22,20,382,0.05235602094240838
32006,0.18569999999999984,40.81,26,28,435,0.06436781609195402
42718,0.3963000000000001,52.97,35,38,552,0.06884057971014493
53686,0.332,49.81,31,31,449,0.06904231625835189
64480,0.1603,46.02,33,16,459,0.034858387799564274
74879,0.40459999999999996,47.46,40,26,549,0.04735883424408015
85721,0.3899000000000001,47.69,30,19,492,0.03861788617886179
96606,0.5173000000000002,52.72,37,24,534,0.0449438202247191
107681,0.5079,55.65,47,30,507,0.05917159763313609
119316,0.6003000000000001,58.95,55,23,582,0.03951890034364261
130683,0.5381000000000004,61.85,48,29,589,0.04923599320882852
142007,0.5436000000000003,51.76,51,24,537,0.0446927374301676
152735,0.406,51.86,38,22,600,0.03666666666666667
163699,0.41800000000000004,49.59,39,18,566,0.03180212014134275
174796,0.27939999999999987,50.13,32,22,476,0.046218487394957986
185534,0.33239999999999986,53.01,41,23,521,0.044145873320537425
196646,0.4429000000000003,56.08,54,13,566,0.022968197879858657
207557,0.4169000000000003,60.64,45,28,668,0.041916167664670656
219414,0.5580000000000003,63.15,53,23,651,0.03533026113671275
230648,0.6353000000000002,64.61,55,19,683,0.027818448023426062
241729,0.5800000000000004,67.99,61,17,632,0.02689873417721519
253284,0.42090000000000005,61.46,48,30,611,0.049099836333878884
264981,0.4494000000000002,61.71,39,32,661,0.048411497730711045
276637,0.5861000000000003,65.4,46,26,595,0.043697478991596636
288535,0.6002000000000003,62.1,55,22,601,0.036605657237936774
299868,0.5675000000000002,61.1,49,27,545,0.04954128440366973
311204,0.4950000000000002,65.58,51,31,609,0.05090311986863711
322977,0.5521000000000004,66.79,59,26,657,0.0395738203957382
334868,0.5195000000000003,65.6,57,18,627,0.028708133971291867
346496,0.5462000000000004,64.84,45,29,655,0.044274809160305344
358303,0.47950000000000026,64.25,49,24,636,0.03773584905660377
369972,0.5481000000000001,64.26,57,25,592,0.04222972972972973
381707,0.5242000000000001,63.26,46,27,601,0.04492512479201331
392894,0.49120000000000014,64.81,52,23,629,0.03656597774244833
404927,0.5444000000000004,65.98,52,22,640,0.034375
416592,0.5253000000000003,68.28,47,24,701,0.034236804564907276
428252,0.5707000000000001,69.17,50,25,639,0.03912363067292645
440203,0.5239000000000003,68.26,55,18,685,0.026277372262773723
451411,0.5266000000000002,66.49,55,26,652,0.03987730061349693
462837,0.5993000000000002,65.15,48,31,637,0.04866562009419152
474798,0.5177000000000003,63.21,54,29,596,0.04865771812080537
486615,0.49810000000000004,64.25,45,26,545,0.047706422018348627
498119,0.6477000000000003,63.76,54,26,642,0.040498442367601244
509887,0.5343000000000001,64.64,48,29,577,0.05025996533795494
521440,0.5287000000000002,64.16,54,25,563,0.04440497335701599
533194,0.4652000000000001,67.84,48,27,626,0.04313099041533546
544942,0.6027000000000001,64.66,49,28,613,0.04567699836867863
556617,0.5204000000000001,65.96,53,20,550,0.03636363636363636
568216,0.5600000000000004,65.99,55,23,596,0.03859060402684564
580080,0.4880000000000002,67.37,46,29,576,0.050347222222222224
591243,0.5537000000000001,69.43,60,16,553,0.028933092224231464
603177,0.5652000000000004,66.27,53,25,594,0.04208754208754209
614884,0.5491000000000001,64.8,45,28,627,0.044657097288676235
626420,0.4508999999999998,67.12,39,36,672,0.05357142857142857
637944,0.5274000000000002,65.79,56,16,574,0.027874564459930314
649651,0.5344000000000002,63.98,57,27,603,0.04477611940298507
661313,0.4625000000000002,67.88,42,27,596,0.04530201342281879
673178,0.4436,67.73,50,27,595,0.0453781512605042
685273,0.6206000000000004,65.41,47,28,571,0.04903677758318739
696893,0.3879000000000002,67.1,54,24,613,0.03915171288743882
708851,0.4969000000000001,67.4,49,24,613,0.03915171288743882
720837,0.43020000000000025,66.79,52,23,590,0.03898305084745763
732221,0.4418000000000003,66.08,51,27,534,0.05056179775280899
743805,0.5734000000000001,67.59,48,26,570,0.0456140350877193
755335,0.5627,66.85,53,22,631,0.03486529318541997
766898,0.4754000000000003,67.36,42,34,596,0.05704697986577181
778587,0.5554000000000001,68.31,67,11,607,0.018121911037891267
790309,0.4617000000000002,67.42,57,17,509,0.03339882121807466
801858,0.45000000000000023,69.76,44,33,690,0.04782608695652174
813416,0.6402000000000002,66.97,56,16,502,0.03187250996015936
824855,0.43090000000000017,65.64,41,27,582,0.04639175257731959
836616,0.43080000000000007,65.15,43,28,629,0.04451510333863275
848038,0.5323000000000003,64.53,50,29,465,0.06236559139784946
859599,0.5013000000000002,68.7,52,17,634,0.026813880126182965
871128,0.5209000000000001,69.83,47,25,573,0.04363001745200698
882860,0.5156000000000002,66.76,35,26,641,0.0405616224648986
