timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
136,-0.008899999999999993,21.63,4,37,137,0.27007299270072993
11115,-0.16390000000000005,27.04,5,13,107,0.12149532710280374
21877,-0.14680000000000004,24.04,6,6,145,0.041379310344827586
32006,-0.14730000000000007,25.82,4,11,146,0.07534246575342465
42718,-0.25220000000000004,29.42,1,16,105,0.1523809523809524
53686,-0.20090000000000008,28.12,1,7,82,0.08536585365853659
64480,-0.2025,27.37,4,9,121,0.0743801652892562
74879,-0.16430000000000003,26.63,3,4,111,0.036036036036036036
85721,-0.2021,26.44,4,8,138,0.057971014492753624
96606,-0.19720000000000001,26.14,4,11,99,0.1111111111111111
107681,-0.24000000000000007,27.13,5,5,122,0.040983606557377046
119316,-0.2908,28.71,3,6,97,0.061855670103092786
130683,-0.2694000000000001,26.88,1,4,77,0.05194805194805195
142007,-0.24160000000000006,30.03,3,6,97,0.061855670103092786
152735,-0.22880000000000006,26.65,3,4,85,0.047058823529411764
163699,-0.17380000000000007,26.4,1,6,124,0.04838709677419355
174796,-0.1875,26.0,5,6,146,0.0410958904109589
185534,-0.2758999999999999,26.6,4,4,119,0.03361344537815126
196646,-0.20640000000000003,27.11,3,3,83,0.03614457831325301
207557,-0.2603000000000001,28.18,7,1,86,0.011627906976744186
219414,-0.32249999999999995,28.37,5,1,88,0.011363636363636364
230648,-0.27470000000000006,26.93,6,4,88,0.045454545454545456
241729,-0.2591,26.54,2,4,68,0.058823529411764705
253284,-0.2642,30.46,3,5,78,0.0641025641025641
264981,-0.27469999999999994,29.1,1,4,55,0.07272727272727272
276637,-0.2707000000000001,30.55,5,1,78,0.01282051282051282
288535,-0.2836,28.63,3,3,99,0.030303030303030304
299868,-0.2871,28.04,1,5,79,0.06329113924050633
311204,-0.26559999999999995,29.11,3,6,88,0.06818181818181818
322977,-0.27869999999999995,28.84,3,3,64,0.046875
334868,-0.3288,27.75,3,2,69,0.028985507246376812
346496,-0.2872000000000001,30.46,2,3,89,0.033707865168539325
358303,-0.2853,29.87,3,1,84,0.011904761904761904
369972,-0.2939,28.53,1,2,61,0.03278688524590164
381707,-0.3157,28.63,1,1,72,0.013888888888888888
392894,-0.3057000000000001,29.03,1,4,62,0.06451612903225806
404927,-0.2997,27.94,6,2,68,0.029411764705882353
416592,-0.28689999999999993,26.79,2,3,71,0.04225352112676056
428252,-0.2804,29.1,3,4,74,0.05405405405405406
440203,-0.336,28.26,4,6,57,0.10526315789473684
451411,-0.35929999999999995,30.07,3,6,89,0.06741573033707865
462837,-0.31620000000000004,29.2,3,5,68,0.07352941176470588
474798,-0.3082000000000001,27.08,2,1,60,0.016666666666666666
486615,-0.31310000000000004,27.75,3,6,55,0.10909090909090909
498119,-0.2519,30.75,3,5,78,0.0641025641025641
509887,-0.273,31.27,1,0,77,0.0
521440,-0.2891,26.81,1,1,54,0.018518518518518517
533194,-0.3238,28.44,1,2,84,0.023809523809523808
544942,-0.34999999999999987,28.95,4,1,76,0.013157894736842105
556617,-0.2627999999999999,30.39,0,4,62,0.06451612903225806
568216,-0.2861,28.74,4,1,77,0.012987012987012988
580080,-0.27360000000000007,28.32,1,3,65,0.046153846153846156
591243,-0.31200000000000006,27.74,3,3,67,0.04477611940298507
603177,-0.2991000000000001,29.65,1,0,60,0.0
614884,-0.30749999999999994,29.25,2,3,56,0.05357142857142857
626420,-0.32270000000000004,26.46,2,4,58,0.06896551724137931
637944,-0.25270000000000004,27.26,0,2,61,0.03278688524590164
649651,-0.27939999999999987,28.39,4,3,73,0.0410958904109589
661313,-0.3023,26.95,6,0,46,0.0
673178,-0.31140000000000007,28.84,3,2,57,0.03508771929824561
685273,-0.3379,30.75,3,3,92,0.03260869565217391
696893,-0.282,26.84,3,0,53,0.0
708851,-0.26669999999999994,28.52,5,3,96,0.03125
720837,-0.26349999999999985,28.49,4,1,70,0.014285714285714285
732221,-0.3179999999999999,28.29,4,5,82,0.06097560975609756
743805,-0.3165999999999999,28.51,3,1,65,0.015384615384615385
755335,-0.30749999999999994,27.61,4,5,65,0.07692307692307693
766898,-0.3398999999999998,29.74,4,5,80,0.0625
778587,-0.3124,30.32,2,2,79,0.02531645569620253
790309,-0.31689999999999996,26.97,2,2,54,0.037037037037037035
801858,-0.29200000000000015,29.45,4,0,65,0.0
813416,-0.3306,29.31,1,1,66,0.015151515151515152
824855,-0.3157,29.46,8,5,87,0.05747126436781609
836616,-0.3326000000000002,29.16,2,1,53,0.018867924528301886
848038,-0.2993000000000001,28.08,2,3,72,0.041666666666666664
859599,-0.20559999999999998,28.27,3,4,67,0.05970149253731343
871128,-0.2681,27.86,3,3,54,0.05555555555555555
882860,-0.3184,30.84,6,2,67,0.029850746268656716
894679,-0.3440000000000001,29.69,5,3,72,0.041666666666666664
906038,-0.3104999999999999,28.7,5,3,76,0.039473684210526314
917935,-0.36840000000000017,27.17,4,1,69,0.014492753623188406
929403,-0.2734,26.38,1,2,71,0.028169014084507043
941423,-0.2984000000000001,28.79,4,1,53,0.018867924528301886
952942,-0.3084,25.98,3,5,63,0.07936507936507936
964896,-0.27510000000000007,29.05,3,4,78,0.05128205128205128
976194,-0.30519999999999997,29.9,4,1,62,0.016129032258064516
988373,-0.3089,28.22,1,1,39,0.02564102564102564
1000302,-0.31660000000000005,29.35,3,5,85,0.058823529411764705
1011759,-0.2795,29.57,2,4,63,0.06349206349206349
1023175,-0.3145,26.21,4,4,63,0.06349206349206349
1035254,-0.2764,26.63,2,2,50,0.04
1047376,-0.29769999999999985,28.26,2,2,83,0.024096385542168676
1058887,-0.2553,28.1,2,3,73,0.0410958904109589
1070431,-0.3673999999999999,29.63,4,5,106,0.04716981132075472
1081538,-0.2672000000000001,30.29,2,1,67,0.014925373134328358
1093161,-0.27290000000000003,28.41,1,3,71,0.04225352112676056
1104932,-0.2652999999999999,30.37,4,1,94,0.010638297872340425
1116306,-0.3033000000000001,29.02,2,4,73,0.0547945205479452
1127774,-0.32550000000000007,28.88,3,3,79,0.0379746835443038
1139240,-0.29710000000000003,27.29,4,0,50,0.0
1150567,-0.3326000000000001,28.36,2,1,63,0.015873015873015872
1162538,-0.31390000000000007,28.82,4,2,90,0.022222222222222223
1174372,-0.3452999999999999,29.5,4,4,98,0.04081632653061224
1186199,-0.34480000000000005,29.17,4,1,113,0.008849557522123894
1197867,-0.2662,30.21,3,2,65,0.03076923076923077
1209679,-0.32929999999999987,29.14,3,4,100,0.04
1221549,-0.2778,28.95,7,1,81,0.012345679012345678
1233583,-0.28070000000000006,29.86,2,2,95,0.021052631578947368
1245734,-0.28369999999999995,28.16,8,7,126,0.05555555555555555
1257576,-0.2762,28.11,6,1,92,0.010869565217391304
1269854,-0.27870000000000006,28.06,7,0,75,0.0
1282023,-0.2619,27.17,2,2,75,0.02666666666666667
1294215,-0.28259999999999996,29.43,5,5,83,0.060240963855421686
1306357,-0.2565,28.89,6,3,97,0.030927835051546393
1318098,-0.27070000000000005,29.33,5,1,76,0.013157894736842105
1330423,-0.23099999999999996,29.9,3,3,82,0.036585365853658534
1342664,-0.22990000000000005,29.5,3,3,87,0.034482758620689655
1354808,-0.3213,30.6,6,3,98,0.030612244897959183
1366851,-0.2805999999999999,27.93,7,1,89,0.011235955056179775
1378620,-0.29200000000000004,28.02,10,2,76,0.02631578947368421
1390159,-0.31949999999999995,27.14,7,1,108,0.009259259259259259
1402100,-0.2891999999999999,29.59,6,2,110,0.01818181818181818
1414136,-0.28699999999999987,26.63,4,2,64,0.03125
1425854,-0.2882,27.59,5,0,81,0.0
1437547,-0.28360000000000013,27.16,4,3,65,0.046153846153846156
1450034,-0.3047000000000001,28.84,4,2,97,0.020618556701030927
1461565,-0.2550999999999999,29.66,7,1,87,0.011494252873563218
1474257,-0.24309999999999998,29.88,7,2,103,0.019417475728155338
1486545,-0.20870000000000005,32.92,2,2,90,0.022222222222222223
1499238,-0.2969000000000001,27.6,11,1,95,0.010526315789473684
1512070,-0.3445000000000001,26.51,4,1,56,0.017857142857142856
1524454,-0.2766999999999999,28.44,5,1,96,0.010416666666666666
1537075,-0.2925999999999999,29.58,5,1,83,0.012048192771084338
1549390,-0.2979000000000001,29.57,9,2,92,0.021739130434782608
1562391,-0.2552000000000001,27.11,5,2,68,0.029411764705882353
1575012,-0.24770000000000003,28.13,6,0,68,0.0
1587329,-0.35179999999999995,29.05,4,3,53,0.05660377358490566
1599087,-0.29790000000000005,28.9,7,0,57,0.0
1611936,-0.2479000000000001,29.76,3,0,85,0.0
1624697,-0.3110000000000001,29.6,8,1,56,0.017857142857142856
1637978,-0.2470000000000001,30.08,8,2,88,0.022727272727272728
1651059,-0.32580000000000003,26.42,6,4,56,0.07142857142857142
1663926,-0.2926,28.64,3,3,69,0.043478260869565216
1676933,-0.2797,29.09,4,2,64,0.03125
1689578,-0.3353000000000001,29.07,5,1,70,0.014285714285714285
1702353,-0.28410000000000013,28.8,6,1,62,0.016129032258064516
1714880,-0.3179000000000001,29.42,5,2,51,0.0392156862745098
1727641,-0.24739999999999998,30.27,4,1,64,0.015625
1740803,-0.3435000000000001,27.56,4,1,101,0.009900990099009901
1753691,-0.28660000000000013,30.58,1,2,48,0.041666666666666664
1766764,-0.3535999999999999,29.99,4,1,72,0.013888888888888888
1779959,-0.25450000000000006,30.4,5,1,87,0.011494252873563218
1793244,-0.2786000000000001,27.34,10,0,105,0.0
1805962,-0.27759999999999996,28.7,5,1,73,0.0136986301369863
1818817,-0.24669999999999992,27.57,12,0,81,0.0
1831896,-0.20730000000000004,28.05,5,3,76,0.039473684210526314
1845398,-0.2911000000000002,28.33,4,1,65,0.015384615384615385
1859137,-0.18320000000000008,29.32,11,0,97,0.0
1872691,-0.25210000000000005,28.81,3,2,70,0.02857142857142857
1886974,-0.28519999999999995,31.79,3,4,105,0.0380952380952381
1901151,-0.3312,29.2,8,3,65,0.046153846153846156
1914801,-0.28429999999999994,26.82,6,0,53,0.0
1928202,-0.3147999999999999,29.13,5,1,61,0.01639344262295082
1941701,-0.28959999999999997,29.48,4,1,82,0.012195121951219513
1954851,-0.2895,25.75,8,0,51,0.0
1969190,-0.27029999999999993,27.01,3,0,65,0.0
1984088,-0.2892,27.23,5,2,67,0.029850746268656716
1997989,-0.25379999999999997,27.51,9,1,55,0.01818181818181818
2011287,-0.23360000000000014,30.44,4,3,80,0.0375
2025309,-0.28150000000000014,28.92,11,2,58,0.034482758620689655
2039846,-0.30340000000000006,29.84,5,2,66,0.030303030303030304
2054504,-0.24209999999999993,28.5,6,4,80,0.05
2069557,-0.2649000000000001,27.52,3,0,63,0.0
2083691,-0.2734,29.98,6,1,75,0.013333333333333334
2098848,-0.3273,27.58,6,1,92,0.010869565217391304
2112736,-0.26160000000000005,27.59,5,2,69,0.028985507246376812
2126265,-0.3067,28.51,3,4,95,0.042105263157894736
2139925,-0.31690000000000007,29.43,4,1,58,0.017241379310344827
2154408,-0.24529999999999993,27.65,5,1,66,0.015151515151515152
2169078,-0.2894,29.45,6,2,101,0.019801980198019802
2183067,-0.3062999999999999,27.95,7,1,72,0.013888888888888888
2197351,-0.2624999999999999,26.61,8,2,53,0.03773584905660377
2212736,-0.22770000000000004,29.22,4,3,58,0.05172413793103448
2226579,-0.29370000000000007,27.37,7,0,47,0.0
2241530,-0.32130000000000003,28.48,5,2,83,0.024096385542168676
2256174,-0.35239999999999994,29.25,5,1,72,0.013888888888888888
2271216,-0.28289999999999993,30.22,7,2,54,0.037037037037037035
2287188,-0.3451999999999999,27.57,5,0,55,0.0
2304057,-0.2561,28.71,5,1,96,0.010416666666666666
2319341,-0.2849000000000001,27.42,5,1,59,0.01694915254237288
2333638,-0.3305000000000001,28.41,7,0,53,0.0
2347671,-0.2668999999999999,28.36,2,1,49,0.02040816326530612
2362367,-0.3489999999999999,27.22,8,3,52,0.057692307692307696
2377105,-0.22759999999999994,27.29,6,2,48,0.041666666666666664
2393666,-0.31470000000000004,31.16,8,2,95,0.021052631578947368
2409830,-0.19880000000000003,27.11,4,0,57,0.0
2425911,-0.26830000000000004,28.15,5,4,61,0.06557377049180328
2441857,-0.31600000000000006,28.06,5,1,64,0.015625
2458013,-0.23310000000000006,32.08,4,0,84,0.0
2475592,-0.25999999999999995,29.67,9,1,57,0.017543859649122806
