timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
136,-0.2172000000000001,16.25,0,21,54,0.3888888888888889
11115,-0.30400000000000005,18.1,1,3,42,0.07142857142857142
21877,-0.2678,16.08,3,3,43,0.06976744186046512
32006,-0.3002,17.5,1,5,63,0.07936507936507936
42718,-0.29550000000000004,17.91,1,4,24,0.16666666666666666
53686,-0.3309,17.55,1,2,35,0.05714285714285714
64480,-0.3118000000000001,17.72,1,2,49,0.04081632653061224
74879,-0.2967000000000001,18.95,0,1,53,0.018867924528301886
85721,-0.3226000000000001,17.12,2,1,42,0.023809523809523808
96606,-0.31920000000000004,17.83,3,2,48,0.041666666666666664
107681,-0.3598000000000002,19.09,0,1,29,0.034482758620689655
119316,-0.37330000000000013,20.48,0,2,28,0.07142857142857142
130683,-0.3696000000000003,18.95,2,1,19,0.05263157894736842
142007,-0.357,17.58,2,0,31,0.0
152735,-0.32969999999999994,17.08,3,1,31,0.03225806451612903
163699,-0.34399999999999986,18.31,1,3,60,0.05
174796,-0.30549999999999994,17.65,0,4,39,0.10256410256410256
185534,-0.3249,19.53,0,1,36,0.027777777777777776
196646,-0.32689999999999997,19.29,1,2,33,0.06060606060606061
207557,-0.3305000000000001,19.25,3,1,41,0.024390243902439025
219414,-0.34420000000000023,18.88,2,1,13,0.07692307692307693
230648,-0.3475000000000001,21.42,0,1,24,0.041666666666666664
241729,-0.3816000000000001,19.33,0,3,42,0.07142857142857142
253284,-0.30679999999999996,19.39,0,2,23,0.08695652173913043
264981,-0.39770000000000005,19.82,0,1,29,0.034482758620689655
276637,-0.38720000000000016,19.4,2,1,22,0.045454545454545456
288535,-0.40320000000000006,19.24,1,0,37,0.0
299868,-0.38439999999999996,18.38,0,0,32,0.0
311204,-0.39129999999999987,18.7,2,0,25,0.0
322977,-0.38659999999999994,18.49,0,1,23,0.043478260869565216
334868,-0.39630000000000004,19.22,0,2,40,0.05
346496,-0.3921,19.83,1,2,34,0.058823529411764705
