timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
136,-0.07949999999999995,21.32,0,45,45,1.0
11908,-0.06139999999999992,21.03,0,53,61,0.8688524590163934
22220,-0.05889999999999996,21.83,1,44,50,0.88
32558,-0.0576,22.79,0,48,53,0.9056603773584906
43846,-0.053499999999999985,23.3,0,51,62,0.8225806451612904
54631,-0.10649999999999998,21.51,0,45,45,1.0
65904,-0.036099999999999965,24.59,3,49,59,0.8305084745762712
77247,-0.04259999999999993,22.35,0,54,59,0.9152542372881356
88123,-0.10060000000000006,23.5,2,38,47,0.8085106382978723
98895,-0.10930000000000004,24.52,1,38,43,0.8837209302325582
109682,-0.033899999999999986,23.52,1,48,56,0.8571428571428571
120774,-0.1122,23.65,4,31,42,0.7380952380952381
131721,-0.05429999999999996,24.47,2,44,54,0.8148148148148148
142574,-0.02840000000000001,25.26,2,50,55,0.9090909090909091
153494,-0.0953000000000001,24.11,1,40,48,0.8333333333333334
164453,-0.0008000000000000001,25.05,2,55,59,0.9322033898305084
175709,-0.05419999999999996,24.24,2,48,64,0.75
187216,-0.07129999999999997,21.69,1,47,48,0.9791666666666666
198217,-0.09870000000000002,23.42,1,40,48,0.8333333333333334
208911,-0.09039999999999994,24.31,2,37,41,0.9024390243902439
220003,0.0024000000000000566,23.09,4,52,54,0.9629629629629629
231044,-0.05319999999999994,24.03,1,52,60,0.8666666666666667
242210,-0.13440000000000013,25.76,0,42,50,0.84
253260,-0.030299999999999935,25.85,3,47,50,0.94
264031,-0.10230000000000002,24.67,1,43,50,0.86
275460,-0.08860000000000012,24.65,1,47,54,0.8703703703703703
287091,-0.08680000000000007,25.62,0,47,59,0.7966101694915254
298765,0.014100000000000001,29.83,3,57,65,0.8769230769230769
310167,-0.04219999999999996,26.12,1,50,59,0.847457627118644
321252,-0.06099999999999994,26.08,2,46,54,0.8518518518518519
332354,-0.0216,28.71,3,48,55,0.8727272727272727
343158,-0.08409999999999992,26.65,3,42,53,0.7924528301886793
354505,-0.1128,25.82,1,40,57,0.7017543859649122
365804,-0.09660000000000003,25.94,2,44,54,0.8148148148148148
376309,-0.053299999999999945,26.89,1,50,63,0.7936507936507936
387298,-0.03139999999999999,28.7,3,44,59,0.7457627118644068
398444,-0.07339999999999995,28.34,1,44,61,0.7213114754098361
410094,-0.0567,27.92,3,44,56,0.7857142857142857
421775,-0.029099999999999973,26.93,3,46,61,0.7540983606557377
433046,-0.06649999999999999,28.39,2,44,57,0.7719298245614035
444118,-0.0771,25.37,6,33,44,0.75
455125,-0.05909999999999999,28.63,3,43,62,0.6935483870967742
465803,-0.05039999999999996,26.89,2,49,72,0.6805555555555556
476613,-0.10010000000000009,27.06,2,41,58,0.7068965517241379
487723,-0.056199999999999986,28.86,2,46,63,0.7301587301587301
499117,-0.09340000000000001,26.69,1,40,56,0.7142857142857143
510506,-0.0931,26.15,4,32,42,0.7619047619047619
521992,-0.10570000000000011,25.29,2,37,49,0.7551020408163265
533347,-0.08259999999999998,26.41,2,39,58,0.6724137931034483
544448,-0.07019999999999998,27.06,4,37,48,0.7708333333333334
555447,-0.04019999999999993,25.32,3,45,61,0.7377049180327869
566334,-0.05269999999999996,26.39,2,45,61,0.7377049180327869
577597,-0.15300000000000002,26.99,2,28,42,0.6666666666666666
588462,-0.06119999999999998,25.23,4,40,60,0.6666666666666666
599982,-0.06539999999999996,26.61,2,41,55,0.7454545454545455
610909,-0.1254000000000001,26.38,1,37,55,0.6727272727272727
622196,-0.14550000000000007,26.39,1,32,38,0.8421052631578947
633667,-0.06279999999999997,27.33,2,43,60,0.7166666666666667
644734,-0.030299999999999952,28.2,5,46,63,0.7301587301587301
656175,-0.09870000000000007,27.6,6,29,52,0.5576923076923077
667363,-0.05759999999999996,25.01,6,38,48,0.7916666666666666
678885,-0.11030000000000001,25.65,3,34,53,0.6415094339622641
690297,-0.10010000000000005,27.42,5,32,41,0.7804878048780488
701824,-0.04929999999999998,28.44,4,40,55,0.7272727272727273
713051,0.02790000000000002,27.89,8,48,66,0.7272727272727273
724676,-0.03449999999999998,32.12,4,43,58,0.7413793103448276
736426,-0.05410000000000001,28.52,5,41,50,0.82
748088,-0.08780000000000003,29.38,1,41,59,0.6949152542372882
759852,-0.04879999999999996,29.57,3,44,66,0.6666666666666666
770916,-0.09200000000000015,29.54,2,40,61,0.6557377049180327
781867,-0.07059999999999995,29.79,2,43,57,0.7543859649122807
793090,-0.05589999999999997,30.75,2,44,64,0.6875
804552,-0.03619999999999997,30.5,4,43,59,0.7288135593220338
815546,0.013500000000000002,31.69,4,52,66,0.7878787878787878
826929,-0.048899999999999964,30.22,3,48,62,0.7741935483870968
838251,-0.09050000000000001,32.69,2,37,60,0.6166666666666667
849841,-0.07019999999999996,30.48,3,43,63,0.6825396825396826
861575,-0.05599999999999999,33.09,2,46,74,0.6216216216216216
