timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
136,-0.30040000000000006,14.46,0,10,11,0.9090909090909091
11908,-0.2588,16.63,0,16,18,0.8888888888888888
22220,-0.22710000000000005,16.22,1,19,19,1.0
32558,-0.29100000000000015,15.33,0,13,13,1.0
43846,-0.2852000000000001,16.52,1,14,16,0.875
54631,-0.2401000000000001,15.71,0,22,25,0.88
65904,-0.2507000000000001,15.68,0,22,24,0.9166666666666666
77247,-0.2438000000000001,16.12,0,24,28,0.8571428571428571
88123,-0.22520000000000004,16.63,1,24,27,0.8888888888888888
98895,-0.26880000000000015,15.68,0,20,20,1.0
109682,-0.2520000000000002,16.46,1,19,19,1.0
120774,-0.2630000000000001,16.47,1,20,26,0.7692307692307693
131721,-0.2828000000000001,16.11,0,15,18,0.8333333333333334
142574,-0.22989999999999994,16.29,2,21,22,0.9545454545454546
153494,-0.2522000000000001,16.53,0,22,24,0.9166666666666666
164453,-0.2445,14.97,2,19,19,1.0
175709,-0.23759999999999998,16.26,1,22,26,0.8461538461538461
187216,-0.2713000000000001,16.31,0,17,18,0.9444444444444444
198217,-0.27940000000000004,15.29,2,17,21,0.8095238095238095
208911,-0.24359999999999998,16.04,1,20,22,0.9090909090909091
220003,-0.2528,15.94,0,17,17,1.0
231044,-0.2894000000000001,16.0,0,14,17,0.8235294117647058
242210,-0.35430000000000006,15.36,0,9,14,0.6428571428571429
253260,-0.2821000000000002,17.04,1,12,16,0.75
264031,-0.30610000000000004,15.41,0,15,21,0.7142857142857143
275460,-0.26320000000000027,16.24,2,16,18,0.8888888888888888
287091,-0.2958000000000002,15.11,0,21,25,0.84
298765,-0.2588999999999999,17.15,1,19,20,0.95
310167,-0.26020000000000015,17.05,0,17,19,0.8947368421052632
321252,-0.2751000000000002,15.83,1,14,17,0.8235294117647058
332354,-0.2272000000000001,16.79,2,23,30,0.7666666666666667
343158,-0.2377,17.31,0,22,25,0.88
354505,-0.2137000000000002,16.72,3,20,25,0.8
365804,-0.2968,17.88,0,16,20,0.8
376309,-0.2683000000000001,16.31,1,18,23,0.782608695652174
387298,-0.29040000000000005,17.29,1,12,22,0.5454545454545454
398444,-0.22290000000000001,16.45,1,24,27,0.8888888888888888
410094,-0.2562000000000001,17.72,2,22,25,0.88
421775,-0.22140000000000012,16.08,2,24,32,0.75
433046,-0.30060000000000003,17.14,0,19,22,0.8636363636363636
444118,-0.2841,17.85,0,16,22,0.7272727272727273
455125,-0.32169999999999993,16.1,0,13,19,0.6842105263157895
465803,-0.29240000000000005,14.73,0,17,19,0.8947368421052632
476613,-0.25749999999999995,17.87,2,18,26,0.6923076923076923
487723,-0.3096000000000002,16.89,1,11,16,0.6875
499117,-0.2553,16.51,3,15,17,0.8823529411764706
510506,-0.31300000000000006,15.61,0,16,17,0.9411764705882353
521992,-0.3189000000000003,16.45,1,11,14,0.7857142857142857
533347,-0.27910000000000007,16.63,1,17,21,0.8095238095238095
544448,-0.3439,16.0,1,12,18,0.6666666666666666
555447,-0.3157,17.29,0,12,13,0.9230769230769231
566334,-0.35870000000000013,16.32,0,10,16,0.625
577597,-0.2950000000000001,16.54,1,14,17,0.8235294117647058
588462,-0.2682000000000001,16.55,2,17,22,0.7727272727272727
599982,-0.24890000000000012,16.25,2,22,26,0.8461538461538461
610909,-0.33460000000000006,17.01,0,12,13,0.9230769230769231
622196,-0.32370000000000004,16.3,0,15,17,0.8823529411764706
633667,-0.30660000000000004,16.99,0,13,22,0.5909090909090909
644734,-0.30830000000000013,17.22,3,14,20,0.7
656175,-0.27220000000000016,16.55,1,22,30,0.7333333333333333
