timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
136,0.0953999999999999,29.71,2,73,94,0.776595744680851
11722,0.12089999999999987,30.23,2,77,102,0.7549019607843137
22757,0.09680000000000001,30.07,1,76,100,0.76
33826,0.10209999999999984,30.87,2,73,102,0.7156862745098039
44648,0.10909999999999992,30.87,3,71,85,0.8352941176470589
55692,0.10179999999999995,28.37,1,73,86,0.8488372093023255
66251,0.13759999999999978,30.27,2,78,89,0.8764044943820225
77864,0.1511999999999998,31.85,4,79,106,0.7452830188679245
89215,0.10629999999999999,30.23,2,74,105,0.7047619047619048
100172,0.15489999999999973,29.31,1,85,107,0.794392523364486
111233,0.10659999999999993,31.4,2,74,94,0.7872340425531915
122169,0.10219999999999999,32.58,2,73,88,0.8295454545454546
133332,0.12649999999999983,30.77,3,76,96,0.7916666666666666
143943,0.08750000000000004,29.82,1,73,86,0.8488372093023255
155041,0.11579999999999992,31.33,2,76,87,0.8735632183908046
166559,0.14759999999999981,29.2,4,76,89,0.8539325842696629
176822,0.12119999999999984,30.89,3,74,91,0.8131868131868132
188104,0.04880000000000005,31.22,2,65,86,0.7558139534883721
198741,0.1428999999999999,30.14,4,77,89,0.8651685393258427
209672,0.09739999999999993,31.78,1,73,98,0.7448979591836735
221294,0.14679999999999974,30.36,4,77,90,0.8555555555555555
232890,0.12859999999999988,31.15,1,81,94,0.8617021276595744
243904,0.13739999999999977,34.18,2,80,97,0.8247422680412371
255701,0.13819999999999977,37.12,3,78,100,0.78
267290,0.14119999999999977,35.28,1,83,102,0.8137254901960784
278702,0.15479999999999972,33.36,1,88,98,0.8979591836734694
289892,0.16609999999999972,33.78,1,89,104,0.8557692307692307
301581,0.1872999999999997,31.26,2,92,109,0.8440366972477065
313242,0.17109999999999978,32.81,4,82,96,0.8541666666666666
323814,0.16329999999999983,30.69,6,77,96,0.8020833333333334
334777,0.18429999999999963,33.19,5,81,105,0.7714285714285715
345687,0.10349999999999988,34.84,4,69,91,0.7582417582417582
356770,0.1100999999999999,34.6,1,76,101,0.7524752475247525
367875,0.19839999999999963,33.04,5,86,104,0.8269230769230769
378714,0.1889999999999997,31.55,3,90,106,0.8490566037735849
389974,0.1799999999999997,33.08,3,87,98,0.8877551020408163
401321,0.17839999999999973,31.76,3,88,99,0.8888888888888888
412265,0.13419999999999985,32.3,2,79,93,0.8494623655913979
423763,0.11739999999999991,29.55,2,78,97,0.8041237113402062
434359,0.09849999999999995,33.32,4,66,80,0.825
444878,0.12909999999999988,31.52,7,67,90,0.7444444444444445
456146,0.15109999999999982,32.77,4,78,95,0.8210526315789474
467302,0.11269999999999994,33.34,3,71,90,0.7888888888888889
478665,0.2111999999999997,31.67,6,86,93,0.9247311827956989
490020,0.16769999999999968,35.1,4,82,99,0.8282828282828283
501161,0.15209999999999974,33.86,5,76,92,0.8260869565217391
512292,0.17159999999999978,32.17,6,77,92,0.8369565217391305
523553,0.11949999999999983,33.19,4,73,97,0.7525773195876289
534321,0.1807999999999997,30.38,6,79,96,0.8229166666666666
545635,0.1683999999999997,34.02,7,72,86,0.8372093023255814
557210,0.16239999999999977,33.39,4,81,96,0.84375
568193,0.14859999999999987,32.86,2,83,99,0.8383838383838383
579677,0.1491999999999998,36.01,4,78,97,0.8041237113402062
590831,0.18939999999999965,34.14,4,87,103,0.8446601941747572
602800,0.17149999999999965,34.57,2,87,101,0.8613861386138614
614066,0.2014999999999997,34.92,5,86,94,0.9148936170212766
625811,0.19389999999999968,36.09,4,87,108,0.8055555555555556
637533,0.20269999999999963,35.61,5,87,107,0.8130841121495327
649595,0.21469999999999964,37.21,7,84,101,0.8316831683168316
661321,0.22929999999999967,37.23,7,88,100,0.88
672533,0.19919999999999963,36.62,2,94,109,0.8623853211009175
684330,0.1641999999999997,37.46,1,89,110,0.8090909090909091
695765,0.19409999999999958,38.69,3,90,117,0.7692307692307693
707336,0.20929999999999965,35.74,6,86,104,0.8269230769230769
718967,0.16659999999999975,36.66,2,87,108,0.8055555555555556
730774,0.20799999999999966,34.77,5,88,100,0.88
742666,0.19009999999999969,33.39,3,89,103,0.8640776699029126
753940,0.16979999999999978,31.69,2,88,107,0.822429906542056
764764,0.16969999999999974,35.51,3,84,102,0.8235294117647058
776146,0.19939999999999977,36.06,9,75,91,0.8241758241758241
787314,0.1921999999999997,31.38,4,88,109,0.8073394495412844
798222,0.19699999999999973,31.79,5,87,110,0.7909090909090909
809968,0.23709999999999962,34.38,8,85,100,0.85
821346,0.17489999999999964,36.25,2,89,103,0.8640776699029126
833144,0.19129999999999966,32.44,4,88,104,0.8461538461538461
844370,0.1766999999999997,36.88,4,84,96,0.875
855699,0.19749999999999968,36.02,4,87,104,0.8365384615384616
867265,0.1990999999999997,36.91,5,85,110,0.7727272727272727
