timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
120,0.17189999999999983,28.07,4,80,103,0.7766990291262136
18159,0.09459999999999986,31.33,0,77,110,0.7
28500,0.16269999999999968,28.36,3,82,101,0.8118811881188119
38403,0.06680000000000007,30.59,2,64,82,0.7804878048780488
48051,0.11829999999999995,30.09,4,69,90,0.7666666666666667
57767,0.1174999999999999,30.13,3,74,103,0.7184466019417476
67280,0.14309999999999984,28.52,1,83,102,0.8137254901960784
76717,0.1543999999999997,30.09,5,76,98,0.7755102040816326
86171,0.13659999999999983,28.99,2,79,94,0.8404255319148937
95966,0.13699999999999976,28.74,3,81,97,0.8350515463917526
105950,0.1539999999999997,27.23,3,83,101,0.8217821782178217
115675,0.15379999999999977,30.45,4,78,96,0.8125
126036,0.08859999999999997,32.04,1,74,91,0.8131868131868132
136022,0.12369999999999991,28.76,1,82,95,0.8631578947368421
146497,0.11629999999999992,30.88,1,78,99,0.7878787878787878
157140,0.17489999999999972,26.95,3,85,102,0.8333333333333334
167759,0.14259999999999978,32.76,2,81,102,0.7941176470588235
179064,0.19859999999999975,32.41,3,91,103,0.883495145631068
190491,0.19139999999999968,31.87,4,87,97,0.8969072164948454
201879,0.16789999999999966,34.03,1,90,98,0.9183673469387755
213342,0.15679999999999972,32.27,2,85,94,0.9042553191489362
224710,0.1650999999999998,30.89,3,84,98,0.8571428571428571
235302,0.15259999999999976,34.21,4,79,103,0.7669902912621359
246389,0.11509999999999994,34.46,1,78,97,0.8041237113402062
257168,0.11409999999999988,30.86,0,79,90,0.8777777777777778
267571,0.13229999999999978,30.68,3,78,107,0.7289719626168224
278160,0.12569999999999987,31.74,2,78,93,0.8387096774193549
287725,0.07800000000000007,31.83,0,72,98,0.7346938775510204
298249,0.13609999999999978,29.69,3,78,106,0.7358490566037735
308309,0.0933,31.81,3,66,84,0.7857142857142857
318446,0.09230000000000003,30.56,3,69,86,0.8023255813953488
329441,0.12089999999999991,32.93,7,62,82,0.7560975609756098
339995,0.11449999999999985,30.19,3,74,90,0.8222222222222222
350218,0.10979999999999991,31.8,2,72,85,0.8470588235294118
360309,0.09769999999999991,30.3,2,74,90,0.8222222222222222
370718,0.14749999999999985,32.62,2,82,104,0.7884615384615384
382185,0.14599999999999985,30.21,5,74,93,0.7956989247311828
392773,0.13419999999999985,32.62,2,79,92,0.8586956521739131
403804,0.10989999999999994,30.17,2,74,88,0.8409090909090909
414767,0.1518999999999997,31.96,3,80,103,0.7766990291262136
425524,0.1731999999999997,29.52,2,90,106,0.8490566037735849
436905,0.1760999999999997,32.17,4,83,102,0.8137254901960784
447987,0.1664999999999997,32.58,4,80,101,0.7920792079207921
459156,0.1793999999999997,33.58,4,83,97,0.8556701030927835
469349,0.10729999999999995,33.07,1,77,104,0.7403846153846154
479868,0.11959999999999994,32.72,3,74,105,0.7047619047619048
490323,0.11329999999999994,33.87,4,70,88,0.7954545454545454
500576,0.12629999999999986,32.47,6,69,79,0.8734177215189873
511173,0.14429999999999976,33.11,3,79,87,0.9080459770114943
521450,0.11049999999999986,33.82,1,77,110,0.7
531949,0.14549999999999982,34.92,1,85,98,0.8673469387755102
542375,0.15459999999999977,33.84,3,82,99,0.8282828282828283
553156,0.18009999999999976,34.21,2,90,111,0.8108108108108109
563273,0.1670999999999997,33.22,3,83,106,0.7830188679245284
574188,0.14049999999999993,33.74,2,81,100,0.81
584770,0.1567999999999998,33.02,5,76,94,0.8085106382978723
595170,0.16159999999999974,32.6,2,85,108,0.7870370370370371
605959,0.20519999999999963,34.8,5,86,98,0.8775510204081632
616922,0.20679999999999965,35.02,7,81,109,0.7431192660550459
627755,0.20479999999999973,33.05,6,84,91,0.9230769230769231
638655,0.17309999999999964,34.77,1,91,105,0.8666666666666667
649399,0.17439999999999972,34.05,2,88,104,0.8461538461538461
660460,0.19439999999999974,36.54,3,91,108,0.8425925925925926
671512,0.1824999999999997,36.6,2,91,113,0.8053097345132744
682512,0.15089999999999984,35.97,3,82,103,0.7961165048543689
693685,0.2333999999999997,33.99,9,81,94,0.8617021276595744
704057,0.13839999999999977,33.42,4,76,97,0.7835051546391752
715064,0.16329999999999972,32.11,3,84,94,0.8936170212765957
725527,0.17869999999999975,34.42,5,82,100,0.82
736132,0.1373999999999998,32.51,1,83,97,0.8556701030927835
746457,0.1548999999999997,30.53,3,82,94,0.8723404255319149
757584,0.18589999999999976,32.38,5,83,102,0.8137254901960784
768420,0.15849999999999978,32.05,5,78,93,0.8387096774193549
