timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
120,-0.09129999999999998,21.06,0,41,44,0.9318181818181818
18159,-0.08559999999999997,21.19,0,46,47,0.9787234042553191
28500,-0.08409999999999997,21.34,2,39,43,0.9069767441860465
38403,-0.06929999999999994,21.47,0,45,51,0.8823529411764706
48051,-0.06729999999999993,21.73,1,47,51,0.9215686274509803
57767,-0.11130000000000016,21.85,0,42,46,0.9130434782608695
67280,-0.07809999999999995,22.55,1,44,48,0.9166666666666666
76717,-0.05169999999999995,22.59,0,51,54,0.9444444444444444
86171,-0.05139999999999995,21.69,1,46,48,0.9583333333333334
95966,-0.04909999999999999,22.89,2,46,51,0.9019607843137255
105950,-0.0265,22.46,4,47,48,0.9791666666666666
115675,-0.14370000000000002,23.01,0,32,34,0.9411764705882353
126036,-0.11840000000000007,22.17,1,39,41,0.9512195121951219
136022,-0.059199999999999926,22.56,1,49,52,0.9423076923076923
146497,-0.037799999999999986,23.27,1,49,56,0.875
157140,-0.09390000000000004,22.35,0,44,52,0.8461538461538461
167759,-0.02480000000000001,24.06,2,51,57,0.8947368421052632
179064,-0.029099999999999987,27.29,3,50,52,0.9615384615384616
190491,-0.09209999999999999,29.0,1,40,46,0.8695652173913043
201879,-0.04249999999999994,26.8,2,52,57,0.9122807017543859
213342,-0.03169999999999992,26.97,1,53,54,0.9814814814814815
224710,-0.12600000000000008,25.51,0,44,49,0.8979591836734694
235302,-0.13660000000000008,26.68,0,42,43,0.9767441860465116
246389,-0.03799999999999994,25.04,3,49,52,0.9423076923076923
257168,-0.10530000000000005,22.1,1,44,46,0.9565217391304348
267571,-0.12899999999999998,21.6,1,33,35,0.9428571428571428
278160,-0.0803,22.56,0,45,48,0.9375
287725,-0.1085,24.39,0,38,40,0.95
298249,-0.06359999999999993,24.22,0,48,54,0.8888888888888888
308309,-0.04969999999999997,24.17,4,44,47,0.9361702127659575
318446,-0.09720000000000002,23.26,0,42,49,0.8571428571428571
329441,-0.1092,24.54,1,38,44,0.8636363636363636
339995,-0.07129999999999996,24.78,2,41,45,0.9111111111111111
350218,-0.08039999999999994,23.29,4,36,42,0.8571428571428571
360309,-0.09040000000000013,24.44,3,37,45,0.8222222222222222
370718,-0.02709999999999997,25.66,5,39,48,0.8125
382185,-0.016899999999999978,25.13,3,49,59,0.8305084745762712
392773,-0.02959999999999997,25.77,2,52,59,0.8813559322033898
403804,-0.06229999999999993,26.33,2,44,47,0.9361702127659575
414767,-0.06129999999999994,24.96,0,50,54,0.9259259259259259
