timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
120,-0.2841000000000001,14.36,1,11,12,0.9166666666666666
18159,-0.23570000000000013,16.39,0,18,20,0.9
28500,-0.1889,16.34,1,25,26,0.9615384615384616
38403,-0.22480000000000008,14.93,1,20,21,0.9523809523809523
48051,-0.23900000000000005,16.34,0,23,25,0.92
57767,-0.2735,15.37,0,16,18,0.8888888888888888
67280,-0.22500000000000012,16.05,1,20,22,0.9090909090909091
76717,-0.18560000000000013,15.94,1,27,27,1.0
86171,-0.22550000000000012,15.83,0,22,24,0.9166666666666666
95966,-0.25780000000000014,15.46,1,17,17,1.0
105950,-0.24940000000000004,16.42,0,17,17,1.0
115675,-0.2319000000000002,16.19,2,19,21,0.9047619047619048
126036,-0.2743000000000001,16.45,1,13,15,0.8666666666666667
136022,-0.22360000000000016,16.85,2,19,20,0.95
146497,-0.24090000000000011,17.03,1,20,21,0.9523809523809523
157140,-0.2511,15.85,1,15,20,0.75
167759,-0.2656,17.12,1,17,18,0.9444444444444444
179064,-0.2590000000000001,16.89,1,23,24,0.9583333333333334
190491,-0.21990000000000012,16.09,2,22,22,1.0
201879,-0.24760000000000013,17.66,3,17,18,0.9444444444444444
213342,-0.24010000000000012,16.1,0,23,24,0.9583333333333334
224710,-0.2715999999999999,15.92,1,20,23,0.8695652173913043
235302,-0.26220000000000004,18.1,1,20,23,0.8695652173913043
246389,-0.34000000000000014,17.18,0,11,12,0.9166666666666666
257168,-0.2786,15.45,0,18,19,0.9473684210526315
267571,-0.2718000000000001,16.04,0,18,19,0.9473684210526315
278160,-0.28050000000000014,14.93,1,21,21,1.0
287725,-0.2740000000000001,15.97,0,19,21,0.9047619047619048
298249,-0.24850000000000008,15.85,1,18,19,0.9473684210526315
308309,-0.27270000000000016,16.19,0,20,21,0.9523809523809523
318446,-0.26920000000000005,15.47,1,19,19,1.0
329441,-0.2686,16.03,1,19,19,1.0
339995,-0.33849999999999997,15.98,0,12,13,0.9230769230769231
350218,-0.27130000000000004,17.52,1,17,21,0.8095238095238095
360309,-0.2653000000000002,15.41,0,19,19,1.0
370718,-0.28240000000000015,16.73,0,22,24,0.9166666666666666
