timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
136,160.01,16.15,0,18,45,0.4
10590,60.01,18.05,1,5,35,0.14285714285714285
21144,80.0,17.56,1,7,31,0.22580645161290322
32200,70.0,19.35,0,8,55,0.14545454545454545
42548,50.03,17.71,2,10,45,0.2222222222222222
52181,20.02,17.77,1,6,43,0.13953488372093023
62292,50.0,17.93,2,8,63,0.12698412698412698
72104,60.03,16.23,2,6,64,0.09375
81865,60.0,16.26,1,7,56,0.125
91643,60.01,16.79,1,5,68,0.07352941176470588
100914,80.01,16.18,0,4,52,0.07692307692307693
110703,60.01,18.42,3,10,65,0.15384615384615385
121025,100.01,18.11,0,4,29,0.13793103448275862
131324,70.0,18.3,1,5,40,0.125
142212,100.01,17.62,2,4,29,0.13793103448275862
152973,70.01,17.77,2,6,32,0.1875
164143,60.03,18.98,1,6,27,0.2222222222222222
175589,90.0,18.29,1,9,40,0.225
186537,60.04,20.27,4,3,48,0.0625
197854,80.02,17.44,3,2,20,0.1
208686,90.02,17.65,1,4,27,0.14814814814814814
219696,40.04,20.37,0,8,52,0.15384615384615385
231106,80.0,18.21,2,10,54,0.18518518518518517
242704,40.02,17.83,1,7,36,0.19444444444444445
254347,50.01,17.99,1,4,27,0.14814814814814814
265843,40.01,18.82,1,8,50,0.16
277592,30.02,19.45,0,4,42,0.09523809523809523
289125,40.01,19.22,1,8,32,0.25
300576,30.02,18.28,1,4,24,0.16666666666666666
312540,60.0,18.41,1,3,23,0.13043478260869565
324180,40.0,20.35,1,2,53,0.03773584905660377
335857,60.02,20.0,0,4,34,0.11764705882352941
347605,70.0,19.02,0,6,41,0.14634146341463414
359143,80.01,18.99,0,6,56,0.10714285714285714
370236,40.0,18.57,0,3,46,0.06521739130434782
381654,50.02,18.21,0,2,24,0.08333333333333333
392968,50.01,18.51,0,1,27,0.037037037037037035
404398,60.01,17.09,0,3,28,0.10714285714285714
416093,80.0,19.62,1,8,37,0.21621621621621623
427530,40.01,18.7,0,4,26,0.15384615384615385
439025,50.01,19.12,1,3,35,0.08571428571428572
450696,90.01,18.57,1,4,39,0.10256410256410256
462391,30.01,19.09,1,6,31,0.1935483870967742
474477,50.01,20.08,0,5,31,0.16129032258064516
485952,70.01,18.97,0,3,22,0.13636363636363635
497677,50.02,20.18,3,3,40,0.075
509307,40.03,18.17,1,1,20,0.05
521037,50.01,19.88,0,5,40,0.125
532688,50.01,18.27,0,5,20,0.25
544222,20.04,19.11,0,6,35,0.17142857142857143
556723,50.01,18.74,1,3,31,0.0967741935483871
568382,10.0,17.5,0,2,16,0.125
579928,40.02,17.76,0,6,28,0.21428571428571427
591768,40.02,19.03,2,5,28,0.17857142857142858
603434,50.0,17.44,0,4,25,0.16
615142,60.01,20.59,3,3,45,0.06666666666666667
626670,20.01,18.71,0,1,37,0.02702702702702703
638545,20.03,19.32,0,5,22,0.22727272727272727
650204,20.0,17.59,3,1,24,0.041666666666666664
662223,20.0,17.86,4,5,31,0.16129032258064516
673724,30.05,19.61,1,7,31,0.22580645161290322
685561,30.02,20.49,3,4,39,0.10256410256410256
697159,40.0,17.3,0,3,38,0.07894736842105263
709096,30.01,18.65,1,6,29,0.20689655172413793
720731,30.01,20.33,2,6,33,0.18181818181818182
