timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
136,710.0,29.89,4,76,264,0.2878787878787879
10590,530.0,38.29,22,52,333,0.15615615615615616
20631,640.0,38.42,15,63,400,0.1575
30561,600.0,40.81,21,66,405,0.16296296296296298
40622,570.0,38.63,26,57,432,0.13194444444444445
49795,600.0,43.02,35,51,461,0.11062906724511931
59831,550.0,39.77,18,68,437,0.15560640732265446
70590,620.0,45.21,18,64,453,0.141280353200883
81073,680.0,39.66,17,75,378,0.1984126984126984
91989,770.0,42.22,27,61,400,0.1525
103397,720.0,44.12,24,69,343,0.20116618075801748
114554,730.0,45.43,20,73,384,0.19010416666666666
125744,770.0,48.08,20,74,352,0.21022727272727273
137383,740.0,41.14,19,76,361,0.21052631578947367
148781,790.0,45.4,16,74,396,0.18686868686868688
160078,790.0,45.22,21,67,375,0.17866666666666667
171448,630.0,43.8,18,75,437,0.17162471395881007
182453,680.0,45.54,19,71,367,0.19346049046321526
193503,670.0,44.19,26,65,372,0.17473118279569894
204533,780.0,49.73,13,78,386,0.20207253886010362
216267,660.0,45.37,18,73,360,0.20277777777777778
227862,770.0,46.72,18,69,379,0.1820580474934037
239416,730.0,45.52,16,73,381,0.19160104986876642
251168,710.0,46.07,18,71,373,0.1903485254691689
262025,660.0,41.92,15,74,362,0.20441988950276244
273644,680.0,44.87,19,71,337,0.21068249258160238
284871,810.0,42.36,19,74,365,0.20273972602739726
296370,730.0,47.18,22,70,393,0.178117048346056
307739,660.0,46.4,24,68,330,0.20606060606060606
319196,730.0,46.94,19,65,416,0.15625
330040,710.0,47.87,19,68,437,0.15560640732265446
341607,660.0,51.85,17,69,426,0.1619718309859155
353413,660.0,45.64,21,71,396,0.17929292929292928
364471,640.0,46.32,24,67,391,0.17135549872122763
376568,720.0,52.66,33,60,456,0.13157894736842105
387946,780.0,49.19,23,63,427,0.14754098360655737
399241,770.0,49.61,24,66,429,0.15384615384615385
410563,670.0,45.86,29,60,370,0.16216216216216217
422504,590.0,52.69,23,58,436,0.13302752293577982
434337,710.0,51.98,19,64,349,0.1833810888252149
446149,750.0,49.01,21,66,355,0.18591549295774648
458006,700.0,50.96,20,67,406,0.16502463054187191
469650,750.0,51.84,22,71,391,0.1815856777493606
481383,730.0,50.75,20,68,405,0.16790123456790124
493207,650.0,48.36,9,76,382,0.19895287958115182
505035,770.0,52.14,17,72,404,0.1782178217821782
517010,730.0,45.63,15,70,375,0.18666666666666668
528527,650.0,47.51,19,72,360,0.2
540291,750.0,52.4,18,67,396,0.1691919191919192
552623,670.0,49.81,23,65,391,0.16624040920716113
564507,670.0,51.88,19,67,487,0.1375770020533881
576298,730.0,49.49,18,67,390,0.1717948717948718
588109,760.0,52.23,24,58,409,0.14180929095354522
599652,700.0,53.34,19,61,381,0.16010498687664043
611371,660.0,52.49,14,71,372,0.19086021505376344
622868,670.0,51.03,21,59,381,0.15485564304461943
634282,690.0,53.13,14,71,375,0.18933333333333333
645988,630.0,50.11,13,72,390,0.18461538461538463
657665,740.0,51.84,21,66,425,0.15529411764705883
669402,670.0,50.38,19,71,344,0.2063953488372093
680889,660.0,51.46,15,74,390,0.18974358974358974
692883,670.0,54.97,19,62,372,0.16666666666666666
704510,700.0,52.69,15,68,397,0.1712846347607053
716409,700.0,49.07,22,61,340,0.17941176470588235
728056,760.0,54.1,17,62,436,0.14220183486238533
740211,700.0,53.78,17,71,422,0.16824644549763032
751935,660.0,52.87,14,72,423,0.1702127659574468
763704,700.0,49.19,19,71,356,0.199438202247191
775711,660.0,56.25,14,68,402,0.1691542288557214
787674,630.0,48.81,22,71,367,0.19346049046321526
799189,700.0,52.55,14,69,441,0.1564625850340136
810930,730.0,52.2,13,68,434,0.15668202764976957
822784,650.0,54.53,20,60,360,0.16666666666666666
834587,680.0,50.74,14,66,362,0.18232044198895028
846241,700.0,49.7,17,74,357,0.20728291316526612
858202,650.0,52.1,22,64,386,0.16580310880829016
869979,770.0,51.5,15,72,410,0.17560975609756097
881756,680.0,52.21,14,62,391,0.1585677749360614
