timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
136,410.0,21.6,4,39,137,0.2846715328467153
10590,240.0,26.55,3,24,144,0.16666666666666666
20631,200.0,25.74,5,21,127,0.16535433070866143
30561,210.0,26.56,8,14,136,0.10294117647058823
40622,220.0,26.08,6,25,156,0.16025641025641027
49795,180.0,26.14,7,25,133,0.18796992481203006
59831,200.0,26.13,5,23,132,0.17424242424242425
70590,250.0,25.29,3,21,126,0.16666666666666666
81073,200.0,25.63,3,20,143,0.13986013986013987
91989,190.0,26.44,3,15,71,0.2112676056338028
103397,220.0,24.18,3,22,90,0.24444444444444444
114554,150.0,28.47,4,14,80,0.175
125744,180.0,25.28,3,20,103,0.1941747572815534
137383,220.0,25.75,4,19,108,0.17592592592592593
148781,180.0,28.13,4,24,92,0.2608695652173913
160078,170.0,28.13,7,14,108,0.12962962962962962
171448,130.0,25.63,4,19,75,0.25333333333333335
182453,190.0,24.62,2,22,102,0.21568627450980393
193503,200.0,27.28,7,19,117,0.1623931623931624
204533,180.0,25.69,6,20,86,0.23255813953488372
216267,240.0,25.95,4,17,65,0.26153846153846155
227862,220.0,26.5,2,18,95,0.18947368421052632
239416,100.0,26.52,6,22,117,0.18803418803418803
251168,230.0,26.92,0,15,91,0.16483516483516483
262025,230.0,27.11,5,22,116,0.1896551724137931
273644,190.0,28.69,2,23,90,0.25555555555555554
284871,210.0,26.7,1,24,109,0.22018348623853212
296370,140.0,26.34,5,21,91,0.23076923076923078
307739,200.0,26.5,2,24,113,0.21238938053097345
319196,230.0,26.54,3,16,104,0.15384615384615385
330040,110.0,27.89,0,16,117,0.13675213675213677
341607,130.0,27.07,2,20,114,0.17543859649122806
353413,160.0,28.1,3,16,103,0.1553398058252427
364471,210.0,27.68,4,21,121,0.17355371900826447
376568,70.0,29.11,4,14,83,0.1686746987951807
387946,150.0,26.29,1,11,98,0.11224489795918367
399241,190.0,26.09,4,16,94,0.1702127659574468
410563,100.0,27.26,0,17,106,0.16037735849056603
422504,160.0,26.6,5,15,90,0.16666666666666666
434337,170.0,26.4,4,13,70,0.18571428571428572
446149,190.0,26.57,4,8,76,0.10526315789473684
458006,170.0,28.82,3,22,114,0.19298245614035087
469650,190.0,26.84,4,15,89,0.16853932584269662
481383,90.0,27.75,3,17,102,0.16666666666666666
493207,190.0,25.36,3,16,86,0.18604651162790697
505035,230.0,28.89,6,24,136,0.17647058823529413
517010,150.0,27.4,4,10,86,0.11627906976744186
528527,80.0,27.81,5,16,86,0.18604651162790697
540291,200.0,26.66,5,11,81,0.13580246913580246
552623,110.0,28.42,4,16,112,0.14285714285714285
564507,160.0,27.42,3,13,96,0.13541666666666666
576298,200.0,27.88,8,14,109,0.12844036697247707
588109,160.0,27.39,4,20,97,0.20618556701030927
599652,180.0,27.71,2,15,105,0.14285714285714285
611371,200.0,28.12,4,14,101,0.13861386138613863
622868,150.0,27.09,7,15,99,0.15151515151515152
634282,120.0,27.59,2,18,112,0.16071428571428573
645988,140.0,27.48,4,15,90,0.16666666666666666
657665,120.0,27.52,2,16,90,0.17777777777777778
669402,130.0,27.79,6,19,112,0.16964285714285715
680889,110.0,28.09,7,12,94,0.1276595744680851
692883,140.0,27.41,10,19,105,0.18095238095238095
704510,120.0,25.81,8,11,76,0.14473684210526316
716409,130.0,26.68,5,14,80,0.175
728056,120.0,28.32,4,12,100,0.12
740211,140.0,29.73,7,10,121,0.08264462809917356
751935,160.0,28.22,5,11,111,0.0990990990990991
763704,80.0,26.81,10,13,107,0.12149532710280374
775711,190.0,27.47,6,15,89,0.16853932584269662
787674,120.0,27.22,4,10,94,0.10638297872340426
799189,110.0,26.27,5,11,82,0.13414634146341464
810930,90.0,27.85,7,10,82,0.12195121951219512
822784,150.0,27.52,2,12,92,0.13043478260869565
834587,140.0,25.64,8,10,73,0.136986301369863
846241,100.0,26.24,4,18,89,0.20224719101123595
858202,140.0,27.06,6,17,122,0.13934426229508196
869979,80.0,27.68,9,16,99,0.16161616161616163
881756,200.0,25.4,2,17,94,0.18085106382978725
893582,130.0,27.2,6,14,96,0.14583333333333334
905598,80.0,28.54,8,14,105,0.13333333333333333
917269,180.0,27.53,6,16,93,0.17204301075268819
929083,140.0,28.48,6,9,127,0.07086614173228346
940951,110.0,28.3,6,21,98,0.21428571428571427
952463,130.0,27.3,8,7,84,0.08333333333333333
964170,150.0,28.65,5,10,108,0.09259259259259259
975837,140.0,28.57,11,15,108,0.1388888888888889
987618,180.0,29.46,5,13,106,0.12264150943396226
999834,100.0,28.18,8,11,79,0.13924050632911392
1011949,140.0,28.81,8,14,72,0.19444444444444445
1023723,100.0,25.91,9,14,97,0.14432989690721648
1035786,140.0,25.76,11,12,80,0.15
1047508,120.0,25.63,4,10,81,0.12345679012345678
1059217,110.0,27.0,11,7,88,0.07954545454545454
1071015,140.0,27.4,10,12,110,0.10909090909090909
1083023,140.0,26.97,9,11,75,0.14666666666666667
1094643,150.0,27.27,13,12,83,0.14457831325301204
1106756,100.0,26.77,4,5,66,0.07575757575757576
1118923,170.0,30.48,11,12,115,0.10434782608695652
1130955,110.0,27.81,4,13,77,0.16883116883116883
1143073,60.0,29.93,7,14,94,0.14893617021276595
1155093,150.0,28.59,7,18,110,0.16363636363636364
1167024,120.0,29.15,11,9,88,0.10227272727272728
1178816,150.0,26.54,8,10,91,0.10989010989010989
1191140,90.0,28.99,9,9,111,0.08108108108108109
1202820,70.0,25.42,5,13,119,0.1092436974789916
1215093,120.0,27.11,8,7,91,0.07692307692307693
1226743,100.0,27.82,13,16,99,0.16161616161616163
1238978,90.0,27.58,8,9,107,0.08411214953271028
1250841,130.0,26.1,4,14,87,0.16091954022988506
1262650,110.0,27.26,12,15,101,0.1485148514851485
1274906,130.0,26.5,9,13,92,0.14130434782608695
1286291,110.0,27.43,6,11,104,0.10576923076923077
1298250,120.0,25.86,5,10,99,0.10101010101010101
1310100,90.0,27.66,11,12,98,0.12244897959183673
1322021,120.0,27.25,9,13,117,0.1111111111111111
1334058,130.0,29.1,12,9,102,0.08823529411764706
1346177,130.0,29.15,10,21,119,0.17647058823529413
1357996,120.0,28.97,8,17,130,0.13076923076923078
1370072,50.0,29.32,12,13,89,0.14606741573033707
1382400,180.0,27.81,8,12,85,0.1411764705882353
1394712,90.0,27.83,7,9,92,0.09782608695652174
1407037,100.0,28.39,12,15,113,0.13274336283185842
1418944,90.0,30.15,6,15,107,0.14018691588785046
1431009,130.0,26.54,8,8,77,0.1038961038961039
1443238,130.0,27.8,5,14,106,0.1320754716981132
1455361,100.0,27.22,16,8,96,0.08333333333333333
1467661,80.0,27.86,4,12,80,0.15
1479702,110.0,27.34,6,15,114,0.13157894736842105
1492531,90.0,29.75,9,12,114,0.10526315789473684
1504481,110.0,29.04,11,11,120,0.09166666666666666
1517206,70.0,27.94,9,9,102,0.08823529411764706
1529366,100.0,25.55,6,11,89,0.12359550561797752
1541719,100.0,26.58,14,8,93,0.08602150537634409
1554038,100.0,27.98,5,10,105,0.09523809523809523
1566341,70.0,27.39,6,10,91,0.10989010989010989
1578768,150.0,26.81,4,12,112,0.10714285714285714
1590574,140.0,26.66,6,10,82,0.12195121951219512
1602499,160.0,28.07,11,16,102,0.1568627450980392
1615266,150.0,29.5,10,10,102,0.09803921568627451
1627655,130.0,27.73,7,12,87,0.13793103448275862
1640002,110.0,28.98,7,13,83,0.1566265060240964
1652395,170.0,26.1,9,13,79,0.16455696202531644
1664761,70.0,27.42,10,10,93,0.10752688172043011
1677526,100.0,28.83,5,15,93,0.16129032258064516
1690408,110.0,27.67,8,9,110,0.08181818181818182
