timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
136,0.2266999999999996,22.08,6,89,148,0.6013513513513513
8556,0.23639999999999955,21.79,5,94,153,0.6143790849673203
15057,0.23619999999999955,20.72,6,90,167,0.5389221556886228
20753,0.23909999999999956,24.77,7,89,182,0.489010989010989
26346,0.20909999999999968,22.98,3,93,153,0.6078431372549019
31619,0.24279999999999963,20.67,7,90,159,0.5660377358490566
36499,0.25309999999999966,22.56,8,89,157,0.5668789808917197
41298,0.22619999999999965,22.74,5,92,183,0.5027322404371585
46297,0.25549999999999967,20.75,10,84,148,0.5675675675675675
51249,0.20009999999999967,21.88,3,92,150,0.6133333333333333
56218,0.20899999999999966,21.45,3,93,168,0.5535714285714286
60829,0.22709999999999966,22.25,5,91,169,0.5384615384615384
65612,0.18459999999999974,22.14,1,95,177,0.536723163841808
70969,0.19789999999999974,21.87,3,91,132,0.6893939393939394
76051,0.20469999999999963,21.01,3,92,163,0.5644171779141104
80951,0.23839999999999958,23.18,8,86,167,0.5149700598802395
86040,0.22139999999999957,22.18,5,91,131,0.6946564885496184
91657,0.2270999999999996,21.39,6,89,168,0.5297619047619048
96853,0.22929999999999962,21.55,7,87,160,0.54375
101877,0.2043999999999996,21.44,4,89,151,0.5894039735099338
107168,0.2141999999999996,22.36,3,94,191,0.49214659685863876
112167,0.23919999999999955,23.83,7,89,168,0.5297619047619048
117385,0.22099999999999967,23.62,5,90,177,0.5084745762711864
122548,0.2055999999999996,23.47,4,89,173,0.5144508670520231
127684,0.22629999999999964,22.25,5,92,173,0.5317919075144508
133080,0.25039999999999957,19.7,7,92,168,0.5476190476190477
138438,0.21479999999999977,23.08,4,91,157,0.5796178343949044
143346,0.25559999999999955,22.27,8,90,147,0.6122448979591837
148495,0.2736999999999996,21.17,10,88,161,0.546583850931677
153509,0.2186999999999996,23.37,6,87,167,0.5209580838323353
158967,0.24319999999999953,21.87,6,92,172,0.5348837209302325
164113,0.2512999999999996,21.29,8,89,165,0.5393939393939394
168985,0.25719999999999954,22.26,8,90,180,0.5
174416,0.23739999999999958,22.44,7,88,168,0.5238095238095238
179182,0.2341999999999997,22.63,7,88,160,0.55
184395,0.22749999999999962,22.78,5,92,163,0.5644171779141104
189908,0.20279999999999962,22.14,4,88,144,0.6111111111111112
194519,0.2333999999999996,21.92,6,90,172,0.5232558139534884
199614,0.20539999999999964,21.63,2,95,185,0.5135135135135135
204162,0.20679999999999965,22.74,3,94,181,0.5193370165745856
208914,0.20779999999999973,21.64,4,89,127,0.7007874015748031
213883,0.2658999999999995,21.27,9,89,148,0.6013513513513513
219272,0.24839999999999962,22.99,8,88,171,0.5146198830409356
224389,0.2135999999999996,21.5,5,89,154,0.577922077922078
229485,0.19909999999999958,22.39,2,93,177,0.5254237288135594
234526,0.22059999999999963,21.98,4,93,160,0.58125
239630,0.2383999999999996,23.57,8,86,155,0.5548387096774193
244492,0.21599999999999966,21.72,4,92,177,0.519774011299435
249698,0.20879999999999962,20.64,2,96,156,0.6153846153846154
255082,0.19559999999999964,23.16,1,95,185,0.5135135135135135
260174,0.23379999999999967,23.15,6,90,165,0.5454545454545454
265113,0.2319999999999996,22.93,7,86,160,0.5375
270275,0.1926999999999997,23.39,2,92,170,0.5411764705882353
275034,0.22689999999999963,22.29,7,86,179,0.48044692737430167
280264,0.23599999999999963,21.23,5,94,187,0.5026737967914439
285198,0.24169999999999964,21.15,6,92,131,0.7022900763358778
290471,0.2121999999999996,21.88,2,97,173,0.5606936416184971
295112,0.20799999999999955,22.17,4,91,175,0.52
300347,0.18689999999999965,22.93,2,90,175,0.5142857142857142
305361,0.20709999999999965,22.35,3,93,181,0.5138121546961326
310209,0.24119999999999972,22.73,9,85,160,0.53125
315354,0.2803999999999996,24.51,12,84,180,0.4666666666666667
320506,0.20179999999999962,22.48,2,94,162,0.5802469135802469
325522,0.20299999999999968,22.45,4,89,184,0.483695652173913
330446,0.23779999999999962,23.01,7,88,162,0.5432098765432098
335419,0.2406999999999995,22.19,6,92,170,0.5411764705882353
339841,0.20829999999999965,21.47,4,90,164,0.5487804878048781
345079,0.23989999999999967,22.87,8,86,168,0.5119047619047619
349758,0.2096999999999997,21.82,3,93,174,0.5344827586206896
354724,0.2432999999999996,23.48,8,86,169,0.5088757396449705
359834,0.26659999999999956,22.02,10,87,159,0.5471698113207547
364669,0.22029999999999958,22.56,4,93,171,0.543859649122807
369459,0.21589999999999962,22.42,4,92,168,0.5476190476190477
374510,0.23049999999999962,22.45,6,90,185,0.4864864864864865
379731,0.20959999999999965,21.02,3,92,163,0.5644171779141104
385008,0.20969999999999966,24.26,4,90,186,0.4838709677419355
390209,0.21929999999999963,22.02,5,89,181,0.49171270718232046
395185,0.21059999999999962,22.63,3,93,155,0.6
400609,0.17769999999999975,23.83,2,88,168,0.5238095238095238
405565,0.18749999999999967,22.08,1,93,172,0.5406976744186046
410603,0.22499999999999964,21.37,6,89,167,0.5329341317365269
415417,0.24829999999999955,22.87,8,89,170,0.5235294117647059
421161,0.20869999999999966,21.97,3,93,190,0.48947368421052634
425825,0.19129999999999964,22.12,1,95,187,0.5080213903743316
430871,0.20059999999999967,23.71,4,89,176,0.5056818181818182
436006,0.1853999999999997,22.03,4,87,152,0.5723684210526315
440857,0.2284999999999996,22.88,4,95,171,0.5555555555555556
446009,0.21489999999999962,19.95,4,92,166,0.5542168674698795
450721,0.2539999999999996,21.91,8,89,159,0.559748427672956
