timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
136,-0.012600000000000014,15.88,2,43,71,0.6056338028169014
8556,-0.0161,15.99,0,50,75,0.6666666666666666
15057,0.0015999999999999973,15.85,2,50,72,0.6944444444444444
20753,0.0045,15.98,2,50,75,0.6666666666666666
26346,0.0005000000000000058,17.17,2,46,84,0.5476190476190477
31619,0.013099999999999999,15.49,3,48,79,0.6075949367088608
36499,0.04690000000000004,16.8,3,55,90,0.6111111111111112
41298,0.004600000000000002,15.73,1,52,75,0.6933333333333334
46297,0.019800000000000026,14.67,3,48,78,0.6153846153846154
51249,0.023200000000000047,16.13,2,53,76,0.6973684210526315
56218,-0.013399999999999999,15.81,0,50,71,0.704225352112676
60829,-0.029599999999999974,15.85,1,43,81,0.5308641975308642
65612,-0.027900000000000015,16.43,1,46,70,0.6571428571428571
70969,0.07240000000000006,15.57,5,54,84,0.6428571428571429
76051,-0.024099999999999948,15.49,0,47,79,0.5949367088607594
80951,0.0060999999999999934,15.7,0,54,75,0.72
86040,-0.03729999999999996,16.15,0,47,74,0.6351351351351351
91657,0.025400000000000013,15.9,1,57,75,0.76
96853,0.010500000000000002,14.47,2,51,80,0.6375
101877,0.004100000000000003,15.93,2,46,70,0.6571428571428571
107168,-0.02209999999999996,15.07,3,43,56,0.7678571428571429
112167,-0.05500000000000002,15.88,1,38,67,0.5671641791044776
117385,0.02889999999999999,16.07,1,59,85,0.6941176470588235
122548,0.02300000000000001,17.94,1,52,89,0.5842696629213483
127684,0.013299999999999996,15.07,3,49,67,0.7313432835820896
133080,-0.013500000000000003,16.16,1,46,69,0.6666666666666666
138438,-0.004499999999999999,16.42,0,53,83,0.6385542168674698
143346,-0.03779999999999998,14.75,2,39,59,0.6610169491525424
148495,-0.015100000000000018,15.05,1,48,62,0.7741935483870968
153509,0.036900000000000016,15.3,5,49,72,0.6805555555555556
158967,0.02990000000000005,15.93,2,53,81,0.654320987654321
164113,-0.009200000000000007,15.7,1,48,69,0.6956521739130435
168985,-0.030699999999999967,15.51,4,36,52,0.6923076923076923
174416,0.02030000000000003,14.54,3,52,67,0.7761194029850746
179182,-0.029099999999999994,14.98,0,48,69,0.6956521739130435
184395,0.009499999999999993,16.19,3,48,67,0.7164179104477612
189908,0.005699999999999994,14.97,2,50,77,0.6493506493506493
194519,-0.04109999999999997,14.66,0,45,76,0.5921052631578947
199614,-0.006100000000000001,15.25,1,50,80,0.625
204162,-0.027399999999999963,15.67,1,44,64,0.6875
208914,0.0058999999999999955,16.37,3,46,74,0.6216216216216216
213883,-0.044599999999999994,15.51,1,40,63,0.6349206349206349
219272,-0.04279999999999997,15.72,1,40,59,0.6779661016949152
224389,0.06290000000000004,15.53,2,63,90,0.7
229485,0.018700000000000022,16.75,2,51,84,0.6071428571428571
234526,0.013000000000000001,16.06,2,48,85,0.5647058823529412
239630,-0.01120000000000001,15.1,4,40,62,0.6451612903225806
244492,0.010499999999999989,16.31,4,45,77,0.5844155844155844
249698,0.020000000000000018,16.37,1,54,88,0.6136363636363636
255082,0.0113,16.45,0,53,96,0.5520833333333334
260174,0.031400000000000025,16.44,3,52,76,0.6842105263157895
265113,-0.0037000000000000114,16.41,0,52,87,0.5977011494252874
270275,-0.02419999999999999,16.06,0,52,83,0.6265060240963856
275034,0.00619999999999999,16.08,2,48,77,0.6233766233766234
280264,0.03410000000000009,15.57,1,58,94,0.6170212765957447
285198,0.027800000000000005,15.58,5,45,77,0.5844155844155844
290471,-0.013700000000000013,16.07,0,49,77,0.6363636363636364
295112,-0.040299999999999996,14.77,0,49,68,0.7205882352941176
300347,-0.028899999999999954,16.25,0,49,79,0.620253164556962
305361,0.017000000000000026,15.75,4,45,75,0.6
310209,0.014700000000000013,15.37,1,54,82,0.6585365853658537
315354,0.0166,15.07,2,54,94,0.574468085106383
320506,-0.03289999999999996,15.44,1,45,68,0.6617647058823529
325522,-0.016700000000000003,16.22,1,42,74,0.5675675675675675
330446,0.008399999999999982,15.4,3,46,71,0.647887323943662
335419,0.018900000000000063,16.33,1,56,82,0.6829268292682927
339841,-0.0010000000000000022,15.32,2,49,89,0.550561797752809
345079,-0.026599999999999967,15.84,1,42,72,0.5833333333333334
349758,-0.06299999999999996,16.03,0,40,60,0.6666666666666666
354724,-0.021999999999999992,15.58,2,43,77,0.5584415584415584
359834,0.027300000000000036,16.34,3,49,79,0.620253164556962
