timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
136,-0.09490000000000003,13.94,1,33,50,0.66
8556,-0.0338,15.51,0,45,66,0.6818181818181818
15057,-0.0307,15.06,4,37,61,0.6065573770491803
20753,-0.08500000000000002,14.61,0,32,56,0.5714285714285714
26346,-0.017699999999999997,15.24,3,36,62,0.5806451612903226
31619,-0.0611,13.39,0,40,63,0.6349206349206349
36499,0.0024999999999999957,15.58,2,51,77,0.6623376623376623
41298,-0.03889999999999997,14.66,1,42,62,0.6774193548387096
46297,-0.006700000000000004,14.01,3,46,72,0.6388888888888888
51249,-0.041400000000000006,14.82,1,40,56,0.7142857142857143
56218,-0.06729999999999997,13.9,2,34,60,0.5666666666666667
60829,-0.08720000000000008,14.17,1,33,62,0.532258064516129
65612,-0.10899999999999993,15.39,1,30,49,0.6122448979591837
70969,-0.03069999999999998,14.17,3,37,62,0.5967741935483871
76051,-0.061199999999999984,14.01,1,35,62,0.5645161290322581
80951,-0.030599999999999978,14.39,3,37,61,0.6065573770491803
86040,-0.06399999999999995,14.96,0,40,62,0.6451612903225806
91657,-0.029800000000000014,13.77,2,44,64,0.6875
96853,-0.09780000000000001,14.23,2,30,60,0.5
101877,-0.05039999999999998,14.86,0,42,63,0.6666666666666666
107168,-0.05579999999999997,14.38,1,39,54,0.7222222222222222
112167,-0.0681,14.22,1,37,63,0.5873015873015873
117385,-0.02529999999999999,15.12,3,40,66,0.6060606060606061
122548,-0.021100000000000004,15.4,0,46,67,0.6865671641791045
127684,-0.04979999999999997,14.27,2,36,65,0.5538461538461539
133080,-0.04699999999999999,14.34,1,39,60,0.65
138438,-0.045799999999999966,14.27,1,44,66,0.6666666666666666
143346,-0.08029999999999998,14.33,0,36,54,0.6666666666666666
148495,-0.03720000000000001,13.47,1,44,63,0.6984126984126984
153509,-0.04379999999999994,14.33,4,36,56,0.6428571428571429
158967,-0.05029999999999997,14.27,2,37,57,0.6491228070175439
164113,-0.039099999999999926,14.05,2,37,53,0.6981132075471698
168985,-0.07379999999999996,14.24,3,31,50,0.62
174416,-0.058099999999999985,14.7,2,35,54,0.6481481481481481
179182,-0.08800000000000001,13.55,0,35,48,0.7291666666666666
184395,-0.06319999999999998,15.07,1,38,66,0.5757575757575758
189908,-0.0452,13.95,1,44,58,0.7586206896551724
194519,-0.041799999999999955,14.8,2,38,63,0.6031746031746031
199614,-0.007799999999999998,14.24,4,40,68,0.5882352941176471
204162,-0.037499999999999964,14.56,2,43,55,0.7818181818181819
208914,-0.06469999999999995,15.27,2,35,60,0.5833333333333334
213883,-0.1137,13.58,0,28,39,0.717948717948718
219272,-0.0876,14.81,2,32,49,0.6530612244897959
224389,-0.015000000000000003,14.92,1,46,75,0.6133333333333333
229485,-0.03659999999999998,14.75,2,41,68,0.6029411764705882
234526,-0.03900000000000001,15.51,1,38,68,0.5588235294117647
239630,-0.06919999999999994,13.19,2,34,51,0.6666666666666666
244492,-0.06049999999999999,14.17,0,41,60,0.6833333333333333
249698,-0.07969999999999998,15.26,0,35,61,0.5737704918032787
255082,-0.013899999999999978,15.78,2,45,80,0.5625
260174,0.00850000000000001,15.01,3,44,77,0.5714285714285714
265113,-0.012100000000000017,14.84,0,55,75,0.7333333333333333
270275,-0.04650000000000001,13.8,3,39,56,0.6964285714285714
275034,-0.05849999999999994,14.25,1,37,59,0.6271186440677966
280264,-0.002799999999999959,13.85,2,48,76,0.631578947368421
