timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
136,0.18399999999999966,21.47,1,94,94,1.0
11827,0.21019999999999966,20.51,2,97,97,1.0
23539,0.19989999999999963,20.45,1,97,97,1.0
35202,0.21959999999999966,20.43,4,93,93,1.0
47108,0.20119999999999966,19.46,2,94,94,1.0
58632,0.21119999999999958,17.79,3,94,94,1.0
69883,0.22779999999999961,19.84,4,95,95,1.0
81697,0.21599999999999955,20.88,2,98,98,1.0
92712,0.22009999999999966,19.69,3,96,96,1.0
104349,0.21179999999999957,19.22,2,97,97,1.0
116284,0.20799999999999963,18.18,1,99,99,1.0
128111,0.19589999999999963,20.57,1,96,96,1.0
139985,0.1987999999999997,21.12,2,94,94,1.0
151826,0.19909999999999964,19.23,1,97,97,1.0
163279,0.20269999999999963,18.93,1,98,98,1.0
174714,0.20039999999999963,20.69,1,97,97,1.0
186893,0.18269999999999967,21.82,0,96,96,1.0
198359,0.20929999999999968,18.65,2,96,96,1.0
210380,0.22169999999999956,18.61,5,92,92,1.0
221839,0.20649999999999963,19.3,2,96,96,1.0
233482,0.20799999999999963,19.72,1,99,99,1.0
245166,0.21599999999999964,19.54,2,98,98,1.0
257062,0.2041999999999996,20.36,1,98,98,1.0
268902,0.1876999999999997,22.04,1,94,94,1.0
280427,0.19569999999999965,20.63,2,94,94,1.0
292314,0.20919999999999955,21.04,2,96,96,1.0
304180,0.18879999999999972,22.11,2,92,92,1.0
315968,0.19989999999999963,20.47,2,94,94,1.0
327725,0.2088999999999996,19.13,2,96,96,1.0
339478,0.2094999999999997,21.87,3,93,93,1.0
351222,0.21479999999999966,19.91,3,95,95,1.0
362885,0.21239999999999962,19.91,2,97,97,1.0
374671,0.20049999999999962,20.88,1,98,98,1.0
386663,0.21679999999999958,21.06,3,95,95,1.0
398205,0.18309999999999968,20.25,0,97,97,1.0
409924,0.19419999999999965,21.41,2,93,93,1.0
421820,0.2068999999999996,20.35,2,96,96,1.0
433264,0.2082999999999996,20.44,2,96,96,1.0
445358,0.22689999999999963,19.84,4,95,95,1.0
456906,0.20219999999999966,19.96,1,98,98,1.0
468561,0.18839999999999965,20.39,0,97,97,1.0
479922,0.18569999999999967,21.38,0,97,97,1.0
