timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
136,-0.014800000000000013,14.52,1,51,51,1.0
11827,-0.015400000000000007,15.19,0,51,51,1.0
23539,-0.006000000000000008,14.99,2,50,50,1.0
35202,0.009399999999999999,14.84,3,51,51,1.0
47108,-0.02339999999999995,15.79,0,49,49,1.0
58632,-0.0016999999999999954,14.47,1,52,52,1.0
69883,0.04560000000000005,15.78,3,57,57,1.0
81697,-0.007300000000000011,14.73,1,51,51,1.0
92712,-0.012200000000000011,13.27,1,51,51,1.0
104349,0.002200000000000003,15.05,1,53,53,1.0
116284,-0.051099999999999944,15.21,0,45,45,1.0
128111,-0.038699999999999984,14.78,1,44,44,1.0
139985,-0.049999999999999975,15.08,1,41,41,1.0
151826,0.02970000000000001,14.68,2,56,56,1.0
163279,-0.016199999999999944,14.23,0,52,52,1.0
174714,-0.022500000000000006,14.43,0,49,49,1.0
186893,-0.046399999999999955,15.03,0,47,47,1.0
198359,-0.01979999999999998,14.84,1,48,48,1.0
210380,-0.009400000000000004,13.94,0,54,54,1.0
221839,-0.005900000000000003,14.49,2,47,47,1.0
233482,-0.04549999999999996,13.92,1,45,45,1.0
245166,-0.043800000000000006,14.84,0,46,46,1.0
257062,-0.015100000000000008,15.62,1,50,50,1.0
268902,0.015200000000000005,16.14,0,56,56,1.0
280427,-0.049399999999999986,14.31,1,42,42,1.0
292314,-0.014499999999999992,15.13,1,49,49,1.0
304180,-0.02830000000000001,15.2,0,49,49,1.0
315968,-0.07259999999999998,13.92,0,39,39,1.0
327725,-0.02029999999999997,14.21,1,47,47,1.0
339478,-0.032299999999999975,14.22,0,51,51,1.0
351222,0.01209999999999999,14.65,2,52,52,1.0
362885,-0.008000000000000012,14.2,1,50,50,1.0
374671,-0.025499999999999964,14.5,3,41,41,1.0
386663,-0.005600000000000001,14.04,0,54,54,1.0
398205,-0.03099999999999998,14.06,0,51,51,1.0
409924,-0.0024000000000000037,14.8,3,47,47,1.0
421820,-0.014499999999999999,13.59,0,54,54,1.0
433264,-0.042899999999999945,13.89,0,46,46,1.0
445358,0.007499999999999995,14.16,0,57,57,1.0
456906,-0.04309999999999994,14.15,1,47,47,1.0
468561,-0.024099999999999944,15.39,1,47,47,1.0
479922,-0.05699999999999997,14.66,0,41,41,1.0
491538,-0.04589999999999998,15.1,1,42,42,1.0
503486,0.05160000000000003,15.07,1,64,64,1.0
515337,-0.029799999999999924,15.06,0,48,48,1.0
527178,-0.02019999999999998,14.46,0,48,48,1.0
538983,-0.04939999999999997,14.14,1,45,45,1.0
550936,0.005399999999999996,14.96,3,50,50,1.0
562483,-0.021500000000000005,14.82,0,50,50,1.0
574203,0.006800000000000001,15.2,0,56,56,1.0
586010,0.01399999999999999,14.95,2,52,52,1.0
597836,-0.02419999999999999,15.24,0,52,52,1.0
609417,-0.059899999999999974,14.36,0,44,44,1.0
621130,-0.03499999999999999,14.23,0,46,46,1.0
632691,-0.01140000000000001,14.09,0,56,56,1.0
644538,0.005900000000000003,14.44,3,49,49,1.0
656444,-0.01769999999999998,14.33,1,47,47,1.0
667748,-0.038699999999999984,13.99,0,50,50,1.0
679560,-0.051699999999999975,14.59,1,43,43,1.0
690922,-0.013299999999999952,14.46,3,46,46,1.0
702840,-0.0227,13.47,1,50,50,1.0
714872,0.0087,14.0,1,57,57,1.0
726637,-0.041899999999999986,14.13,1,47,47,1.0
738564,0.003900000000000001,15.46,1,50,50,1.0
750087,0.0013999999999999928,14.94,3,49,49,1.0
761766,0.026400000000000055,15.35,2,56,56,1.0
773327,-0.031199999999999943,13.88,1,47,47,1.0
784846,-0.027099999999999954,14.69,0,48,48,1.0
796632,-0.08660000000000002,14.25,0,39,39,1.0
808569,-0.06629999999999996,14.08,0,44,44,1.0
820744,-0.027800000000000016,14.44,0,50,50,1.0
832107,-0.007100000000000004,15.12,1,49,49,1.0
843811,0.0006999999999999889,14.62,1,54,54,1.0
855677,-0.031200000000000002,14.34,0,49,49,1.0
867456,-0.005599999999999998,14.68,0,54,54,1.0
879244,-0.037399999999999954,13.85,1,46,46,1.0
890655,-0.061699999999999956,14.69,0,44,44,1.0
902480,-0.006899999999999966,15.14,1,55,55,1.0
914444,0.039000000000000014,15.36,1,58,58,1.0
926402,-0.0259,14.28,0,48,48,1.0
938586,-0.0088,14.72,0,54,54,1.0
950295,-0.05049999999999999,15.0,0,47,47,1.0
962367,-0.0188,13.65,1,52,52,1.0
974066,-0.0095,15.51,1,49,49,1.0
985849,-0.018299999999999973,15.85,2,44,44,1.0
998184,-0.03870000000000001,14.87,0,50,50,1.0
1009752,-0.006500000000000003,14.46,1,52,52,1.0
1021256,0.008399999999999998,14.45,0,57,57,1.0
1032954,-0.03749999999999998,14.76,1,44,44,1.0
1044893,-0.03989999999999998,14.57,2,43,43,1.0
1056315,0.04220000000000002,14.21,1,62,62,1.0
