timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
136,-0.07719999999999998,13.68,0,43,43,1.0
11827,-0.039,14.89,0,48,48,1.0
23539,-0.030500000000000003,14.74,1,48,48,1.0
35202,-0.025900000000000003,13.37,1,47,47,1.0
47108,-0.024499999999999966,14.58,0,47,47,1.0
58632,-0.043299999999999984,13.59,0,44,44,1.0
69883,0.020199999999999992,14.6,1,58,58,1.0
81697,-0.04899999999999997,14.3,0,44,44,1.0
92712,-0.0128,13.63,2,48,48,1.0
104349,-0.02909999999999998,14.32,1,45,45,1.0
116284,-0.07749999999999996,13.84,0,37,37,1.0
128111,-0.03349999999999996,14.03,1,44,44,1.0
139985,-0.0822,14.79,0,39,39,1.0
151826,-0.039699999999999964,13.81,2,41,41,1.0
163279,-0.020699999999999975,12.83,0,52,52,1.0
174714,-0.016500000000000008,13.69,2,45,45,1.0
186893,-0.04959999999999996,14.8,0,45,45,1.0
198359,-0.05519999999999995,13.73,1,40,40,1.0
210380,-0.04269999999999999,13.77,1,46,46,1.0
221839,-0.0029999999999999892,14.42,1,51,51,1.0
233482,-0.04939999999999996,14.48,1,43,43,1.0
245166,-0.06429999999999997,14.08,1,40,40,1.0
257062,-0.04219999999999999,14.66,0,48,48,1.0
268902,-0.033899999999999944,14.98,1,47,47,1.0
280427,-0.0641,13.31,0,40,40,1.0
292314,-0.0541,14.08,0,43,43,1.0
304180,-0.07089999999999995,13.97,1,40,40,1.0
315968,-0.0649,14.05,1,40,40,1.0
327725,-0.02319999999999998,13.71,1,47,47,1.0
339478,-0.05669999999999995,13.35,2,41,41,1.0
351222,-0.07220000000000003,13.77,1,35,35,1.0
362885,-0.00689999999999999,13.91,1,48,48,1.0
374671,-0.07259999999999998,14.0,2,33,33,1.0
386663,-0.03619999999999998,13.9,0,47,47,1.0
398205,-0.05729999999999996,13.57,0,43,43,1.0
409924,-0.03599999999999999,13.99,3,41,41,1.0
421820,-0.022399999999999993,13.43,1,48,48,1.0
433264,-0.03479999999999995,14.0,1,45,45,1.0
445358,-0.04639999999999999,13.0,0,44,44,1.0
456906,-0.043299999999999984,13.66,3,39,39,1.0
468561,-0.026099999999999953,14.43,2,45,45,1.0
479922,-0.1159,13.58,0,31,31,1.0
