timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
136,0.21609999999999968,23.04,4,92,153,0.6013071895424836
8925,0.2271999999999996,22.71,4,95,171,0.5555555555555556
15530,0.21259999999999962,21.94,4,91,153,0.5947712418300654
21527,0.22309999999999972,23.06,7,85,136,0.625
27319,0.25009999999999966,24.7,9,85,149,0.5704697986577181
32836,0.2150999999999997,22.02,5,89,151,0.5894039735099338
37757,0.2439999999999996,22.76,8,87,176,0.4943181818181818
42987,0.24799999999999955,21.94,6,94,181,0.5193370165745856
48223,0.21229999999999966,21.57,3,94,143,0.6573426573426573
53339,0.21519999999999964,21.34,3,94,156,0.6025641025641025
58092,0.21929999999999963,22.52,5,90,175,0.5142857142857142
62960,0.2270999999999996,23.02,5,91,159,0.5723270440251572
67906,0.24329999999999966,24.28,7,90,153,0.5882352941176471
72980,0.22439999999999966,22.03,5,91,170,0.5352941176470588
77904,0.23299999999999965,22.03,5,93,154,0.6038961038961039
83044,0.29279999999999956,21.85,12,87,149,0.5838926174496645
88070,0.20589999999999964,23.06,3,93,181,0.5138121546961326
93475,0.23279999999999962,20.17,5,93,146,0.636986301369863
98794,0.19549999999999967,20.87,3,90,146,0.6164383561643836
103731,0.24179999999999968,22.24,7,90,140,0.6428571428571429
108919,0.2290999999999996,21.14,4,95,172,0.5523255813953488
113875,0.22959999999999958,22.48,6,89,152,0.5855263157894737
119120,0.2103999999999996,22.88,5,88,142,0.6197183098591549
124792,0.26399999999999957,23.46,9,89,146,0.6095890410958904
129893,0.20859999999999967,22.77,4,90,161,0.5590062111801242
134509,0.2438999999999996,21.54,7,90,150,0.6
139577,0.1947999999999997,22.61,3,89,175,0.5085714285714286
144580,0.22449999999999964,22.91,6,89,163,0.5460122699386503
149262,0.23999999999999966,21.86,8,87,158,0.5506329113924051
154469,0.24599999999999964,22.13,7,91,186,0.489247311827957
159597,0.2041999999999997,20.99,3,93,149,0.6241610738255033
164209,0.24569999999999964,19.59,7,91,159,0.5723270440251572
169160,0.22439999999999963,22.38,4,94,133,0.706766917293233
174146,0.2355999999999996,23.76,7,88,184,0.4782608695652174
179023,0.1861999999999997,22.29,2,92,132,0.696969696969697
184165,0.24109999999999954,23.08,6,92,161,0.5714285714285714
189663,0.22739999999999963,22.13,7,86,143,0.6013986013986014
194575,0.25639999999999963,21.84,10,84,190,0.4421052631578947
199385,0.2007999999999996,21.38,3,92,164,0.5609756097560976
203858,0.24009999999999965,22.38,7,89,159,0.559748427672956
209139,0.21839999999999965,21.57,4,93,154,0.6038961038961039
214037,0.2456999999999997,23.92,9,84,173,0.48554913294797686
218996,0.21939999999999965,23.28,5,90,171,0.5263157894736842
224052,0.2086999999999996,22.0,3,93,158,0.5886075949367089
229232,0.22249999999999967,20.49,5,91,153,0.5947712418300654
234183,0.20239999999999966,21.56,2,95,171,0.5555555555555556
238888,0.2349999999999996,22.98,7,88,147,0.5986394557823129
243960,0.22249999999999964,23.62,6,87,159,0.5471698113207547
248912,0.2514999999999996,22.76,7,92,191,0.4816753926701571
253991,0.1976999999999996,20.46,1,97,150,0.6466666666666666
259252,0.21779999999999966,22.09,4,92,161,0.5714285714285714
264559,0.23709999999999964,21.84,6,91,169,0.5384615384615384
269636,0.24119999999999958,23.4,8,86,152,0.5657894736842105
275176,0.24509999999999965,21.99,8,88,163,0.5398773006134969
280064,0.2617999999999996,21.65,9,88,183,0.4808743169398907
285223,0.21519999999999964,23.01,5,89,144,0.6180555555555556
290356,0.22399999999999964,22.1,4,94,154,0.6103896103896104
295346,0.22159999999999966,23.53,3,96,173,0.5549132947976878
300199,0.26839999999999964,23.24,9,90,170,0.5294117647058824
305424,0.24009999999999962,22.81,6,92,148,0.6216216216216216
310550,0.21499999999999964,21.0,3,94,151,0.6225165562913907
315492,0.2322999999999996,22.27,5,93,179,0.5195530726256983
320632,0.2454999999999996,22.66,9,86,148,0.581081081081081
325430,0.2376999999999997,21.12,7,88,156,0.5641025641025641
330106,0.1990999999999997,22.8,3,91,143,0.6363636363636364
334894,0.2477999999999997,22.31,8,88,161,0.546583850931677
339640,0.20279999999999962,21.13,1,98,159,0.6163522012578616
344719,0.19759999999999966,22.64,1,96,172,0.5581395348837209
349520,0.21039999999999964,21.52,4,90,171,0.5263157894736842
354270,0.22059999999999966,23.11,6,87,177,0.4915254237288136
359106,0.2481999999999996,21.89,7,91,157,0.5796178343949044
363776,0.20269999999999957,20.96,2,95,164,0.5792682926829268
368773,0.20239999999999958,21.84,3,92,147,0.6258503401360545
374253,0.23199999999999965,21.32,7,87,156,0.5576923076923077
379036,0.22149999999999964,21.58,5,90,174,0.5172413793103449
383830,0.21349999999999966,22.18,4,91,143,0.6363636363636364
389198,0.2432999999999996,23.94,8,86,153,0.5620915032679739
394584,0.22259999999999974,21.89,5,92,161,0.5714285714285714
399918,0.19359999999999966,22.12,1,95,162,0.5864197530864198
404990,0.22489999999999963,22.26,5,91,154,0.5909090909090909
409886,0.21409999999999957,21.99,4,92,140,0.6571428571428571
414526,0.1983999999999997,23.25,3,91,135,0.674074074074074
419661,0.2049999999999996,22.57,3,92,188,0.48936170212765956
424572,0.20729999999999965,22.26,2,96,165,0.5818181818181818
429577,0.20949999999999971,23.42,5,87,172,0.5058139534883721
434914,0.19349999999999967,23.05,3,89,161,0.5527950310559007
440008,0.2386999999999996,22.18,6,92,175,0.5257142857142857
445039,0.21959999999999966,22.89,4,92,170,0.5411764705882353
449830,0.26819999999999966,21.89,10,87,164,0.5304878048780488
455006,0.2258999999999996,22.85,5,91,174,0.5229885057471264
460376,0.20829999999999962,21.72,2,96,205,0.4682926829268293
465170,0.22659999999999958,23.21,5,92,182,0.5054945054945055
470051,0.22859999999999964,20.72,5,92,156,0.5897435897435898
474941,0.24939999999999965,22.99,8,89,146,0.6095890410958904
480049,0.1785999999999997,23.19,1,93,165,0.5636363636363636
485271,0.21169999999999967,21.79,3,94,153,0.6143790849673203
490295,0.24039999999999956,22.1,8,87,188,0.4627659574468085
495148,0.17919999999999967,21.75,1,93,157,0.5923566878980892
500120,0.27219999999999955,23.06,10,88,175,0.5028571428571429
505140,0.23549999999999965,22.09,6,91,176,0.5170454545454546
509986,0.21679999999999963,21.21,3,95,168,0.5654761904761905
514936,0.22609999999999963,22.63,6,89,170,0.5235294117647059
519853,0.20599999999999968,21.72,3,93,163,0.5705521472392638
525058,0.29039999999999955,23.4,12,86,183,0.46994535519125685
529836,0.2266999999999997,20.7,6,89,162,0.5493827160493827
534690,0.24429999999999957,22.32,7,89,163,0.5460122699386503
539525,0.23209999999999964,21.07,5,93,155,0.6
544283,0.20479999999999965,22.19,3,92,183,0.5027322404371585
549457,0.21409999999999965,23.99,5,89,175,0.5085714285714286
554678,0.22789999999999952,22.12,5,92,172,0.5348837209302325
560105,0.2357999999999996,21.71,6,91,175,0.52
565141,0.2627999999999996,21.97,9,88,155,0.567741935483871
570432,0.26019999999999965,20.87,9,88,151,0.5827814569536424
575436,0.2537999999999996,22.77,9,86,177,0.4858757062146893
580698,0.22599999999999965,22.25,4,94,129,0.7286821705426356
585390,0.22199999999999953,23.54,5,90,173,0.5202312138728323
590378,0.2204999999999996,23.89,5,90,181,0.4972375690607735
595952,0.2538999999999996,22.48,8,89,178,0.5
600880,0.22399999999999964,22.38,3,97,178,0.5449438202247191
605567,0.24729999999999958,23.52,7,91,163,0.558282208588957
610559,0.22389999999999968,22.41,6,89,173,0.5144508670520231
615619,0.20949999999999971,22.54,3,93,158,0.5886075949367089
620421,0.2554999999999996,21.98,9,87,169,0.514792899408284
625484,0.20019999999999963,20.9,3,93,163,0.5705521472392638
630536,0.22689999999999957,23.57,6,90,167,0.5389221556886228
635577,0.2056999999999996,23.11,4,90,188,0.4787234042553192
640893,0.25019999999999964,21.85,8,88,154,0.5714285714285714
646296,0.2355999999999997,23.49,6,91,177,0.5141242937853108
651062,0.19659999999999964,23.15,1,96,184,0.5217391304347826
655598,0.1982999999999997,24.56,3,91,168,0.5416666666666666
660620,0.2426999999999996,21.37,7,89,158,0.5632911392405063
665614,0.19069999999999973,23.1,2,91,185,0.4918918918918919
670912,0.24269999999999964,22.51,7,90,169,0.5325443786982249
675949,0.23059999999999953,22.07,5,93,168,0.5535714285714286
680583,0.2264999999999996,22.48,6,89,173,0.5144508670520231
685518,0.20579999999999962,23.93,3,92,177,0.519774011299435
690779,0.22649999999999967,21.66,6,89,147,0.6054421768707483
695539,0.20919999999999972,23.88,4,90,170,0.5294117647058824
700249,0.20449999999999968,22.5,2,95,156,0.6089743589743589
705235,0.2307999999999996,22.91,6,90,142,0.6338028169014085
710358,0.20539999999999964,23.42,3,92,171,0.5380116959064327
715327,0.2216999999999996,24.22,5,90,159,0.5660377358490566
720529,0.22039999999999968,23.66,5,90,158,0.569620253164557
725622,0.21739999999999973,21.62,5,89,163,0.5460122699386503
730575,0.19129999999999966,22.7,1,95,171,0.5555555555555556
734935,0.2542999999999996,21.85,8,89,157,0.5668789808917197
740123,0.25229999999999964,22.62,7,92,168,0.5476190476190477
745370,0.22399999999999964,21.96,4,94,184,0.5108695652173914
750418,0.2180999999999997,22.66,5,90,172,0.5232558139534884
755400,0.26529999999999954,22.41,9,89,170,0.5235294117647059
760728,0.20219999999999963,22.85,2,94,170,0.5529411764705883
765701,0.25889999999999963,21.62,10,85,171,0.49707602339181284
770728,0.18819999999999967,22.88,1,94,153,0.6143790849673203
775709,0.21359999999999968,19.99,3,94,151,0.6225165562913907
780553,0.26039999999999963,20.13,9,88,141,0.624113475177305
785959,0.2578999999999995,21.91,8,91,152,0.5986842105263158
791004,0.2439999999999996,21.49,6,93,146,0.636986301369863
795962,0.2332999999999996,22.84,6,90,174,0.5172413793103449
801074,0.21319999999999958,22.85,5,88,181,0.4861878453038674
806289,0.21099999999999966,22.2,5,88,167,0.5269461077844312
811088,0.21159999999999957,21.47,3,94,189,0.4973544973544973
816049,0.23219999999999966,21.51,6,89,148,0.6013513513513513
821155,0.21469999999999959,22.62,4,91,167,0.5449101796407185
826056,0.21419999999999959,22.75,3,94,180,0.5222222222222223
831284,0.27999999999999964,22.55,10,90,166,0.5421686746987951
835902,0.2505999999999996,21.67,8,88,180,0.4888888888888889
840748,0.24519999999999956,23.3,7,90,166,0.5421686746987951
845518,0.24149999999999963,22.45,7,89,177,0.5028248587570622
850372,0.20899999999999963,22.21,2,96,168,0.5714285714285714
855264,0.20699999999999963,21.55,3,93,161,0.577639751552795
860241,0.20799999999999966,22.13,4,90,174,0.5172413793103449
865174,0.23229999999999967,21.42,6,90,157,0.5732484076433121
870020,0.24319999999999964,20.65,6,93,169,0.5502958579881657
875338,0.24969999999999953,22.09,8,88,166,0.5301204819277109
880011,0.2245999999999997,23.47,6,88,152,0.5789473684210527
885491,0.19919999999999963,22.22,2,94,159,0.5911949685534591
890432,0.27799999999999964,23.63,13,80,165,0.48484848484848486
895778,0.2339999999999996,21.71,6,91,168,0.5416666666666666
901000,0.21839999999999968,22.04,5,90,163,0.5521472392638037
906226,0.2355999999999996,22.2,6,91,169,0.5384615384615384
