timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
136,-0.0014000000000000024,15.9,3,43,72,0.5972222222222222
8925,-0.008199999999999999,16.13,0,52,76,0.6842105263157895
15530,-0.002700000000000006,15.87,2,50,69,0.7246376811594203
21527,0.0148,15.84,3,51,81,0.6296296296296297
27319,0.0037000000000000067,17.09,2,46,82,0.5609756097560976
32836,0.028400000000000012,15.59,3,52,79,0.6582278481012658
37757,0.036600000000000035,16.86,3,52,90,0.5777777777777777
42987,0.0096,15.57,1,53,72,0.7361111111111112
48223,0.011000000000000024,14.41,2,48,80,0.6
53339,0.02020000000000003,16.43,2,52,74,0.7027027027027027
58092,-0.03269999999999999,15.72,0,46,65,0.7076923076923077
62960,-0.036799999999999965,15.58,1,41,70,0.5857142857142857
67906,-0.03370000000000001,16.26,1,44,72,0.6111111111111112
72980,0.05230000000000007,15.68,4,52,81,0.6419753086419753
77904,-0.014499999999999997,15.35,0,49,73,0.6712328767123288
83044,0.002900000000000002,15.47,0,54,74,0.7297297297297297
88070,-0.030599999999999992,16.21,0,49,70,0.7
93475,0.006600000000000016,15.88,1,52,69,0.7536231884057971
98794,0.0206,14.8,3,52,80,0.65
103731,0.013000000000000003,16.21,3,46,69,0.6666666666666666
108919,-0.02609999999999997,15.06,3,42,63,0.6666666666666666
113875,-0.05210000000000003,15.72,1,38,62,0.6129032258064516
119120,0.0085,16.36,1,54,73,0.7397260273972602
124792,0.0248,17.62,0,56,97,0.5773195876288659
129893,-0.0177,15.07,2,44,59,0.7457627118644068
134509,-0.014299999999999997,16.35,1,45,66,0.6818181818181818
139577,-0.0018000000000000017,16.16,0,54,80,0.675
144580,-0.024000000000000004,15.22,4,37,61,0.6065573770491803
149262,-0.011000000000000003,14.79,1,49,65,0.7538461538461538
154469,0.025200000000000018,15.18,4,50,73,0.684931506849315
159597,0.05080000000000006,15.47,4,52,76,0.6842105263157895
164209,-0.010500000000000008,15.8,2,43,70,0.6142857142857143
169160,-0.03489999999999996,15.2,3,39,55,0.7090909090909091
174146,0.04050000000000002,14.98,3,56,75,0.7466666666666667
179023,-0.024499999999999997,15.01,0,49,73,0.6712328767123288
184165,0.023800000000000023,16.18,3,51,72,0.7083333333333334
189663,0.003399999999999986,15.03,2,49,73,0.6712328767123288
194575,-0.04339999999999997,14.72,0,45,75,0.6
199385,0.004399999999999988,15.19,1,53,79,0.6708860759493671
203858,-0.013800000000000002,15.63,1,50,70,0.7142857142857143
209139,0.01119999999999999,16.27,3,47,72,0.6527777777777778
214037,-0.029800000000000004,15.75,1,45,63,0.7142857142857143
218996,-0.030999999999999993,16.25,2,39,59,0.6610169491525424
224052,0.06280000000000002,15.79,2,62,86,0.7209302325581395
229232,0.01669999999999999,16.59,2,50,77,0.6493506493506493
234183,0.015199999999999981,16.21,2,50,81,0.6172839506172839
238888,-0.0053,15.61,4,42,72,0.5833333333333334
243960,0.0098,16.12,4,46,72,0.6388888888888888
248912,0.0012000000000000027,16.89,1,49,76,0.6447368421052632
253991,-0.0028000000000000026,16.62,0,50,95,0.5263157894736842
259252,0.032600000000000025,15.83,2,53,75,0.7066666666666667
264559,0.000200000000000006,16.57,1,51,80,0.6375
269636,-0.012900000000000007,16.1,0,54,85,0.6352941176470588
275176,-0.0036000000000000077,15.83,2,46,76,0.6052631578947368
280064,0.025000000000000102,15.09,1,58,93,0.6236559139784946
285223,0.0358,15.87,6,44,70,0.6285714285714286
290356,-0.009600000000000013,15.52,0,51,73,0.6986301369863014
295346,-0.024499999999999987,14.98,1,49,77,0.6363636363636364
300199,-0.021399999999999995,15.97,1,48,78,0.6153846153846154
305424,0.017700000000000007,15.75,4,45,72,0.625
310550,0.005399999999999996,14.7,1,53,86,0.6162790697674418
315492,0.006599999999999992,14.72,1,55,88,0.625
320632,-0.016199999999999982,15.63,3,44,76,0.5789473684210527
325430,-0.013200000000000014,15.96,2,40,75,0.5333333333333333
330106,-0.004600000000000012,15.92,4,42,64,0.65625
334894,0.04470000000000006,16.71,2,57,87,0.6551724137931034
339640,-0.014200000000000008,15.38,2,46,77,0.5974025974025974
344719,-0.02599999999999996,15.9,0,45,81,0.5555555555555556
349520,-0.05189999999999999,16.12,1,38,60,0.6333333333333333
354270,-0.018300000000000004,15.59,2,46,74,0.6216216216216216
359106,0.022300000000000014,15.87,3,49,85,0.5764705882352941
363776,0.0056000000000000025,15.72,2,48,70,0.6857142857142857
368773,0.0008999999999999891,15.62,2,48,72,0.6666666666666666
374253,-0.003599999999999987,16.13,2,46,74,0.6216216216216216
379036,0.013199999999999998,15.79,1,52,71,0.7323943661971831
383830,0.015999999999999997,15.22,3,49,68,0.7205882352941176
389198,-0.04919999999999997,15.57,0,42,72,0.5833333333333334
394584,0.007199999999999993,16.2,2,54,88,0.6136363636363636
399918,0.05520000000000005,16.0,3,54,98,0.5510204081632653
404990,0.01250000000000002,15.64,3,48,85,0.5647058823529412
409886,0.02550000000000002,15.44,2,54,71,0.7605633802816901
414526,-0.049000000000000016,16.24,0,43,73,0.589041095890411
419661,-0.022600000000000012,14.68,1,47,71,0.6619718309859155
