timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
136,-0.09950000000000003,13.78,0,35,52,0.6730769230769231
8750,-0.05689999999999998,15.33,0,42,67,0.6268656716417911
15309,-0.0382,15.56,2,40,57,0.7017543859649122
20938,-0.0561,14.47,2,36,54,0.6666666666666666
26951,-0.012800000000000008,14.8,2,45,73,0.6164383561643836
32265,-0.048999999999999974,13.81,1,40,58,0.6896551724137931
37255,-0.019699999999999968,15.14,3,42,70,0.6
42312,-0.041999999999999954,14.9,0,46,69,0.6666666666666666
47201,-0.018299999999999997,14.09,2,46,65,0.7076923076923077
52126,-0.0379,15.04,1,42,62,0.6774193548387096
56700,-0.05359999999999997,14.14,2,38,57,0.6666666666666666
61394,-0.07009999999999994,14.69,1,35,53,0.660377358490566
66552,-0.06949999999999998,14.81,3,31,62,0.5
71819,-0.01619999999999999,14.25,3,41,58,0.7068965517241379
76867,-0.04289999999999997,14.07,0,44,67,0.6567164179104478
81979,-0.043499999999999955,14.25,2,40,56,0.7142857142857143
86835,-0.06629999999999997,15.06,0,41,64,0.640625
92208,-0.03340000000000001,14.11,2,43,62,0.6935483870967742
96996,-0.10139999999999999,14.43,2,25,59,0.423728813559322
101955,-0.02779999999999997,14.46,1,46,60,0.7666666666666667
106687,-0.07439999999999998,14.04,1,38,47,0.8085106382978723
111370,-0.08259999999999999,14.18,1,34,50,0.68
116811,-0.04229999999999998,15.24,1,42,59,0.711864406779661
121901,-0.05329999999999993,14.96,1,41,61,0.6721311475409836
127286,-0.0399,13.61,2,39,56,0.6964285714285714
132224,-0.05360000000000001,14.58,1,39,54,0.7222222222222222
136935,-0.05149999999999994,14.73,3,38,49,0.7755102040816326
142037,-0.0831,13.97,0,35,49,0.7142857142857143
147290,-0.06999999999999995,13.91,0,39,61,0.639344262295082
152084,-0.04389999999999998,14.49,3,39,58,0.6724137931034483
157098,-0.056699999999999966,13.69,1,38,52,0.7307692307692307
161973,-0.05239999999999994,13.59,2,38,53,0.7169811320754716
166904,-0.07189999999999999,13.8,2,33,47,0.7021276595744681
172146,-0.04439999999999996,14.88,1,39,62,0.6290322580645161
176929,-0.04989999999999996,13.83,1,41,53,0.7735849056603774
181929,-0.04939999999999996,14.51,1,41,57,0.7192982456140351
187338,-0.04579999999999997,13.67,1,42,57,0.7368421052631579
192085,-0.05219999999999996,14.56,2,36,60,0.6
196956,-0.055199999999999985,14.04,2,38,50,0.76
202164,-0.06809999999999997,13.58,1,40,49,0.8163265306122449
207173,-0.018299999999999986,15.21,2,45,66,0.6818181818181818
211965,-0.09979999999999999,14.3,1,30,44,0.6818181818181818
217412,-0.07289999999999998,14.53,5,27,42,0.6428571428571429
222072,-0.015499999999999983,14.4,2,45,71,0.6338028169014085
226990,-0.06159999999999994,14.87,0,39,76,0.5131578947368421
231775,-0.034999999999999976,14.75,1,39,72,0.5416666666666666
237103,-0.06219999999999994,13.71,2,38,57,0.6666666666666666
242247,-0.059899999999999974,14.35,2,36,44,0.8181818181818182
247775,-0.06549999999999995,14.22,1,36,54,0.6666666666666666
252433,-0.06309999999999998,15.7,0,42,64,0.65625
257534,-0.006199999999999992,14.67,3,43,56,0.7678571428571429
262594,-0.021200000000000007,14.68,0,53,71,0.7464788732394366
267554,-0.047799999999999995,14.62,2,40,59,0.6779661016949152
272644,-0.07299999999999997,13.71,1,35,51,0.6862745098039216
277792,-0.0268,13.95,2,43,68,0.6323529411764706
282385,-0.06179999999999997,14.62,1,36,53,0.6792452830188679
287691,-0.049099999999999984,13.64,1,41,61,0.6721311475409836
292229,-0.0849,13.25,0,40,55,0.7272727272727273
297356,-0.06609999999999996,14.96,0,40,56,0.7142857142857143
302924,-0.04709999999999992,14.46,3,36,60,0.6
307813,-0.04919999999999998,13.79,3,35,58,0.603448275862069
312884,-0.06549999999999995,13.47,0,44,65,0.676923076923077
318381,-0.04939999999999992,13.82,1,45,60,0.75
323632,-0.020299999999999988,15.25,1,39,67,0.582089552238806
328449,-0.02899999999999996,15.08,3,38,58,0.6551724137931034
333673,-0.04390000000000001,14.25,1,40,70,0.5714285714285714
338858,-0.046199999999999936,13.27,2,41,57,0.7192982456140351
343603,-0.06849999999999995,14.21,0,40,55,0.7272727272727273
348207,-0.0842,14.64,0,37,49,0.7551020408163265
353271,-0.08619999999999997,14.34,1,32,52,0.6153846153846154
358565,-0.06009999999999997,13.92,2,35,56,0.625
363356,-0.08149999999999999,14.02,2,30,38,0.7894736842105263
368055,-0.060799999999999965,14.04,2,38,47,0.8085106382978723
373207,-0.07939999999999996,13.92,1,35,60,0.5833333333333334
378414,-0.014499999999999968,14.03,3,42,61,0.6885245901639344
383618,-0.0817,14.19,0,39,55,0.7090909090909091
388086,-0.0942,14.1,0,34,41,0.8292682926829268
393151,-0.02079999999999996,14.63,1,49,69,0.7101449275362319
398305,0.0018000000000000021,14.48,3,46,86,0.5348837209302325
402931,-0.05999999999999999,14.8,1,38,55,0.6909090909090909
407584,-0.033199999999999966,14.49,2,41,46,0.8913043478260869
412537,-0.09090000000000002,14.84,0,37,67,0.5522388059701493
417269,-0.05469999999999998,13.9,0,41,67,0.6119402985074627
422087,-0.024700000000000007,14.45,2,45,55,0.8181818181818182
426993,-0.028299999999999978,15.39,3,37,51,0.7254901960784313
432461,-0.028399999999999984,14.66,3,43,62,0.6935483870967742
437864,-0.08329999999999994,14.89,1,31,49,0.6326530612244898
443112,-0.06149999999999997,14.14,0,41,57,0.7192982456140351
448446,-0.05779999999999995,14.17,0,42,61,0.6885245901639344
453244,-0.07879999999999997,13.94,2,35,57,0.6140350877192983
458607,0.0022000000000000023,14.23,2,46,79,0.5822784810126582
463386,-0.006900000000000002,14.7,1,48,80,0.6
468370,-0.004499999999999993,14.11,2,46,68,0.6764705882352942
473503,-0.06429999999999997,14.6,1,36,60,0.6
478508,-0.060399999999999975,14.13,1,38,62,0.6129032258064516
483275,-0.06789999999999993,14.54,0,40,59,0.6779661016949152
487873,-0.09139999999999998,13.39,0,34,56,0.6071428571428571
492749,-0.04079999999999999,14.43,1,38,67,0.5671641791044776
497608,-0.0036999999999999976,14.41,2,45,71,0.6338028169014085
503149,-0.02489999999999997,14.15,5,36,68,0.5294117647058824
508125,-0.053999999999999986,15.22,0,41,57,0.7192982456140351
513406,-0.04389999999999997,13.78,1,42,61,0.6885245901639344
518556,-0.0912,14.0,2,27,55,0.4909090909090909
523967,-0.02399999999999998,14.25,2,48,65,0.7384615384615385
529293,-0.05969999999999998,14.77,3,32,48,0.6666666666666666
534199,-0.0633,14.51,1,40,61,0.6557377049180327
539094,-0.07389999999999994,13.6,1,31,56,0.5535714285714286
544067,-0.03619999999999998,14.98,1,42,65,0.6461538461538462
549339,-0.0676,15.23,1,34,53,0.6415094339622641
554702,-0.03959999999999999,13.73,0,48,66,0.7272727272727273
559820,0.01269999999999999,14.92,3,48,77,0.6233766233766234
564785,-0.0249,14.17,3,42,49,0.8571428571428571
569466,-0.03559999999999997,14.38,1,44,58,0.7586206896551724
574383,-0.05929999999999998,13.82,1,38,57,0.6666666666666666
579293,-0.020300000000000006,14.85,1,48,64,0.75
584037,-0.019500000000000014,14.93,1,49,78,0.6282051282051282
589081,-0.06509999999999998,14.49,1,38,68,0.5588235294117647
594279,-0.04549999999999997,14.17,0,41,56,0.7321428571428571
599138,-0.03979999999999999,14.46,1,41,54,0.7592592592592593
604231,-0.03219999999999997,14.0,5,35,63,0.5555555555555556
609318,-0.04519999999999995,13.6,1,43,55,0.7818181818181819
614042,-0.03929999999999996,14.27,1,46,66,0.696969696969697
619251,-0.062299999999999967,14.28,2,33,50,0.66
624193,-0.012899999999999974,14.85,2,46,55,0.8363636363636363
629028,-0.05619999999999997,15.0,0,41,58,0.7068965517241379
634357,-0.049499999999999975,13.85,1,38,54,0.7037037037037037
639594,-0.02669999999999999,14.9,0,48,63,0.7619047619047619
644745,-0.08869999999999999,13.9,1,31,50,0.62
649711,-0.007699999999999981,14.78,6,36,72,0.5
654651,-0.0724,15.26,1,36,55,0.6545454545454545
660115,-0.0641,13.74,0,39,52,0.75
665221,-0.018500000000000006,14.49,4,41,71,0.5774647887323944
670525,-0.02619999999999997,14.76,2,42,69,0.6086956521739131
675322,-0.08739999999999996,14.23,1,32,56,0.5714285714285714
680875,-0.00819999999999999,13.77,3,42,55,0.7636363636363637
685702,-0.02289999999999999,14.0,3,39,56,0.6964285714285714
691121,-0.04529999999999998,13.82,3,36,56,0.6428571428571429
695953,-0.006000000000000005,14.17,2,49,73,0.6712328767123288
701267,-0.031599999999999934,14.86,3,38,50,0.76
706545,-0.035399999999999994,14.58,2,39,65,0.6
711418,-0.024099999999999983,15.19,1,42,66,0.6363636363636364
716289,-0.04999999999999996,14.72,3,32,55,0.5818181818181818
721511,-0.05939999999999996,14.75,1,40,59,0.6779661016949152
726890,-0.03589999999999998,15.21,1,41,66,0.6212121212121212
731922,-0.0032000000000000023,14.74,3,46,68,0.6764705882352942
736745,-0.058799999999999956,15.16,1,37,52,0.7115384615384616
741651,-0.0796,13.82,1,39,53,0.7358490566037735
746715,-0.028199999999999992,14.77,2,40,63,0.6349206349206349
751571,-0.010499999999999994,14.2,5,36,51,0.7058823529411765
756139,-0.05979999999999998,14.63,0,39,63,0.6190476190476191
761526,-0.052199999999999996,14.54,0,42,62,0.6774193548387096
766418,-0.015299999999999989,14.91,3,41,64,0.640625
771375,-0.08779999999999998,14.21,0,36,50,0.72
776539,-0.0698,13.3,1,39,66,0.5909090909090909
781687,0.012899999999999991,14.21,5,46,64,0.71875
786677,-0.07899999999999997,14.42,1,31,52,0.5961538461538461
791999,-0.0377,13.64,2,43,58,0.7413793103448276
796610,-0.07159999999999998,14.73,1,35,52,0.6730769230769231
802046,-0.03169999999999996,13.95,1,47,62,0.7580645161290323
806996,-0.03339999999999999,14.45,1,43,64,0.671875
811671,-0.06089999999999999,13.76,1,35,47,0.7446808510638298
816383,-0.059799999999999985,14.76,1,36,53,0.6792452830188679
821412,-0.04799999999999996,13.5,2,39,50,0.78
826165,-0.08939999999999998,14.29,1,33,70,0.4714285714285714
831391,-0.05639999999999997,15.33,3,33,52,0.6346153846153846
836393,-0.0779,13.11,4,27,43,0.627906976744186
841432,-0.06999999999999999,14.85,2,34,74,0.4594594594594595
846603,-0.07809999999999997,14.08,1,34,61,0.5573770491803278
851479,-0.09530000000000005,14.08,1,30,43,0.6976744186046512
856891,-0.11350000000000005,13.96,0,26,47,0.5531914893617021
861914,-0.06809999999999997,13.61,1,38,59,0.6440677966101694
867098,-0.02619999999999999,14.51,2,39,53,0.7358490566037735
871990,0.004399999999999996,15.63,3,45,65,0.6923076923076923
877109,-0.09119999999999992,14.24,0,36,55,0.6545454545454545
881931,-0.06729999999999997,14.05,1,36,57,0.631578947368421
887147,-0.04410000000000001,14.41,2,36,48,0.75
892101,-0.04599999999999998,14.07,1,44,58,0.7586206896551724
897139,-0.052899999999999975,15.12,1,40,51,0.7843137254901961
902377,-0.02350000000000001,16.03,0,47,76,0.618421052631579
907876,-0.007500000000000007,14.28,2,45,62,0.7258064516129032
912840,-0.056399999999999964,14.02,2,36,53,0.6792452830188679
917866,-0.010699999999999998,13.13,3,46,57,0.8070175438596491
922811,-0.050499999999999955,14.67,2,36,51,0.7058823529411765
927968,-0.0744,13.99,2,33,52,0.6346153846153846
932975,-0.03449999999999998,12.91,1,46,76,0.6052631578947368
937898,-0.07869999999999996,14.47,0,35,57,0.6140350877192983
942950,-0.053899999999999976,14.08,1,40,74,0.5405405405405406
947974,-0.09369999999999999,13.91,1,32,46,0.6956521739130435
953329,-0.09679999999999996,14.56,0,31,56,0.5535714285714286
958084,-0.1001,14.37,0,34,61,0.5573770491803278
962742,-0.04049999999999998,14.95,2,38,59,0.6440677966101694
968122,-0.04189999999999993,14.35,0,46,74,0.6216216216216216
973014,-0.04899999999999996,14.63,1,43,57,0.7543859649122807
978252,-0.06489999999999993,13.84,1,39,54,0.7222222222222222
983484,-0.07869999999999998,14.49,1,36,59,0.6101694915254238
988218,-0.05099999999999996,14.03,3,37,52,0.7115384615384616
993468,-0.0437,15.39,3,36,54,0.6666666666666666
998933,-0.03939999999999998,14.94,3,35,57,0.6140350877192983
1003793,-0.08449999999999996,14.37,0,33,64,0.515625
1008436,-0.07649999999999997,14.0,2,34,44,0.7727272727272727
