timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
136,0.3313999999999999,15.88,2,43,71,0.6056338028169014
8556,0.3839000000000001,15.99,0,50,75,0.6666666666666666
15057,0.4016,15.85,2,50,72,0.6944444444444444
20738,0.40449999999999997,15.98,2,50,75,0.6666666666666666
26331,0.3684999999999999,17.17,2,46,84,0.5476190476190477
31604,0.39710000000000006,15.49,3,48,79,0.6075949367088608
36765,0.4869,16.8,3,55,90,0.6111111111111112
41435,0.41930000000000006,15.71,1,52,75,0.6933333333333334
46328,0.4037999999999999,14.67,3,48,78,0.6153846153846154
51411,0.44709999999999994,16.29,2,53,77,0.6883116883116883
56568,0.3981,16.05,0,51,72,0.7083333333333334
61111,0.30150000000000005,15.89,1,42,82,0.5121951219512195
65732,0.3173000000000001,16.17,1,44,68,0.6470588235294118
70798,0.5036,15.63,5,54,84,0.6428571428571429
75643,0.3780999999999999,15.51,0,49,81,0.6049382716049383
80829,0.4359,15.6,0,54,72,0.75
86013,0.33879999999999993,16.19,0,47,75,0.6266666666666667
91289,0.46970000000000006,15.84,1,56,72,0.7777777777777778
96000,0.4056999999999998,14.59,2,50,78,0.6410256410256411
100865,0.3719000000000001,15.93,2,46,70,0.6571428571428571
105719,0.32189999999999996,15.11,3,43,57,0.7543859649122807
110975,0.24950000000000014,15.84,1,38,61,0.6229508196721312
116319,0.5009,16.07,1,59,85,0.6941176470588235
121704,0.42669999999999997,17.82,1,51,83,0.6144578313253012
127125,0.4081,15.29,3,49,66,0.7424242424242424
131947,0.35480000000000006,16.2,1,46,69,0.6666666666666666
136860,0.4070000000000001,16.46,0,52,81,0.6419753086419753
141622,0.26280000000000003,14.85,2,38,57,0.6666666666666666
146940,0.3804999999999999,14.97,1,49,63,0.7777777777777778
151904,0.41769999999999996,15.32,5,48,73,0.6575342465753424
157018,0.44199999999999995,15.89,3,51,80,0.6375
162396,0.37610000000000016,15.56,1,48,72,0.6666666666666666
167571,0.2687,15.73,4,37,54,0.6851851851851852
173104,0.4639000000000001,14.56,2,55,73,0.7534246575342466
177809,0.3537000000000001,15.0,0,48,69,0.6956521739130435
182561,0.3809,16.09,3,47,70,0.6714285714285714
187810,0.3944000000000002,14.93,2,49,75,0.6533333333333333
192652,0.3317,14.76,0,46,77,0.5974025974025974
197744,0.39280000000000004,15.25,1,50,80,0.625
203008,0.31949999999999995,15.59,1,44,64,0.6875
208505,0.36099999999999993,16.23,3,45,73,0.6164383561643836
213576,0.28729999999999994,15.57,1,41,67,0.6119402985074627
218736,0.264,15.76,2,38,56,0.6785714285714286
223445,0.5315,15.93,2,60,94,0.6382978723404256
228365,0.4498999999999998,17.11,2,53,82,0.6463414634146342
233417,0.4000000000000001,16.14,2,48,84,0.5714285714285714
238401,0.3189999999999999,15.34,3,42,72,0.5833333333333334
243640,0.3911,16.01,4,47,78,0.6025641025641025
248733,0.45460000000000017,16.67,1,54,88,0.6136363636363636
254116,0.42200000000000004,16.46,0,52,98,0.5306122448979592
259194,0.4513000000000001,16.29,3,52,77,0.6753246753246753
264167,0.39829999999999993,16.32,0,51,82,0.6219512195121951
269138,0.38130000000000003,15.92,0,51,82,0.6219512195121951
274296,0.37459999999999993,15.64,2,47,73,0.6438356164383562
279449,0.5000000000000001,15.62,1,58,95,0.6105263157894737
284640,0.4034,15.76,5,46,77,0.5974025974025974
290018,0.3924000000000001,16.43,0,50,84,0.5952380952380952
294901,0.36949999999999994,14.83,0,50,70,0.7142857142857143
300562,0.3509999999999999,16.13,0,48,80,0.6
305364,0.4127000000000001,15.81,4,48,78,0.6153846153846154
310554,0.4475,15.35,1,54,83,0.6506024096385542
315330,0.42040000000000005,15.04,2,52,93,0.5591397849462365
320693,0.3146,15.72,1,44,70,0.6285714285714286
325626,0.31359999999999993,16.18,2,41,69,0.5942028985507246
330625,0.3334000000000001,15.7,3,43,70,0.6142857142857143
335724,0.4672,16.27,1,56,84,0.6666666666666666
340674,0.3845999999999999,15.28,2,48,84,0.5714285714285714
345390,0.3345000000000001,16.0,1,44,74,0.5945945945945946
350396,0.21860000000000002,16.03,0,37,56,0.6607142857142857
355371,0.35910000000000003,15.68,2,46,80,0.575
360355,0.4080999999999999,16.14,3,48,78,0.6153846153846154
365327,0.3730000000000001,15.64,2,47,67,0.7014925373134329
370412,0.4156,15.57,2,50,75,0.6666666666666666
375594,0.3757,16.21,2,47,79,0.5949367088607594
380652,0.44190000000000007,15.49,1,53,72,0.7361111111111112
385368,0.4128,14.96,4,49,67,0.7313432835820896
390246,0.26580000000000004,15.76,0,40,72,0.5555555555555556
395286,0.4654,16.14,1,57,88,0.6477272727272727
400579,0.44580000000000003,15.75,4,50,101,0.49504950495049505
405694,0.38799999999999996,15.45,2,49,82,0.5975609756097561
410819,0.4436,15.85,2,52,69,0.7536231884057971
415911,0.2764000000000001,16.54,0,41,81,0.5061728395061729
421132,0.37879999999999997,15.11,1,49,73,0.6712328767123288
425884,0.39539999999999986,16.22,2,49,71,0.6901408450704225
431220,0.4498000000000002,17.33,2,53,81,0.654320987654321
436503,0.3913999999999999,15.36,1,50,77,0.6493506493506493
442048,0.32189999999999996,15.32,2,43,73,0.589041095890411
447115,0.36430000000000023,15.73,0,48,73,0.6575342465753424
451701,0.3259,15.71,2,43,65,0.6615384615384615
456573,0.4384,16.76,2,52,79,0.6582278481012658
461636,0.5084000000000001,15.35,3,57,99,0.5757575757575758
466346,0.5486,15.8,2,61,88,0.6931818181818182
471183,0.4035000000000001,15.15,4,47,77,0.6103896103896104
475717,0.47809999999999997,16.41,3,55,84,0.6547619047619048
480446,0.42610000000000015,15.76,2,52,74,0.7027027027027027
485461,0.428,15.99,2,50,90,0.5555555555555556
490511,0.36969999999999986,14.86,2,47,74,0.6351351351351351
495627,0.3669999999999999,16.5,2,46,72,0.6388888888888888
500455,0.44909999999999994,15.85,3,51,88,0.5795454545454546
505434,0.4544999999999998,15.85,5,51,93,0.5483870967741935
510640,0.4916,16.68,1,58,78,0.7435897435897436
515533,0.26910000000000006,15.23,0,40,78,0.5128205128205128
520709,0.3177,14.69,3,41,83,0.4939759036144578
525612,0.4237999999999999,16.38,4,50,82,0.6097560975609756
530982,0.3510000000000001,16.9,1,46,77,0.5974025974025974
536061,0.3882000000000001,15.42,2,49,90,0.5444444444444444
541205,0.38569999999999993,16.0,0,49,99,0.494949494949495
546293,0.2869000000000001,15.9,0,41,78,0.5256410256410257
551761,0.301,16.04,0,44,65,0.676923076923077
557125,0.30210000000000004,15.85,1,42,82,0.5121951219512195
561856,0.4913999999999998,15.73,4,54,80,0.675
567053,0.4043,15.59,3,49,75,0.6533333333333333
572297,0.47959999999999975,16.49,2,56,76,0.7368421052631579
576945,0.369,14.97,3,45,67,0.6716417910447762
581926,0.4197000000000001,16.76,1,53,83,0.6385542168674698
586710,0.43050000000000005,16.87,3,49,84,0.5833333333333334
591857,0.32129999999999986,15.67,1,43,84,0.5119047619047619
597141,0.37139999999999984,16.17,1,47,70,0.6714285714285714
602068,0.5187999999999999,16.16,2,58,86,0.6744186046511628
607203,0.36460000000000015,16.22,1,47,73,0.6438356164383562
612625,0.40630000000000016,15.93,3,49,73,0.6712328767123288
617450,0.41960000000000003,15.99,4,49,84,0.5833333333333334
