timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
136,0.1691,13.94,1,33,50,0.66
8556,0.3262000000000001,15.51,0,45,66,0.6818181818181818
15057,0.2652999999999999,15.06,4,37,61,0.6065573770491803
20738,0.17099999999999999,14.61,0,32,56,0.5714285714285714
26331,0.28009999999999996,15.34,2,38,68,0.5588235294117647
31604,0.2978,14.45,1,41,61,0.6721311475409836
36765,0.39660000000000006,15.76,2,50,85,0.5882352941176471
41435,0.3066,14.46,1,44,71,0.6197183098591549
46328,0.3201999999999999,14.33,3,42,68,0.6176470588235294
51411,0.24559999999999996,14.72,1,38,65,0.5846153846153846
56568,0.1834,14.56,1,32,47,0.6808510638297872
61111,0.18259999999999996,14.61,0,34,65,0.5230769230769231
65732,0.1667000000000001,15.37,2,31,48,0.6458333333333334
70798,0.2649000000000001,14.43,3,37,70,0.5285714285714286
75643,0.27670000000000006,13.43,1,40,63,0.6349206349206349
80829,0.3064,13.73,3,41,57,0.7192982456140351
86013,0.22399999999999998,14.84,0,38,58,0.6551724137931034
91289,0.3350999999999999,14.25,2,45,68,0.6617647058823529
96000,0.21229999999999993,13.93,2,35,66,0.5303030303030303
100865,0.29890000000000005,14.48,2,41,60,0.6833333333333333
105719,0.2790000000000001,14.24,2,40,55,0.7272727272727273
110975,0.21770000000000014,14.48,0,38,59,0.6440677966101694
116319,0.24370000000000006,15.52,1,38,62,0.6129032258064516
121704,0.30250000000000005,14.76,0,44,72,0.6111111111111112
127125,0.19230000000000003,13.89,2,33,52,0.6346153846153846
131947,0.3264000000000001,14.86,0,45,60,0.75
136860,0.23829999999999996,14.97,1,38,60,0.6333333333333333
141622,0.23990000000000006,13.85,0,39,53,0.7358490566037735
146940,0.27249999999999996,14.35,2,39,71,0.5492957746478874
151904,0.24360000000000004,13.93,1,39,58,0.6724137931034483
157018,0.18879999999999997,14.05,2,32,51,0.6274509803921569
162396,0.2211,14.37,1,35,53,0.660377358490566
167571,0.1531,14.32,2,30,46,0.6521739130434783
173104,0.2824999999999999,14.02,4,37,67,0.5522388059701493
177809,0.26119999999999993,13.79,1,40,57,0.7017543859649122
182561,0.274,15.13,2,39,61,0.639344262295082
187810,0.2545,13.51,2,38,60,0.6333333333333333
192652,0.20760000000000006,14.48,1,35,60,0.5833333333333334
197744,0.2113999999999999,13.8,2,35,53,0.660377358490566
203008,0.28540000000000004,13.74,2,42,60,0.7
208505,0.2890999999999999,15.01,3,40,65,0.6153846153846154
213576,0.09059999999999997,14.42,0,26,37,0.7027027027027027
218736,0.17229999999999993,14.21,2,32,49,0.6530612244897959
223445,0.3547000000000001,14.28,3,45,70,0.6428571428571429
228365,0.24609999999999999,14.79,0,39,85,0.4588235294117647
233417,0.34649999999999986,15.35,1,45,75,0.6
238401,0.20270000000000002,13.61,2,34,55,0.6181818181818182
243640,0.20509999999999998,14.59,0,36,53,0.6792452830188679
248733,0.2716999999999999,14.92,1,40,68,0.5882352941176471
254116,0.26770000000000005,16.06,0,41,71,0.5774647887323944
259194,0.3600000000000001,14.43,4,44,62,0.7096774193548387
264167,0.3275,15.32,0,46,68,0.6764705882352942
269138,0.26870000000000005,14.52,2,41,62,0.6612903225806451
274296,0.17750000000000007,14.13,0,33,54,0.6111111111111112
279449,0.34340000000000004,14.37,0,48,81,0.5925925925925926
284640,0.17330000000000007,14.08,1,32,61,0.5245901639344263
290018,0.20559999999999995,14.38,1,34,49,0.6938775510204082
294901,0.28280000000000005,13.27,1,43,69,0.6231884057971014
300562,0.16580000000000006,14.28,0,33,52,0.6346153846153846
305364,0.2033,13.88,4,32,61,0.5245901639344263
310554,0.29059999999999997,14.15,3,40,56,0.7142857142857143
315330,0.24239999999999998,13.83,0,39,67,0.582089552238806
320693,0.2597,13.64,1,41,62,0.6612903225806451
325626,0.23870000000000002,14.67,4,32,56,0.5714285714285714
330625,0.2789,15.36,2,39,58,0.6724137931034483
335724,0.3572999999999999,14.93,2,46,70,0.6571428571428571
340674,0.2871999999999999,13.23,1,42,72,0.5833333333333334
345390,0.30469999999999997,14.49,0,44,67,0.6567164179104478
350396,0.252,15.26,1,39,58,0.6724137931034483
355371,0.17970000000000003,14.38,1,33,54,0.6111111111111112
360355,0.10170000000000001,14.34,0,28,49,0.5714285714285714
365327,0.23920000000000002,14.28,2,36,60,0.6
370412,0.12520000000000003,13.98,1,29,44,0.6590909090909091
375594,0.24069999999999994,14.46,1,38,63,0.6031746031746031
380652,0.2817,13.73,2,40,63,0.6349206349206349
385368,0.22349999999999995,14.13,0,38,55,0.6909090909090909
390246,0.18639999999999998,14.29,2,33,55,0.6
395286,0.2941,14.95,0,44,69,0.6376811594202898
400579,0.3966999999999999,14.59,3,48,80,0.6
405694,0.28240000000000004,14.74,1,41,59,0.6949152542372882
410819,0.34210000000000007,14.66,2,45,62,0.7258064516129032
415911,0.18309999999999998,15.29,0,34,63,0.5396825396825397
421132,0.2552,13.92,1,39,68,0.5735294117647058
425884,0.326,14.06,2,45,63,0.7142857142857143
431220,0.22679999999999997,15.33,0,37,58,0.6379310344827587
436503,0.2034000000000001,14.23,0,36,60,0.6
442048,0.10900000000000003,14.96,1,27,50,0.54
447115,0.3226,14.34,1,44,69,0.6376811594202898
451701,0.18859999999999996,14.54,1,33,49,0.673469387755102
456573,0.32410000000000005,13.99,1,46,81,0.5679012345679012
461636,0.3532,14.3,2,45,75,0.6
466346,0.2704999999999999,14.39,1,39,77,0.5064935064935064
471183,0.4068,14.29,5,47,65,0.7230769230769231
475717,0.2846000000000001,14.41,4,38,59,0.6440677966101694
480446,0.2688,14.27,1,40,61,0.6557377049180327
485461,0.29429999999999995,14.49,0,43,64,0.671875
490511,0.21530000000000002,13.49,1,36,66,0.5454545454545454
495627,0.2250999999999999,15.05,3,33,57,0.5789473684210527
