timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
136,8.9487,22.08,6,89,148,0.6013513513513513
8556,9.4484,21.79,5,94,153,0.6143790849673203
15057,9.0562,20.72,6,90,167,0.5389221556886228
20738,8.7614,24.87,7,87,198,0.4393939393939394
26331,9.3231,22.98,3,93,153,0.6078431372549019
31604,9.062800000000001,20.67,7,90,159,0.5660377358490566
36765,9.7188,21.94,2,97,174,0.5574712643678161
41435,8.400799999999998,22.97,11,83,171,0.4853801169590643
46328,8.4875,20.75,10,84,150,0.56
51411,9.2355,21.67,4,92,187,0.4919786096256685
56568,9.3448,20.84,5,93,165,0.5636363636363636
61093,8.9604,23.53,7,89,161,0.5527950310559007
65714,9.0412,22.37,5,90,162,0.5555555555555556
70852,9.5158,22.63,2,95,167,0.5688622754491018
75697,8.8467,22.48,6,88,160,0.55
80663,8.772,21.53,8,87,160,0.54375
85717,9.5126,21.32,2,95,170,0.5588235294117647
90612,9.412799999999999,20.93,2,94,175,0.5371428571428571
95631,8.745800000000001,21.82,6,87,182,0.47802197802197804
100727,8.655800000000001,22.52,7,86,166,0.5180722891566265
105385,9.5239,20.58,3,95,208,0.4567307692307692
110500,9.2197,22.7,3,92,155,0.5935483870967742
115739,8.7808,23.06,9,87,149,0.5838926174496645
120772,9.1778,24.14,8,91,167,0.5449101796407185
126041,9.1676,21.79,7,91,151,0.6026490066225165
130372,9.4245,21.44,3,94,159,0.5911949685534591
135446,8.8307,22.23,5,88,151,0.5827814569536424
140773,8.9483,22.04,6,89,171,0.52046783625731
145892,9.3368,23.27,4,93,182,0.510989010989011
151088,8.664200000000001,23.67,8,86,158,0.5443037974683544
156200,9.1773,22.45,8,91,170,0.5352941176470588
161057,9.0185,21.94,3,90,166,0.5421686746987951
166162,8.993400000000001,22.1,10,89,146,0.6095890410958904
171666,9.1415,22.84,5,91,187,0.48663101604278075
176772,8.2804,22.37,10,82,143,0.5734265734265734
181653,8.667900000000001,24.49,8,86,196,0.4387755102040816
187054,9.0619,22.83,7,90,155,0.5806451612903226
191986,9.3596,19.71,6,93,156,0.5961538461538461
197108,9.166400000000001,21.76,7,91,158,0.5759493670886076
201916,9.0245,23.32,4,90,192,0.46875
206839,8.8858,21.81,9,88,165,0.5333333333333333
211791,8.3508,23.5,8,83,182,0.45604395604395603
216628,9.414499999999999,22.91,2,94,162,0.5802469135802469
221152,9.1438,22.16,5,91,168,0.5416666666666666
225898,9.2338,22.93,4,92,163,0.5644171779141104
230757,8.7607,21.97,7,87,193,0.45077720207253885
235301,8.9515,23.13,6,89,180,0.49444444444444446
240156,8.902099999999999,21.9,2,89,159,0.559748427672956
245069,9.240699999999999,22.84,5,92,158,0.5822784810126582
250355,8.951,21.22,6,89,169,0.5266272189349113
255356,8.925600000000001,23.19,4,89,164,0.5426829268292683
260695,9.336300000000001,22.2,4,93,174,0.5344827586206896
265570,8.8353,23.56,5,88,143,0.6153846153846154
270736,9.136600000000001,21.87,5,91,174,0.5229885057471264
275764,9.1664,21.69,7,91,174,0.5229885057471264
280441,8.8682,22.57,8,88,152,0.5789473684210527
285707,8.9594,20.81,7,89,170,0.5235294117647059
290287,8.644699999999998,21.99,6,86,139,0.6187050359712231
295886,9.3467,23.2,5,93,164,0.5670731707317073
300763,9.0651,22.1,7,90,164,0.5487804878048781
305755,8.8518,21.53,6,88,173,0.5086705202312138
310530,9.3469,20.99,5,93,161,0.577639751552795
315512,9.4191,21.1,3,94,163,0.5766871165644172
320172,8.943400000000002,22.49,5,89,168,0.5297619047619048
325345,9.1433,22.46,5,91,161,0.5652173913043478
330524,8.3987,21.63,11,83,150,0.5533333333333333
335416,8.9579,22.95,7,89,192,0.4635416666666667
340577,9.152999999999999,20.7,6,91,156,0.5833333333333334
345328,9.6142,21.38,2,96,171,0.5614035087719298
350599,9.168,22.45,7,91,190,0.4789473684210526
355427,8.9421,21.69,6,89,188,0.4734042553191489
360302,9.525,21.25,3,95,159,0.5974842767295597
365378,9.55,21.9,5,95,186,0.510752688172043
370480,9.0654,23.3,7,90,174,0.5172413793103449
375452,9.055399999999999,22.24,6,90,168,0.5357142857142857
380491,8.3003,23.53,11,82,179,0.4581005586592179
385622,9.2557,23.46,6,92,184,0.5
390395,8.964300000000001,21.79,7,89,148,0.6013513513513513
395903,9.21,23.32,2,92,177,0.519774011299435
400624,9.2436,23.37,5,92,203,0.45320197044334976
405522,9.055,23.05,6,90,172,0.5232558139534884
410366,8.595699999999999,22.44,10,85,160,0.53125
416050,9.6171,21.25,2,96,181,0.5303867403314917
420815,8.676400000000001,21.98,9,86,176,0.48863636363636365
425502,8.850399999999999,24.41,6,88,167,0.5269461077844312
430711,9.1299,24.17,4,91,190,0.4789473684210526
435426,9.1441,22.51,5,91,174,0.5229885057471264
440608,9.118699999999999,21.43,3,91,164,0.5548780487804879
445649,9.0882,21.23,9,90,163,0.5521472392638037
451017,8.8285,21.88,4,88,199,0.44221105527638194
456166,9.323500000000001,21.84,3,93,162,0.5740740740740741
461647,8.8277,22.84,4,88,194,0.4536082474226804
466786,8.883299999999998,21.58,9,88,157,0.5605095541401274
471616,9.4373,21.17,4,94,130,0.7230769230769231
476570,8.8674,22.14,8,88,148,0.5945945945945946
481459,8.693100000000001,23.14,10,86,180,0.4777777777777778
486268,8.1911,22.51,11,81,170,0.4764705882352941
491594,9.3009,22.2,1,93,181,0.5138121546961326
496517,8.442900000000002,23.5,6,84,201,0.417910447761194
501152,8.859200000000001,23.5,7,88,200,0.44
505783,9.3341,21.51,4,93,175,0.5314285714285715
510361,8.870899999999999,21.88,8,88,185,0.4756756756756757
515264,9.4109,23.09,2,94,189,0.4973544973544973
520394,9.515799999999999,22.44,2,95,204,0.46568627450980393
525655,9.2259,21.39,3,92,173,0.5317919075144508
530497,8.578400000000002,24.57,9,85,172,0.4941860465116279
535329,9.2326,22.24,4,92,186,0.4946236559139785
539960,9.3359,22.01,4,93,174,0.5344827586206896
545018,9.2436,23.91,5,92,178,0.5168539325842697
549999,8.795399999999999,21.96,10,87,171,0.5087719298245614
554964,8.9427,22.54,5,89,181,0.49171270718232046
560014,8.9762,24.37,8,89,211,0.4218009478672986
565128,9.0527,21.81,6,90,172,0.5232558139534884
569778,8.9247,22.98,4,89,152,0.5855263157894737
574598,9.1324,21.87,4,91,189,0.48148148148148145
579605,8.9595,23.11,7,89,184,0.483695652173913
584804,8.81,24.27,3,88,190,0.4631578947368421
589809,9.301000000000002,20.92,1,93,158,0.5886075949367089
594435,8.523900000000001,22.98,13,84,204,0.4117647058823529
599251,9.5388,21.04,4,95,177,0.536723163841808
604424,9.1281,21.42,4,91,201,0.4527363184079602
609667,9.1273,23.39,4,91,176,0.5170454545454546
614863,9.1551,22.12,6,91,157,0.5796178343949044
619702,9.2181,22.38,3,92,175,0.5257142857142857
624555,8.5332,23.97,5,85,196,0.4336734693877551
629526,8.6592,24.87,7,86,163,0.5276073619631901
634528,8.950099999999999,24.41,6,89,189,0.4708994708994709
639777,8.4098,21.55,12,83,165,0.503030303030303
644968,8.7012,24.34,11,86,179,0.48044692737430167
650178,8.1835,24.21,10,81,140,0.5785714285714286
655360,9.2456,22.37,5,92,198,0.46464646464646464
660208,9.1422,22.22,5,91,196,0.4642857142857143
665399,9.1426,21.64,5,91,150,0.6066666666666667
670216,8.9282,23.44,4,89,157,0.5668789808917197
675230,9.0292,22.54,4,90,153,0.5882352941176471
679538,9.1153,22.39,3,91,208,0.4375
684819,9.338099999999999,22.02,4,93,173,0.5375722543352601
689890,9.46,21.62,6,94,170,0.5529411764705883
695036,9.1287,21.96,4,91,170,0.5352941176470588
699743,9.2215,21.97,3,92,170,0.5411764705882353
704966,9.2437,22.34,5,92,177,0.519774011299435
710193,9.4147,23.9,2,94,169,0.5562130177514792
715705,9.5381,22.74,4,95,156,0.6089743589743589
721047,8.9856,22.26,9,89,167,0.5329341317365269
725875,9.0409,22.83,5,90,177,0.5084745762711864
730661,8.847800000000001,23.97,6,88,195,0.4512820512820513
735583,9.243,22.72,5,92,171,0.5380116959064327
740817,9.077,20.88,8,90,168,0.5357142857142857
745896,8.8462,21.31,6,88,171,0.5146198830409356
750840,8.8276,24.32,4,88,175,0.5028571428571429
