timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
136,-0.012600000000000014,15.88,2,43,71,0.6056338028169014
8559,-0.0162,15.97,0,50,75,0.6666666666666666
15342,0.009400000000000021,15.82,2,52,75,0.6933333333333334
21172,0.0002000000000000024,16.28,2,47,76,0.618421052631579
26956,-0.0020999999999999925,16.86,2,47,85,0.5529411764705883
32517,0.0025999999999999947,15.68,2,49,86,0.5697674418604651
37314,0.03190000000000001,16.63,3,51,85,0.6
42165,0.004299999999999995,15.89,1,53,80,0.6625
47448,0.02140000000000001,14.68,3,48,78,0.6153846153846154
52571,0.02570000000000003,16.32,2,54,87,0.6206896551724138
57453,-0.027199999999999988,16.05,0,45,87,0.5172413793103449
62077,-0.046999999999999965,16.23,1,40,82,0.4878048780487805
67209,-0.016400000000000015,16.68,2,45,82,0.5487804878048781
72416,0.07840000000000007,16.25,7,49,90,0.5444444444444444
77771,-0.0016000000000000074,15.72,0,53,91,0.5824175824175825
82763,0.016300000000000047,15.89,2,50,75,0.6666666666666666
87892,-0.025599999999999973,16.76,0,49,81,0.6049382716049383
93162,0.02320000000000002,16.0,1,57,77,0.7402597402597403
98208,0.010700000000000003,15.17,1,53,93,0.5698924731182796
103109,-0.004700000000000006,16.94,2,45,72,0.625
108247,-0.04609999999999995,15.55,1,43,75,0.5733333333333334
113348,-0.04769999999999999,16.2,1,38,67,0.5671641791044776
118298,0.002599999999999984,16.84,1,52,92,0.5652173913043478
123455,0.019000000000000006,18.16,1,50,92,0.5434782608695652
128724,0.012100000000000008,15.3,3,45,77,0.5844155844155844
133596,-0.00030000000000000247,16.51,1,47,82,0.573170731707317
139161,-0.0202,16.57,0,50,77,0.6493506493506493
144290,-0.024900000000000002,15.63,2,42,81,0.5185185185185185
149665,0.027699999999999995,15.38,2,54,85,0.6352941176470588
154648,0.007700000000000002,15.81,3,46,86,0.5348837209302325
159795,0.02400000000000001,16.22,4,45,88,0.5113636363636364
164852,-0.0167,16.24,2,40,82,0.4878048780487805
169869,0.003599999999999987,16.5,4,42,75,0.56
175396,0.035900000000000064,15.53,4,51,88,0.5795454545454546
180728,-0.052499999999999984,15.85,0,42,85,0.49411764705882355
186068,0.007999999999999986,16.43,3,48,76,0.631578947368421
191161,0.0181,16.35,2,50,104,0.4807692307692308
196176,-0.03269999999999998,15.65,2,36,85,0.4235294117647059
201122,-0.015299999999999998,15.73,2,46,83,0.5542168674698795
206155,0.013699999999999997,16.63,3,46,80,0.575
211343,-0.024599999999999986,17.11,2,40,80,0.5
216616,-0.024799999999999968,15.8,2,44,73,0.6027397260273972
221711,0.017699999999999994,16.52,3,47,76,0.618421052631579
226427,0.026500000000000037,16.99,2,50,105,0.47619047619047616
231838,-0.0051,17.68,1,49,95,0.5157894736842106
237196,0.0197,16.67,1,50,86,0.5813953488372093
242254,0.006699999999999992,15.99,3,47,84,0.5595238095238095
247559,0.0012000000000000183,16.72,5,37,97,0.38144329896907214
252505,0.018399999999999996,18.13,3,46,96,0.4791666666666667
257657,0.023399999999999994,17.72,1,52,113,0.46017699115044247
262981,0.03510000000000005,16.87,2,54,99,0.5454545454545454
267806,0.04740000000000004,17.67,2,57,121,0.47107438016528924
273179,-0.011400000000000006,16.42,3,46,100,0.46
278783,0.01189999999999999,16.65,3,45,100,0.45
283570,-0.004999999999999986,16.85,0,48,109,0.44036697247706424
288868,0.020200000000000006,15.98,4,45,85,0.5294117647058824
293878,-0.004800000000000001,16.73,0,52,91,0.5714285714285714
298802,-0.010200000000000004,16.04,2,46,84,0.5476190476190477
304012,-0.028599999999999987,17.72,2,40,105,0.38095238095238093
309060,0.047200000000000034,16.68,5,48,100,0.48
314760,0.024300000000000002,17.0,2,53,97,0.5463917525773195
319697,0.014100000000000008,16.38,3,48,112,0.42857142857142855
325271,-0.029199999999999962,16.74,4,36,83,0.43373493975903615
330199,-0.0017000000000000114,17.13,3,40,97,0.41237113402061853
335140,0.032600000000000004,17.79,5,43,107,0.40186915887850466
340585,0.038300000000000056,16.58,4,51,99,0.5151515151515151
345744,0.015099999999999995,16.84,3,48,115,0.41739130434782606
350916,0.004299999999999988,17.09,2,46,102,0.45098039215686275
355917,-0.026799999999999987,16.89,1,47,79,0.5949367088607594
361398,0.07120000000000007,17.4,5,53,110,0.4818181818181818
366548,0.06040000000000007,16.52,6,48,108,0.4444444444444444
371938,0.02730000000000002,16.79,2,53,84,0.6309523809523809
377180,0.024100000000000038,16.79,3,49,94,0.5212765957446809
382384,0.023399999999999997,16.91,3,50,113,0.4424778761061947
387563,0.07640000000000005,17.75,4,56,114,0.49122807017543857
393202,0.046800000000000085,17.16,5,50,107,0.4672897196261682
398765,-0.030799999999999987,16.73,2,39,87,0.4482758620689655
403850,0.06850000000000005,17.73,5,56,126,0.4444444444444444
409330,0.07050000000000005,17.1,4,54,123,0.43902439024390244
414522,-0.021499999999999984,17.04,1,44,97,0.4536082474226804
419454,0.046600000000000065,17.97,3,49,119,0.4117647058823529
424379,-0.02629999999999997,18.36,1,39,112,0.3482142857142857
430021,-0.008200000000000008,17.29,2,43,95,0.45263157894736844
434870,0.043600000000000055,17.82,5,48,122,0.39344262295081966
440025,0.03290000000000005,18.93,2,53,130,0.4076923076923077
445439,-0.003299999999999989,17.37,1,50,117,0.42735042735042733
450688,0.037000000000000026,16.81,3,53,104,0.5096153846153846
456088,-0.0021999999999999936,18.28,2,45,114,0.39473684210526316
461724,0.029500000000000023,16.89,4,45,95,0.47368421052631576
467211,0.03580000000000003,18.25,4,48,139,0.34532374100719426
472839,0.07520000000000007,17.95,4,54,147,0.3673469387755102
478100,0.07250000000000008,16.57,5,54,104,0.5192307692307693
483629,0.0285,17.35,3,49,114,0.4298245614035088
488948,0.0118,17.67,3,44,100,0.44
494274,-0.02259999999999998,17.18,1,40,90,0.4444444444444444
499699,0.031000000000000017,18.18,3,46,139,0.33093525179856115
504587,0.0024000000000000033,16.36,4,41,94,0.43617021276595747
509772,0.06260000000000004,17.5,5,50,111,0.45045045045045046
515255,0.039200000000000006,16.91,6,41,113,0.36283185840707965
520740,0.02860000000000001,17.27,2,52,121,0.4297520661157025
526176,0.05370000000000006,19.23,6,44,137,0.32116788321167883
531307,-0.005099999999999991,16.07,3,44,96,0.4583333333333333
536560,0.0278,16.82,3,50,119,0.42016806722689076
542361,0.02170000000000002,18.47,3,45,114,0.39473684210526316
547764,0.027700000000000075,18.12,3,48,113,0.4247787610619469
553040,0.033800000000000024,17.43,7,40,135,0.2962962962962963
558387,0.014000000000000005,18.25,2,45,132,0.3409090909090909
563640,0.028299999999999992,19.11,3,51,135,0.37777777777777777
569036,-0.008200000000000002,19.28,2,39,107,0.3644859813084112
574683,0.04940000000000002,17.05,6,44,112,0.39285714285714285
580458,0.07360000000000005,17.81,5,51,107,0.4766355140186916
585883,0.06350000000000003,17.86,6,49,111,0.44144144144144143
591332,0.06670000000000004,17.95,4,51,125,0.408
596436,0.03550000000000003,17.54,3,52,140,0.37142857142857144
601975,0.0023999999999999976,18.76,2,45,133,0.3383458646616541
607331,0.014600000000000004,19.29,1,46,137,0.3357664233576642
612991,-0.021200000000000007,18.47,2,40,131,0.3053435114503817
618511,0.061700000000000026,18.78,7,45,154,0.2922077922077922
623840,0.035300000000000026,19.21,3,50,140,0.35714285714285715
629153,0.0075,18.88,4,39,139,0.2805755395683453
634576,0.06330000000000004,17.92,6,46,130,0.35384615384615387
640053,0.047300000000000064,17.81,4,51,125,0.408
645475,0.030000000000000058,19.01,1,52,151,0.3443708609271523
651059,0.06060000000000005,18.83,5,52,135,0.3851851851851852
656901,0.021600000000000015,17.77,4,45,106,0.42452830188679247
662672,0.008099999999999998,18.78,3,42,160,0.2625
668167,-0.012700000000000006,18.22,1,42,131,0.32061068702290074
673451,-0.013499999999999998,16.42,2,42,117,0.358974358974359
679181,0.025200000000000018,18.13,6,37,111,0.3333333333333333
685024,-0.015400000000000014,19.7,1,42,135,0.3111111111111111
690793,-0.002499999999999983,17.39,2,46,130,0.35384615384615387
695933,0.008900000000000002,18.11,3,44,120,0.36666666666666664
701612,0.0026000000000000133,17.8,5,36,102,0.35294117647058826
706997,0.004799999999999992,17.33,3,40,140,0.2857142857142857
712651,0.047000000000000035,17.7,4,49,146,0.3356164383561644
718155,0.03000000000000006,17.62,5,44,123,0.35772357723577236
723388,0.022800000000000008,17.37,2,52,149,0.348993288590604
728743,0.05020000000000005,17.72,4,53,123,0.43089430894308944
733978,0.01780000000000001,18.75,4,43,161,0.2670807453416149
739180,0.06960000000000004,18.93,8,44,138,0.3188405797101449
745220,0.0424,17.99,6,43,132,0.32575757575757575
750818,0.004000000000000001,18.41,3,44,129,0.34108527131782945
756556,0.06840000000000007,19.34,3,54,147,0.3673469387755102
761937,0.016799999999999995,17.86,5,38,119,0.31932773109243695
767209,0.04390000000000003,18.74,7,40,124,0.3225806451612903
772792,0.04000000000000001,19.09,4,53,163,0.32515337423312884
778277,0.07840000000000004,19.3,5,55,154,0.35714285714285715
783919,0.07290000000000003,18.05,7,46,121,0.38016528925619836
789313,0.030400000000000017,18.19,3,47,118,0.3983050847457627
794714,0.07140000000000002,19.24,6,49,131,0.37404580152671757
800562,0.016900000000000033,18.48,2,49,140,0.35
806399,0.007999999999999997,18.01,4,42,97,0.4329896907216495
811726,0.03350000000000003,18.16,5,44,156,0.28205128205128205
817271,0.05190000000000002,19.15,4,52,152,0.34210526315789475
822620,-0.004800000000000002,18.75,4,36,153,0.23529411764705882
827964,0.050600000000000034,18.8,6,43,149,0.28859060402684567
833759,0.0044999999999999945,18.38,3,44,135,0.32592592592592595
839089,0.02190000000000003,19.12,2,46,158,0.2911392405063291
844895,0.08150000000000009,19.24,8,45,156,0.28846153846153844
849942,0.06000000000000006,18.4,5,47,128,0.3671875
855215,0.05920000000000005,19.11,5,48,162,0.2962962962962963
860835,0.005899999999999994,17.03,6,36,133,0.2706766917293233
866366,0.010400000000000003,19.68,2,44,155,0.2838709677419355
871891,0.00980000000000002,19.14,3,41,157,0.2611464968152866
877566,0.033,18.06,4,45,156,0.28846153846153844
883282,0.029100000000000032,18.53,2,54,125,0.432
888569,0.03550000000000002,19.36,5,45,148,0.30405405405405406
894131,-0.008699999999999994,19.22,3,38,132,0.2878787878787879
899665,0.06860000000000005,18.63,6,48,157,0.3057324840764331
905447,0.07210000000000008,20.14,6,49,173,0.2832369942196532
910893,0.04940000000000004,19.21,5,43,156,0.27564102564102566
916654,0.05590000000000008,19.97,5,49,179,0.2737430167597765
922577,0.009600000000000003,18.95,3,43,147,0.2925170068027211
928097,0.06940000000000006,19.14,6,50,188,0.26595744680851063
933812,0.04440000000000004,18.66,5,44,115,0.3826086956521739
939343,0.04310000000000002,19.81,6,44,150,0.29333333333333333
945220,0.07550000000000004,20.08,5,49,167,0.2934131736526946
950630,0.07630000000000003,18.43,5,52,131,0.3969465648854962
956512,0.03480000000000001,18.56,7,36,129,0.27906976744186046
962718,0.07230000000000004,18.02,8,43,138,0.3115942028985507
968436,0.08259999999999997,18.21,9,44,113,0.3893805309734513
974348,0.05290000000000004,18.31,9,37,137,0.27007299270072993
979832,-0.009600000000000011,17.49,4,37,138,0.26811594202898553
985494,0.0873,19.49,6,49,165,0.296969696969697
991446,0.01659999999999999,19.09,5,39,137,0.2846715328467153
997328,0.018100000000000015,18.44,4,43,123,0.34959349593495936
1002882,0.002199999999999999,17.9,4,39,137,0.2846715328467153
1008547,0.033,20.18,6,39,132,0.29545454545454547
1014291,0.05200000000000002,20.18,7,41,165,0.24848484848484848
1020000,0.059800000000000075,19.79,3,52,178,0.29213483146067415
1025824,0.09529999999999995,20.59,7,51,179,0.2849162011173184
1031493,-0.0008000000000000062,19.64,2,41,166,0.2469879518072289
1037286,0.03460000000000002,20.84,8,34,179,0.18994413407821228
1042546,0.05310000000000006,18.47,6,49,131,0.37404580152671757
1048284,0.019300000000000005,20.21,5,40,175,0.22857142857142856
1054345,0.07000000000000002,19.36,8,42,145,0.2896551724137931
1060300,0.029200000000000025,18.08,5,41,148,0.27702702702702703
1066443,0.053900000000000024,22.14,7,42,218,0.1926605504587156
1072297,0.06100000000000001,19.97,7,41,170,0.2411764705882353
1078152,0.057200000000000056,19.93,7,37,183,0.20218579234972678
