timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
136,-0.09490000000000003,13.94,1,33,50,0.66
8559,-0.0381,15.57,0,44,73,0.6027397260273972
15342,-0.04510000000000001,15.04,2,39,56,0.6964285714285714
21172,-0.08429999999999999,13.85,1,33,53,0.6226415094339622
26956,-0.048799999999999955,15.6,1,38,65,0.5846153846153846
32517,-0.07410000000000001,14.31,0,35,66,0.5303030303030303
37314,-0.030900000000000004,15.56,3,38,70,0.5428571428571428
42165,-0.03799999999999994,14.78,1,45,67,0.6716417910447762
47448,0.01060000000000002,14.21,3,48,71,0.676056338028169
52571,-0.04629999999999999,14.2,2,38,65,0.5846153846153846
57453,-0.03559999999999995,14.66,2,38,72,0.5277777777777778
62077,-0.05939999999999995,14.95,2,36,69,0.5217391304347826
67209,-0.10529999999999996,15.27,2,25,47,0.5319148936170213
72416,-0.02519999999999998,14.65,3,39,56,0.6964285714285714
77771,-0.01469999999999999,13.75,2,44,65,0.676923076923077
82763,-0.014300000000000009,14.71,4,38,65,0.5846153846153846
87892,-0.04729999999999996,14.88,1,41,65,0.6307692307692307
93162,-0.05569999999999998,14.05,2,38,59,0.6440677966101694
98208,-0.07899999999999997,14.47,1,37,64,0.578125
103109,-0.051999999999999984,14.9,2,35,74,0.47297297297297297
108247,-0.0775,14.4,1,35,56,0.625
113348,-0.07559999999999997,14.56,2,34,70,0.4857142857142857
118298,-0.0621,15.32,2,34,51,0.6666666666666666
123455,-0.078,15.66,1,36,61,0.5901639344262295
128724,-0.08319999999999993,13.93,2,29,52,0.5576923076923077
133596,-0.07,15.1,0,34,61,0.5573770491803278
139161,-0.09359999999999999,14.61,2,33,53,0.6226415094339622
144290,-0.09049999999999998,14.11,1,30,58,0.5172413793103449
149665,-0.016399999999999994,13.79,3,42,68,0.6176470588235294
154648,-0.05299999999999993,14.31,4,35,59,0.5932203389830508
159795,-0.05429999999999998,14.39,3,32,60,0.5333333333333333
164852,-0.04819999999999993,14.23,2,35,58,0.603448275862069
169869,-0.06689999999999997,13.88,2,32,53,0.6037735849056604
175396,-0.00990000000000001,14.5,4,38,70,0.5428571428571428
180728,-0.08659999999999997,14.29,0,36,73,0.4931506849315068
186068,-0.033199999999999966,14.97,3,35,64,0.546875
191161,-0.024000000000000004,13.99,2,40,60,0.6666666666666666
196176,-0.07759999999999997,14.98,3,25,52,0.4807692307692308
201122,-0.024800000000000003,14.36,4,38,66,0.5757575757575758
206155,-0.06309999999999995,13.9,1,40,49,0.8163265306122449
211343,-0.0204,15.03,4,40,79,0.5063291139240507
216616,-0.1209,14.0,0,28,44,0.6363636363636364
221711,-0.08289999999999999,15.15,2,30,63,0.47619047619047616
