timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
136,0.21329999999999985,29.44,10,71,231,0.30735930735930733
11385,0.44029999999999986,53.42,36,49,502,0.09760956175298804
22046,0.4446000000000001,50.57,38,44,514,0.08560311284046693
32824,0.5588000000000002,54.33,50,38,584,0.06506849315068493
43507,0.5017000000000003,54.74,46,33,604,0.054635761589403975
54668,0.4761000000000001,45.67,43,36,545,0.06605504587155964
65485,0.5100000000000005,58.11,46,34,596,0.05704697986577181
76638,0.5094000000000002,57.03,46,38,657,0.0578386605783866
87621,0.4857000000000001,49.85,46,28,593,0.047217537942664416
98415,0.4127000000000002,48.56,42,21,528,0.03977272727272727
109551,0.4472000000000005,47.09,44,26,494,0.05263157894736842
120774,0.41780000000000006,51.31,40,30,608,0.049342105263157895
131754,0.49180000000000007,56.05,47,26,642,0.040498442367601244
143209,0.4648000000000001,60.83,42,36,683,0.0527086383601757
154731,0.6249000000000002,58.2,61,19,585,0.03247863247863248
166351,0.5118000000000005,58.63,48,30,663,0.04524886877828054
177823,0.4692000000000003,64.68,42,37,710,0.05211267605633803
189328,0.5114000000000004,60.17,47,31,672,0.046130952380952384
200823,0.5357000000000002,58.35,51,29,690,0.042028985507246375
211772,0.5521000000000001,60.37,54,21,577,0.036395147313691506
223146,0.5894000000000004,55.6,55,29,550,0.05272727272727273
234098,0.5744000000000005,61.48,52,35,657,0.0532724505327245
245934,0.5419000000000004,58.59,50,34,638,0.05329153605015674
257330,0.5386000000000004,59.84,49,33,646,0.05108359133126935
269168,0.5429000000000003,60.93,50,32,693,0.046176046176046176
280762,0.5081000000000002,66.34,49,24,601,0.03993344425956739
292140,0.5678000000000002,64.32,56,20,717,0.02789400278940028
304075,0.5060000000000001,61.94,48,28,594,0.04713804713804714
315574,0.5549000000000001,63.5,54,23,712,0.032303370786516857
327087,0.5073000000000002,62.75,47,33,615,0.05365853658536585
338618,0.5181000000000003,63.87,50,27,599,0.045075125208681135
350650,0.5546000000000002,61.65,53,25,598,0.04180602006688963
362333,0.4647000000000001,62.33,43,32,562,0.05693950177935943
374286,0.5979000000000002,58.78,56,29,578,0.050173010380622836
385739,0.5706000000000002,60.15,54,29,618,0.04692556634304207
397198,0.5026,61.7,50,21,652,0.032208588957055216
408649,0.5637999999999999,62.92,56,18,615,0.02926829268292683
419997,0.5944000000000003,63.04,57,27,621,0.043478260869565216
431883,0.5391000000000001,65.98,53,22,616,0.03571428571428571
443197,0.5350000000000001,67.7,52,24,656,0.036585365853658534
454527,0.5204000000000002,65.03,49,29,642,0.045171339563862926
466408,0.5457000000000002,62.21,53,25,630,0.03968253968253968
477977,0.5133000000000001,64.89,49,28,576,0.04861111111111111
489398,0.5623000000000001,64.17,54,25,595,0.04201680672268908
500670,0.5281000000000003,64.07,50,28,640,0.04375
512718,0.4312,65.31,42,29,617,0.04700162074554295
524465,0.4859000000000001,65.87,45,32,608,0.05263157894736842
536198,0.49540000000000023,66.72,48,26,694,0.037463976945244955
547642,0.5120000000000002,65.01,51,21,561,0.0374331550802139
559214,0.451,66.9,45,20,631,0.03169572107765452
571351,0.5073000000000002,66.99,48,27,685,0.03941605839416058
582946,0.5619000000000003,65.89,54,24,663,0.03619909502262444
